District,District Code,fiscal_year,ela_growth,math_growth,accountability_index
Achievement First Bridgeport Academy District,2850013,2025,60.5,48.5,62.51430931034483
Achievement First Hartford Academy District,2880013,2025,60.6,66.5,67.27897979310345
Amistad Academy District,2790013,2025,56.8,70.2,66.56305744827587
Andover School District,10011,2025,68.6,70.4,74.376753875
Ansonia School District,20011,2025,54.5,53.8,65.16533517241379
Area Cooperative Educational Services,2440014,2025,51.9,50.9,46.74568182608695
Ashford School District,30011,2025,62.3,65.0,73.26806777777777
Avon School District,40011,2025,66.1,75.3,80.96602827586207
Barkhamsted School District,50011,2025,76.3,64.2,72.84390675
Berlin School District,70011,2025,57.9,60.0,76.2036136551724
Bethany School District,80011,2025,81.2,70.8,82.9527245882353
Bethel School District,90011,2025,66.1,74.7,80.78365034482758
Bloomfield School District,110011,2025,54.3,54.6,67.5872264137931
Bolton School District,120011,2025,61.8,67.3,79.53467837037036
Booker T. Washington Academy District,2950013,2025,52.1,60.7,60.474829444444445
Bozrah School District,130011,2025,69.0,83.1,79.44781588235294
Branford School District,140011,2025,58.9,57.9,75.52657420689656
Brass City Charter School District,2900013,2025,62.0,49.8,62.05270899999999
Bridgeport School District,150011,2025,52.0,56.7,59.02742937931035
Bristol School District,170011,2025,53.3,57.2,70.65494082758622
Brookfield School District,180011,2025,65.4,62.0,81.90462448275862
Brooklyn School District,190011,2025,53.5,63.0,72.03066044444444
Canaan School District,210011,2025,54.8,66.0,78.65635127272728
Canterbury School District,220011,2025,54.8,56.9,70.56477211111111
Canton School District,230011,2025,68.6,66.9,81.9277754074074
Capital Preparatory Harbor School District,2970013,2025,62.3,47.4,69.43656918518518
Capitol Region Education Council,2410014,2025,52.7,49.9,62.51457503448275
Chaplin School District,240011,2025,45.2,56.4,61.632255125
Cheshire School District,250011,2025,71.1,75.4,85.43393965517241
Chester School District,260011,2025,75.1,77.6,80.880500125
Clinton School District,270011,2025,53.1,58.8,75.69413986206897
Colchester School District,280011,2025,60.7,71.9,78.48938593103448
Colebrook School District,290011,2025,82.3,87.2,92.38257075
Columbia School District,300011,2025,60.4,61.8,72.14725377777778
Common Ground High School District,2680013,2025,,,60.00630703448277
Connecticut Technical Education and Career System,9000016,2025,,,62.958852645161286
Cooperative Educational Services,2430014,2025,48.4,59.8,47.94961536
Cornwall School District,310011,2025,82.9,74.0,90.54653490909092
Coventry School District,320011,2025,68.9,70.8,83.39812548148149
Cromwell School District,330011,2025,69.9,67.0,78.5725107586207
Danbury School District,340011,2025,59.4,56.7,68.66799427586207
Darien School District,350011,2025,70.5,75.0,87.20350310344827
Deep River School District,360011,2025,63.4,66.3,75.28271525
Derby School District,370011,2025,53.4,53.8,64.77733462068966
East Granby School District,400011,2025,70.8,62.3,80.6439951111111
East Haddam School District,410011,2025,51.2,59.6,75.51270303703703
East Hampton School District,420011,2025,62.7,61.3,77.22699044444444
East Hartford School District,430011,2025,56.8,57.9,67.19182668965516
East Haven School District,440011,2025,60.8,54.2,70.59530089655172
East Lyme School District,450011,2025,60.0,62.4,81.22026524137931
East Windsor School District,470011,2025,68.3,64.3,71.5526244827586
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,2025,,,61.86911820689656
Eastford School District,390011,2025,83.0,71.9,79.916538125
Easton School District,460011,2025,64.7,69.7,76.7602068
EdAdvance,2420014,2025,,,38.08230283333334
Ellington School District,480011,2025,59.8,66.1,79.95199475862069
Elm City College Preparatory School District,2890013,2025,53.1,53.5,63.089680758620695
Elm City Montessori School District,2910013,2025,58.0,67.3,64.0407274117647
Enfield School District,490011,2025,54.5,52.7,69.91366068965516
Essex School District,500011,2025,55.6,66.3,72.71063225
Explorations District,2720013,2025,,,57.6596998
Fairfield School District,510011,2025,65.7,72.1,80.49394199999999
Farmington School District,520011,2025,71.5,73.3,85.25532434482759
Franklin School District,530011,2025,72.5,72.0,82.6213435
Glastonbury School District,540011,2025,65.8,71.0,82.31636344827587
Goodwin University Educational Services (GUES),2310018,2025,47.2,53.3,60.52269013793104
Granby School District,560011,2025,62.9,75.0,82.82640488888889
Great Oaks Charter School District,2940013,2025,55.5,42.1,55.61215537931034
Greenwich School District,570011,2025,73.6,79.4,86.22897882758622
Griswold School District,580011,2025,62.9,60.8,69.61869731034483
Groton School District,590011,2025,52.4,59.1,70.24877993103448
Guilford School District,600011,2025,63.7,75.3,83.20219351724138
Hamden School District,620011,2025,57.6,56.7,67.28396951724139
Hampton School District,630011,2025,62.9,84.2,69.4248275
Hartford School District,640011,2025,53.2,52.6,58.985891172413794
Hartland School District,650011,2025,63.4,76.8,80.72904875
Hebron School District,670011,2025,66.8,80.4,80.050974125
Highville Charter School District,2860013,2025,59.8,57.9,62.043231238095245
Integrated Day Charter School District,2640013,2025,60.9,47.9,65.23495733333333
Interdistrict School for Arts and Comm District,2650013,2025,63.5,69.3,70.6408782
Jumoke Academy District,2610013,2025,51.4,37.8,47.6378647368421
Kent School District,680011,2025,71.1,74.1,75.54779225
Killingly School District,690011,2025,65.1,48.2,70.14220055172414
Learn,2450014,2025,75.9,71.8,75.02312896551724
Lebanon School District,710011,2025,64.5,68.0,76.79407340740741
Ledyard School District,720011,2025,59.2,56.0,74.19673213793104
Lisbon School District,730011,2025,63.9,59.8,70.87982366666667
Madison School District,760011,2025,70.2,77.5,85.50477275862069
Manchester School District,770011,2025,56.4,56.2,66.19262137931034
Mansfield School District,780011,2025,70.7,70.9,79.26076409999999
Marlborough School District,790011,2025,73.0,79.2,81.742909875
Meriden School District,800011,2025,58.5,61.0,69.56596317241379
Middletown School District,830011,2025,50.4,52.8,63.817484896551726
Milford School District,840011,2025,61.4,74.7,78.50153351724138
Monroe School District,850011,2025,63.1,58.3,79.59541993103448
Montville School District,860011,2025,55.3,54.8,72.48011875862069
Naugatuck School District,880011,2025,61.1,54.4,68.5509903448276
New Beginnings Inc Family Academy District,2800013,2025,51.9,54.4,49.485637789473685
New Britain School District,890011,2025,50.3,50.2,57.22809317241379
New Canaan School District,900011,2025,75.0,84.5,88.68244325925926
New Fairfield School District,910011,2025,65.2,67.0,80.44133737931035
New Hartford School District,920011,2025,61.6,65.2,74.55865588235294
New Haven School District,930011,2025,54.8,54.6,59.439852827586215
New London School District,950011,2025,55.3,52.8,58.63216565517241
New Milford School District,960011,2025,56.6,60.8,71.07110910344826
Newington School District,940011,2025,64.3,67.8,78.28700275862069
Newtown School District,970011,2025,67.0,71.9,79.97098013793104
Norfolk School District,980011,2025,51.4,74.5,79.195458
North Branford School District,990011,2025,60.9,58.6,79.38690362962963
North Canaan School District,1000011,2025,64.5,65.9,76.30006933333333
North Haven School District,1010011,2025,61.9,63.6,79.24146068965517
North Stonington School District,1020011,2025,54.3,50.3,75.38553562962963
Norwalk School District,1030011,2025,64.6,63.9,73.89519289655173
Norwich Free Academy District,9010022,2025,,,63.87120303225806
Norwich School District,1040011,2025,57.0,57.1,56.52717965217391
Odyssey Community School District,2630013,2025,64.6,60.3,75.08591320000001
Old Saybrook School District,1060011,2025,66.0,69.0,82.88568062068966
Orange School District,1070011,2025,74.6,79.0,82.31248094736841
Oxford School District,1080011,2025,63.4,60.8,78.83655268965518
Park City Prep Charter School District,2830013,2025,63.3,60.6,64.4444252
Plainfield School District,1090011,2025,59.7,55.2,66.42032251851852
Plainville School District,1100011,2025,61.3,71.5,77.95716965517241
Plymouth School District,1110011,2025,56.2,49.6,67.14572241379311
Pomfret School District,1120011,2025,66.5,73.4,76.99159844444445
Portland School District,1130011,2025,57.0,60.0,74.12682372413794
Preston School District,1140011,2025,54.7,59.8,68.17037133333332
Putnam School District,1160011,2025,52.4,50.6,67.01315234482759
Redding School District,1170011,2025,66.0,77.0,77.76031066666667
Regional School District 01,2010012,2025,,,72.11802944827585
Regional School District 04,2040012,2025,55.8,60.5,72.5481825925926
Regional School District 05,2050012,2025,58.8,64.5,81.22984820689655
Regional School District 07,2070012,2025,57.4,61.6,73.2649328888889
Regional School District 08,2080012,2025,47.4,48.7,72.46895444444445
Regional School District 09,2090012,2025,,,86.34744599999999
Regional School District 10,2100012,2025,64.8,60.0,80.63300406896552
Regional School District 11,2110012,2025,51.1,31.8,63.10412864
Regional School District 12,2120012,2025,68.7,67.1,81.54559223999999
Regional School District 13,2130012,2025,68.4,64.9,79.95057533333335
Regional School District 14,2140012,2025,71.1,71.1,80.46404281481482
Regional School District 15,2150012,2025,54.7,60.9,79.16380344827587
Regional School District 16,2160012,2025,62.7,64.5,82.93312627586207
Regional School District 17,2170012,2025,66.6,65.7,84.6721505925926
Regional School District 18,2180012,2025,66.9,68.1,82.29701868965518
Regional School District 19,2190012,2025,,,79.01433848275863
Regional School District 20,2200012,2025,63.3,63.9,71.98381238095237
Ridgefield School District,1180011,2025,67.2,74.1,85.01473779310345
Rocky Hill School District,1190011,2025,71.8,70.5,82.76374744827586
Salem School District,1210011,2025,63.3,56.7,64.52330755555556
Salisbury School District,1220011,2025,78.3,74.7,79.297072
Scotland School District,1230011,2025,64.2,71.9,73.15882933333334
Seymour School District,1240011,2025,61.0,68.2,75.65058496551723
Sharon School District,1250011,2025,82.9,77.1,81.81296133333333
Shelton School District,1260011,2025,54.6,55.9,73.42515496551725
Sherman School District,1270011,2025,63.1,61.9,72.08411230769232
Side By Side Charter School District,2700013,2025,66.9,72.5,75.28312684210526
