"Smarter Balanced Growth Report, 2024-25"
"All Districts, ELA and Math, All Grades Combined, All Students"

"District Code","District","Subject","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2850013""","Achievement First Bridgeport Academy District","ELA",429,"38.5%","60.5%"
"=""2850013""","Achievement First Bridgeport Academy District","Math",416,"28.4%","48.5%"
"=""2880013""","Achievement First Hartford Academy District","ELA",342,"38.0%","60.6%"
"=""2880013""","Achievement First Hartford Academy District","Math",338,"46.4%","66.5%"
"=""2790013""","Amistad Academy District","ELA",440,"34.5%","56.8%"
"=""2790013""","Amistad Academy District","Math",427,"45.7%","70.2%"
"=""0010011""","Andover School District","ELA",72,"44.4%","68.6%"
"=""0010011""","Andover School District","Math",73,"41.1%","70.4%"
"=""0020011""","Ansonia School District","ELA",859,"30.3%","54.5%"
"=""0020011""","Ansonia School District","Math",857,"31.6%","53.8%"
"=""2440014""","Area Cooperative Educational Services","ELA",785,"31.1%","51.9%"
"=""2440014""","Area Cooperative Educational Services","Math",774,"30.0%","50.9%"
"=""0030011""","Ashford School District","ELA",179,"41.9%","62.3%"
"=""0030011""","Ashford School District","Math",179,"44.1%","65.0%"
"=""0040011""","Avon School District","ELA",1132,"46.7%","66.1%"
"=""0040011""","Avon School District","Math",1122,"57.4%","75.3%"
"=""0050011""","Barkhamsted School District","ELA",86,"51.2%","76.3%"
"=""0050011""","Barkhamsted School District","Math",86,"43.0%","64.2%"
"=""0070011""","Berlin School District","ELA",927,"38.2%","57.9%"
"=""0070011""","Berlin School District","Math",922,"42.1%","60.0%"
"=""0080011""","Bethany School District","ELA",185,"63.2%","81.2%"
"=""0080011""","Bethany School District","Math",185,"49.7%","70.8%"
"=""0090011""","Bethel School District","ELA",1134,"44.8%","66.1%"
"=""0090011""","Bethel School District","Math",1128,"56.0%","74.7%"
"=""0110011""","Bloomfield School District","ELA",524,"32.3%","54.3%"
"=""0110011""","Bloomfield School District","Math",524,"32.6%","54.6%"
"=""0120011""","Bolton School District","ELA",239,"43.9%","61.8%"
"=""0120011""","Bolton School District","Math",236,"50.4%","67.3%"
"=""2950013""","Booker T. Washington Academy District","ELA",200,"34.0%","52.1%"
"=""2950013""","Booker T. Washington Academy District","Math",198,"37.4%","60.7%"
"=""0130011""","Bozrah School District","ELA",83,"47.0%","69.0%"
"=""0130011""","Bozrah School District","Math",83,"61.4%","83.1%"
"=""0140011""","Branford School District","ELA",910,"39.6%","58.9%"
"=""0140011""","Branford School District","Math",898,"39.0%","57.9%"
"=""2900013""","Brass City Charter School District","ELA",185,"37.8%","62.0%"
"=""2900013""","Brass City Charter School District","Math",185,"34.6%","49.8%"
"=""0150011""","Bridgeport School District","ELA",6354,"29.2%","52.0%"
"=""0150011""","Bridgeport School District","Math",6305,"36.6%","56.7%"
"=""0170011""","Bristol School District","ELA",2619,"33.4%","53.3%"
"=""0170011""","Bristol School District","Math",2623,"38.2%","57.2%"
"=""0180011""","Brookfield School District","ELA",901,"44.8%","65.4%"
"=""0180011""","Brookfield School District","Math",901,"44.6%","62.0%"
"=""0190011""","Brooklyn School District","ELA",444,"30.4%","53.5%"
