"Next Generation Accountability, 2024-25"

"FallOfYear","RptngDistrictName","ReportingDistrictCode","SchoolName","SchoolCode","SchoolOrgType","SchoolLowGrade","SchoolHighGrade","SchoolTitleIType","Category","TotalPoints","TotalPossiblePoints","OutcomeRatePct","FinalCategory","AchievementGapFlag","Ind1ELA_All_Rate","Ind1ELA_All_Points","Ind1ELA_All_PossiblePoints","Ind1ELA_HN_Rate","Ind1ELA_NHN_Rate","Ind1ELA_HN_Points","Ind1ELA_HN_PossiblePoints","Ind1Math_All_Rate","Ind1Math_All_Points","Ind1Math_All_PossiblePoints","Ind1Math_NHN_Rate","Ind1Math_HN_Rate","Ind1Math_HN_Points","Ind1Math_HN_PossiblePoints","Ind1Sci_All_Rate","Ind1Sci_All_Points","Ind1Sci_All_PossiblePoints","Ind1Sci_HN_Rate","Ind1Sci_NHN_Rate","Ind1Sci_HN_Points","Ind1Sci_HN_PossiblePoints","Ind1ELAGap","Ind1MathGap","Ind1SciGap","Ind2ELA_All_Rate","Ind2ELA_All_Points","Ind2ELA_All_Possiblepoints","Ind2Math_All_Rate","Ind2Math_All_Points","Ind2Math_All_Possiblepoints","Ind2ELA_HN_Rate","Ind2ELA_NHN_Rate","Ind2ELA_HN_Points","Ind2ELA_HN_Possiblepoints","Ind2Math_HN_Rate","Ind2Math_NHN_Rate","Ind2Math_HN_Points","Ind2Math_HN_Possiblepoints","Ind2LEP_LTCY_Rate","Ind2LEP_LTCY_Points","Ind2LEP_LTCY_PossiblePoints","Ind2LEP_ORAL_Rate","Ind2LEP_ORAL_Points","Ind2LEP_ORAL_PossiblePoints","Ind3PartRateFlag","Ind3ELA_All_Rate","Ind3ELA_HN_Rate","Ind3ELA_NHN_Rate","Ind3Math_All_Rate","Ind3Math_HN_Rate","Ind3Math_NHN_Rate","Ind3Sci_All_Rate","Ind3Sci_HN_Rate","Ind3Sci_NHN_Rate","Ind4Rate","Ind4Points","Ind4PossiblePoints","Ind4HNRate","Ind4HNPoints","Ind4HNPossiblePoints","Ind5Rate","Ind5Points","Ind5PossiblePoints","Ind6Rate","Ind6Points","Ind6PossiblePoints","Ind7Rate","Ind7points","Ind7PointsPossible","Ind8Rate","Ind8Points","Ind8PointsPossible","GradGapFlag","Ind9Rate","Ind9Points","Ind9PointsPossible","Ind10Rate","Ind10Points","Ind10PossiblePoints","Ind11FitnessRate","Ind11ParticipationRate","Ind11Points","Ind11PossiblePoints","Ind12Rate","Ind12Points","Ind12PossiblePoints","Grad6YrRateHN","Grad6YrRateNHN","Grad6YrHNNHNDiff","Hurdle_Mean_ELA","Hurdle_Mean_Math","Hurdle_Mean_Sci","Hurdle_Means_Grad","CategoryDropFlag","Support","SupportCategory","Distinction","DistinctionCategory","Perform","ELA_ALL_YN","Math_ALL_YN","ELA_HN_YN","Math_HN_YN","Improve","schoolyear"
2024.000000,"Branford School District","=""0140011""","District","=""0000000""","District","District","District",,"DistrictTot",1095.135326,1450.000000,75.526574,".",0.000000,68.669769,45.779846,50.000000,61.647405,75.000000,41.098270,50.000000,64.938019,43.292013,50.000000,71.933464,57.699447,38.466298,50.000000,63.039666,42.026444,50.000000,56.908573,68.888120,37.939048,50.000000,13.350000,14.230000,11.970000,0.589160,58.915973,100.000000,0.579407,57.940726,100.000000,0.579132,0.598672,57.913194,100.000000,0.545528,0.610955,54.552767,100.000000,0.640235,32.011729,50.000000,0.589868,29.493414,50.000000,0.000000,0.983434,0.971471,0.995468,0.981928,0.969970,0.993958,0.977233,0.958042,0.996491,0.128819,34.236168,50.000000,0.182960,23.408072,50.000000,0.976864,50.000000,50.000000,0.421594,28.106255,50.000000,0.923280,49.110661,50.000000,0.912037,97.025217,100.000000,0.000000,0.895833,95.301418,100.000000,0.741000,98.800000,100.000000,0.445767,0.966752,29.717813,50.000000,0.624516,50.000000,50.000000,0.895833,0.940000,0.044167,16.920202,18.379009,18.163951,8.649565,".",,,,,".",".",".",".",".",".","2024-25"
2024.000000,"Killingly School District","=""0690011""","District","=""0000000""","District","District","District",,"DistrictTot",1017.061908,1450.000000,70.142201,".",0.000000,62.716166,41.810777,50.000000,58.105980,69.451131,38.737320,50.000000,54.195776,36.130517,50.000000,60.918754,49.570053,33.046702,50.000000,55.929980,37.286654,50.000000,52.238269,61.045637,34.825513,50.000000,11.340000,11.340000,8.800000,0.650960,65.095974,100.000000,0.482355,48.235478,100.000000,0.632881,0.679478,63.288057,100.000000,0.464182,0.510938,46.418162,100.000000,0.632826,31.641321,50.000000,0.689310,34.465493,50.000000,1.000000,0.978793,0.971583,0.989733,0.975490,0.967436,0.987680,0.959032,0.946032,0.977477,0.203504,19.299191,50.000000,0.266766,6.646796,50.000000,0.962667,50.000000,50.000000,0.648000,43.200000,50.000000,0.837681,44.557508,50.000000,0.854305,90.883472,100.000000,1.000000,0.807339,85.887175,100.000000,0.654000,87.200000,100.000000,0.426087,1.000000,28.405797,50.000000,0.607527,50.000000,50.000000,0.807339,0.940000,0.132661,16.920202,18.379009,18.163951,8.649565,".",,,,,".",".",".",".",".",".","2024-25"
2024.000000,"Lebanon School District","=""0710011""","District","=""0000000""","District","District","District",,"DistrictTot",1036.719991,1350.000000,76.794073,".",0.000000,70.966339,47.310892,50.000000,61.609207,75.000000,41.072805,50.000000,67.504007,45.002671,50.000000,74.995394,56.716409,37.810939,50.000000,67.681209,45.120806,50.000000,59.237763,73.682335,39.491842,50.000000,13.390000,18.270000,14.440000,0.645078,64.507814,100.000000,0.680049,68.004947,100.000000,0.611746,0.669776,61.174591,100.000000,0.572860,0.758181,57.286030,100.000000,".",".",".",".",".",".",0.000000,0.981859,0.983516,0.980695,0.977324,0.972527,0.980695,0.972093,0.956044,0.983871,0.124434,35.113122,50.000000,0.199430,20.113960,50.000000,0.974194,50.000000,50.000000,0.387097,25.806452,50.000000,0.955696,50.000000,50.000000,0.831325,88.438862,100.000000,0.000000,0.888889,94.562648,100.000000,0.610000,81.333333,100.000000,0.618677,0.955390,41.245136,50.000000,0.519878,43.323140,50.000000,0.888889,0.940000,0.051111,16.920202,18.379009,18.163951,8.649565,".",,,,,".",".",".",".",".",".","2024-25"
2024.000000,"Hebron School District","=""0670011""","District","=""0000000""","District","District","District",,"DistrictTot",640.407793,800.000000,80.050974,".",0.000000,76.500317,50.000000,50.000000,65.676600,75.000000,43.784400,50.000000,73.614189,49.076126,50.000000,75.000000,61.347311,40.898207,50.000000,77.052419,50.000000,50.000000,".",75.000000,".",".",9.320000,13.650000,".",0.668020,66.801980,100.000000,0.804118,80.411774,100.000000,0.637775,0.679424,63.777458,100.000000,0.712681,0.838594,71.268057,100.000000,".",".",".",".",".",".",0.000000,0.997245,1.000000,0.996109,0.997245,1.000000,0.996109,1.000000,".",1.000000,0.072013,45.597381,50.000000,0.114130,37.173913,50.000000,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.624277,0.994318,41.618497,50.000000,".",".",".",".",".",".",16.920202,18.379009,18.163951,".",".",,,,,".",".",".",".",".",".","2024-25"
2024.000000,"Kent School District","=""0680011""","District","=""0000000""","District","District","District",,"DistrictTot",604.382338,800.000000,75.547792,".",0.000000,79.092475,50.000000,50.000000,74.561680,75.000000,49.707787,50.000000,74.438714,49.625809,50.000000,75.000000,70.884469,47.256312,50.000000,79.929954,50.000000,50.000000,".",".",".",".",0.430000,4.110000,".",0.710873,71.087250,100.000000,0.740523,74.052253,100.000000,0.688761,0.722605,68.876129,100.000000,0.753100,0.733849,75.309952,100.000000,".",".",".",".",".",".",1.000000,0.913793,0.893617,0.927536,0.913793,0.893617,0.927536,0.860465,0.904762,0.818182,0.127168,34.566474,50.000000,0.220588,15.882353,50.000000,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.540541,0.880952,18.018018,50.000000,".",".",".",".",".",".",16.920202,18.379009,18.163951,".",".",,,,,".",".",".",".",".",".","2024-25"
2024.000000,"Ledyard School District","=""0720011""","District","=""0000000""","District","District","District",,"DistrictTot",1075.852616,1450.000000,74.196732,".",0.000000,65.938635,43.959090,50.000000,56.397057,72.238691,37.598038,50.000000,61.539986,41.026658,50.000000,68.231551,51.405458,34.270306,50.000000,68.764909,45.843273,50.000000,57.870005,75.000000,38.580003,50.000000,15.840000,16.820000,17.120000,0.591535,59.153538,100.000000,0.559675,55.967541,100.000000,0.522700,0.635095,52.269990,100.000000,0.526366,0.580559,52.636615,100.000000,0.650674,32.533724,50.000000,0.628703,31.435129,50.000000,0.000000,0.990369,0.980198,0.997301,0.990369,0.980198,0.997301,0.975791,0.957346,0.987730,0.135737,32.852692,50.000000,0.211435,17.713053,50.000000,0.924933,50.000000,50.000000,0.388740,25.915996,50.000000,0.951613,50.000000,50.000000,0.943005,100.000000,100.000000,0.000000,0.940476,100.000000,100.000000,0.658000,87.733333,100.000000,0.545455,0.913994,36.363636,50.000000,0.623656,50.000000,50.000000,0.940476,0.940000,0.000000,16.920202,18.379009,18.163951,8.649565,".",,,,,".",".",".",".",".",".","2024-25"
2024.000000,"Bristol School District","=""0170011""","District","=""0000000""","District","District","District",,"DistrictTot",1024.496642,1450.000000,70.654941,".",0.000000,63.177215,42.118143,50.000000,57.727307,72.041166,38.484871,50.000000,58.643381,39.095587,50.000000,68.521743,52.537660,35.025107,50.000000,63.876202,42.584135,50.000000,56.998980,73.996260,37.999320,50.000000,14.310000,15.980000,16.990000,0.533277,53.327713,100.000000,0.572343,57.234318,100.000000,0.500069,0.586608,50.006917,100.000000,0.534540,0.632137,53.453961,100.000000,0.628978,31.448881,50.000000,0.559991,27.999526,50.000000,0.000000,0.983871,0.979321,0.991498,0.981903,0.976172,0.991498,0.973244,0.965074,0.985836,0.183695,23.260928,50.000000,0.240228,11.954326,50.000000,0.982353,50.000000,50.000000,0.415966,27.731092,50.000000,0.888889,47.281324,50.000000,0.909385,96.743097,100.000000,0.000000,0.886957,94.357077,100.000000,0.605000,80.666667,100.000000,0.505855,0.957961,33.723653,50.000000,0.636133,50.000000,50.000000,0.886957,0.940000,0.053043,16.920202,18.379009,18.163951,8.649565,".",,,,,".",".",".",".",".",".","2024-25"
2024.000000,"Lisbon School District","=""0730011""","District","=""0000000""","District","District","District",,"DistrictTot",637.918413,900.000000,70.879824,".",0.000000,67.393669,44.929113,50.000000,61.590507,73.196830,41.060338,50.000000,64.193610,42.795740,50.000000,70.469532,57.866247,38.577498,50.000000,66.919866,44.613244,50.000000,61.269594,71.523792,40.846396,50.000000,11.600000,12.600000,10.250000,0.639202,63.920238,100.000000,0.597677,59.767696,100.000000,0.615631,0.661693,61.563075,100.000000,0.572268,0.621687,57.226841,100.000000,".",".",".",".",".",".",0.000000,0.996109,1.000000,0.992126,0.996109,1.000000,0.992126,0.990385,1.000000,0.982759,0.149215,30.157068,50.000000,0.211340,17.731959,50.000000,".",".",".",".",".",".",0.840909,44.729207,50.000000,".",".",".",".",".",".",".",".",".",".",0.845528,0.938931,50.000000,50.000000,".",".",".",".",".",".",16.920202,18.379009,18.163951,".",".",,,,,".",".",".",".",".",".","2024-25"
2024.000000,"Madison School District","=""0760011""","District","=""0000000""","District","District","District",,"DistrictTot",1239.819205,1450.000000,85.504773,".",0.000000,79.910845,50.000000,50.000000,65.405192,75.000000,43.603461,50.000000,79.023467,50.000000,50.000000,75.000000,64.443176,42.962117,50.000000,79.659462,50.000000,50.000000,64.307323,75.000000,42.871548,50.000000,9.590000,10.550000,10.690000,0.701858,70.185782,100.000000,0.774991,77.499120,100.000000,0.523102,0.740145,52.310184,100.000000,0.670982,0.797300,67.098211,100.000000,0.604835,30.241727,50.000000,0.691275,34.563767,50.000000,1.000000,0.989156,0.964789,0.996028,0.987607,0.961268,0.995035,0.971223,0.932203,0.981735,0.054325,49.134977,50.000000,0.112527,37.494692,50.000000,0.911227,50.000000,50.000000,0.746736,49.782419,50.000000,0.969697,50.000000,50.000000,0.952830,100.000000,100.000000,0.000000,0.944444,100.000000,100.000000,0.856000,100.000000,100.000000,0.631068,0.997253,42.071197,50.000000,0.670619,50.000000,50.000000,0.944444,0.940000,0.000000,16.920202,18.379009,18.163951,8.649565,".",,,,,".",".",".",".",".",".","2024-25"
2024.000000,"Middletown School District","=""0830011""","District","=""0000000""","District","District","District",,"DistrictTot",925.353531,1450.000000,63.817485,".",1.000000,58.926017,39.284011,50.000000,51.068806,69.971159,34.045871,50.000000,52.837459,35.224973,50.000000,63.826607,45.020081,30.013387,50.000000,56.564127,37.709418,50.000000,48.488998,67.370844,32.325998,50.000000,18.900000,18.800000,18.880000,0.503528,50.352763,100.000000,0.527721,52.772074,100.000000,0.450857,0.572070,45.085652,100.000000,0.474783,0.596706,47.478258,100.000000,0.622839,31.141961,50.000000,0.555544,27.777193,50.000000,1.000000,0.971674,0.958576,0.990566,0.972520,0.960000,0.990566,0.959024,0.944444,0.979118,0.249759,10.048263,50.000000,0.337269,0.000000,50.000000,0.960606,50.000000,50.000000,0.425758,28.383838,50.000000,0.817052,43.460187,50.000000,0.900000,95.744681,100.000000,0.000000,0.947090,100.000000,100.000000,0.656000,87.466667,100.000000,0.350909,0.866460,11.696970,50.000000,0.424096,35.341365,50.000000,0.947090,0.940000,0.000000,16.920202,18.379009,18.163951,8.649565,".",,,,,".",".",".",".",".",".","2024-25"
