"Student Counts by District and Year"
"All Districts"
"2018-19"

"District","District Code","Count"
"Achievement First Bridgeport Academy District","=""2850013""",1093
"Achievement First Hartford Academy District","=""2880013""",1112
"Amistad Academy District","=""2790013""",1083
"Andover School District","=""0010011""",191
"Ansonia School District","=""0020011""",2324
"Area Cooperative Educational Services","=""2440014""",1874
"Ashford School District","=""0030011""",410
"Avon School District","=""0040011""",3152
"Barkhamsted School District","=""0050011""",227
"Berlin School District","=""0070011""",2803
"Bethany School District","=""0080011""",366
"Bethel School District","=""0090011""",3112
"Bloomfield School District","=""0110011""",2184
"Bolton School District","=""0120011""",786
"Booker T. Washington Academy District","=""2950013""",360
"Bozrah School District","=""0130011""",203
"Branford School District","=""0140011""",2860
"Brass City Charter School District","=""2900013""",287
"Bridgeport School District","=""0150011""",20572
"Bristol School District","=""0170011""",7956
"Brookfield School District","=""0180011""",2630
"Brooklyn School District","=""0190011""",922
"Canaan School District","=""0210011""",63
"Canterbury School District","=""0220011""",471
"Canton School District","=""0230011""",1560
"Capital Preparatory Harbor School District","=""2970013""",634
"Capitol Region Education Council","=""2410014""",8672
"Chaplin School District","=""0240011""",156
"Cheshire School District","=""0250011""",4284
"Chester School District","=""0260011""",194
"Clinton School District","=""0270011""",1744
"Colchester School District","=""0280011""",2321
"Colebrook School District","=""0290011""",84
"Columbia School District","=""0300011""",437
"Common Ground High School District","=""2680013""",216
"Connecticut Technical Education and Career System","=""9000016""",10647
"Cooperative Educational Services","=""2430014""",839
"Cornwall School District","=""0310011""",91
"Coventry School District","=""0320011""",1649
"Cromwell School District","=""0330011""",1946
"Danbury School District","=""0340011""",11531
"Darien School District","=""0350011""",4769
"Deep River School District","=""0360011""",242
"Department of Mental Health and Addiction Services","=""""","*"
"Derby School District","=""0370011""",1308
"East Granby School District","=""0400011""",855
"East Haddam School District","=""0410011""",1009
"East Hampton School District","=""0420011""",1869
"East Hartford School District","=""0430011""",6836
"East Haven School District","=""0440011""",2896
"East Lyme School District","=""0450011""",2699
"East Windsor School District","=""0470011""",1107
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",429
"Eastford School District","=""0390011""",166
"Easton School District","=""0460011""",901
"EdAdvance","=""2420014""",278
"Ellington School District","=""0480011""",2735
"Elm City College Preparatory School District","=""2890013""",756
"Elm City Montessori School District","=""2910013""",199
"Enfield School District","=""0490011""",5100
"Essex School District","=""0500011""",335
"Explorations District","=""2720013""",88
"Fairfield School District","=""0510011""",9850
"Farmington School District","=""0520011""",4094
"Franklin School District","=""0530011""",154
"Glastonbury School District","=""0540011""",5898
"Granby School District","=""0560011""",1877
"Great Oaks Charter School District","=""2940013""",465
"Greenwich School District","=""0570011""",9099
"Griswold School District","=""0580011""",1776
"Groton School District","=""0590011""",4324
"Guilford School District","=""0600011""",3311
"Hamden School District","=""0620011""",5412
"Hampton School District","=""0630011""",93
"Hartford School District","=""0640011""",19767
"Hartland School District","=""0650011""",162
"Hebron School District","=""0670011""",664
"Highville Charter School District","=""2860013""",502
"Integrated Day Charter School District","=""2640013""",337
"Interdistrict School for Arts and Comm District","=""2650013""",278
"Jumoke Academy District","=""2610013""",717
"Kent School District","=""0680011""",213
"Killingly School District","=""0690011""",2501
"Learn","=""2450014""",2509
"Lebanon School District","=""0710011""",1005
"Ledyard School District","=""0720011""",2431
"Lisbon School District","=""0730011""",408
"Litchfield School District","=""0740011""",895
"Madison School District","=""0760011""",2737
"Manchester School District","=""0770011""",6251
"Mansfield School District","=""0780011""",1145
"Marlborough School District","=""0790011""",449
"Meriden School District","=""0800011""",7973
"Middletown School District","=""0830011""",4640
"Milford School District","=""0840011""",5635
"Monroe School District","=""0850011""",3118
"Montville School District","=""0860011""",2077
"Naugatuck School District","=""0880011""",4320
"New Beginnings Inc Family Academy District","=""2800013""",482
"New Britain School District","=""0890011""",10179
"New Canaan School District","=""0900011""",4173
"New Fairfield School District","=""0910011""",2246
"New Hartford School District","=""0920011""",446
"New Haven School District","=""0930011""",21264
"New London School District","=""0950011""",3555
"New Milford School District","=""0960011""",3991
"Newington School District","=""0940011""",4051
"Newtown School District","=""0970011""",4306
"Norfolk School District","=""0980011""",96
"North Branford School District","=""0990011""",1741
"North Canaan School District","=""1000011""",255
"North Haven School District","=""1010011""",3165
"North Stonington School District","=""1020011""",727
"Norwalk School District","=""1030011""",11501
"Norwich Free Academy District","=""9010022""",2256
"Norwich School District","=""1040011""",3621
"Odyssey Community School District","=""2630013""",329
"Old Saybrook School District","=""1060011""",1219
"Orange School District","=""1070011""",1181
"Oxford School District","=""1080011""",1799
"Park City Prep Charter School District","=""2830013""",360
"Plainfield School District","=""1090011""",2205
"Plainville School District","=""1100011""",2353
"Plymouth School District","=""1110011""",1429
"Pomfret School District","=""1120011""",381
"Portland School District","=""1130011""",1323
"Preston School District","=""1140011""",446
"Putnam School District","=""1160011""",1215
"Redding School District","=""1170011""",858
"Regional School District 01","=""2010012""",391
"Regional School District 04","=""2040012""",897
"Regional School District 05","=""2050012""",2186
"Regional School District 06","=""2060012""",912
"Regional School District 07","=""2070012""",1075
"Regional School District 08","=""2080012""",1456
"Regional School District 09","=""2090012""",889
"Regional School District 10","=""2100012""",2273
"Regional School District 11","=""2110012""",232
"Regional School District 12","=""2120012""",685
"Regional School District 13","=""2130012""",1617
"Regional School District 14","=""2140012""",1656
"Regional School District 15","=""2150012""",3628
"Regional School District 16","=""2160012""",2134
"Regional School District 17","=""2170012""",2026
"Regional School District 18","=""2180012""",1263
"Regional School District 19","=""2190012""",1150
"Ridgefield School District","=""1180011""",4860
"Rocky Hill School District","=""1190011""",2748
"Salem School District","=""1210011""",418
"Salisbury School District","=""1220011""",287
"Scotland School District","=""1230011""",105
"Seymour School District","=""1240011""",2178
"Sharon School District","=""1250011""",115
"Shelton School District","=""1260011""",4713
"Sherman School District","=""1270011""",279
"Side By Side Charter School District","=""2700013""",236
"Simsbury School District","=""1280011""",4080
"Somers School District","=""1290011""",1379
"South Windsor School District","=""1320011""",4370
"Southington School District","=""1310011""",6385
"Sprague School District","=""1330011""",320
"Stafford School District","=""1340011""",1511
"Stamford Academy District","=""2820013""",152
"Stamford Charter School for Excellence District","=""2960013""",339
"Stamford School District","=""1350011""",16053
"Sterling School District","=""1360011""",368
"Stonington School District","=""1370011""",2050
"Stratford School District","=""1380011""",6816
"Suffield School District","=""1390011""",2148
"The Bridge Academy District","=""2690013""",281
"The Gilbert School District","=""9020022""",511
"The Woodstock Academy District","=""9030022""",1098
"Thomaston School District","=""1400011""",853
"Thompson School District","=""1410011""",994
"Tolland School District","=""1420011""",2392
"Torrington School District","=""1430011""",3912
"Trailblazers Academy District","=""2780013""",127
"Trumbull School District","=""1440011""",6744
"Unified School District #1","=""3360015""",156
"Unified School District #2","=""3470015""",109
"Union School District","=""1450011""","*"
"Vernon School District","=""1460011""",3137
"Voluntown School District","=""1470011""",268
"Wallingford School District","=""1480011""",5770
"Waterbury School District","=""1510011""",18847
"Waterford School District","=""1520011""",2519
"Watertown School District","=""1530011""",2754
"West Hartford School District","=""1550011""",9654
"West Haven School District","=""1560011""",5916
"Westbrook School District","=""1540011""",678
"Weston School District","=""1570011""",2322
"Westport School District","=""1580011""",5539
"Wethersfield School District","=""1590011""",3620
"Willington School District","=""1600011""",430
"Wilton School District","=""1610011""",3955
"Winchester School District","=""1620011""",554
"Windham School District","=""1630011""",3377
"Windsor Locks School District","=""1650011""",1570
"Windsor School District","=""1640011""",3297
"Wolcott School District","=""1660011""",2244
"Woodbridge School District","=""1670011""",847
"Woodstock School District","=""1690011""",841
"Total","=""""",530612

