"Student Counts by District and English Learner Status"
"All Districts"
"2014-15"

"",,"English Learner Status",,
"District","District Code","Not English Learner/Multilingual Learner","English Learner/Multilingual Learner","Total"
"Achievement First Bridgeport Academy District","=""2850013""",868,109,977
"Achievement First Hartford Academy District","=""2880013""",899,55,954
"Amistad Academy District","=""2790013""",869,115,984
"Andover School District","=""0010011""","*","*",275
"Ansonia School District","=""0020011""",2343,72,2415
"Area Cooperative Educational Services","=""2440014""",1883,56,1939
"Ashford School District","=""0030011""",410,7,417
"Avon School District","=""0040011""",3255,77,3332
"Barkhamsted School District","=""0050011""",317,0,317
"Berlin School District","=""0070011""",2842,67,2909
"Bethany School District","=""0080011""","*","*",407
"Bethel School District","=""0090011""",2848,91,2939
"Bloomfield School District","=""0110011""",2079,36,2115
"Bolton School District","=""0120011""",840,7,847
"Booker T. Washington Academy District","=""2950013""",91,0,91
"Bozrah School District","=""0130011""","*","*",211
"Branford School District","=""0140011""",2991,117,3108
"Brass City Charter School District","=""2900013""","*","*",150
"Bridgeport School District","=""0150011""",18286,2958,21244
"Bristol School District","=""0170011""",7879,354,8233
"Brookfield School District","=""0180011""",2665,54,2719
"Brooklyn School District","=""0190011""",912,8,920
"Canaan School District","=""0210011""",71,7,78
"Canterbury School District","=""0220011""",477,0,477
"Canton School District","=""0230011""",1611,18,1629
"Capitol Region Education Council","=""2410014""",7828,338,8166
"Chaplin School District","=""0240011""","*","*",178
"Cheshire School District","=""0250011""",4501,50,4551
"Chester School District","=""0260011""","*","*",219
"Clinton School District","=""0270011""",1817,71,1888
"Colchester School District","=""0280011""",2635,19,2654
"Colebrook School District","=""0290011""",91,0,91
"Columbia School District","=""0300011""",458,0,458
"Common Ground High School District","=""2680013""","*","*",180
"Connecticut Technical Education and Career System","=""9000016""",10430,360,10790
"Cooperative Educational Services","=""2430014""",849,0,849
"Cornwall School District","=""0310011""","*","*",91
"Coventry School District","=""0320011""",1641,10,1651
"Cromwell School District","=""0330011""",1932,52,1984
"Danbury School District","=""0340011""",8522,2423,10945
"Darien School District","=""0350011""",4907,25,4932
"Deep River School District","=""0360011""",307,9,316
"Department of Mental Health and Addiction Services","=""""",7,0,7
"Derby School District","=""0370011""",1391,76,1467
"East Granby School District","=""0400011""",876,10,886
"East Haddam School District","=""0410011""",1143,0,1143
"East Hampton School District","=""0420011""",1825,10,1835
"East Hartford School District","=""0430011""",6371,689,7060
"East Haven School District","=""0440011""",2786,225,3011
"East Lyme School District","=""0450011""",2796,43,2839
"East Windsor School District","=""0470011""",1107,31,1138
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",401,10,411
"Eastford School District","=""0390011""",139,0,139
"Easton School District","=""0460011""",929,7,936
"EdAdvance","=""2420014""",250,0,250
"Ellington School District","=""0480011""",2617,41,2658
"Elm City College Preparatory School District","=""2890013""",602,33,635
"Elm City Montessori School District","=""2910013""","*","*",70
"Enfield School District","=""0490011""",5079,95,5174
"Essex School District","=""0500011""","*","*",454
"Explorations District","=""2720013""",88,0,88
"Fairfield School District","=""0510011""",10004,209,10213
"Farmington School District","=""0520011""",3908,112,4020
"Franklin School District","=""0530011""",170,0,170
"Glastonbury School District","=""0540011""",6063,85,6148
"Granby School District","=""0560011""",1960,10,1970
"Great Oaks Charter School District","=""2940013""",112,15,127
"Greenwich School District","=""0570011""",8242,571,8813
"Griswold School District","=""0580011""",1882,15,1897
"Groton School District","=""0590011""",4460,105,4565
"Guilford School District","=""0600011""",3387,40,3427
"Hamden School District","=""0620011""",5408,272,5680
"Hampton School District","=""0630011""",105,0,105
"Hartford School District","=""0640011""",18086,3866,21952
"Hartland School District","=""0650011""",203,0,203
"Hebron School District","=""0670011""","*","*",786
"Highville Charter School District","=""2860013""",403,0,403
"Integrated Day Charter School District","=""2640013""",306,25,331
"Interdistrict School for Arts and Comm District","=""2650013""",231,31,262
"Jumoke Academy District","=""2610013""",716,0,716
"Kent School District","=""0680011""","*","*",258
"Killingly School District","=""0690011""",2501,76,2577
"Learn","=""2450014""",2162,108,2270
"Lebanon School District","=""0710011""","*","*",1105
"Ledyard School District","=""0720011""",2518,22,2540
"Lisbon School District","=""0730011""","*","*",403
"Litchfield School District","=""0740011""","*","*",983
"Madison School District","=""0760011""",3152,19,3171
"Manchester School District","=""0770011""",5879,388,6267
"Mansfield School District","=""0780011""",1190,52,1242
"Marlborough School District","=""0790011""","*","*",600
"Meriden School District","=""0800011""",6950,1150,8100
"Middletown School District","=""0830011""",4618,176,4794
"Milford School District","=""0840011""",6125,153,6278
"Monroe School District","=""0850011""",3285,14,3299
"Montville School District","=""0860011""",2262,94,2356
"Naugatuck School District","=""0880011""",4166,150,4316
"New Beginnings Inc Family Academy District","=""2800013""","*","*",473
"New Britain School District","=""0890011""",8368,1733,10101
"New Canaan School District","=""0900011""",4174,39,4213
"New Fairfield School District","=""0910011""",2626,36,2662
"New Hartford School District","=""0920011""","*","*",506
"New Haven School District","=""0930011""",18632,3080,21712
"New London School District","=""0950011""",2521,732,3253
"New Milford School District","=""0960011""",4235,127,4362
"Newington School District","=""0940011""",3941,186,4127
"Newtown School District","=""0970011""",4754,13,4767
"Norfolk School District","=""0980011""",116,0,116
"North Branford School District","=""0990011""",1951,18,1969
"North Canaan School District","=""1000011""",273,7,280
"North Haven School District","=""1010011""",3237,75,3312
"North Stonington School District","=""1020011""","*","*",741
"Norwalk School District","=""1030011""",9739,1572,11311
"Norwich Free Academy District","=""9010022""",2150,167,2317
"Norwich School District","=""1040011""",3270,494,3764
"Odyssey Community School District","=""2630013""",328,0,328
"Old Saybrook School District","=""1060011""",1400,25,1425
"Orange School District","=""1070011""",1136,44,1180
"Oxford School District","=""1080011""",1954,25,1979
"Park City Prep Charter School District","=""2830013""","*","*",360
"Path Academy District","=""2930013""",99,33,132
"Plainfield School District","=""1090011""",2328,23,2351
"Plainville School District","=""1100011""",2307,105,2412
"Plymouth School District","=""1110011""",1544,12,1556
"Pomfret School District","=""1120011""",410,0,410
"Portland School District","=""1130011""",1318,16,1334
"Preston School District","=""1140011""",417,9,426
"Putnam School District","=""1160011""",1216,36,1252
"Redding School District","=""1170011""",988,13,1001
"Regional School District 01","=""2010012""","*","*",406
"Regional School District 04","=""2040012""",968,6,974
"Regional School District 05","=""2050012""",2311,17,2328
"Regional School District 06","=""2060012""",963,8,971
"Regional School District 07","=""2070012""",1076,0,1076
"Regional School District 08","=""2080012""","*","*",1661
"Regional School District 09","=""2090012""","*","*",1065
"Regional School District 10","=""2100012""",2458,26,2484
"Regional School District 11","=""2110012""","*","*",278
"Regional School District 12","=""2120012""","*","*",752
"Regional School District 13","=""2130012""",1824,8,1832
"Regional School District 14","=""2140012""",1780,23,1803
"Regional School District 15","=""2150012""",3825,43,3868
"Regional School District 16","=""2160012""",2306,23,2329
"Regional School District 17","=""2170012""","*","*",2186
"Regional School District 18","=""2180012""",1346,8,1354
"Regional School District 19","=""2190012""",1188,16,1204
"Ridgefield School District","=""1180011""",5103,75,5178
"Rocky Hill School District","=""1190011""",2356,131,2487
"Salem School District","=""1210011""","*","*",399
"Salisbury School District","=""1220011""","*","*",273
"Scotland School District","=""1230011""",129,0,129
"Seymour School District","=""1240011""",2214,72,2286
"Sharon School District","=""1250011""","*","*",177
"Shelton School District","=""1260011""",4757,190,4947
"Sherman School District","=""1270011""","*","*",349
"Side By Side Charter School District","=""2700013""",220,15,235
"Simsbury School District","=""1280011""",4262,45,4307
"Somers School District","=""1290011""","*","*",1480
"South Windsor School District","=""1320011""",4059,157,4216
"Southington School District","=""1310011""",6524,102,6626
"Sprague School District","=""1330011""","*","*",366
"Stafford School District","=""1340011""","*","*",1586
"Stamford Academy District","=""2820013""",141,0,141
