"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2025-26"

"",,"Free/Reduced Lunch Eligibility",,,
"District","District Code","Free","Non-Subsidized","Reduced","Total"
"Achievement First Bridgeport Academy District","=""2850013""",728,202,124,1054
"Achievement First Hartford Academy District","=""2880013""",700,135,80,915
"Amistad Academy District","=""2790013""",780,195,114,1089
"Andover School District","=""0010011""",55,179,11,245
"Ansonia School District","=""0020011""",1299,856,235,2390
"Area Cooperative Educational Services","=""2440014""",714,870,118,1702
"Ashford School District","=""0030011""",126,217,27,370
"Avon School District","=""0040011""",331,2593,57,2981
"Barkhamsted School District","=""0050011""",39,190,13,242
"Berlin School District","=""0070011""",674,1869,36,2579
"Bethany School District","=""0080011""","*",371,"*",433
"Bethel School District","=""0090011""",887,1979,259,3125
"Bloomfield School District","=""0110011""",734,923,113,1770
"Bolton School District","=""0120011""",123,527,13,663
"Booker T. Washington Academy District","=""2950013""",369,"*","*",417
"Bozrah School District","=""0130011""",57,112,14,183
"Branford School District","=""0140011""",728,1569,183,2480
"Brass City Charter School District","=""2900013""",228,138,34,400
"Bridgeport School District","=""0150011""",15506,2142,1732,19380
"Bristol School District","=""0170011""",3311,3687,599,7597
"Brookfield School District","=""0180011""",464,1913,132,2509
"Brooklyn School District","=""0190011""",252,536,44,832
"Canaan School District","=""0210011""",16,49,6,71
"Canterbury School District","=""0220011""",129,328,38,495
"Canton School District","=""0230011""",217,1164,48,1429
"Capital Preparatory Harbor School District","=""2970013""",488,227,57,772
"Capitol Region Education Council","=""2410014""",4931,3439,748,9118
"Chaplin School District","=""0240011""",49,96,0,145
"Cheshire School District","=""0250011""",570,3574,204,4348
"Chester School District","=""0260011""",35,150,9,194
"Clinton School District","=""0270011""",442,825,112,1379
"Colchester School District","=""0280011""",402,1593,75,2070
"Colebrook School District","=""0290011""","*",39,"*",59
"Columbia School District","=""0300011""",75,339,22,436
"Common Ground High School District","=""2680013""",127,77,15,219
"Connecticut Technical Education and Career System","=""9000016""",4713,5896,1003,11612
"Cooperative Educational Services","=""2430014""",222,449,82,753
"Cornwall School District","=""0310011""","*",68,"*",94
"Coventry School District","=""0320011""",344,1183,92,1619
"Cromwell School District","=""0330011""",373,1325,91,1789
"Danbury School District","=""0340011""",5076,5096,1278,11450
"Darien School District","=""0350011""",74,4494,13,4581
"Deep River School District","=""0360011""",39,130,11,180
"Department of Mental Health and Addiction Services","=""""","*",0,0,"*"
"Derby School District","=""0370011""",201,980,50,1231
"East Granby School District","=""0400011""",154,699,0,853
"East Haddam School District","=""0410011""",209,689,36,934
"East Hampton School District","=""0420011""",329,1217,85,1631
"East Hartford School District","=""0430011""",3231,2393,547,6171
"East Haven School District","=""0440011""",1328,1140,321,2789
"East Lyme School District","=""0450011""",489,1816,142,2447
"East Windsor School District","=""0470011""",461,448,83,992
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",159,181,19,359
"Eastford School District","=""0390011""",33,130,0,163
"Easton School District","=""0460011""",63,825,22,910
"EdAdvance","=""2420014""",188,61,8,257
"Edmonds Cofield Preparatory Academy for Young Men, Inc. District","=""""","*","*",0,45
"Ellington School District","=""0480011""",468,1917,130,2515
"Elm City College Preparatory School District","=""2890013""",564,112,82,758
"Elm City Montessori School District","=""2910013""",112,194,11,317
"Enfield School District","=""0490011""",1818,2418,353,4589
"Essex School District","=""0500011""",61,235,11,307
"Explorations District","=""2720013""",46,25,11,82
"Fairfield School District","=""0510011""",1293,7387,332,9012
"Farmington School District","=""0520011""",622,3296,173,4091
"Franklin School District","=""0530011""",33,152,10,195
"Glastonbury School District","=""0540011""",706,4751,174,5631
"Goodwin University Educational Services (GUES)","=""2310018""",765,473,126,1364
"Granby School District","=""0560011""",248,1375,73,1696
"Great Oaks Charter School District","=""2940013""",455,159,47,661
"Greenwich School District","=""0570011""",1177,6724,412,8313
"Griswold School District","=""0580011""",831,833,154,1818
"Groton School District","=""0590011""",1412,2027,381,3820
"Guilford School District","=""0600011""",311,2617,72,3000
"Hamden School District","=""0620011""",2214,2764,372,5350
"Hampton School District","=""0630011""",22,42,7,71
"Hartford School District","=""0640011""",11496,3555,512,15563
"Hartland School District","=""0650011""","*",91,"*",116
"Hebron School District","=""0670011""",101,565,23,689
"Highville Charter School District","=""2860013""",274,188,45,507
"Integrated Day Charter School District","=""2640013""",159,165,40,364
"Interdistrict School for Arts and Comm District","=""2650013""",166,125,39,330
"Jumoke Academy District","=""2610013""",369,203,49,621
"Kent School District","=""0680011""",33,137,15,185
"Killingly School District","=""0690011""",889,1240,193,2322
"Learn","=""2450014""",704,562,133,1399
"Lebanon School District","=""0710011""",212,666,48,926
"Ledyard School District","=""0720011""",473,1726,103,2302
"Lisbon School District","=""0730011""",115,257,29,401
"Madison School District","=""0760011""",57,2353,54,2464
"Manchester School District","=""0770011""",3237,2187,489,5913
"Mansfield School District","=""0780011""",257,613,69,939
"Marlborough School District","=""0790011""",73,362,27,462
"Meriden School District","=""0800011""",5433,1817,1131,8381
"Middletown School District","=""0830011""",1823,2275,246,4344
"Milford School District","=""0840011""",1175,3656,339,5170
"Monroe School District","=""0850011""",343,2961,109,3413
"Montville School District","=""0860011""",680,1027,166,1873
"Naugatuck School District","=""0880011""",1892,1704,385,3981
"New Beginnings Inc Family Academy District","=""2800013""",285,118,31,434
"New Britain School District","=""0890011""",6628,2474,795,9897
"New Canaan School District","=""0900011""",0,4029,0,4029
"New Fairfield School District","=""0910011""",302,1681,112,2095
"New Hartford School District","=""0920011""",62,356,19,437
"New Haven School District","=""0930011""",12032,4227,1578,17837
"New London School District","=""0950011""",2087,452,328,2867
"New Milford School District","=""0960011""",985,2189,272,3446
"Newington School District","=""0940011""",1095,2398,334,3827
"Newtown School District","=""0970011""",469,3280,132,3881
"Norfolk School District","=""0980011""","*",39,"*",55
"North Branford School District","=""0990011""",291,1192,65,1548
"North Canaan School District","=""1000011""",80,139,17,236
"North Haven School District","=""1010011""",556,2415,164,3135
"North Stonington School District","=""1020011""",108,599,25,732
"Norwalk School District","=""1030011""",5096,5060,1136,11292
"Norwich Free Academy District","=""9010022""",1052,724,228,2004
"Norwich School District","=""1040011""",2172,721,363,3256
"Odyssey Community School District","=""2630013""",140,238,42,420
