"Student Counts by District and Race"
"All Districts"
"2009-10"

"",,"Race",,,,,,
"District","District Code","Black, not of Hispanic Origin","Hispanic/Latino","White, not of Hispanic Origin","Total","American Indian","Asian","Not Reported"
"Achievement First Bridgeport Academy District","=""2850013""",136,"*","*",238,0,0,0
"Achievement First Hartford Academy District","=""2880013""",389,45,"*",440,"*","*",0
"Amistad Academy District","=""2790013""",470,257,14,744,"*","*","*"
"Andover School District","=""0010011""",6,"*",320,336,0,"*",0
"Ansonia School District","=""0020011""",585,610,1469,2738,12,62,0
"Area Cooperative Educational Services","=""2440014""",634,539,815,2076,7,81,0
"Ashford School District","=""0030011""","*",26,433,478,"*",10,0
"Avon School District","=""0040011""",105,153,3002,3598,8,330,0
"Barkhamsted School District","=""0050011""","*",8,347,367,"*",6,0
"Berlin School District","=""0070011""",47,95,2889,3169,9,129,0
"Bethany School District","=""0080011""",9,"*",466,516,"*",31,0
"Bethel School District","=""0090011""","*",323,2453,3053,"*",205,0
"Bloomfield School District","=""0110011""",1875,169,206,2298,7,41,0
"Bolton School District","=""0120011""",42,20,808,888,"*","*",0
"Bozrah School District","=""0130011""","*",10,236,258,0,"*",0
"Branford School District","=""0140011""",121,218,2930,3534,9,256,0
"Bridgeport School District","=""0150011""",8219,9730,1751,20307,28,579,0
"Bristol School District","=""0170011""",678,1379,6451,8753,"*",230,"*"
"Brookfield School District","=""0180011""","*",112,2632,2906,"*",129,0
"Brooklyn School District","=""0190011""","*",29,898,972,"*",22,0
"Canaan School District","=""0210011""",0,"*",91,95,"*",0,0
"Canterbury School District","=""0220011""",13,18,509,556,7,9,0
"Canton School District","=""0230011""",49,58,1616,1775,"*","*",0
"Capitol Region Education Council","=""2410014""",1411,962,1367,3948,20,188,0
"Chaplin School District","=""0240011""","*",13,154,173,"*","*",0
"Charter School for Young Children on Asylum Hill District","=""2870013""",83,50,48,185,"*","*",0
"Cheshire School District","=""0250011""",93,170,4280,4971,9,419,0
"Chester School District","=""0260011""","*",8,281,299,0,"*",0
"Clinton School District","=""0270011""","*",134,1811,2035,"*",59,0
"Colchester School District","=""0280011""",106,130,2901,3228,26,65,0
"Colebrook School District","=""0290011""","*",0,109,119,"*","*",0
"Columbia School District","=""0300011""","*",18,533,560,"*","*",0
"Common Ground High School District","=""2680013""",68,59,"*",160,0,"*",0
"Connecticut Technical Education and Career System","=""9000016""",1517,2878,5901,10469,79,94,0
"Cooperative Educational Services","=""2430014""",244,197,309,778,"*","*",0
"Cornwall School District","=""0310011""","*","*",112,122,0,6,0
"Coventry School District","=""0320011""",36,48,1816,1920,"*","*",0
"Cromwell School District","=""0330011""",180,127,1657,2068,6,98,0
"Danbury School District","=""0340011""",1019,3666,4930,10483,"*",857,"*"
"Darien School District","=""0350011""",38,90,4531,4791,13,119,0
"Deep River School District","=""0360011""",7,25,312,351,"*","*",0
"Department of Mental Health and Addiction Services","=""""",0,0,"*","*",0,0,0
"Derby School District","=""0370011""",238,327,864,1474,"*","*",0
"East Granby School District","=""0400011""",48,32,789,907,6,32,0
"East Haddam School District","=""0410011""",16,39,1334,1405,"*","*",0
"East Hampton School District","=""0420011""","*",64,1890,2034,"*",45,0
"East Hartford School District","=""0430011""",2608,2797,1415,7280,25,435,0
"East Haven School District","=""0440011""",111,523,2748,3546,10,154,0
"East Lyme School District","=""0450011""",68,106,2647,3113,14,278,0
"East Windsor School District","=""0470011""",218,129,964,1397,"*","*",0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","*",23,175,208,"*",0,0
"Eastford School District","=""0390011""","*","*",160,171,"*","*",0
"Easton School District","=""0460011""",10,38,1014,1114,0,52,0
"EdAdvance","=""2420014""",11,53,130,200,"*","*",0
"Ellington School District","=""0480011""",95,82,2372,2675,10,116,0
"Elm City College Preparatory School District","=""2890013""",428,112,"*",547,"*",0,0
"Enfield School District","=""0490011""",516,380,5071,6119,15,137,0
"Essex School District","=""0500011""",17,16,540,593,0,20,0
"Explorations District","=""2720013""","*","*",75,80,0,"*",0
"Fairfield School District","=""0510011""",272,653,8638,10134,7,564,0
"Farmington School District","=""0520011""",219,177,3308,4169,7,458,0
"Franklin School District","=""0530011""","*",8,203,225,"*",6,0
"Glastonbury School District","=""0540011""",268,307,5642,6846,24,605,0
"Granby School District","=""0560011""",105,44,2107,2294,9,29,0
"Greenwich School District","=""0570011""",261,1275,6526,8863,11,790,0
"Griswold School District","=""0580011""",64,91,1828,2068,39,46,0
"Groton School District","=""0590011""",713,561,3301,5063,97,391,0
"Guilford School District","=""0600011""","*",168,3368,3736,"*",154,0
"Hamden School District","=""0620011""",1936,807,2811,5997,8,435,0
"Hampton School District","=""0630011""",0,10,130,143,"*","*",0
"Hartford School District","=""0640011""",8237,11294,1572,21552,"*",406,"*"
"Hartland School District","=""0650011""","*","*",215,229,"*",6,0
"Hebron School District","=""0670011""","*",18,1123,1172,"*",21,0
"Highville Charter School District","=""2860013""",277,"*","*",303,0,0,0
"Integrated Day Charter School District","=""2640013""",46,33,228,330,"*","*",0
"Interdistrict School for Arts and Comm District","=""2650013""","*",67,61,182,0,"*",0
"Jumoke Academy District","=""2610013""",418,13,"*",434,0,"*",0
"Kent School District","=""0680011""",6,21,239,282,0,16,0
"Killingly School District","=""0690011""",98,111,2420,2708,25,54,0
"Learn","=""2450014""",202,308,526,1121,"*",67,"*"
"Lebanon School District","=""0710011""",17,44,1364,1457,19,13,0
"Ledyard School District","=""0720011""",154,187,2091,2682,121,129,0
"Lisbon School District","=""0730011""","*",13,520,569,"*",21,0
"Litchfield School District","=""0740011""",6,37,1129,1207,7,28,0
"Madison School District","=""0760011""",33,52,3459,3695,12,139,0
"Manchester School District","=""0770011""",1606,1497,3282,6941,"*",520,"*"
"Mansfield School District","=""0780011""",48,77,1022,1275,6,122,0
"Marlborough School District","=""0790011""",12,25,601,669,0,31,0
"Meriden School District","=""0800011""",1143,3788,3296,8463,"*",211,"*"
"Middletown School District","=""0830011""",1286,681,2958,5239,18,296,0
"Milford School District","=""0840011""",311,403,5898,7147,26,509,0
"Monroe School District","=""0850011""",82,150,3528,3899,13,126,0
"Montville School District","=""0860011""",149,163,2050,2698,"*",240,"*"
"Naugatuck School District","=""0880011""",459,632,3578,4893,"*",205,"*"
