"Student Counts by District and Race"
"All Districts"
"2022-23"

"",,"Race",,,,,,,
"District","District Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Achievement First Bridgeport Academy District","=""2850013""","*",10,556,484,"*",9,21,1084
"Achievement First Hartford Academy District","=""2880013""",11,"*",780,229,0,17,"*",1041
"Amistad Academy District","=""2790013""","*","*",673,396,0,21,15,1116
"Andover School District","=""0010011""",0,0,"*",25,0,"*",165,197
"Ansonia School District","=""0020011""","*",50,484,1081,"*",120,589,2332
"Area Cooperative Educational Services","=""2440014""","*",38,582,571,"*",97,443,1740
"Ashford School District","=""0030011""",0,8,8,32,0,15,305,368
"Avon School District","=""0040011""","*",587,172,241,"*",136,1960,3106
"Barkhamsted School District","=""0050011""",0,0,"*","*",0,12,187,209
"Berlin School District","=""0070011""","*",106,73,331,"*",77,2090,2682
"Bethany School District","=""0080011""","*",36,10,37,0,"*",338,429
"Bethel School District","=""0090011""",42,238,143,800,13,118,1869,3223
"Bloomfield School District","=""0110011""","*",45,1386,342,"*",92,180,2055
"Bolton School District","=""0120011""",0,14,40,75,0,37,568,734
"Booker T. Washington Academy District","=""2950013""","*",0,363,68,0,8,"*",444
"Bozrah School District","=""0130011""",0,"*","*",26,0,13,128,170
"Branford School District","=""0140011""","*",171,104,420,"*",140,1811,2651
"Brass City Charter School District","=""2900013""",0,12,118,189,0,23,18,360
"Bridgeport School District","=""0150011""",99,386,5628,11106,21,372,1725,19337
"Bristol School District","=""0170011""","*",254,595,2854,"*",441,3627,7784
"Brookfield School District","=""0180011""","*",189,74,397,"*",30,1851,2563
"Brooklyn School District","=""0190011""","*",19,"*",103,0,48,714,903
"Canaan School District","=""0210011""",0,0,0,"*",0,"*",64,72
"Canterbury School District","=""0220011""",0,"*","*",52,0,10,409,474
"Canton School District","=""0230011""",0,"*",101,120,"*",45,1226,1528
"Capital Preparatory Harbor School District","=""2970013""","*","*",518,240,"*","*","*",772
"Capitol Region Education Council","=""2410014""","*",433,2770,3814,"*",503,1402,8942
"Chaplin School District","=""0240011""",0,"*","*",12,0,7,119,144
"Cheshire School District","=""0250011""","*",394,146,376,"*",135,3153,4208
"Chester School District","=""0260011""",0,"*",0,13,0,"*",200,222
"Clinton School District","=""0270011""","*",50,"*",333,0,29,1070,1497
"Colchester School District","=""0280011""","*",44,43,202,"*",110,1831,2235
"Colebrook School District","=""0290011""",0,"*",0,"*",0,"*",67,72
"Columbia School District","=""0300011""","*","*","*",50,0,17,389,464
"Common Ground High School District","=""2680013""",0,"*",68,104,"*",6,46,226
"Connecticut Technical Education and Career System","=""9000016""",29,96,1339,4695,10,590,4424,11183
"Cooperative Educational Services","=""2430014""","*",37,184,329,"*",41,226,822
"Cornwall School District","=""0310011""",0,6,"*",7,"*",0,78,94
"Coventry School District","=""0320011""","*",18,13,131,"*",62,1427,1657
"Cromwell School District","=""0330011""","*",113,128,259,"*",104,1339,1947
"Danbury School District","=""0340011""","*",592,803,7549,"*",412,2725,12109
"Darien School District","=""0350011""","*",293,31,333,"*",215,3823,4700
"Deep River School District","=""0360011""","*","*","*",22,"*","*",161,192
"Department of Mental Health and Addiction Services","=""""",0,0,"*",0,0,0,0,"*"
"Derby School District","=""0370011""",0,"*",265,541,"*",83,400,1317
"East Granby School District","=""0400011""","*",61,67,57,"*",36,641,864
"East Haddam School District","=""0410011""","*",15,"*",87,"*",27,854,990
"East Hampton School District","=""0420011""","*",21,20,128,"*",62,1537,1770
"East Hartford School District","=""0430011""",18,254,1913,3305,13,222,667,6392
"East Haven School District","=""0440011""","*","*",169,1164,0,99,1355,2885
"East Lyme School District","=""0450011""","*",249,43,245,"*",156,1914,2617
"East Windsor School District","=""0470011""","*",63,140,246,"*",71,508,1030
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",0,0,"*",72,"*",33,283,404
"Eastford School District","=""0390011""",0,0,"*","*",0,13,128,154
"Easton School District","=""0460011""",0,70,"*",74,"*",37,694,903
"EdAdvance","=""2420014""","*","*",19,100,0,15,135,277
"Ellington School District","=""0480011""","*",303,107,199,0,"*",1886,2586
"Elm City College Preparatory School District","=""2890013""","*","*",497,250,0,16,18,783
"Elm City Montessori School District","=""2910013""",0,8,70,89,0,25,106,298
"Enfield School District","=""0490011""","*",126,332,1061,"*",297,3086,4913
"Essex School District","=""0500011""",0,"*","*",25,0,13,261,301
"Explorations District","=""2720013""",0,"*","*",14,0,"*",72,93
"Fairfield School District","=""0510011""","*",571,273,1237,"*",485,6805,9379
"Farmington School District","=""0520011""","*",1019,198,468,"*",248,2205,4147
"Franklin School District","=""0530011""","*","*","*",19,0,12,148,187
"Glastonbury School District","=""0540011""",6,781,190,665,0,353,3668,5663
"Goodwin University Educational Services (GUES)","=""2310018""","*",29,345,548,"*",64,150,1140
"Granby School District","=""0560011""","*","*",104,101,0,49,1435,1738
"Great Oaks Charter School District","=""2940013""","*","*",288,340,"*",7,22,664
"Greenwich School District","=""0570011""","*",731,180,1963,"*",528,5143,8560
"Griswold School District","=""0580011""","*",28,48,234,"*",126,1277,1725
"Groton School District","=""0590011""",29,239,313,993,18,520,1992,4104
"Guilford School District","=""0600011""",0,147,"*",292,"*",179,2495,3155
"Hamden School District","=""0620011""","*",383,1753,1436,"*",333,1553,5468
"Hampton School District","=""0630011""",0,"*",0,6,0,"*",56,67
"Hartford School District","=""0640011""",66,768,4843,9455,27,446,1169,16774
"Hartland School District","=""0650011""",0,0,"*","*",0,10,97,116
"Hebron School District","=""0670011""","*",13,"*",36,0,18,615,696
"Highville Charter School District","=""2860013""","*",0,431,59,0,9,"*",505
"Integrated Day Charter School District","=""2640013""","*",48,38,82,0,"*",156,361
"Interdistrict School for Arts and Comm District","=""2650013""","*","*",51,171,0,18,36,281
"Jumoke Academy District","=""2610013""","*","*",582,37,0,"*",6,629
"Kent School District","=""0680011""",0,"*","*",19,0,10,160,194
"Killingly School District","=""0690011""","*",56,48,279,"*",164,1893,2450
"Learn","=""2450014""","*",36,129,511,"*",168,560,1410
"Lebanon School District","=""0710011""","*",9,9,84,"*",17,827,958
"Ledyard School District","=""0720011""",74,90,101,297,17,133,1709,2421
"Lisbon School District","=""0730011""","*","*","*",64,0,22,341,437
"Litchfield School District","=""0740011""","*",14,7,64,"*",12,710,813
