"Student Counts by District and Special Education Status"
"All Districts"
"2025-26"

"",,"Special Education Status",,
"District","District Code","Students without Disabilities","Students with Disabilities","Total"
"Achievement First Bridgeport Academy District","=""2850013""",901,153,1054
"Achievement First Hartford Academy District","=""2880013""",778,137,915
"Amistad Academy District","=""2790013""",976,113,1089
"Andover School District","=""0010011""",216,29,245
"Ansonia School District","=""0020011""",1958,432,2390
"Area Cooperative Educational Services","=""2440014""",878,824,1702
"Ashford School District","=""0030011""",307,63,370
"Avon School District","=""0040011""",2579,402,2981
"Barkhamsted School District","=""0050011""",173,69,242
"Berlin School District","=""0070011""",2136,443,2579
"Bethany School District","=""0080011""",336,97,433
"Bethel School District","=""0090011""",2569,556,3125
"Bloomfield School District","=""0110011""",1368,402,1770
"Bolton School District","=""0120011""",583,80,663
"Booker T. Washington Academy District","=""2950013""",379,38,417
"Bozrah School District","=""0130011""",148,35,183
"Branford School District","=""0140011""",2095,385,2480
"Brass City Charter School District","=""2900013""",345,55,400
"Bridgeport School District","=""0150011""",15214,4166,19380
"Bristol School District","=""0170011""",5923,1674,7597
"Brookfield School District","=""0180011""",2129,380,2509
"Brooklyn School District","=""0190011""",640,192,832
"Canaan School District","=""0210011""",58,13,71
"Canterbury School District","=""0220011""",428,67,495
"Canton School District","=""0230011""",1129,300,1429
"Capital Preparatory Harbor School District","=""2970013""",692,80,772
"Capitol Region Education Council","=""2410014""",6993,2125,9118
"Chaplin School District","=""0240011""",112,33,145
"Cheshire School District","=""0250011""",3675,673,4348
"Chester School District","=""0260011""",168,26,194
"Clinton School District","=""0270011""",1117,262,1379
"Colchester School District","=""0280011""",1698,372,2070
"Colebrook School District","=""0290011""",44,15,59
"Columbia School District","=""0300011""",356,80,436
"Common Ground High School District","=""2680013""",142,77,219
"Connecticut Technical Education and Career System","=""9000016""",9545,2067,11612
"Cooperative Educational Services","=""2430014""",450,303,753
"Cornwall School District","=""0310011""",83,11,94
"Coventry School District","=""0320011""",1364,255,1619
"Cromwell School District","=""0330011""",1514,275,1789
"Danbury School District","=""0340011""",9716,1734,11450
"Darien School District","=""0350011""",3634,947,4581
"Deep River School District","=""0360011""",151,29,180
"Department of Mental Health and Addiction Services","=""""",0,"*","*"
"Derby School District","=""0370011""",924,307,1231
"East Granby School District","=""0400011""",728,125,853
"East Haddam School District","=""0410011""",795,139,934
"East Hampton School District","=""0420011""",1294,337,1631
"East Hartford School District","=""0430011""",4678,1493,6171
"East Haven School District","=""0440011""",2206,583,2789
"East Lyme School District","=""0450011""",1927,520,2447
"East Windsor School District","=""0470011""",789,203,992
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",215,144,359
"Eastford School District","=""0390011""",125,38,163
"Easton School District","=""0460011""",718,192,910
"EdAdvance","=""2420014""",159,98,257
"Edmonds Cofield Preparatory Academy for Young Men, Inc. District","=""""",35,10,45
"Ellington School District","=""0480011""",2063,452,2515
"Elm City College Preparatory School District","=""2890013""",670,88,758
"Elm City Montessori School District","=""2910013""",261,56,317
"Enfield School District","=""0490011""",3576,1013,4589
"Essex School District","=""0500011""",223,84,307
"Explorations District","=""2720013""",52,30,82
"Fairfield School District","=""0510011""",7188,1824,9012
"Farmington School District","=""0520011""",3543,548,4091
"Franklin School District","=""0530011""",172,23,195
"Glastonbury School District","=""0540011""",4834,797,5631
"Goodwin University Educational Services (GUES)","=""2310018""",1121,243,1364
"Granby School District","=""0560011""",1389,307,1696
"Great Oaks Charter School District","=""2940013""",542,119,661
"Greenwich School District","=""0570011""",6976,1337,8313
"Griswold School District","=""0580011""",1436,382,1818
"Groton School District","=""0590011""",3023,797,3820
"Guilford School District","=""0600011""",2499,501,3000
"Hamden School District","=""0620011""",4243,1107,5350
