district_code,district,fiscal_year,adm,nce,ncep,source
1,Andover,2008,642.14,7139312.0,11118.0,ncep_2007-08.pdf
2,Ansonia,2008,2867.43,29566938.0,10311.0,ncep_2007-08.pdf
3,Ashford,2008,710.79,9967732.0,14023.0,ncep_2007-08.pdf
4,Avon,2008,3596.56,38917347.0,10821.0,ncep_2007-08.pdf
5,Barkhamsted,2008,656.94,7392697.0,11253.0,ncep_2007-08.pdf
6,Beacon Falls,2008,1069.05,11564775.0,10818.0,ncep_2007-08.pdf
7,Berlin,2008,3313.32,37182013.0,11222.0,ncep_2007-08.pdf
8,Bethany,2008,1087.84,12773702.0,11742.0,ncep_2007-08.pdf
9,Bethel,2008,3158.07,38982875.0,12344.0,ncep_2007-08.pdf
10,Bethlehem,2008,531.19,6829778.0,12858.0,ncep_2007-08.pdf
11,Bloomfield,2008,2628.6,38686935.0,14718.0,ncep_2007-08.pdf
12,Bolton,2008,868.56,11466452.0,13202.0,ncep_2007-08.pdf
13,Bozrah,2008,391.58,4840245.0,12361.0,ncep_2007-08.pdf
14,Branford,2008,3536.5,44538977.0,12594.0,ncep_2007-08.pdf
15,Bridgeport,2008,12023.0,262128482.0,21801.84,ncep_2007-08.pdf
16,Bridgewater,2008,250.42,4350437.0,17373.0,ncep_2007-08.pdf
17,Bristol,2008,9040.16,99345943.0,10989.0,ncep_2007-08.pdf
18,Brookfield,2008,2991.2,34075918.0,11392.0,ncep_2007-08.pdf
19,Brooklyn,2008,1349.13,14350749.0,10637.0,ncep_2007-08.pdf
20,Burlington,2008,1874.65,19951841.0,10643.0,ncep_2007-08.pdf
21,Canaan,2008,144.31,2603516.0,18041.0,ncep_2007-08.pdf
22,Canterbury,2008,829.91,10291607.0,12401.0,ncep_2007-08.pdf
23,Canton,2008,1731.04,20759241.0,11992.0,ncep_2007-08.pdf
24,Chaplin,2008,342.26,5561679.0,16250.0,ncep_2007-08.pdf
25,Cheshire,2008,5096.8,55060672.0,10803.0,ncep_2007-08.pdf
26,Chester,2008,588.24,7307903.0,12423.0,ncep_2007-08.pdf
27,Clinton,2008,2124.8,27822824.0,13094.0,ncep_2007-08.pdf
28,Colchester,2008,3264.52,33049765.0,10124.0,ncep_2007-08.pdf
29,Colebrook,2008,263.39,3464161.0,13152.0,ncep_2007-08.pdf
30,Columbia,2008,855.8,10967396.0,12815.0,ncep_2007-08.pdf
31,Cornwall,2008,201.31,3548393.0,17627.0,ncep_2007-08.pdf
32,Coventry,2008,2074.67,22658291.0,10921.0,ncep_2007-08.pdf
