District,ppe_instructional_staff,ppe_instructional_supplies,ppe_instruction_media,ppe_student_support,ppe_admin_support,ppe_plant,ppe_transportation,ppe_other,ppe_total,fiscal_year,District Code
Amistad Academy District,4553,1415,254,2236,2318,784,,693,12283,2007,2790013.0
Andover School District,6618,489,144,460,1353,1151,259.0,0,10658,2007,10011.0
Ansonia School District,5154,141,227,1062,1082,802,377.0,204,9332,2007,20011.0
Ashford School District,7840,365,93,129,1085,1180,533.0,36,12380,2007,30011.0
Avon School District,6273,245,249,971,928,1168,431.0,155,10615,2007,40011.0
Barkhamsted School District,6307,225,282,124,977,918,348.0,13,9606,2007,50011.0
Berlin School District,5995,296,326,949,1213,1396,489.0,229,11115,2007,70011.0
Bethany School District,6299,287,464,459,1101,1166,286.0,0,10604,2007,80011.0
Bethel School District,6652,144,799,835,1223,1154,508.0,132,11902,2007,90011.0
Bloomfield School District,8277,603,328,1289,2537,2072,649.0,203,14584,2007,110011.0
Bolton School District,7284,193,601,787,1435,1119,648.0,185,12373,2007,120011.0
Bozrah School District,7347,361,63,755,1310,1046,669.0,231,12388,2007,130011.0
Branford School District,6931,411,540,723,1128,1048,619.0,225,11992,2007,140011.0
Bridgeport School District,7276,242,217,621,1041,1288,552.0,116,11857,2007,150011.0
Bristol School District,6593,223,537,429,1016,1065,505.0,174,10895,2007,170011.0
Brookfield School District,6284,189,613,822,1268,1091,458.0,241,11067,2007,180011.0
Brooklyn School District,5714,95,133,788,825,884,700.0,20,9920,2007,190011.0
Canaan School District,11363,888,444,868,2490,2090,852.0,157,18398,2007,210011.0
Canterbury School District,7662,354,135,713,1651,1686,1080.0,32,14649,2007,220011.0
Canton School District,6530,180,136,852,1556,1479,607.0,38,11596,2007,230011.0
Chaplin School District,8409,291,296,1375,1788,1991,476.0,18,14932,2007,240011.0
Cheshire School District,6308,211,393,664,978,1111,551.0,178,10683,2007,250011.0
Chester School District,6594,280,86,1384,1702,1084,179.0,0,11370,2007,260011.0
Clinton School District,8163,488,338,785,1054,1164,632.0,95,12994,2007,270011.0
Colchester School District,5800,265,260,749,1013,904,669.0,117,10174,2007,280011.0
Colebrook School District,8408,155,299,283,1789,1340,336.0,98,13392,2007,290011.0
Columbia School District,6693,350,284,2211,1145,843,736.0,107,13206,2007,300011.0
Common Ground High School District,6497,178,166,565,1627,743,,843,10660,2007,2680013.0
Cornwall School District,10246,707,1387,916,2633,2198,1109.0,4,18873,2007,310011.0
Coventry School District,6315,230,462,847,962,954,686.0,225,10841,2007,320011.0
Cromwell School District,7291,306,143,500,1457,1243,452.0,166,11720,2007,330011.0
Cross Cultural Academy District,4808,516,113,5,2404,1409,,936,11378,2007,
Danbury School District,7371,295,506,665,1040,878,516.0,77,11202,2007,340011.0
Darien School District,8340,382,476,407,1286,1454,559.0,241,13367,2007,350011.0
Deep River School District,6575,307,73,1673,1611,1069,172.0,0,12029,2007,360011.0
