District,District Code,fiscal_year,ppe_total,cpi_u,deflator,ppe_total_real
Achievement First Bridgeport Academy District,2850013.0,2008,15815.0,215.254,1.4957306252148626,23654.97983777305
Achievement First Bridgeport Academy District,2850013.0,2009,12335.0,214.565,1.5005336378253675,18509.08242257591
Achievement First Bridgeport Academy District,2850013.0,2010,12619.0,218.076,1.4763752086428583,18630.378757864237
Achievement First Bridgeport Academy District,2850013.0,2011,13569.0,224.923,1.431432090093054,19423.102030472648
Achievement First Bridgeport Academy District,2850013.0,2012,13848.0,229.586,1.402359028860645,19419.867831662206
Achievement First Bridgeport Academy District,2850013.0,2013,12780.0,232.952,1.3820958824135443,17663.185377245096
Achievement First Bridgeport Academy District,2850013.0,2014,13304.0,236.715,1.3601250448851994,18095.10359715269
Achievement First Bridgeport Academy District,2850013.0,2015,12279.0,237.002,1.3584779875275312,16680.751208850557
Achievement First Bridgeport Academy District,2850013.0,2016,10483.0,240.005,1.3414803858252953,14062.73888460657
Achievement First Bridgeport Academy District,2850013.0,2017,12401.0,245.121,1.3134819130143889,16288.489203291434
Achievement First Bridgeport Academy District,2850013.0,2018,12154.0,251.1,1.282206292313819,15583.935276782158
Achievement First Bridgeport Academy District,2850013.0,2019,12249.0,255.653,1.2593711006716135,15426.036612126594
Achievement First Bridgeport Academy District,2850013.0,2020,12455.0,258.856,1.2437880520443798,15491.38018821275
Achievement First Bridgeport Academy District,2850013.0,2021,12979.0,270.973,1.1881700390813843,15421.258937237288
Achievement First Bridgeport Academy District,2850013.0,2022,14334.0,292.626,1.1002508321201807,15770.995427610673
Achievement First Bridgeport Academy District,2850013.0,2023,14219.0,304.703,1.056642041594602,15024.393189433647
Achievement First Bridgeport Academy District,2850013.0,2024,14616.0,313.698,1.026343808376209,15001.041103226671
Achievement First Bridgeport Academy District,2850013.0,2025,15289.0,321.962,1.0,15289.0
Achievement First Hartford Academy District,2880013.0,2009,13798.0,214.565,1.5005336378253675,20704.363134714426
Achievement First Hartford Academy District,2880013.0,2010,11222.0,218.076,1.4763752086428583,16567.88259139016
Achievement First Hartford Academy District,2880013.0,2011,11683.0,224.923,1.431432090093054,16723.421108557148
Achievement First Hartford Academy District,2880013.0,2012,10686.0,229.586,1.402359028860645,14985.60858240485
Achievement First Hartford Academy District,2880013.0,2013,11474.0,232.952,1.3820958824135443,15858.168154813007
Achievement First Hartford Academy District,2880013.0,2014,12050.0,236.715,1.3601250448851994,16389.506790866653
Achievement First Hartford Academy District,2880013.0,2015,13422.0,237.002,1.3584779875275312,18233.491548594524
Achievement First Hartford Academy District,2880013.0,2016,13712.0,240.005,1.3414803858252953,18394.379050436448
Achievement First Hartford Academy District,2880013.0,2017,13914.0,245.121,1.3134819130143889,18275.787337682203
Achievement First Hartford Academy District,2880013.0,2018,14761.0,251.1,1.282206292313819,18926.647080844283
Achievement First Hartford Academy District,2880013.0,2019,13868.0,255.653,1.2593711006716135,17464.958424113935
Achievement First Hartford Academy District,2880013.0,2020,13821.0,258.856,1.2437880520443798,17190.394667305372
Achievement First Hartford Academy District,2880013.0,2021,13465.0,270.973,1.1881700390813843,15998.70957623084
Achievement First Hartford Academy District,2880013.0,2022,15094.0,292.626,1.1002508321201807,16607.186060022006
Achievement First Hartford Academy District,2880013.0,2023,15747.0,304.703,1.056642041594602,16638.9422289902
Achievement First Hartford Academy District,2880013.0,2024,17688.0,313.698,1.026343808376209,18153.969282558388
Achievement First Hartford Academy District,2880013.0,2025,18195.0,321.962,1.0,18195.0
Amistad Academy District,2790013.0,2007,12283.0,207.344,1.5527914962574272,19072.93794852998
Amistad Academy District,2790013.0,2008,13208.0,215.254,1.4957306252148626,19755.610097837904
Amistad Academy District,2790013.0,2009,14686.0,214.565,1.5005336378253675,22036.83700510335
