District,District Code,fiscal_year,enrollment_total,n_black,n_hispanic,n_white,n_native_american,n_asian,n_two_or_more,n_pacific_islander,n_ell,n_free_lunch,n_reduced_lunch,n_sped,n_frpl,n_black_hispanic,pct_white,pct_black,pct_hispanic,pct_asian,pct_native_american,pct_two_or_more,pct_pacific_islander,pct_black_hispanic,pct_ell,pct_free_lunch,pct_frpl,pct_sped,pct_nonwhite
Achievement First Bridgeport Academy District,2850013,2008,85.0,50.0,,,0.0,0.0,,,0.0,50.0,11.0,,61.0,53.0,,58.82352941176471,,0.0,0.0,,,62.35294117647059,0.0,58.82352941176471,71.76470588235294,,
Amistad Academy District,2790013,2008,547.0,362.0,172.0,10.0,,,,,0.0,235.0,74.0,17.0,309.0,534.0,1.8281535648994516,66.17915904936015,31.444241316270567,,,,,97.62340036563072,0.0,42.96160877513711,56.48994515539305,3.1078610603290677,98.17184643510055
Andover School District,0010011,2008,347.0,,,327.0,0.0,11.0,,,0.0,,,26.0,,,94.23631123919309,,,3.170028818443804,0.0,,,,0.0,,,7.492795389048991,5.7636887608069145
Ansonia School District,0020011,2008,2743.0,577.0,596.0,1515.0,13.0,42.0,,,79.0,1097.0,214.0,289.0,1311.0,1173.0,55.23149835946044,21.03536274152388,21.72803499817718,1.5311702515493983,0.47393364928909953,,,42.76339773970106,2.8800583302952973,39.99270871308786,47.79438570907765,10.53590958804229,44.76850164053956
Area Cooperative Educational Services,2440014,2008,2098.0,630.0,491.0,900.0,7.0,70.0,,,39.0,624.0,184.0,751.0,808.0,1121.0,42.89799809342231,30.028598665395617,23.40324118207817,3.336510962821735,0.3336510962821735,,,53.43183984747378,1.8589132507149668,29.74261201143947,38.51286939942803,35.79599618684461,57.10200190657769
Ashford School District,0030011,2008,505.0,10.0,20.0,465.0,,,,,,50.0,21.0,74.0,71.0,30.0,92.07920792079209,1.9801980198019802,3.9603960396039604,,,,,5.9405940594059405,,9.900990099009901,14.059405940594061,14.653465346534652,7.920792079207914
Avon School District,0040011,2008,3612.0,,138.0,3088.0,,280.0,,,49.0,58.0,40.0,384.0,98.0,141.0,85.49280177187154,,3.820598006644518,7.751937984496124,,,,3.9036544850498336,1.3565891472868217,1.6057585825027685,2.7131782945736433,10.631229235880399,14.507198228128459
Barkhamsted School District,0050011,2008,358.0,,,350.0,0.0,,,,,,,53.0,,,97.76536312849163,,,,0.0,,,,,,,14.804469273743019,2.2346368715083713
Berlin School District,0070011,2008,3275.0,37.0,85.0,3021.0,8.0,124.0,,,76.0,124.0,77.0,422.0,201.0,122.0,92.24427480916032,1.1297709923664123,2.595419847328244,3.786259541984733,0.24427480916030536,,,3.7251908396946565,2.3206106870229006,3.786259541984733,6.137404580152672,12.885496183206108,7.755725190839684
Bethany School District,0080011,2008,570.0,16.0,,509.0,,37.0,,,0.0,6.0,10.0,75.0,16.0,19.0,89.29824561403508,2.807017543859649,,6.491228070175438,,,,3.3333333333333335,0.0,1.0526315789473684,2.807017543859649,13.157894736842104,10.701754385964918
