"Per Pupil Expenditures, 2014-15"
"All Districts"

"","_","_","_","_","_","_","_","_","_"
"Type","Instructional Staff and Services","Instructional Supplies and Equipment","Instruction and Educational Media Services","Student Support Services","Administration and Support Services","Plant Operation and Management","Transportation","Other","Total Expenditures"
"Achievement First Bridgeport Academy District",6491,463,425,717,2771,513,N/A,644,12279
="Achievement First Hartford Academy District",7194,678,326,1138,3878,87,N/A,18,13422
="Amistad Academy District",6351,362,474,1238,2565,521,N/A,600,12306
="Andover School District",9864,446,306,574,2237,1781,324,0,15640
="Ansonia School District",7755,218,216,635,1654,1215,832,251,13263
="Ashford School District",10687,998,179,651,2200,1537,666,153,17887
="Avon School District",9300,306,325,1104,1860,1366,710,321,15833
="Barkhamsted School District",8232,137,606,185,1561,1379,504,11,13377
="Berlin School District",8125,339,606,1651,1627,1933,787,395,15425
="Bethany School District",10285,680,245,418,2291,2456,382,0,17561
="Bethel School District",8856,257,1144,1178,1579,1367,828,221,16235
="Bloomfield School District",11273,382,664,1417,3274,2311,1021,314,19521
="Bolton School District",8904,296,670,1192,2287,1714,866,270,16296
="Booker T. Washington Academy District",7046,504,324,475,5789,3178,N/A,40,17461
="Bozrah School District",11496,403,208,1056,2059,2051,993,66,20273
="Branford School District",9837,327,798,1162,1802,1436,877,376,16842
="Brass City Charter School District",6809,1154,135,104,3331,1447,N/A,848,13844
="Bridgeport School District",7704,426,335,922,1758,1251,879,43,13887
="Bristol School District",8418,146,543,958,1006,1264,854,349,13833
="Brookfield School District",8287,135,651,1027,1886,1090,867,330,14727
="Brooklyn School District",7885,229,301,1065,1108,1460,854,42,13706
="Canaan School District",16722,414,950,1385,3862,2954,1128,154,26309
="Canterbury School District",10841,190,236,1009,1828,2560,991,69,19134
="Canton School District",8049,416,344,2082,1696,1497,922,698,15774
="Chaplin School District",12361,244,674,1738,2093,1855,761,64,19744
="Cheshire School District",8795,235,591,885,1420,1381,797,220,14864
="Chester School District",10039,425,200,2881,2716,2056,266,291,18714
="Clinton School District",10929,204,350,1047,1580,1435,789,72,16660
="Colchester School District",8468,270,313,1178,1711,1598,933,174,14913
="Colebrook School District",12834,229,233,436,3277,2307,600,105,19042
="Columbia School District",8534,305,233,3874,1645,2868,1011,804,19950
="Common Ground High School District",6649,241,2893,984,3195,902,N/A,1450,16353
="Cornwall School District",20597,514,995,1273,4271,3635,1876,9,34241
="Coventry School District",10070,319,216,952,1693,1589,984,14,15742
="Cromwell School District",8870,260,167,727,1541,1395,556,210,13863
="Danbury School District",8387,350,201,582,1242,1030,645,85,13007
="Darien School District",11718,404,896,551,1581,1763,678,275,18918
="Deep River School District",9483,213,264,2541,2173,1752,376,271,17865
="Derby School District",8524,689,9,1313,1811,4263,554,148,17177
="East Granby School District",9810,671,1032,973,2138,1910,874,229,17677
="East Haddam School District",9872,531,372,1007,1975,2389,1077,5,17625
="East Hampton School District",9672,206,483,982,1947,1352,682,8,14970
="East Hartford School District",9052,259,369,1345,1955,1757,619,12,13834
="East Haven School District",9519,362,253,1460,2094,1342,831,347,15518
="East Lyme School District",9289,95,617,888,1466,1981,617,403,15515
="East Windsor School District",10510,250,505,1547,3125,1170,1124,149,17837
="Eastford School District",12156,241,701,1986,2902,2090,1185,0,24309
="Easton School District",11727,210,404,204,2195,1567,755,4,17990
="Ellington School District",7634,267,593,1410,1082,1295,703,183,13173
="Elm City College Preparatory School District",6046,1579,499,1371,4673,782,N/A,644,15794
="Elm City Montessori School District",8536,5365,2135,3376,3196,1934,N/A,587,25129
="Enfield School District",9251,185,265,207,2042,1418,807,229,14177
="Essex School District",9642,317,163,2330,2103,1565,337,204,17944
="Explorations District",9216,121,365,779,2307,2626,N/A,65,16088
="Fairfield School District",9154,132,1032,1223,1795,1560,807,197,16407
="Farmington School District",9898,396,627,1129,1120,2004,677,38,16183
="Franklin School District",9784,139,804,1024,2272,2021,888,0,17601
="Glastonbury School District",8817,527,857,948,1687,1776,858,219,15741
="Granby School District",8113,506,544,1126,1587,1671,705,330,14656
="Great Oaks Charter School District",4986,1419,3584,296,3437,1080,N/A,577,15378
="Greenwich School District",14835,352,476,1440,2075,1553,571,0,21964
="Griswold School District",7787,110,130,560,2037,2460,826,245,14423
="Groton School District",9027,155,897,1821,1749,1574,918,0,15842
="Guilford School District",9758,290,569,1068,1730,1565,935,241,17084
="Hamden School District",11491,431,265,1496,1788,2043,1099,184,18079
="Hampton School District",11912,252,591,2278,2973,2267,817,149,23624
="Hartland School District",9019,229,1115,2179,2197,1622,1010,725,17460
="Hebron School District",9553,235,950,1251,1750,1516,303,0,15487
="Highville Charter School District",5311,179,365,254,2793,1820,N/A,739,11480
="Integrated Day Charter School District",6370,440,476,560,2450,1289,N/A,625,12245
="Interdistrict School for Arts and Comm District",7077,219,989,613,2539,1557,N/A,0,13032
="Jumoke Academy District",6007,660,109,1632,2213,1276,N/A,1,11900
="Kent School District",13776,609,467,1088,2243,2104,1236,118,22168
="Killingly School District",8112,168,911,862,1817,1803,1309,0,16925
="Lebanon School District",9493,505,368,520,1354,2207,1101,413,16600
="Ledyard School District",8357,367,456,870,1951,1339,970,148,14631
="Lisbon School District",10058,390,195,1462,1701,2049,1088,71,19253
="Litchfield School District",9501,330,1080,1553,1796,1880,925,491,18115
="Madison School District",8955,324,813,1345,1274,1843,1076,472,16637
="Manchester School District",10202,292,1292,1213,1960,1790,702,216,16248
="Mansfield School District",11434,600,466,1094,2338,1276,555,75,18250
="Marlborough School District",8207,439,494,231,1250,1208,298,0,12268
="Meriden School District",8580,330,108,1062,1341,1586,703,130,13822
="Middletown School District",9956,291,390,894,1330,1823,1413,344,16528
="Milford School District",11494,575,342,555,1849,1963,671,206,18131
="Monroe School District",9446,140,896,1148,1720,1602,812,166,16336
="Montville School District",9539,403,337,962,1398,1654,1091,248,15473
="Naugatuck School District",9611,237,240,1116,2067,1674,725,139,15375
="New Britain School District",9595,169,334,271,1210,1057,1102,0,13715
="New Canaan School District",10842,189,802,1774,1882,2433,1041,381,20138
="New Fairfield School District",8745,423,440,1067,1520,1321,701,220,14915
="New Hartford School District",9994,240,138,665,1458,1882,617,27,15754
="New Haven School District",9849,370,425,241,1688,1458,1308,156,16062
="New London School District",8267,799,474,1218,2800,1836,1039,161,15134
="New Milford School District",8065,230,283,956,1864,1366,1078,246,14574
="Newington School District",9388,529,497,941,1765,2112,913,179,16253
="Newtown School District",8327,241,373,1674,1765,2263,873,180,16251
="Norfolk School District",11135,259,1119,494,5075,2905,945,19,23250
="North Branford School District",7627,198,914,1251,1619,1947,1186,445,15242
="North Canaan School District",13036,429,192,1154,2080,2030,919,67,20149
="North Haven School District",7994,192,348,1523,2167,1276,861,177,15034
="North Stonington School District",9714,723,231,999,2400,1730,1131,0,16568
="Norwalk School District",10473,220,94,1288,2227,1602,577,138,17220
="Norwich School District",9085,728,86,1417,1127,1276,1212,0,17111
="Odyssey Community School District",6455,179,285,183,1807,1502,N/A,0,10411
="Old Saybrook School District",9155,639,899,1139,1765,1970,922,423,17855
="Orange School District",10003,389,745,1059,1743,1861,438,116,16985
="Oxford School District",8699,266,95,999,1791,1034,832,276,14372
="Park City Prep Charter School District",3852,1936,576,976,2284,2276,N/A,0,11902
="Path Academy District",5728,724,1030,2625,2791,1470,N/A,472,14850
="Plainfield School District",8055,204,302,1136,1568,1489,1308,144,14661
="Plainville School District",9569,358,526,725,1507,1394,758,0,15034
="Plymouth School District",9155,434,279,486,1662,1585,1061,301,14330
="Pomfret School District",10281,408,440,334,1745,1648,1194,79,18513
="Portland School District",8351,426,374,895,1506,2172,654,339,14624
="Preston School District",12169,175,253,1156,1971,1793,1507,88,21005
="Putnam School District",8400,461,187,1877,1739,1760,1001,212,17508
="Redding School District",15025,410,589,224,1927,2328,813,2,22645
="Regional School District 01",13310,1030,1703,1559,2621,3300,342,1034,26782
="Regional School District 04",8713,156,362,1020,2218,1913,677,936,16948
="Regional School District 05",8695,250,505,1138,2422,1553,999,440,17110
="Regional School District 06",9969,410,812,1252,2246,2004,1122,327,18201
="Regional School District 07",9446,405,202,742,2069,1985,1583,468,17391
="Regional School District 08",8164,133,498,1157,1596,1630,756,330,14479
="Regional School District 09",12927,348,448,141,1688,1996,1104,0,19731
="Regional School District 10",8074,283,962,852,1338,1629,930,0,14402
="Regional School District 11",10048,285,424,1428,3667,2416,1361,826,20501
="Regional School District 12",13095,945,1225,2300,3025,4381,2032,599,28917
="Regional School District 13",10301,203,583,1688,2404,1854,961,322,18583
="Regional School District 14",8807,272,906,1584,1728,2254,1155,439,18082
="Regional School District 15",9403,118,376,1482,1679,1619,1042,340,16431
="Regional School District 16",7787,277,868,970,1835,2291,1028,247,15598
="Regional School District 17",9386,228,332,897,1946,2187,1440,337,17220
="Regional School District 18",10033,272,1122,1494,2334,3256,883,435,19910
="Regional School District 19",9671,532,255,1012,2230,1439,1307,691,17351
="Ridgefield School District",9858,192,1072,923,1322,1823,888,261,17130
="Rocky Hill School District",9318,283,955,959,1200,1902,547,0,14847
="Salem School District",7655,110,244,2527,2496,3478,1291,0,20291
="Salisbury School District",14193,300,720,745,2165,3575,1363,27,24526
="Scotland School District",11457,361,838,1321,2867,2743,645,155,20373
="Seymour School District",7800,164,408,1024,1902,1665,787,212,14362
="Sharon School District",15406,542,485,1698,3813,3210,1481,248,27682
="Shelton School District",8711,348,300,553,1482,1602,694,151,13793
="Sherman School District",12645,358,1194,158,1667,1901,890,132,19992
="Side By Side Charter School District",6492,354,21,1200,2505,1327,N/A,0,11899
="Simsbury School District",9262,217,913,1177,1386,1689,651,178,15527
="Somers School District",8671,332,328,983,1350,1607,658,206,14533
="South Windsor School District",9424,388,676,1261,1766,1509,788,430,16401
="Southington School District",8360,188,209,1030,1495,1239,556,134,13580
="Sprague School District",9198,429,80,273,1516,1129,992,0,13885
="Stafford School District",9696,297,356,1143,2020,2349,1272,91,17335
="Stamford Academy District",7448,201,0,3312,9012,245,N/A,546,21182
="Stamford School District",9943,171,1078,1049,2151,1520,843,0,17585
="Sterling School District",6912,397,593,390,1319,1098,1010,55,12783
="Stonington School District",8744,85,772,879,1950,1789,978,206,16029
="Stratford School District",8487,127,393,1500,1457,1368,691,250,14630
="Suffield School District",8747,366,186,1051,1813,1220,623,218,14643
="The Bridge Academy District",8296,402,107,1229,1449,872,N/A,542,12903
="Thomaston School District",8840,286,33,1003,2367,1921,1032,211,14516
="Thompson School District",8039,168,290,1287,1869,2221,965,15,16145
="Tolland School District",8511,225,569,557,1455,1355,863,48,14205
="Torrington School District",10039,127,332,1140,1791,1394,985,149,16675
="Trailblazers Academy District",9788,193,0,4120,16986,2499,N/A,869,34512
="Trumbull School District",8810,225,703,1205,1671,1211,705,182,15187
="Union School District",12221,787,242,491,3228,1732,1418,0,21172
="Vernon School District",9606,309,808,1044,1548,1556,723,163,15118
="Voluntown School District",8760,349,425,1720,2239,1324,908,194,17136
="Wallingford School District",9098,103,516,989,2187,1482,1077,290,16060
="Waterbury School District",9041,266,1113,463,1323,1185,691,541,14870
="Waterford School District",10742,370,213,1227,1777,1959,850,351,16306
="Watertown School District",8053,142,261,947,1791,1773,766,0,14476
="West Hartford School District",8846,258,718,1054,1876,1403,675,142,15041
="West Haven School District",8381,273,446,761,1068,2648,726,296,13592
="Westbrook School District",13197,540,401,388,2026,2238,654,660,20527
="Weston School District",11513,193,1395,1324,1616,2411,703,422,20482
="Westport School District",11420,638,534,1781,1966,2321,838,295,20217
="Wethersfield School District",9090,559,284,1017,1352,1616,729,150,14977
="Willington School District",11312,293,661,1075,2528,1834,763,3,18903
="Wilton School District",11133,218,727,1933,1950,1555,886,0,19253
="Windham School District",10285,445,441,1621,1886,2181,1023,28,18678
="Windsor Locks School District",11087,716,816,1137,2039,2202,732,316,18420
="Windsor School District",11550,314,913,1598,2435,1646,1149,205,18195
="Wolcott School District",8951,274,305,587,1604,1548,787,321,13821
="Woodbridge School District",10904,394,90,233,2718,1235,383,0,16488
="Woodstock School District",8171,194,149,707,1125,1561,736,23,13333

