"Per Pupil Expenditures by Function (District), 2022-23"
"All Districts"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 3 = Total pupils transported"

"District","District Code","Function","Expenditures","Pupils","Pupil Basis","PPE"
"Achievement First Bridgeport Academy District","=""2850013""","Instruction","$8,511,821",1084,1,"$7,852"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - students","$1,430,846",1084,2,"$1,320"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - instruction","$800,629",1084,2,"$739"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - general administration","$0",1084,2,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - school based administration","$2,301,517",1084,2,"$2,123"
"Achievement First Bridgeport Academy District","=""2850013""","Central and other support services","$1,289,582",1084,2,"$1,190"
"Achievement First Bridgeport Academy District","=""2850013""","Operation and maintenance of plant","$777,277",1084,2,"$717"
"Achievement First Bridgeport Academy District","=""2850013""","Student transportation services","$301,284",434,3,"$694"
"Achievement First Bridgeport Academy District","=""2850013""","Food services","$0",1084,2,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Enterprise operations","$0",1084,2,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Minor school construction","N/A","N/A","N/A","N/A"
"Achievement First Bridgeport Academy District","=""2850013""","Total","$15,412,955",1084,1,"$14,219"
"Achievement First Hartford Academy District","=""2880013""","Instruction","$9,187,385",1041,1,"$8,826"
"Achievement First Hartford Academy District","=""2880013""","Support services - students","$1,736,667",1041,2,"$1,668"
"Achievement First Hartford Academy District","=""2880013""","Support services - instruction","$632,196",1041,2,"$607"
"Achievement First Hartford Academy District","=""2880013""","Support services - general administration","$0",1041,2,"$0"
"Achievement First Hartford Academy District","=""2880013""","Support services - school based administration","$3,168,248",1041,2,"$3,043"
"Achievement First Hartford Academy District","=""2880013""","Central and other support services","$1,557,975",1041,2,"$1,497"
"Achievement First Hartford Academy District","=""2880013""","Operation and maintenance of plant","$105,956",1041,2,"$102"
