District,District Code,fiscal_year,rev_local,rev_state,rev_federal,rev_tuition_other,rev_total,pct_local,pct_state,pct_federal,pct_tuition_other
Achievement First Bridgeport Academy District,2850013,2018,357058.0,11868319.0,533075.0,149458.0,12907910.0,2.8,91.9,4.1,1.2
Achievement First Hartford Academy District,2880013,2018,1696460.0,14446749.0,795765.0,20976.0,16959949.0,10.0,85.2,4.7,0.1
Amistad Academy District,2790013,2018,270409.0,11778213.0,691067.0,494705.0,13234394.0,2.0,89.0,5.2,3.7
Andover School District,10011,2018,3244239.0,971029.0,204272.0,56086.0,4475625.0,72.5,21.7,4.6,1.3
Ansonia School District,20011,2018,17427472.0,19570646.0,1859073.0,61587.0,38918779.0,44.8,50.3,4.8,0.2
Area Cooperative Educational Services,2440014,2018,3832828.0,14561441.0,505020.0,52571053.0,71470343.0,5.4,20.4,0.7,73.6
Ashford School District,30011,2018,5072783.0,2564705.0,180718.0,6215.0,7824422.0,64.8,32.8,2.3,0.1
Avon School District,40011,2018,54023193.0,2905238.0,772750.0,487239.0,58188420.0,92.8,5.0,1.3,0.8
Barkhamsted School District,50011,2018,3529575.0,641993.0,121614.0,15000.0,4308182.0,81.9,14.9,2.8,0.3
Berlin School District,70011,2018,41193399.0,6645659.0,933708.0,51866.0,48824632.0,84.4,13.6,1.9,0.1
Bethany School District,80011,2018,5859580.0,881483.0,162780.0,29232.0,6933075.0,84.5,12.7,2.3,0.4
Bethel School District,90011,2018,39779268.0,7756023.0,996603.0,50575.0,48582469.0,81.9,16.0,2.1,0.1
Bloomfield School District,110011,2018,36472517.0,13321425.0,1290394.0,1466850.0,52551186.0,69.4,25.3,2.5,2.8
Bolton School District,120011,2018,10368628.0,3251192.0,215198.0,901872.0,14736889.0,70.4,22.1,1.5,6.1
Booker T. Washington Academy District,2950013,2018,51500.0,3092177.0,136453.0,305860.0,3585990.0,1.4,86.2,3.8,8.5
Bozrah School District,130011,2018,4681782.0,1064932.0,182835.0,0.0,5929549.0,79.0,18.0,3.1,0.0
Branford School District,140011,2018,53558624.0,3064615.0,1063230.0,167521.0,57853990.0,92.6,5.3,1.8,0.3
Brass City Charter School District,2900013,2018,464140.0,2783000.0,108055.0,270255.0,3625450.0,12.8,76.8,3.0,7.5
Bridgeport School District,150011,2018,62706306.0,216478970.0,23541596.0,3209127.0,305935999.0,20.5,70.8,7.7,1.0
Bristol School District,170011,2018,69875848.0,51574023.0,5274619.0,526146.0,127250636.0,54.9,40.5,4.1,0.4
Brookfield School District,180011,2018,40318166.0,2025786.0,598631.0,2293.0,42944876.0,93.9,4.7,1.4,0.0
Brooklyn School District,190011,2018,13563551.0,6589316.0,335908.0,1217.0,20489992.0,66.2,32.2,1.6,0.0
Canaan School District,210011,2018,2039071.0,135453.0,57505.0,971.0,2233000.0,91.3,6.1,2.6,0.0
Canterbury School District,220011,2018,6985381.0,4299457.0,376573.0,10283.0,11671694.0,59.8,36.8,3.2,0.1
Canton School District,230011,2018,23564097.0,4428237.0,387024.0,161423.0,28540782.0,82.6,15.5,1.4,0.6
Capital Preparatory Harbor School District,2970013,2018,468648.0,4260142.0,158554.0,0.0,4887344.0,9.6,87.2,3.2,0.0
Capitol Region Education Council,2410014,2018,4237517.0,111191619.0,3385346.0,84400554.0,203215036.0,2.1,54.7,1.7,41.5
Chaplin School District,240011,2018,2464994.0,1144499.0,102603.0,59818.0,3771914.0,65.4,30.3,2.7,1.6
Cheshire School District,250011,2018,60726459.0,8671662.0,1265971.0,293560.0,70957651.0,85.6,12.2,1.8,0.4
