District,District Code,fiscal_year,total_expenditures,ppe_total,pupils_enrolled_plus_outplaced,pupils_enrolled_in_district,pupils_transported,exp_central_and_other_support_services,exp_enterprise_operations,exp_food_services,exp_instruction,exp_minor_school_construction,exp_operation_and_maintenance_of_plant,exp_student_transportation_services,exp_support_services_general_administration,exp_support_services_instruction,exp_support_services_school_based_administration,exp_support_services_students,ppe_central_and_other_support_services,ppe_enterprise_operations,ppe_food_services,ppe_instruction,ppe_minor_school_construction,ppe_operation_and_maintenance_of_plant,ppe_student_transportation_services,ppe_support_services_general_administration,ppe_support_services_instruction,ppe_support_services_school_based_administration,ppe_support_services_students,cpi_u,deflator,ppe_total_real,total_expenditures_real,exp_central_and_other_support_services_real,exp_enterprise_operations_real,exp_food_services_real,exp_instruction_real,exp_minor_school_construction_real,exp_operation_and_maintenance_of_plant_real,exp_student_transportation_services_real,exp_support_services_general_administration_real,exp_support_services_instruction_real,exp_support_services_school_based_administration_real,exp_support_services_students_real,ppe_central_and_other_support_services_real,ppe_enterprise_operations_real,ppe_food_services_real,ppe_instruction_real,ppe_minor_school_construction_real,ppe_operation_and_maintenance_of_plant_real,ppe_student_transportation_services_real,ppe_support_services_general_administration_real,ppe_support_services_instruction_real,ppe_support_services_school_based_administration_real,ppe_support_services_students_real
Achievement First Bridgeport Academy District,2850013,2018,12907910.0,12154.0,1062.0,1062.0,69.0,1196989.0,0.0,0.0,7366261.0,89745.0,602663.0,158239.0,0.0,341477.0,1923451.0,1229085.0,1127.0,0.0,0.0,6936.0,85.0,567.0,2293.0,0.0,322.0,1811.0,1157.0,251.1,1.282206292313819,15583.935276782158,16550603.42262047,1534786.827630426,0.0,0.0,9445066.205025885,115071.6037037037,772738.2907447232,202895.04148944642,0.0,437843.958080446,2466260.9751573075,1575940.5207885304,1445.0464914376741,0.0,0.0,8893.382843488649,108.98753484667462,727.0109677419355,2940.099028275587,0.0,412.87042612504973,2322.0755953803264,1483.5126802070888
Achievement First Hartford Academy District,2880013,2018,16959949.0,14761.0,1149.0,1149.0,20.0,1987962.0,0.0,0.0,9605935.0,0.0,19266.0,10241.0,0.0,579468.0,3135468.0,1621609.0,1730.0,0.0,0.0,8360.0,0.0,17.0,512.0,0.0,504.0,2729.0,1411.0,251.1,1.282206292313819,18926.647080844283,21746153.325121462,2548977.3852807647,0.0,0.0,12316790.300557546,0.0,24702.98642771804,13131.074639585822,0.0,742997.5157945041,4020316.7989486256,2079237.2634727198,2218.216885702907,0.0,0.0,10719.244603743527,0.0,21.797506969334925,656.4896216646754,0.0,646.2319713261649,3499.1409717244123,1809.1930784547988
Amistad Academy District,2790013,2018,13234394.0,12243.0,1081.0,1081.0,78.0,1238707.0,0.0,0.0,7416673.0,0.0,625024.0,197543.0,0.0,334019.0,2302393.0,1120036.0,1146.0,0.0,0.0,6861.0,0.0,578.0,2533.0,0.0,309.0,2130.0,1036.0,251.1,1.282206292313819,15698.051636798087,16969223.261760253,1588277.909733174,0.0,0.0,9509704.78863401,0.0,801409.7056471525,253290.87760254878,0.0,428281.26355236955,2952142.791979291,1436117.2068180006,1469.4084109916366,0.0,0.0,8797.217371565113,0.0,741.1152369573874,3247.828538430904,0.0,396.2017443249701,2731.0994026284347,1328.3657188371167
Andover School District,0010011,2018,4475625.0,21211.0,211.0,204.0,179.0,174881.0,24784.0,0.0,2623858.0,0.0,639257.0,127932.0,141221.0,316720.0,260820.0,166152.0,857.0,121.0,0.0,12435.0,0.0,3134.0,715.0,692.0,1553.0,1279.0,814.0,251.1,1.282206292313819,27196.877666268418,5738674.537037036,224233.518606133,31778.200748705694,0.0,3364327.2377379527,0.0,819659.3478056551,164035.21538829152,181074.45480684986,406100.3769016328,334425.0451612903,213041.13988052568,1098.850792512943,155.1469613699721,0.0,15944.23524492234,0.0,4018.4345201115093,916.7774990043806,887.2867542811629,1991.266371963361,1639.9418478693747,1043.7159219434488
Ansonia School District,0020011,2018,38918779.0,15432.0,2522.0,2283.0,2423.0,2878052.0,115958.0,0.0,27300543.0,0.0,2886760.0,2302337.0,579810.0,74369.0,2395578.0,385371.0,1261.0,51.0,0.0,10825.0,0.0,1264.0,950.0,254.0,33.0,1049.0,169.0,251.1,1.282206292313819,19787.007502986857,49901903.32297093,3690256.3840063717,148682.07724412583,0.0,35004928.01818399,0.0,3701421.8363998407,2952070.9884269214,743436.0303464754,95356.39975308641,3071625.1853285544,494125.1210752688,1616.862134607726,65.39252090800477,0.0,13879.883114297092,0.0,1620.7087534846673,1218.095977698128,325.68039824771006,42.31280764635603,1345.0344006371963,216.69286340103542
Area Cooperative Educational Services,2440014,2018,71470343.0,31736.0,2252.0,2252.0,1075.0,3202992.0,0.0,0.0,50007488.0,0.0,5555512.0,2763295.0,2758293.0,1278077.0,1958959.0,3945726.0,1422.0,0.0,0.0,22206.0,0.0,2467.0,2571.0,1225.0,568.0,870.0,1752.0,251.1,1.282206292313819,40692.09889287136,91639723.50842692,4106896.496630824,0.0,0.0,64119915.7764078,0.0,7123312.44342493,3543114.236519315,3536700.6406451613,1638758.371461569,2511789.556184787,5059234.704946236,1823.2973476702507,0.0,0.0,28472.672927120668,0.0,3163.2029231381916,3296.5523775388288,1570.7027080844284,728.2931740342492,1115.5194743130226,2246.4254241338112
Ashford School District,0030011,2018,7824422.0,19512.0,401.0,394.0,426.0,372911.0,0.0,627.0,5024866.0,4500.0,592821.0,401817.0,239036.0,247046.0,547710.0,393088.0,946.0,0.0,2.0,12531.0,11.0,1505.0,943.0,607.0,627.0,1390.0,998.0,251.1,1.282206292313819,25018.40917562724,10032523.122118678,478148.8306730386,0.0,803.9433452807646,6442914.803233771,5769.928315412186,760118.8164157706,515212.28575866186,306493.46328952606,316763.93569095974,702277.2083632018,504019.9070330545,1212.967152528873,0.0,2.564412584627638,16067.327048984467,14.10426921545201,1929.7204699322976,1209.1205336519315,778.2992194344882,803.9433452807646,1782.2667463162086,1279.6418797291915
Avon School District,0040011,2018,58188420.0,17416.0,3341.0,3208.0,3211.0,2403567.0,1040728.0,0.0,37303758.0,0.0,4992258.0,2928703.0,1079663.0,774336.0,2907155.0,4758251.0,749.0,324.0,0.0,11165.0,0.0,1556.0,912.0,337.0,241.0,906.0,1483.0,251.1,1.282206292313819,22330.904786937474,74609558.26379928,3081868.731397849,1334427.9901871763,0.0,47831113.234551966,0.0,6401104.620454002,3755201.414918359,1384350.692178415,992858.4915651134,3727572.4337315806,6101059.372608522,960.3725129430505,415.43483870967736,0.0,14315.83325368379,0.0,1995.1129908403025,1169.3721385902031,432.10352050975706,309.0117164476304,1161.67890083632,1901.5119315013937
Barkhamsted School District,0050011,2018,4308182.0,16829.0,256.0,248.0,228.0,153441.0,0.0,0.0,2637982.0,0.0,463828.0,284776.0,166868.0,231177.0,236956.0,133155.0,619.0,0.0,0.0,10305.0,0.0,1870.0,1249.0,673.0,932.0,955.0,537.0,251.1,1.282206292313819,21578.249693349262,5523978.068833134,196743.01569892472,0.0,0.0,3382437.119410593,0.0,594723.180151334,365141.57909996016,213959.19958582235,296416.6040382318,303826.47420151334,170732.1788530466,793.685694942254,0.0,0.0,13213.135842293907,0.0,2397.7257666268415,1601.47565909996,862.9248347272003,1195.0162644364793,1224.5070091596972,688.5447789725208
Berlin School District,0070011,2018,48824632.0,16732.0,2918.0,2781.0,1898.0,1462979.0,894582.0,907.0,30249119.0,0.0,4822644.0,2896666.0,663865.0,1501987.0,2700153.0,3631731.0,526.0,322.0,0.0,10366.0,0.0,1734.0,1526.0,239.0,540.0,971.0,1306.0,251.1,1.282206292313819,21453.87568299482,62603250.37030665,1875840.8793229787,1147038.669390681,1162.961107128634,38785610.7187495,0.0,6183624.482389485,3714123.371931501,851211.8802469135,1925857.1823735563,3462153.1668100357,4656628.3401911585,674.4405097570689,412.87042612504973,0.0,13291.35042612505,0.0,2223.3457108721623,1956.646802070888,306.4473038630028,692.3913978494624,1245.0223098367183,1674.5614177618477
