"","Local",,"State",,"Federal",,"Tuition & Other",,"Total",
"District","Amount","Percent","Amount","Percent","Amount","Percent","Amount","Percent","Amount","Percent"
"Achievement First Bridgeport Academy District",474654,2.8,15013170,90.1,1012119,6.1,165298,1.0,16665242,100.0
="Achievement First Hartford Academy District",1276624,7.7,13447472,81.5,1075474,6.5,703045,4.3,16502615,100.0
="Amistad Academy District",657444,3.9,15108856,89.7,890643,5.3,178589,1.1,16835531,100.0
="Andover School District",1980144,43.2,2197423,48.0,175931,3.8,227564,5.0,4581062,100.0
="Ansonia School District",22650145,43.4,24748813,47.4,4369791,8.4,393441,0.8,52162191,100.0
="Area Cooperative Educational Services",14181380,12.3,17256173,14.9,2732707,2.4,81455434,70.4,115625694,100.0
="Ashford School District",5198420,55.3,3705839,39.4,422116,4.5,72681,0.8,9399056,100.0
="Avon School District",64255079,90.2,3063814,4.3,1060291,1.5,2894342,4.1,71273526,100.0
="Barkhamsted School District",3270452,65.3,1515956,30.3,183037,3.7,36493,0.7,5005939,100.0
="Berlin School District",52833482,83.9,8003125,12.7,1171312,1.9,939847,1.5,62947766,100.0
="Bethany School District",6264349,72.7,1936810,22.5,333973,3.9,77840,0.9,8612972,100.0
="Bethel School District",50534256,81.3,9554460,15.4,2017941,3.2,40262,0.1,62146919,100.0
="Bloomfield School District",45927529,69.3,16481783,24.9,2198925,3.3,1638083,2.5,66246320,100.0
="Bolton School District",13001763,77.0,3284441,19.5,261615,1.5,335102,2.0,16882921,100.0
="Booker T. Washington Academy District",0,0.0,5546281,78.2,602330,8.5,942926,13.3,7091536,100.0
="Bozrah School District",5173926,78.6,1178919,17.9,225982,3.4,0,0.0,6578826,100.0
="Branford School District",68543563,88.7,5922019,7.7,2367796,3.1,476816,0.6,77310194,100.0
="Brass City Charter School District",1190293,18.3,4869637,74.9,315034,4.8,123189,1.9,6498153,100.0
="Bridgeport School District",96793089,25.3,245255874,64.0,38069881,9.9,3121381,0.8,383240224,100.0
="Bristol School District",96165213,56.0,63431592,36.9,11623929,6.8,614391,0.4,171835126,100.0
="Brookfield School District",54421566,94.7,2120305,3.7,787075,1.4,160342,0.3,57489288,100.0
="Brooklyn School District",14912337,63.4,7641641,32.5,841379,3.6,114399,0.5,23509756,100.0
="Canaan School District",2666648,92.4,125982,4.4,87490,3.0,4875,0.2,2884994,100.0
="Canterbury School District",8764774,65.6,4087771,30.6,485825,3.6,12586,0.1,13350956,100.0
="Canton School District",29257448,79.4,6136467,16.7,573756,1.6,861698,2.3,36829369,100.0
="Capital Preparatory Harbor School District",855503,7.8,8838058,80.6,1270020,11.6,0,0.0,10963581,100.0
="Capitol Region Education Council",12784678,4.4,156161404,53.3,13383205,4.6,110715522,37.8,293044809,100.0
="Chaplin School District",2288125,53.4,1747482,40.8,200598,4.7,45648,1.1,4281853,100.0
="Cheshire School District",79356466,86.5,10621686,11.6,1366354,1.5,421105,0.5,91765611,100.0
="Chester School District",4933148,81.4,947243,15.6,176689,2.9,0,0.0,6057080,100.0
="Clinton School District",31375344,82.1,5866234,15.4,811640,2.1,160624,0.4,38213843,100.0
="Colchester School District",32431050,67.1,13387433,27.7,1582307,3.3,965104,2.0,48365894,100.0
="Colebrook School District",1736268,78.8,404142,18.3,54845,2.5,7332,0.3,2202587,100.0
="Columbia School District",11127393,79.8,2417615,17.3,339464,2.4,55799,0.4,13940271,100.0
="Common Ground High School District",375658,8.4,2861545,64.3,494494,11.1,716431,16.1,4448128,100.0
="Connecticut Technical Education and Career System",0,0.0,334635656,95.4,14337298,4.1,1972063,0.6,350945017,100.0
="Cooperative Educational Services",7554530,18.2,6308758,15.2,286696,0.7,27336415,65.9,41486399,100.0
="Cornwall School District",3391535,94.8,25225,0.7,123549,3.5,37965,1.1,3578274,100.0
="Coventry School District",23076459,70.9,8555918,26.3,873182,2.7,28400,0.1,32533959,100.0
="Cromwell School District",32543378,75.7,8039973,18.7,989527,2.3,1406463,3.3,42979341,100.0
="Danbury School District",140496281,65.6,64651487,30.2,8146206,3.8,974859,0.5,214268833,100.0
="Darien School District",120758149,96.0,2839281,2.3,1329961,1.1,872906,0.7,125800296,100.0
="Deep River School District",4443926,70.4,1677747,26.6,189393,3.0,0,0.0,6311066,100.0
="Derby School District",21065060,59.3,12464190,35.1,1969190,5.5,0,0.0,35498440,100.0
="East Granby School District",18505054,84.6,2571074,11.8,464227,2.1,321133,1.5,21861489,100.0
="East Haddam School District",19638838,77.9,3870771,15.3,820445,3.3,893658,3.5,25223712,100.0
="East Hampton School District",32199309,79.0,7682572,18.9,753359,1.8,105316,0.3,40740556,100.0
="East Hartford School District",56439601,37.9,76104581,51.1,10996797,7.4,5385717,3.6,148926697,100.0
="East Haven School District",35242416,56.7,23900812,38.4,2214144,3.6,808761,1.3,62166132,100.0
="East Lyme School District",51539232,83.1,6465090,10.4,1237420,2.0,2763109,4.5,62004851,100.0
="East Windsor School District",22423005,71.7,7064159,22.6,1230302,3.9,555223,1.8,31272689,100.0
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",0,0.0,6481152,27.0,588796,2.5,16901142,70.5,23971089,100.0
="Eastford School District",3585834,72.2,1153391,23.2,172587,3.5,55292,1.1,4967104,100.0
="Easton School District",19868085,95.8,318893,1.5,476897,2.3,79243,0.4,20743118,100.0
="EdAdvance",0,0.0,130506,0.7,4927250,28.0,12546787,71.3,17604543,100.0
="Ellington School District",36490421,68.8,12659962,23.9,761025,1.4,3107088,5.9,53018496,100.0
="Elm City College Preparatory School District",581579,4.4,9990438,76.3,644645,4.9,1885170,14.4,13101831,100.0
="Elm City Montessori School District",4177898,72.4,921000,15.9,157208,2.7,518395,9.0,5774500,100.0
="Enfield School District",55605636,58.0,32818561,34.2,5404918,5.6,2050661,2.1,95879775,100.0
="Essex School District",8333858,95.6,213251,2.4,168564,1.9,0,0.0,8715673,100.0
="Explorations District",308188,17.8,994270,57.5,60810,3.5,364449,21.1,1727717,100.0
="Fairfield School District",225375121,96.5,3915600,1.7,3615196,1.5,641344,0.3,233547260,100.0
="Farmington School District",82048656,91.1,4783925,5.3,1452787,1.6,1815336,2.0,90100705,100.0
="Franklin School District",4871407,83.1,778325,13.3,159310,2.7,51974,0.9,5861016,100.0
="Glastonbury School District",118454121,89.7,8924589,6.8,2093607,1.6,2643086,2.0,132115403,100.0
="Goodwin University Educational Services (GUES)",3129991,11.0,19043410,66.7,1819279,6.4,4540869,15.9,28533548,100.0
="Granby School District",29695999,76.1,6876818,17.6,692541,1.8,1767926,4.5,39033285,100.0
="Great Oaks Charter School District",1231560,9.8,9681265,76.8,1695503,13.4,0,0.0,12608328,100.0
="Greenwich School District",238386963,96.8,2860812,1.2,3695339,1.5,1359318,0.6,246302432,100.0
="Griswold School District",18133531,50.0,12523788,34.6,1444117,4.0,4142981,11.4,36244417,100.0
="Groton School District",62175093,66.3,26751333,28.5,4624884,4.9,277407,0.3,93828717,100.0
="Guilford School District",69824441,94.6,2635198,3.6,991313,1.3,359986,0.5,73810938,100.0
="Hamden School District",108516981,67.5,46037069,28.7,6133220,3.8,0,0.0,160687271,100.0
