sedaadmin,district,fiscal_year,subcat,subgroup,gradecenter,tot_asmts,gcs_mn_avg_eb,gcs_mn_avg_eb_se,gcs_mn_avg_ol,gcs_mn_avg_ol_se,grade_levels_vs_national,grade_levels_vs_national_ol,gcs_mn_avg_mth_eb,gcs_mn_avg_mth_eb_se,gcs_mn_avg_rla_eb,gcs_mn_avg_rla_eb_se,grade_levels_vs_national_mth,grade_levels_vs_national_rla,town_code,town,town_match
900030,Andover School District,2009,all,all,5.5,358,7.174919241774413,0.1137075147398661,7.202178311393668,0.2034651299644518,1.674919241774413,1.7021783113936682,7.011528986460899,0.1362953817536744,7.381069193968747,0.1191711116839432,1.511528986460899,1.881069193968747,1,Andover,local district
900060,Ansonia School District,2009,all,all,5.5,2410,5.325725312379173,0.0574374927767873,5.342458569924665,0.0621129349549074,-0.1742746876208274,-0.1575414300753346,5.66275503648616,0.0735107421910869,4.934156263926065,0.0767951781430544,0.1627550364861596,-0.5658437360739352,2,Ansonia,local district
900090,Ashford School District,2009,all,all,5.5,646,6.122737158205189,0.0976594751294092,6.143319091523554,0.1280506793089022,0.6227371582051893,0.643319091523554,6.055182264838786,0.1183405764465781,6.206385835886829,0.1109054965932292,0.5551822648387859,0.7063858358868291,3,Ashford,local district
900120,Avon School District,2009,all,all,5.5,3472,8.160085697980913,0.0594154867698026,8.165644295939664,0.0648087929470852,2.6600856979809127,2.665644295939664,7.915137469824873,0.0809348327100417,8.471177250180764,0.0760884192366762,2.415137469824873,2.971177250180764,4,Avon,local district
900150,Barkhamsted School District,2009,all,all,5.5,388,7.018511631310775,0.1134788310936979,6.969641858393977,0.2131402278711644,1.5185116313107754,1.4696418583939774,6.953689758143948,0.1366081455817962,7.158937925334948,0.1181685812100925,1.4536897581439483,1.658937925334948,5,Barkhamsted,local district
903538,Regional School District 16,2009,all,all,5.5,2376,6.228982879265542,0.0537283749025047,6.256009755896036,0.0576066638129532,0.7289828792655424,0.7560097558960361,5.897602013851289,0.0680168403537063,6.527879431885258,0.0734825735610274,0.397602013851289,1.0278794318852578,6,Beacon Falls,regional district
900210,Berlin School District,2009,all,all,5.5,2918,7.053123412593906,0.054894542041985,7.054274570292939,0.0588739934204874,1.553123412593906,1.5542745702929386,7.006077794842981,0.0755436486400667,7.136475623564806,0.0706479649954721,1.506077794842981,1.636475623564806,7,Berlin,local district
900240,Bethany School District,2009,all,all,5.5,618,7.038764485023925,0.1047104263778341,6.942485942353503,0.1657610188154215,1.5387644850239246,1.4424859423535032,6.852236221513479,0.1265446491004689,7.257297172522717,0.1142949934446929,1.352236221513479,1.757297172522717,8,Bethany,local district
900270,Bethel School District,2009,all,all,5.5,2718,7.273604773129403,0.0593976885436186,7.279537960894641,0.0645578432760729,1.773604773129403,1.779537960894641,7.288477978685025,0.0818885413089908,7.257290173802567,0.073607302881511,1.788477978685025,1.7572901738025672,9,Bethel,local district
903536,Regional School District 14,2009,all,all,5.5,1810,6.83835039043475,0.0642874827071129,6.819079971582769,0.0710372641484672,1.3383503904347496,1.3190799715827692,6.654879834304256,0.0827707025107411,7.045546442247311,0.082623064544013,1.154879834304256,1.5455464422473106,10,Bethlehem,regional district
