sedaadmin,sedaadminname,year,fips,stateabb,subcat,subgroup,gap,gradecenter,multi_comp,tot_asmts,cellcount,mn_asmts,flag_estasmt,gcs_mn_avg_ol,gcs_mn_avg_ol_se,gcs_mn_avg_ol_se_adj,gcs_mn_avg_eb,gcs_mn_avg_eb_se,gcs_mn_avg_eb_se_adj
900004,Unified School District #2,2009,9,CT,all,all,0,5.5,0,107,7,15.28571428571429,0,.2626807968432291,.7018824674796315,.7035647826552079,-.1833969072275785,.145303706268906,.1528590577295964
900004,Unified School District #2,2009,9,CT,gender,mal,0,5.5,0,69,7,9.857142857142858,0,1.123533207666885,.6313251796944392,.6331949839927588,.6956624506563847,.1480224938287471,.1554457563067614
900004,Unified School District #2,2010,9,CT,all,all,0,5.5,0,100,9,11.11111111111111,0,-.6943650273986759,.6580673536227124,.6591446904620055,.2655726728152574,.0685826763972163,.0779412100797738
900004,Unified School District #2,2010,9,CT,ecd,ecd,0,5.5,0,100,9,11.11111111111111,0,-.6871153046092171,.6578141785282875,.6588919293276393,.2655726728152574,.0685826763972163,.0779412100797738
900004,Unified School District #2,2010,9,CT,gender,mal,0,5.5,0,68,7,9.714285714285714,0,.35067705161996,.6759139791343988,.6769629149735971,1.130363080663312,.0709976888643551,.0800744687835886
900007,Jumoke Academy District,2009,9,CT,all,all,0,5.5,0,468,12,39,0,4.937360714797654,.1313600853694308,.1400709722449235,5.173884435912793,.0987093940598209,.109527480342408
900007,Jumoke Academy District,2009,9,CT,race,blk,0,5.5,0,456,12,38,0,4.926065245178531,.1326659413435677,.1412963454231884,5.166751246897871,.1002611288175423,.1109279875697174
900007,Jumoke Academy District,2009,9,CT,ecd,ecd,0,5.5,0,234,12,19.5,0,4.693579402199068,.1763669994616424,.1829473250323081,4.924073370594974,.1160234386993239,.1253561438546804
900007,Jumoke Academy District,2009,9,CT,gender,fem,0,5.5,0,262,12,21.83333333333333,0,5.007733218150562,.1692974127215829,.1761420426576119,5.191501543131192,.1019232067501848,.112432488848822
900007,Jumoke Academy District,2009,9,CT,gender,mal,0,5.5,0,206,12,17.16666666666667,0,4.814346010427501,.1996161071888997,.2054531466943845,5.173430038900293,.1025450242295608,.1129964887451853
900007,Jumoke Academy District,2009,9,CT,gender,mfg,1,5.5,0,468,12,39,0,-.1933872077230605,.2617407194218589,.2617407194218589,-.0180715042308988,.0376395153684013,.0376395153684013
900007,Jumoke Academy District,2009,9,CT,ecd,nec,0,5.5,0,234,12,19.5,0,5.190464200414882,.185197907171124,.1914749854626924,5.457186562721711,.1203122326743265,.1293358334166555
900007,Jumoke Academy District,2009,9,CT,ecd,neg,1,5.5,0,468,12,39,0,.4968847982158149,.2557412428992775,.2557412428992775,.5331131921267369,.0919205238637327,.0919205238637327
900007,Jumoke Academy District,2010,9,CT,all,all,0,5.5,0,496,12,41.33333333333334,0,5.217992476125904,.1247429704357453,.1303069059312908,5.451820321924537,.0600995532996631,.0705918198781784
900007,Jumoke Academy District,2010,9,CT,race,blk,0,5.5,0,486,12,40.5,0,5.228492364448943,.1257791682504356,.1312992011629333,5.455301484359144,.0611441193266726,.0714832291878907
900007,Jumoke Academy District,2010,9,CT,ecd,ecd,0,5.5,0,358,12,29.83333333333333,0,5.003714822387496,.1392833063416298,.1442876310905039,5.203041037200191,.0698693021454011,.0790757112467506
900007,Jumoke Academy District,2010,9,CT,gender,fem,0,5.5,0,268,12,22.33333333333333,0,5.257205981646487,.1650532021253731,.1692974913933822,5.463013764887562,.0628215984846609,.07292326078188
900007,Jumoke Academy District,2010,9,CT,gender,mal,0,5.5,0,228,12,19,0,5.175190261631478,.1830843010771911,.1869196147042268,5.446396913149232,.0627908237800118,.0728967508045909
900007,Jumoke Academy District,2010,9,CT,gender,mfg,1,5.5,0,496,12,41.33333333333334,0,-.0820157200150087,.2465003465165167,.2465003465165167,-.0166168517383305,.0257939561429095,.0257939561429095
900007,Jumoke Academy District,2010,9,CT,ecd,nec,0,5.5,0,138,12,11.5,0,5.760281739603541,.2362836879305981,.2392677626474935,5.81838458191636,.0894845962681745,.0968439037635944
900007,Jumoke Academy District,2010,9,CT,ecd,neg,1,5.5,0,496,12,41.33333333333334,0,.7565669172160447,.2742805509100865,.2742805509100865,.6153435447161693,.0752681854300039,.0752681854300039
900007,Jumoke Academy District,2011,9,CT,all,all,0,5.5,0,506,12,42.16666666666666,0,5.674528900041302,.1233415360098173,.1360789615664131,5.43211256549509,.0651618735702229,.0856807547680339
900007,Jumoke Academy District,2011,9,CT,race,blk,0,5.5,0,493,12,41.08333333333334,0,5.674010215823079,.1250244861099575,.1376062186196221,5.428157530106378,.0663069763662096,.0865548212710726
900007,Jumoke Academy District,2011,9,CT,ecd,ecd,0,5.5,0,343,12,28.58333333333333,0,5.341874426369873,.1418477161330907,.1530526832430786,5.153830251416971,.0743647754511137,.0928721798943731
900007,Jumoke Academy District,2011,9,CT,gender,fem,0,5.5,0,276,12,23,0,5.772138585136531,.1630862246005391,.1729204034525416,5.475352123203321,.0666899055475215,.086848520265895
900007,Jumoke Academy District,2011,9,CT,gender,mal,0,5.5,0,230,12,19.16666666666667,0,5.544539240988593,.1796608052128134,.1886328555831374,5.387077941352657,.0666412227497522,.0868111429484737
900007,Jumoke Academy District,2011,9,CT,gender,mfg,1,5.5,0,506,12,42.16666666666666,0,-.2275993441479383,.2426419617134966,.2426419617134966,-.0882741818506645,.0199112163655563,.0199112163655563
900007,Jumoke Academy District,2011,9,CT,ecd,nec,0,5.5,0,163,12,13.58333333333333,0,6.355259450542053,.2181585478595519,.22560474569459,5.835635037623771,.0899258043629998,.1057438994021441
900007,Jumoke Academy District,2011,9,CT,ecd,neg,1,5.5,0,506,12,42.16666666666666,0,1.01338502417218,.2602189973394761,.2602189973394761,.6818047862067997,.071586525155672,.071586525155672
900007,Jumoke Academy District,2012,9,CT,all,all,0,5.5,0,603,12,50.25,0,5.685165858112787,.1117092261138804,.1175099524305846,5.505990094616394,.079523928402977,.0873340422881674
900007,Jumoke Academy District,2012,9,CT,race,blk,0,5.5,0,587,12,48.91666666666666,0,5.657549065976274,.1130766498534678,.1188106327874738,5.490953732231865,.080651940270366,.0883624084275904
900007,Jumoke Academy District,2012,9,CT,ecd,ecd,0,5.5,0,376,12,31.33333333333333,0,5.334137703298462,.1339539772588404,.1388283319237761,5.192317909138007,.0890349532346725,.0960749845238079
900007,Jumoke Academy District,2012,9,CT,gender,fem,0,5.5,0,346,12,28.83333333333333,0,5.690837331151338,.1442301709251431,.1487682087220661,5.595605661017413,.0812640466764053,.0889214543064529
900007,Jumoke Academy District,2012,9,CT,gender,mal,0,5.5,0,257,12,21.41666666666667,0,5.607563087878072,.1687837422379811,.1726777037290381,5.412048994018028,.0810760618618183,.0887496904826772
900007,Jumoke Academy District,2012,9,CT,gender,mfg,1,5.5,0,603,12,50.25,0,-.0832742432732658,.2220141748829413,.2220141748829413,-.1835566669993849,.0230013632631362,.0230013632631362
900007,Jumoke Academy District,2012,9,CT,ecd,nec,0,5.5,0,227,12,18.91666666666667,0,6.283213899773126,.1842714512849185,.1878446312246541,5.960664072962519,.1059300836928824,.1119122977376958
900007,Jumoke Academy District,2012,9,CT,ecd,neg,1,5.5,0,603,12,50.25,0,.9490761964746639,.2278149156269448,.2278149156269448,.7683461638245124,.0806244079134711,.0806244079134711
900007,Jumoke Academy District,2013,9,CT,all,all,0,5.5,0,775,12,64.58333333333333,0,5.588133495197678,.0980496985265162,.1078217081067634,5.465628436410758,.0827347329831842,.0939805397406316
900007,Jumoke Academy District,2013,9,CT,race,blk,0,5.5,0,755,12,62.91666666666666,0,5.609011182509644,.0992387298852002,.1089040994046924,5.480463049132353,.0837388135261064,.0948656665970448
900007,Jumoke Academy District,2013,9,CT,ecd,ecd,0,5.5,0,56,11,5.090909090909091,0,5.003899845307433,.3560107551822276,.3588250759957272,5.122949515397319,.1000382493111678,.1095214916506574
900007,Jumoke Academy District,2013,9,CT,gender,fem,0,5.5,0,428,12,35.66666666666666,0,5.529167499863181,.1290595509109966,.1366314203954109,5.582774691675231,.0861794731398369,.0970268385489371
900007,Jumoke Academy District,2013,9,CT,gender,mal,0,5.5,0,347,12,28.91666666666667,0,5.649988819564987,.1435035523627314,.1503497485819067,5.336541837394117,.0861999129511868,.0970449936933061
900007,Jumoke Academy District,2013,9,CT,gender,mfg,1,5.5,0,775,12,64.58333333333333,0,.1208213197018058,.1930016508273214,.1930016508273214,-.2462328542811134,.0341651064663125,.0341651064663125
900007,Jumoke Academy District,2013,9,CT,ecd,nec,0,5.5,0,716,12,59.66666666666666,0,5.66871456964987,.1018983854385428,.1113330962153717,5.570688040655552,.0868637382782884,.097635110671421
900007,Jumoke Academy District,2013,9,CT,ecd,neg,1,5.5,0,772,11,70.18181818181819,0,.6648147243424365,.3703065470126093,.3703065470126093,.4477385252582335,.0621521380913382,.0621521380913382
900007,Jumoke Academy District,2015,9,CT,all,all,0,5.5,0,834,12,69.5,0,4.615762766185519,.1006756441620834,.1128059820945777,4.626678663571171,.0927271296532867,.1055374639570997
900007,Jumoke Academy District,2015,9,CT,race,blk,0,5.5,0,820,12,68.33333333333333,0,4.600834227372162,.1015756201220856,.1136099065753422,4.625429285339467,.0936772117195625,.1063731907968846
900007,Jumoke Academy District,2015,9,CT,ecd,ecd,0,5.5,0,478,12,39.83333333333334,0,4.27977574744686,.1279740279165248,.1377205725011743,4.251614823994247,.1085323909709472,.1196625071383231
900007,Jumoke Academy District,2015,9,CT,gender,fem,0,5.5,0,454,12,37.83333333333334,0,5.046840701254427,.1319822596908113,.1414528937207172,4.911698740387895,.098205994067468,.1103823038151416
900007,Jumoke Academy District,2015,9,CT,gender,mal,0,5.5,0,380,12,31.66666666666667,0,4.10757513838954,.1489319604035236,.1573859367875937,4.329872607373932,.0985037853045117,.1106473291321395
900007,Jumoke Academy District,2015,9,CT,gender,mfg,1,5.5,0,834,12,69.5,0,-.9392655628648869,.1989976022537193,.1989976022537193,-.5818261330139638,.0463764147236718,.0463764147236718
900007,Jumoke Academy District,2015,9,CT,ecd,nec,0,5.5,0,356,12,29.66666666666667,0,5.128705966742088,.1522009764498114,.160482838649956,5.099440049636237,.124160818483805,.1339990469045472
900007,Jumoke Academy District,2015,9,CT,ecd,neg,1,5.5,0,834,12,69.5,0,.8489302192952284,.1988529332281913,.1988529332281913,.8478252256419898,.0999927376811138,.0999927376811138
900007,Jumoke Academy District,2016,9,CT,all,all,0,5.5,0,837,12,69.75,0,4.462794922645699,.1015055546664057,.1082182493683065,4.479484844700606,.0850330399913519,.0928031469036716
900007,Jumoke Academy District,2016,9,CT,race,blk,0,5.5,0,793,12,66.08333333333333,0,4.444306850237015,.1041663230650113,.1107178157709525,4.463417992260146,.0861795065671652,.0938547470148082
900007,Jumoke Academy District,2016,9,CT,ecd,ecd,0,5.5,0,554,12,46.16666666666666,0,4.048915205049543,.1196996680145559,.1254425063166436,4.063296061243705,.0970838551401971,.1039571118968605
900007,Jumoke Academy District,2016,9,CT,gender,fem,0,5.5,0,438,12,36.5,0,4.662962437557046,.1374576515623385,.1424865531944666,4.773764052283732,.0878531836419644,.0953938575647422
900007,Jumoke Academy District,2016,9,CT,gender,mal,0,5.5,0,399,12,33.25,0,4.218917602526136,.1466282805736353,.1513527817127489,4.164020939483914,.087901090754327,.095437979551403
900007,Jumoke Academy District,2016,9,CT,gender,mfg,1,5.5,0,837,12,69.75,0,-.4440448350309101,.2009837272940622,.2009837272940622,-.6097431127998183,.0313615664705616,.0313615664705616
900007,Jumoke Academy District,2016,9,CT,ecd,nec,0,5.5,0,283,12,23.58333333333333,0,5.337252809667658,.1714544367892396,.1755119248453553,5.08683059747923,.1160636026806958,.1218711042547658
900007,Jumoke Academy District,2016,9,CT,ecd,neg,1,5.5,0,837,12,69.75,0,1.288337604618115,.2091043625023405,.2091043625023405,1.023534536235525,.0918411618816067,.0918411618816067
900007,Jumoke Academy District,2017,9,CT,all,all,0,5.5,0,752,11,68.36363636363636,0,4.248429423435863,.1100378956404552,.1230794075074869,4.312380968166001,.0762835987935112,.0932558217628406
900007,Jumoke Academy District,2017,9,CT,race,blk,0,5.5,0,706,11,64.18181818181819,0,4.215646812387717,.1137334495991988,.1263942231003767,4.286774200638656,.077541497050628,.0942875634038015
900007,Jumoke Academy District,2017,9,CT,ecd,ecd,0,5.5,0,350,11,31.81818181818182,0,3.854364947565202,.1542874342728282,.163843872176858,3.851933683338332,.0926959833909692,.1070981147574137
900007,Jumoke Academy District,2017,9,CT,gender,fem,0,5.5,0,392,11,35.63636363636363,0,4.620135748225115,.1483240111564945,.1582410008846197,4.630267634841137,.0779784251352306,.0946472167279317
900007,Jumoke Academy District,2017,9,CT,gender,mal,0,5.5,0,330,10,33,0,3.841697111581182,.1672066217372791,.1760632171357999,3.975631904564957,.0779334133860884,.0946101356609336
900007,Jumoke Academy District,2017,9,CT,gender,mfg,1,5.5,0,722,10,72.2,0,-.7784386366439335,.2235130122349601,.2235130122349601,-.6546357302761803,.0227129218463619,.0227129218463619
900007,Jumoke Academy District,2017,9,CT,ecd,nec,0,5.5,0,402,11,36.54545454545455,0,4.646412591010855,.1499429815466784,.1597595061037741,4.775384518675946,.0967397781331388,.1106166602326351
900007,Jumoke Academy District,2017,9,CT,ecd,neg,1,5.5,0,752,11,68.36363636363636,0,.7920476434456529,.2151453231878392,.2151453231878392,.9234508353376141,.0794528484089086,.0794528484089086
900007,Jumoke Academy District,2018,9,CT,all,all,0,5.5,0,838,12,69.83333333333333,0,4.296490618901556,.1061679776033174,.1128566195352197,4.288251606604743,.0797514192120515,.0882658912918273
900007,Jumoke Academy District,2018,9,CT,race,blk,0,5.5,0,780,12,65,0,4.280049209866402,.1099889210985743,.1164583181613372,4.272186048411954,.0801883054622289,.0886608314426839
900007,Jumoke Academy District,2018,9,CT,ecd,ecd,0,5.5,0,421,12,35.08333333333334,0,3.613377034762148,.1485970761241609,.1534472812961784,3.746175594504332,.0930807320048483,.1004718934317587
900007,Jumoke Academy District,2018,9,CT,gender,fem,0,5.5,0,327,9,36.33333333333334,0,4.834486766851824,.1629842733366855,.1674181903486782,4.650141126591281,.0808226674356047,.0892349834460154
900007,Jumoke Academy District,2018,9,CT,race,hsp,0,5.5,0,46,12,3.833333333333333,0,4.781396823649356,.3621729782512632,.3641898451081919,4.448218288776279,.0810451120297395,.0894365075521026
900007,Jumoke Academy District,2018,9,CT,gender,mal,0,5.5,0,398,12,33.16666666666666,0,3.764842253817532,.1565507203870177,.161161736023887,3.904894601024091,.0808061739737663,.0892200451215021
900007,Jumoke Academy District,2018,9,CT,gender,mfg,1,5.5,0,725,9,80.55555555555556,0,-1.069644513034292,.2259911533861041,.2259911533861041,-.7452465255671901,.0184760274683756,.0184760274683756
900007,Jumoke Academy District,2018,9,CT,ecd,nec,0,5.5,0,310,9,34.44444444444444,0,5.064624318701346,.1697013973770614,.1739641956733228,4.87103395177846,.0986989425048306,.1056979656889202
900007,Jumoke Academy District,2018,9,CT,ecd,neg,1,5.5,0,731,9,81.22222222222223,0,1.451247283939198,.2255651908082827,.2255651908082827,1.124858357274128,.0753984495162698,.0753984495162698
900007,Jumoke Academy District,2019,9,CT,all,all,0,5.5,0,818,12,68.16666666666667,0,4.001540183439754,.1101212725910025,.1220501026779955,4.054626066610691,.0889920786803921,.1028871818388943
900007,Jumoke Academy District,2019,9,CT,race,blk,0,5.5,0,762,12,63.5,0,3.992302409310915,.1140945307348414,.1256467064043106,4.039757954861865,.09121256659282,.1048137129546618
900007,Jumoke Academy District,2019,9,CT,ecd,ecd,0,5.5,0,432,12,36,0,3.504197568165686,.148795072214566,.1578274576934739,3.546478149218073,.1025343087963699,.1148018579956002
900007,Jumoke Academy District,2019,9,CT,gender,fem,0,5.5,0,408,12,34,0,4.365372667553441,.1504722480895584,.159409630611745,4.413874948919789,.0914884440587371,.1050538791058249
900007,Jumoke Academy District,2019,9,CT,race,hsp,0,5.5,0,44,12,3.666666666666667,0,4.34274675359721,.3703929849212081,.3741129457336242,4.320152938315344,.0923075149324525,.1057679508731145
900007,Jumoke Academy District,2019,9,CT,gender,mal,0,5.5,0,410,12,34.16666666666666,0,3.651857713347253,.1548327472344097,.1635319922914228,3.677502488011094,.0915221379117614,.1050832234318689
900007,Jumoke Academy District,2019,9,CT,gender,mfg,1,5.5,0,818,12,68.16666666666667,0,-.7135149542061883,.215905250193876,.215905250193876,-.7363724609086946,.0301207069723461,.0301207069723461
900007,Jumoke Academy District,2019,9,CT,ecd,nec,0,5.5,0,386,12,32.16666666666666,0,4.561099825885106,.1558957784435832,.1645388301379894,4.591249787273934,.1116278162763973,.1229916724235008
900007,Jumoke Academy District,2019,9,CT,ecd,neg,1,5.5,0,818,12,68.16666666666667,0,1.05690225771942,.2155074644922275,.2155074644922275,1.044771638055861,.084468181650088,.084468181650088
900007,Jumoke Academy District,2022,9,CT,all,all,0,5.5,0,608,10,60.8,0,3.176698705548269,.1486903395841406,.1646344401584022,3.344166244218333,.0161957799786488,.0705638701477354
900007,Jumoke Academy District,2022,9,CT,race,blk,0,5.5,0,454,8,56.75,0,2.6735411437417,.2140526547444082,.2254200984911334,3.329135074470744,.0198039249793616,.0714783318614658
900007,Jumoke Academy District,2022,9,CT,gender,fem,0,5.5,0,261,8,32.625,0,2.870712206056119,.2645062458940011,.2737868439453606,3.513090108802483,.0171740556516793,.0707948067914352
900007,Jumoke Academy District,2022,9,CT,gender,mal,0,5.5,0,229,8,28.625,0,2.739927540469969,.276597285125094,.2854850958267279,3.337892420563643,.0179180416313526,.0709789595374047
900007,Jumoke Academy District,2022,9,CT,gender,mfg,1,5.5,0,490,8,61.25,0,-.1307846655861504,.382713485855294,.382713485855294,-.17519768823884,.009560220980514,.009560220980514
900007,Jumoke Academy District,2023,9,CT,all,all,0,5.5,0,639,11,58.09090909090909,0,3.150808683873028,.1495050718714482,.1571078479866825,2.991318682370141,.0429366839271852,.0642157934121595
900007,Jumoke Academy District,2023,9,CT,race,blk,0,5.5,0,378,7,54,0,2.857720697202045,.195933231773146,.2017943029344213,2.973923098888826,.0448235160312793,.0654924185405952
900007,Jumoke Academy District,2023,9,CT,ecd,ecd,0,5.5,0,503,9,55.88888888888889,0,3.056908975867028,.1717909104438781,.1784467043541466,2.991318682370141,.0429366839271852,.0642157934121595
900007,Jumoke Academy District,2023,9,CT,gender,fem,0,5.5,0,320,10,32,0,3.21631008172135,.1960731677239506,.2019301772519999,3.104603693399693,.0430240176553846,.0642742202761029
900007,Jumoke Academy District,2023,9,CT,gender,mal,0,5.5,0,251,10,25.1,0,3.31231518703601,.2063858635462689,.211958095045834,3.05869788573112,.0429847882148416,.0642479673979258
900007,Jumoke Academy District,2023,9,CT,gender,mfg,1,5.5,0,571,10,57.1,0,.09600510531466,.2846749229789017,.2846749229789017,-.0459058076685723,.0034118118001468,.0034118118001468
900007,Jumoke Academy District,2024,9,CT,all,all,0,5.5,0,534,10,53.4,0,2.684523519377094,.1731531574118605,.1851992204796876,2.623259339703711,.0432635059073187,.0778559436400376
900007,Jumoke Academy District,2024,9,CT,race,blk,0,5.5,0,256,5,51.2,0,3.464661863379701,.2310004124123207,.2401622907103645,2.625873379412128,.0444965417795906,.0785478150366448
900007,Jumoke Academy District,2024,9,CT,ecd,ecd,0,5.5,0,467,9,51.88888888888889,0,2.92954541919678,.1775112731758831,.1892801823992949,2.623259339703711,.0432635059073187,.0778559436400376
900007,Jumoke Academy District,2024,9,CT,gender,fem,0,5.5,0,248,8,31,0,2.808776935920603,.2356034713473631,.2445929906099419,2.707540462248782,.0433089342113832,.0778811966986514
900007,Jumoke Academy District,2024,9,CT,gender,mal,0,5.5,0,185,7,26.42857142857143,0,2.873126293630322,.2749581849239681,.2826990251155289,2.732784135340375,.0433270192606364,.0778912550592149
900007,Jumoke Academy District,2024,9,CT,gender,mfg,1,5.5,0,433,7,61.85714285714285,0,.0643493577097196,.3620925284614566,.3620925284614566,.0252436730915924,.0030712365184531,.0030712365184531
900007,Jumoke Academy District,2025,9,CT,all,all,0,5.5,0,516,10,51.6,0,2.20834268801945,.1803527321619957,.1921510407673459,2.363706708947459,.0121373455187547,.0662735728100516
900007,Jumoke Academy District,2025,9,CT,race,blk,0,5.5,0,326,7,46.57142857142857,0,1.748237753090309,.2411852535771395,.2501304479921362,2.364824114346967,.0123515039199357,.0663131280053336
900007,Jumoke Academy District,2025,9,CT,ecd,ecd,0,5.5,0,516,10,51.6,0,2.238107764878921,.1772339599328257,.1892268242695737,2.363706708947459,.0121373455187547,.0662735728100516
900007,Jumoke Academy District,2025,9,CT,gender,fem,0,5.5,0,185,6,30.83333333333333,0,2.292567850352274,.3436527677731696,.3499887702024705,2.405962129571769,.0124904970018356,.0663391574571191
900007,Jumoke Academy District,2025,9,CT,gender,mal,0,5.5,0,129,5,25.8,0,1.492279947710837,.5554597460654661,.5594018626790491,2.506148751784536,.0124885442021805,.0663387898070004
900007,Jumoke Academy District,2025,9,CT,gender,mfg,1,5.5,0,314,5,62.8,0,-.8002879026414362,.6531713054760383,.6531713054760383,.100186622212767,.0041648456345236,.0041648456345236
900009,Odyssey Community School District,2009,9,CT,all,all,0,5.5,0,344,10,34.4,0,4.654798208010516,.1613231089808174,.1684919901022321,4.903639015838344,.1082151205703437,.1181661406433907
900009,Odyssey Community School District,2009,9,CT,race,blk,0,5.5,0,102,10,10.2,0,4.248659384059841,.2811000971678586,.2852747270004014,4.406943035848281,.112824964160866,.1224017851683556
900009,Odyssey Community School District,2009,9,CT,ecd,ecd,0,5.5,0,114,10,11.4,0,4.41603511250962,.2584688457511777,.2630029457274578,4.325177110823845,.1262229669424644,.1348516290530375
900009,Odyssey Community School District,2009,9,CT,gender,fem,0,5.5,0,186,10,18.6,0,4.945099191731324,.2117085300585828,.2172208713198155,5.000215244261967,.1112159522631217,.1209202733717243
900009,Odyssey Community School District,2009,9,CT,race,hsp,0,5.5,0,68,10,6.8,0,4.309562983902017,.2973283742439192,.3012782225251372,4.55058384369247,.1180467622717259,.1272311383165966
900009,Odyssey Community School District,2009,9,CT,gender,mal,0,5.5,0,158,10,15.8,0,4.383158389446981,.243322657026311,.2481336749812846,4.791913508462009,.1117010625043239,.121366601003301
900009,Odyssey Community School District,2009,9,CT,gender,mfg,1,5.5,0,344,10,34.4,0,-.5619408022843428,.3225312653401367,.3225312653401367,-.2083017357999575,.0377503743329758,.0377503743329758
900009,Odyssey Community School District,2009,9,CT,ecd,nec,0,5.5,0,230,10,23,0,4.782799257772433,.1980907699384844,.2039714646027614,5.163280784737444,.125564424950167,.1342354248608231
