sedaadmin,sedaadminname,year,fips,stateabb,subcat,subgroup,gap,gradecenter,multi_comp_mth,multi_comp_rla,tot_asmts_mth,tot_asmts_rla,cellcount_mth,cellcount_rla,mn_asmts_mth,mn_asmts_rla,flag_estasmt_mth,flag_estasmt_rla,gcs_mn_avg_mth_ol,gcs_mn_avg_rla_ol,gcs_mn_avg_mth_ol_se,gcs_mn_avg_rla_ol_se,gcs_mn_avg_mth_ol_se_adj,gcs_mn_avg_rla_ol_se_adj,gcs_mn_avg_mth_eb,gcs_mn_avg_rla_eb,gcs_mn_avg_mth_eb_se,gcs_mn_avg_rla_eb_se,gcs_mn_avg_mth_eb_se_adj,gcs_mn_avg_rla_eb_se_adj
900004,Unified School District #2,2009,9,CT,all,all,0,5.5,0,0,55,,4,,13.75,,0,0,-.0527611303828532,,.701686862865468,,.7050949560176032,,.0590739892077243,,.1600350821201096,,.1734347497652648,
900004,Unified School District #2,2009,9,CT,gender,mal,0,5.5,0,0,36,,4,,9,,0,0,.0561057039483558,,.7439273495153004,,.7471427874511963,,.2221844628099925,,.1608267439576858,,.1741655146376022,
900004,Unified School District #2,2010,9,CT,all,all,0,5.5,0,0,55,,6,,9.166666666666666,,0,0,-.084348789282361,,.5635241067867599,,.5661321569116776,,.4121186685256708,,.0563872097034112,,.0772011184324213,
900004,Unified School District #2,2010,9,CT,ecd,ecd,0,5.5,0,0,55,,6,,9.166666666666666,,0,0,-.0821809687364133,,.5628884761541637,,.5654994577776439,,.4121186685256708,,.0563872097034112,,.0772011184324213,
900007,Jumoke Academy District,2009,9,CT,all,all,0,5.5,0,0,234,234,6,6,39,39,0,0,4.90874806610841,4.985428402308196,.1702843114703462,.2008455777462258,.183823802094325,.2122759981885844,5.163404695456867,5.415388862599784,.1194003410269332,.1120448284923819,.136838687344982,.1302419242264387
900007,Jumoke Academy District,2009,9,CT,race,blk,0,5.5,0,0,228,228,6,6,38,38,0,0,4.897498087030189,4.974262923782938,.1725529821486193,.2024616050046777,.1859273383122166,.2138056472776498,5.150682861062785,5.418836818889893,.1205261031273881,.1130566450709649,.1378220825993556,.1311133869176609
900007,Jumoke Academy District,2009,9,CT,ecd,ecd,0,5.5,0,0,117,117,6,6,19.5,19.5,0,0,4.703335676448181,4.71278545915813,.2279078453615166,.2700711214501187,.2381941003904435,.2786764502932916,4.907493290698362,5.194697681988807,.1287269242824357,.1220142162144968,.1450482883462115,.1389114257098965
900007,Jumoke Academy District,2009,9,CT,gender,fem,0,5.5,0,0,131,131,6,6,21.83333333333333,21.83333333333333,0,0,4.845770844577443,5.191798677822519,.2232996447672184,.2561614435415041,.233788739755895,.2652184730821213,5.077731001461806,5.503172970912869,.1200632345493082,.1131164550434146,.1374174850861127,.1311649634464439
900007,Jumoke Academy District,2009,9,CT,gender,mal,0,5.5,0,0,103,103,6,6,17.16666666666667,17.16666666666667,0,0,4.958881352206533,4.683539598468679,.2544419694987682,.3079475763564236,.2636952015602404,.3155215730984808,5.298455597255401,5.293932842693756,.1204541330111818,.1130785115549778,.1377591487939195,.1311322424493967
900007,Jumoke Academy District,2009,9,CT,gender,mfg,1,5.5,0,0,234,234,6,6,39,39,0,0,.1131105076290897,-.5082590793538406,.3385313090329726,.4005625980306481,.3385313090329726,.4005625980306481,.2207245957935955,-.209240128219113,.0202853537120205,.021771426074181,.0202853537120205,.021771426074181
