"Per Pupil Expenditures by Function (District), 2018-19"
"All Districts"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than minor school construction and equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 3 = Total pupils transported"

"District","District Code","Function","Expenditures","Pupils","Pupil Basis","PPE"
"Achievement First Bridgeport Academy District","=""2850013""","Instruction","$7,814,629",1093,1,"$7,150"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - students","$1,245,016",1093,2,"$1,139"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - instruction","$500,385",1093,2,"$458"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - general administration","$0",1093,2,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - school based administration","$1,657,042",1093,2,"$1,516"
"Achievement First Bridgeport Academy District","=""2850013""","Central and other support services","$1,293,430",1093,2,"$1,183"
"Achievement First Bridgeport Academy District","=""2850013""","Operation and maintenance of plant","$662,267",1093,2,"$606"
"Achievement First Bridgeport Academy District","=""2850013""","Student transportation services","$215,066",69,3,"$3,117"
"Achievement First Bridgeport Academy District","=""2850013""","Food services","$0",1093,2,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Enterprise operations","$0",1093,2,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Minor school construction","$0",1093,2,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Total","$13,387,835",1093,1,"$12,249"
"Achievement First Hartford Academy District","=""2880013""","Instruction","$9,443,923",1112,1,"$8,493"
"Achievement First Hartford Academy District","=""2880013""","Support services - students","$1,456,300",1112,2,"$1,310"
"Achievement First Hartford Academy District","=""2880013""","Support services - instruction","$397,067",1112,2,"$357"
"Achievement First Hartford Academy District","=""2880013""","Support services - general administration","$0",1112,2,"$0"
"Achievement First Hartford Academy District","=""2880013""","Support services - school based administration","$2,492,241",1112,2,"$2,241"
"Achievement First Hartford Academy District","=""2880013""","Central and other support services","$1,578,584",1112,2,"$1,420"
"Achievement First Hartford Academy District","=""2880013""","Operation and maintenance of plant","$41,409",1112,2,"$37"
"Achievement First Hartford Academy District","=""2880013""","Student transportation services","$11,145",20,3,"$557"
"Achievement First Hartford Academy District","=""2880013""","Food services","$0",1112,2,"$0"
"Achievement First Hartford Academy District","=""2880013""","Enterprise operations","$0",1112,2,"$0"
"Achievement First Hartford Academy District","=""2880013""","Minor school construction","$0",1112,2,"$0"
"Achievement First Hartford Academy District","=""2880013""","Total","$15,420,669",1112,1,"$13,868"
"Amistad Academy District","=""2790013""","Instruction","$7,814,187",1083,1,"$7,215"
"Amistad Academy District","=""2790013""","Support services - students","$1,351,840",1083,2,"$1,248"
"Amistad Academy District","=""2790013""","Support services - instruction","$416,302",1083,2,"$384"
"Amistad Academy District","=""2790013""","Support services - general administration","$0",1083,2,"$0"
"Amistad Academy District","=""2790013""","Support services - school based administration","$1,677,444",1083,2,"$1,549"
"Amistad Academy District","=""2790013""","Central and other support services","$1,262,323",1083,2,"$1,166"
"Amistad Academy District","=""2790013""","Operation and maintenance of plant","$561,978",1083,2,"$519"
"Amistad Academy District","=""2790013""","Student transportation services","$182,351",79,3,"$2,308"
"Amistad Academy District","=""2790013""","Food services","$0",1083,2,"$0"
"Amistad Academy District","=""2790013""","Enterprise operations","$0",1083,2,"$0"
"Amistad Academy District","=""2790013""","Minor school construction","$0",1083,2,"$0"
"Amistad Academy District","=""2790013""","Total","$13,266,425",1083,1,"$12,250"
"Andover School District","=""0010011""","Instruction","$2,654,194",195,1,"$13,611"
"Andover School District","=""0010011""","Support services - students","$216,835",191,2,"$1,135"
"Andover School District","=""0010011""","Support services - instruction","$280,939",191,2,"$1,471"
"Andover School District","=""0010011""","Support services - general administration","$177,724",191,2,"$930"
"Andover School District","=""0010011""","Support services - school based administration","$230,539",191,2,"$1,207"
"Andover School District","=""0010011""","Central and other support services","$146,352",191,2,"$766"
"Andover School District","=""0010011""","Operation and maintenance of plant","$602,987",191,2,"$3,157"
"Andover School District","=""0010011""","Student transportation services","$138,325",154,3,"$898"
"Andover School District","=""0010011""","Food services","$0",191,2,"$0"
"Andover School District","=""0010011""","Enterprise operations","$24,490",191,2,"$128"
"Andover School District","=""0010011""","Minor school construction","$0",191,2,"$0"
"Andover School District","=""0010011""","Total","$4,472,386",195,1,"$22,935"
"Ansonia School District","=""0020011""","Instruction","$27,858,690",2538,1,"$10,977"
"Ansonia School District","=""0020011""","Support services - students","$306,337",2305,2,"$133"
"Ansonia School District","=""0020011""","Support services - instruction","$72,106",2305,2,"$31"
"Ansonia School District","=""0020011""","Support services - general administration","$725,426",2305,2,"$315"
"Ansonia School District","=""0020011""","Support services - school based administration","$2,377,414",2305,2,"$1,031"
"Ansonia School District","=""0020011""","Central and other support services","$2,471,277",2305,2,"$1,072"
"Ansonia School District","=""0020011""","Operation and maintenance of plant","$3,535,201",2305,2,"$1,534"
"Ansonia School District","=""0020011""","Student transportation services","$2,297,528",2551,3,"$901"
"Ansonia School District","=""0020011""","Food services","$0",2305,2,"$0"
"Ansonia School District","=""0020011""","Enterprise operations","$82,338",2305,2,"$36"
"Ansonia School District","=""0020011""","Minor school construction","$0",2305,2,"$0"
"Ansonia School District","=""0020011""","Total","$39,726,318",2538,1,"$15,653"
"Area Cooperative Educational Services","=""2440014""","Instruction","$50,660,562",2189,1,"$23,143"
"Area Cooperative Educational Services","=""2440014""","Support services - students","$4,921,283",2189,2,"$2,248"
"Area Cooperative Educational Services","=""2440014""","Support services - instruction","$1,568,371",2189,2,"$716"
"Area Cooperative Educational Services","=""2440014""","Support services - general administration","$2,613,369",2189,2,"$1,194"
"Area Cooperative Educational Services","=""2440014""","Support services - school based administration","$2,158,795",2189,2,"$986"
"Area Cooperative Educational Services","=""2440014""","Central and other support services","$3,584,748",2189,2,"$1,638"
"Area Cooperative Educational Services","=""2440014""","Operation and maintenance of plant","$6,630,174",2189,2,"$3,029"
"Area Cooperative Educational Services","=""2440014""","Student transportation services","$2,949,594",1184,3,"$2,491"
"Area Cooperative Educational Services","=""2440014""","Food services","$0",2189,2,"$0"
