"Per Pupil Expenditures by Function (District), 2020-21"
"All Districts"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 3 = Total pupils transported"

"District","District Code","Function","Expenditures","Pupils","Pupil Basis","PPE"
"Achievement First Bridgeport Academy District","=""2850013""","Instruction","$8,340,179",1127,1,"$7,400"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - students","$1,412,618",1127,2,"$1,253"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - instruction","$187,824",1127,2,"$167"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - general administration","$0",1127,2,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - school based administration","$2,428,739",1127,2,"$2,155"
"Achievement First Bridgeport Academy District","=""2850013""","Central and other support services","$1,311,039",1127,2,"$1,163"
"Achievement First Bridgeport Academy District","=""2850013""","Operation and maintenance of plant","$783,467",1127,2,"$695"
"Achievement First Bridgeport Academy District","=""2850013""","Student transportation services","$163,705",69,3,"$2,373"
"Achievement First Bridgeport Academy District","=""2850013""","Food services","$0",1127,2,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Enterprise operations","$0",1127,2,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Minor school construction","N/A","N/A","N/A","N/A"
"Achievement First Bridgeport Academy District","=""2850013""","Total","$14,627,570",1127,1,"$12,979"
"Achievement First Hartford Academy District","=""2880013""","Instruction","$10,038,109",1164,1,"$8,624"
"Achievement First Hartford Academy District","=""2880013""","Support services - students","$1,415,385",1164,2,"$1,216"
"Achievement First Hartford Academy District","=""2880013""","Support services - instruction","$197,049",1164,2,"$169"
"Achievement First Hartford Academy District","=""2880013""","Support services - general administration","$0",1164,2,"$0"
"Achievement First Hartford Academy District","=""2880013""","Support services - school based administration","$2,415,244",1164,2,"$2,075"
"Achievement First Hartford Academy District","=""2880013""","Central and other support services","$1,560,689",1164,2,"$1,341"
"Achievement First Hartford Academy District","=""2880013""","Operation and maintenance of plant","$45,868",1164,2,"$39"
"Achievement First Hartford Academy District","=""2880013""","Student transportation services","$821",19,3,"$43"
"Achievement First Hartford Academy District","=""2880013""","Food services","$0",1164,2,"$0"
"Achievement First Hartford Academy District","=""2880013""","Enterprise operations","$0",1164,2,"$0"
"Achievement First Hartford Academy District","=""2880013""","Minor school construction","N/A","N/A","N/A","N/A"
"Achievement First Hartford Academy District","=""2880013""","Total","$15,673,166",1164,1,"$13,465"
"Amistad Academy District","=""2790013""","Instruction","$8,590,378",1134,1,"$7,575"
"Amistad Academy District","=""2790013""","Support services - students","$1,567,281",1134,2,"$1,382"
"Amistad Academy District","=""2790013""","Support services - instruction","$276,518",1134,2,"$244"
"Amistad Academy District","=""2790013""","Support services - general administration","$0",1134,2,"$0"
"Amistad Academy District","=""2790013""","Support services - school based administration","$2,427,660",1134,2,"$2,141"
"Amistad Academy District","=""2790013""","Central and other support services","$1,421,967",1134,2,"$1,254"
"Amistad Academy District","=""2790013""","Operation and maintenance of plant","$766,672",1134,2,"$676"
"Amistad Academy District","=""2790013""","Student transportation services","$161,341",79,3,"$2,042"
"Amistad Academy District","=""2790013""","Food services","$0",1134,2,"$0"
"Amistad Academy District","=""2790013""","Enterprise operations","$0",1134,2,"$0"
"Amistad Academy District","=""2790013""","Minor school construction","N/A","N/A","N/A","N/A"
"Amistad Academy District","=""2790013""","Total","$15,211,817",1134,1,"$13,414"
"Andover School District","=""0010011""","Instruction","$2,738,565",179,1,"$15,299"
"Andover School District","=""0010011""","Support services - students","$156,515",173,2,"$905"
"Andover School District","=""0010011""","Support services - instruction","$224,074",173,2,"$1,295"
"Andover School District","=""0010011""","Support services - general administration","$145,078",173,2,"$839"
"Andover School District","=""0010011""","Support services - school based administration","$219,824",173,2,"$1,271"
"Andover School District","=""0010011""","Central and other support services","$204,416",173,2,"$1,182"
"Andover School District","=""0010011""","Operation and maintenance of plant","$517,320",173,2,"$2,990"
"Andover School District","=""0010011""","Student transportation services","$104,027",145,3,"$717"
"Andover School District","=""0010011""","Food services","$0",173,2,"$0"
"Andover School District","=""0010011""","Enterprise operations","$25,487",173,2,"$147"
"Andover School District","=""0010011""","Minor school construction","N/A","N/A","N/A","N/A"
"Andover School District","=""0010011""","Total","$4,335,305",179,1,"$24,220"
"Ansonia School District","=""0020011""","Instruction","$29,693,706",2430,1,"$12,220"
"Ansonia School District","=""0020011""","Support services - students","$1,665,876",2217,2,"$751"
"Ansonia School District","=""0020011""","Support services - instruction","$447,081",2217,2,"$202"
"Ansonia School District","=""0020011""","Support services - general administration","$371,484",2217,2,"$168"
"Ansonia School District","=""0020011""","Support services - school based administration","$2,009,799",2217,2,"$907"
"Ansonia School District","=""0020011""","Central and other support services","$1,711,168",2217,2,"$772"
"Ansonia School District","=""0020011""","Operation and maintenance of plant","$4,921,418",2217,2,"$2,220"
"Ansonia School District","=""0020011""","Student transportation services","$2,011,403",2337,3,"$861"
"Ansonia School District","=""0020011""","Food services","$0",2217,2,"$0"
"Ansonia School District","=""0020011""","Enterprise operations","$293,587",2217,2,"$132"
