fiscal_year,source_sheet,source_file,source_type,is_primary,n_towns,need_weight_frpl,need_weight_conc_pov,need_weight_ell,conc_pov_threshold,wealth_threshold_factor,engl_weight,mhi_weight,min_bar_nonalliance,min_bar_alliance,foundation,adj_pct_underfunded,adj_pct_overfunded,pct_under_applied,pct_over_applied,phase_in_gap_base,phase_in_start_base,hh_floor_fy2017,phase_in_statute,engl_median,engl_threshold,mhi_median,mhi_threshold,count_date,engl_grand_list_years,population_year,mhi_year,missing_columns
2018,Simulation1,ECS Shell 2017-18 Final Version.xls,"OFA shell (official, received 2026-09-15); Nov-2016 pre-PA 17-2 proposal",False,169,,0.05,0.15,0.75,,,,,,,,,,,n/a (PA 17-2 statutory amounts and holdbacks),,False,"CGS 10-262h, FY2018 paragraph (PA 17-2 June Sp. Sess. secs. 225-230): alliance districts receive the base grant (their FY2017 grant); other towns 95% of it; the November 2017 holdbacks followed. Not a formula year.",133723.67,180526.95,80850.0,109147.5,10/2016,"2012,2013,2014",2014,2014,conc_pov_students_above_threshold;endowed_students;endowed_grades;endowed_bonus;fully_funded_grant_hh;prior_year_entitlement;gap_vs_fy2017;grant_adjustment;ff_greater_than_prior;phase_in_amount;entitlement_no_hh
2019,FY 2018-19,ecs shell 2018-19-only.xlsx,"OFA shell (official, received 2026-09-15)",True,169,0.3,0.05,0.15,0.75,1.35,0.7,0.3,0.01,0.1,11525.0,,,0.041,0.25,fy2017,fy2017,False,"CGS 10-262h, FY2019 paragraph (PA 17-2 June Sp. Sess.): base grant + 4.1% of the grant adjustment if the fully funded grant exceeds the base grant, base grant - 25% of it otherwise; alliance districts below full funding receive the base grant.",134030.58,180941.28,81650.0,110227.5,10/2017,"2013,2014,2015",2015,2015,conc_pov_threshold_students;excess_frpl_students;ell_weighted;pic_bar_adjustment;endowed_students;endowed_grades;endowed_bonus;prior_year_entitlement;grant_adjustment;ff_greater_than_prior;phase_in_amount;entitlement_no_hh
2020,FY 2019-20,ecs shell 2019-2020.xlsx,"OFA shell (official, received 2026-09-15)",True,169,0.3,0.05,0.15,0.75,1.35,0.7,0.3,0.01,0.1,11525.0,,,0.1066,0.0833,fy2017,prior,False,"CGS 10-262h, FY2020-21 paragraph (PA 17-2 June Sp. Sess.; unchanged by PA 19-117): previous year + 10.66% / - 8.33% of the grant adjustment, measured against the base (FY2017) grant; alliance districts below full funding receive the base grant.",136597.79,184407.02,82714.0,111663.9,10/2018,"2014,2015,2016",2016,2016,conc_pov_threshold_students;excess_frpl_students;ell_weighted;pic_bar_adjustment;endowed_students;endowed_grades;endowed_bonus;grant_adjustment;ff_greater_than_prior;phase_in_amount;entitlement_no_hh
2021,FY 2020-21,ecs shell 2020-21.xlsx,"OFA shell (official, received 2026-09-15)",True,169,0.3,0.05,0.15,0.75,1.35,0.7,0.3,0.01,0.1,11525.0,0.1066,0.0833,0.1066,0.0833,fy2017,prior,False,"CGS 10-262h, FY2020-21 paragraph (PA 17-2 June Sp. Sess.; unchanged by PA 19-117): previous year + 10.66% / - 8.33% of the grant adjustment, measured against the base (FY2017) grant; alliance districts below full funding receive the base grant.",138296.42,186700.17,85296.0,115149.6,10/2019,"2015,2016,2017",2017,2017,conc_pov_threshold_students;excess_frpl_students;ell_weighted;endowed_students;endowed_grades;endowed_bonus;fully_funded_grant_hh;gap_vs_fy2017
2021,FY 21 OFA Shell,fy27_town_ecs_model.xlsm,SSFP copy of OFA shell,False,169,0.3,0.05,0.15,0.75,1.35,0.7,0.3,0.01,0.1,11525.0,0.1066,0.0833,0.1066,0.0833,fy2017,prior,False,"CGS 10-262h, FY2020-21 paragraph (PA 17-2 June Sp. Sess.; unchanged by PA 19-117): previous year + 10.66% / - 8.33% of the grant adjustment, measured against the base (FY2017) grant; alliance districts below full funding receive the base grant.",138296.42,186700.17,85296.0,115149.6,10/2019,"2015,2016,2017",2017,2017,conc_pov_threshold_students;excess_frpl_students;endowed_students;endowed_grades;endowed_bonus;prior_year_entitlement;gap_vs_fy2017
2022,FY 22 OFA Shell,fy27_town_ecs_model.xlsm,SSFP copy of OFA shell,True,169,0.3,0.15,0.25,0.6,1.35,0.7,0.3,0.01,0.1,11525.0,0.1066,0.0833,0.1066,0.0,fy2017,prior,False,"CGS 10-262h, FY2022 paragraph (PA 21-2 June Sp. Sess. secs. 384-386): previous year + 10.66% of the grant adjustment measured against the base grant; towns whose fully funded grant is below the base grant receive their FY2021 amount (scheduled decreases suspended). The same sections set the need weights (15% of FRPL students above 60%, 25% of English learners) and the endowed-academy bonus from FY2022.",142612.44,192526.79,89255.0,120494.25,10/2020,"2016,2017,2018",2018,2018,conc_pov_threshold_students;excess_frpl_students;ell_weighted;gap_vs_fy2017
2023,Current Law,ecs shell 2022-23.xlsx,"OFA shell (official, received 2026-09-15)",True,169,0.3,0.15,0.25,0.6,1.35,0.7,0.3,0.01,0.1,11525.0,0.1667,0.0833,0.1667,0.0,prior,prior,False,"CGS 10-262h, FY2023 paragraph (PA 21-2 June Sp. Sess. secs. 384-386): previous year + 16.67% of the grant adjustment, now measured against the previous year's grant; towns whose fully funded grant is below the previous year receive their FY2022 amount.",146842.18,198236.94,90893.0,122705.55,10/2021,"2017,2018,2019",2019,2019,drg;reform_flag;wealth_decile;conc_pov_threshold_students;rsd_per_pupil_bonus;fully_funded_grant_hh;fy2017_actual;gap_vs_fy2017;entitlement_no_hh
2023,FY 23 OFA Shell,fy27_town_ecs_model.xlsm,"SSFP copy of OFA shell (built on 10/2020 data, superseded)",False,169,0.3,0.15,0.25,0.6,1.35,0.7,0.3,0.01,0.1,11525.0,0.1066,0.0833,0.1667,0.0,prior,prior,False,"CGS 10-262h, FY2023 paragraph (PA 21-2 June Sp. Sess. secs. 384-386): previous year + 16.67% of the grant adjustment, now measured against the previous year's grant; towns whose fully funded grant is below the previous year receive their FY2022 amount.",142612.44,192526.79,89255.0,120494.25,10/2020,"2016,2017,2018",2018,2018,conc_pov_threshold_students;excess_frpl_students;ell_weighted;prior_year_entitlement;gap_vs_fy2017
2023,FY 23,ecs_component_tool.xlsx,SSFP copy of OFA shell (projection on preliminary counts),False,169,0.3,0.15,0.25,0.6,1.35,0.7,0.3,0.01,0.1,11525.0,0.1667,0.0833,0.1667,0.0,prior,prior,False,"CGS 10-262h, FY2023 paragraph (PA 21-2 June Sp. Sess. secs. 384-386): previous year + 16.67% of the grant adjustment, now measured against the previous year's grant; towns whose fully funded grant is below the previous year receive their FY2022 amount.",146842.18,198236.94,90893.0,122705.55,10/2021,"2017,2018,2019",2019,2019,conc_pov_threshold_students;rsd_per_pupil_bonus;gap_vs_fy2017;entitlement
2024,FY 24,FY 2023-2024 ECS shell.xlsx,"OFA shell (official, received 2026-09-15)",True,169,0.3,0.15,0.25,0.6,1.35,0.7,0.3,0.01,0.1,11525.0,0.2,0.1429,0.2,0.0,prior,prior,True,"CGS 10-262h, FY2024 paragraph (PA 23-204 sec. 356): previous year + 20% of the grant adjustment; towns whose fully funded grant is below the previous year receive their FY2023 amount; alliance districts receive the greater of the calculated amount, the base (FY2017) grant and the previous year's grant.",158132.25,213478.54,92079.0,124306.65,10/2022,"2018,2019,2020",2020,2020,conc_pov_threshold_students;rsd_per_pupil_bonus;gap_vs_fy2017
