District,fiscal_year,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2019,47.0,41.0,87.2
Achievement First Hartford Academy District,2019,32.0,31.0,96.9
Amistad Academy District,2019,53.0,43.0,81.1
Ansonia School District,2019,181.0,157.0,86.7
Avon School District,2019,224.0,212.0,94.6
Berlin School District,2019,233.0,229.0,98.3
Bethel School District,2019,237.0,224.0,94.5
Bloomfield School District,2019,161.0,140.0,87.0
Bolton School District,2019,67.0,61.0,91.0
Branford School District,2019,228.0,200.0,87.7
Bridgeport School District,2019,1457.0,1108.0,76.0
Bristol School District,2019,632.0,545.0,86.2
Brookfield School District,2019,217.0,204.0,94.0
Canton School District,2019,124.0,118.0,95.2
Capital Preparatory Harbor School District,2019,31.0,21.0,67.7
Capitol Region Education Council,2019,505.0,469.0,92.9
Cheshire School District,2019,375.0,366.0,97.6
Clinton School District,2019,144.0,138.0,95.8
Colchester School District,2019,195.0,176.0,90.3
Common Ground High School District,2019,47.0,43.0,91.5
Connecticut Technical Education and Career System,2019,2339.0,2274.0,97.2
Coventry School District,2019,107.0,102.0,95.3
Cromwell School District,2019,133.0,126.0,94.7
Danbury School District,2019,790.0,627.0,79.4
Darien School District,2019,335.0,328.0,97.9
Department of Mental Health and Addiction Services,2019,6.0,,
Derby School District,2019,84.0,63.0,75.0
East Granby School District,2019,72.0,72.0,100.0
East Haddam School District,2019,75.0,73.0,97.3
East Hampton School District,2019,131.0,126.0,96.2
East Hartford School District,2019,561.0,495.0,88.2
East Haven School District,2019,235.0,183.0,77.9
East Lyme School District,2019,258.0,238.0,92.2
East Windsor School District,2019,77.0,67.0,87.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2019,73.0,47.0,64.4
Ellington School District,2019,201.0,196.0,97.5
Elm City College Preparatory School District,2019,30.0,22.0,73.3
Enfield School District,2019,369.0,324.0,87.8
Explorations District,2019,31.0,26.0,83.9
Fairfield School District,2019,786.0,752.0,95.7
Farmington School District,2019,283.0,281.0,99.3
Glastonbury School District,2019,513.0,505.0,98.4
Granby School District,2019,172.0,169.0,98.3
Greenwich School District,2019,682.0,653.0,95.7
Griswold School District,2019,133.0,114.0,85.7
Groton School District,2019,294.0,253.0,86.1
Guilford School District,2019,266.0,261.0,98.1
Hamden School District,2019,402.0,341.0,84.8
Hartford School District,2019,1376.0,998.0,72.5
Highville Charter School District,2019,13.0,12.0,
Jumoke Academy District,2019,16.0,13.0,
Killingly School District,2019,214.0,178.0,83.2
Learn,2019,204.0,189.0,92.6
Lebanon School District,2019,94.0,82.0,87.2
Ledyard School District,2019,198.0,183.0,92.4
Litchfield School District,2019,73.0,72.0,98.6
Madison School District,2019,268.0,263.0,98.1
Manchester School District,2019,482.0,396.0,82.2
Meriden School District,2019,587.0,470.0,80.1
Middletown School District,2019,341.0,313.0,91.8
Milford School District,2019,458.0,424.0,92.6
Monroe School District,2019,243.0,237.0,97.5
Montville School District,2019,157.0,140.0,89.2
Naugatuck School District,2019,308.0,264.0,85.7
New Britain School District,2019,668.0,520.0,77.8
New Canaan School District,2019,315.0,308.0,97.8
New Fairfield School District,2019,222.0,218.0,98.2
New Haven School District,2019,1462.0,1183.0,80.9
New London School District,2019,272.0,216.0,79.4
New Milford School District,2019,317.0,291.0,91.8
Newington School District,2019,337.0,320.0,95.0
Newtown School District,2019,409.0,395.0,96.6
North Branford School District,2019,129.0,122.0,94.6
North Haven School District,2019,256.0,241.0,94.1
North Stonington School District,2019,46.0,42.0,91.3
Norwalk School District,2019,861.0,778.0,90.4
Norwich Free Academy District,2019,599.0,510.0,85.1
Old Saybrook School District,2019,110.0,102.0,92.7
Oxford School District,2019,162.0,157.0,96.9
Plainfield School District,2019,171.0,136.0,79.5
Plainville School District,2019,186.0,172.0,92.5
Plymouth School District,2019,125.0,115.0,92.0
Portland School District,2019,105.0,95.0,90.5
Putnam School District,2019,92.0,84.0,91.3
Regional School District 01,2019,116.0,109.0,94.0
Regional School District 04,2019,149.0,137.0,91.9
Regional School District 05,2019,358.0,345.0,96.4
Regional School District 06,2019,89.0,87.0,97.8
Regional School District 07,2019,202.0,189.0,93.6
Regional School District 08,2019,234.0,220.0,94.0
Regional School District 09,2019,235.0,227.0,96.6
Regional School District 10,2019,198.0,191.0,96.5
Regional School District 11,2019,42.0,40.0,95.2
Regional School District 12,2019,67.0,64.0,95.5
Regional School District 13,2019,140.0,136.0,97.1
Regional School District 14,2019,194.0,189.0,97.4
Regional School District 15,2019,308.0,297.0,96.4
Regional School District 16,2019,171.0,159.0,93.0
Regional School District 17,2019,160.0,157.0,98.1
Regional School District 18,2019,114.0,113.0,99.1
Regional School District 19,2019,292.0,269.0,92.1
Ridgefield School District,2019,398.0,380.0,95.5
Rocky Hill School District,2019,190.0,178.0,93.7
Seymour School District,2019,179.0,157.0,87.7
Shelton School District,2019,378.0,342.0,90.5
Simsbury School District,2019,371.0,349.0,94.1
Somers School District,2019,131.0,121.0,92.4
South Windsor School District,2019,322.0,296.0,91.9
Southington School District,2019,474.0,441.0,93.0
Stafford School District,2019,96.0,93.0,96.9
Stamford Academy District,2019,79.0,31.0,39.2
Stamford School District,2019,1157.0,1004.0,86.8
Stonington School District,2019,177.0,160.0,90.4
Stratford School District,2019,520.0,479.0,92.1
Suffield School District,2019,210.0,200.0,95.2
The Bridge Academy District,2019,35.0,26.0,74.3
The Gilbert School District,2019,124.0,115.0,92.7
The Woodstock Academy District,2019,316.0,306.0,96.8
Thomaston School District,2019,71.0,66.0,93.0
Thompson School District,2019,72.0,60.0,83.3
Tolland School District,2019,199.0,194.0,97.5
Torrington School District,2019,233.0,190.0,81.5
Trumbull School District,2019,535.0,519.0,97.0
Unified School District #1,2019,510.0,13.0,2.5
Unified School District #2,2019,17.0,,
Vernon School District,2019,210.0,179.0,85.2
Wallingford School District,2019,462.0,432.0,93.5
Waterbury School District,2019,1226.0,1007.0,82.1
Waterford School District,2019,201.0,190.0,94.5
Watertown School District,2019,219.0,190.0,86.8
West Hartford School District,2019,775.0,730.0,94.2
West Haven School District,2019,444.0,369.0,83.1
Westbrook School District,2019,61.0,53.0,86.9
Weston School District,2019,210.0,205.0,97.6
Westport School District,2019,479.0,475.0,99.2
Wethersfield School District,2019,300.0,281.0,93.7
Wilton School District,2019,314.0,307.0,97.8
Windham School District,2019,171.0,129.0,75.4
Windsor Locks School District,2019,122.0,111.0,91.0
Windsor School District,2019,290.0,253.0,87.2
Wolcott School District,2019,209.0,204.0,97.6
