District,fiscal_year,needs_group,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2017,High Needs,,,
Achievement First Bridgeport Academy District,2017,Non-High Needs,,,
Achievement First Hartford Academy District,2017,High Needs,31.0,28.0,90.3
Amistad Academy District,2017,High Needs,,,
Amistad Academy District,2017,Non-High Needs,,,
Ansonia School District,2017,High Needs,129.0,102.0,79.1
Ansonia School District,2017,Non-High Needs,50.0,48.0,96.0
Avon School District,2017,High Needs,45.0,39.0,86.7
Avon School District,2017,Non-High Needs,203.0,202.0,99.5
Berlin School District,2017,High Needs,67.0,55.0,82.1
Berlin School District,2017,Non-High Needs,168.0,167.0,99.4
Bethel School District,2017,High Needs,71.0,60.0,84.5
Bethel School District,2017,Non-High Needs,138.0,136.0,98.6
Bloomfield School District,2017,High Needs,130.0,104.0,80.0
Bloomfield School District,2017,Non-High Needs,64.0,63.0,98.4
Bolton School District,2017,High Needs,13.0,11.0,
Bolton School District,2017,Non-High Needs,56.0,56.0,100.0
Branford School District,2017,High Needs,105.0,93.0,88.6
Branford School District,2017,Non-High Needs,153.0,150.0,98.0
Bridgeport School District,2017,High Needs,1404.0,1046.0,74.5
Bristol School District,2017,High Needs,347.0,273.0,78.7
Bristol School District,2017,Non-High Needs,286.0,278.0,97.2
Brookfield School District,2017,High Needs,57.0,51.0,89.5
Brookfield School District,2017,Non-High Needs,172.0,169.0,98.3
Canton School District,2017,High Needs,27.0,22.0,81.5
Canton School District,2017,Non-High Needs,91.0,91.0,100.0
Capital Preparatory Harbor School District,2017,High Needs,,,
Capital Preparatory Harbor School District,2017,Non-High Needs,,,
Capitol Region Education Council,2017,High Needs,307.0,274.0,89.3
Capitol Region Education Council,2017,Non-High Needs,189.0,184.0,97.4
Cheshire School District,2017,High Needs,89.0,76.0,85.4
Cheshire School District,2017,Non-High Needs,302.0,302.0,100.0
Clinton School District,2017,High Needs,49.0,37.0,75.5
Clinton School District,2017,Non-High Needs,90.0,88.0,97.8
Colchester School District,2017,High Needs,69.0,56.0,81.2
Colchester School District,2017,Non-High Needs,143.0,138.0,96.5
Common Ground High School District,2017,High Needs,28.0,25.0,89.3
Common Ground High School District,2017,Non-High Needs,15.0,12.0,
Connecticut Technical Education and Career System,2017,High Needs,1572.0,1524.0,96.9
Connecticut Technical Education and Career System,2017,Non-High Needs,859.0,846.0,98.5
Coventry School District,2017,High Needs,39.0,36.0,92.3
Coventry School District,2017,Non-High Needs,92.0,92.0,100.0
Cromwell School District,2017,High Needs,56.0,53.0,94.6
Cromwell School District,2017,Non-High Needs,88.0,88.0,100.0
Danbury School District,2017,High Needs,504.0,357.0,70.8
Danbury School District,2017,Non-High Needs,277.0,256.0,92.4
Darien School District,2017,High Needs,57.0,52.0,91.2
Darien School District,2017,Non-High Needs,271.0,267.0,98.5
Department of Mental Health and Addiction Services,2017,High Needs,,,
Derby School District,2017,High Needs,75.0,61.0,81.3
Derby School District,2017,Non-High Needs,24.0,24.0,100.0
East Granby School District,2017,High Needs,18.0,16.0,
East Granby School District,2017,Non-High Needs,40.0,40.0,100.0
East Haddam School District,2017,High Needs,26.0,23.0,88.5
East Haddam School District,2017,Non-High Needs,57.0,57.0,100.0
East Hampton School District,2017,High Needs,34.0,32.0,94.1
East Hampton School District,2017,Non-High Needs,99.0,95.0,96.0
East Hartford School District,2017,High Needs,417.0,363.0,87.1
