District,fiscal_year,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2015,31.0,30.0,96.8
Amistad Academy District,2015,29.0,27.0,93.1
Ansonia School District,2015,172.0,149.0,86.6
Avon School District,2015,247.0,240.0,97.2
Berlin School District,2015,208.0,199.0,95.7
Bethel School District,2015,218.0,214.0,98.2
Bloomfield School District,2015,174.0,160.0,92.0
Bolton School District,2015,76.0,74.0,97.4
Branford School District,2015,253.0,232.0,91.7
Bridgeport School District,2015,1178.0,813.0,69.0
Bristol School District,2015,642.0,555.0,86.4
Brookfield School District,2015,234.0,225.0,96.2
Canton School District,2015,133.0,130.0,97.7
Capitol Region Education Council,2015,321.0,301.0,93.8
Cheshire School District,2015,392.0,383.0,97.7
Clinton School District,2015,162.0,150.0,92.6
Colchester School District,2015,228.0,215.0,94.3
Common Ground High School District,2015,37.0,37.0,100.0
Connecticut Technical Education and Career System,2015,2467.0,2410.0,97.7
Coventry School District,2015,116.0,111.0,95.7
Cromwell School District,2015,127.0,123.0,96.9
Danbury School District,2015,775.0,647.0,83.5
Darien School District,2015,333.0,327.0,98.2
Derby School District,2015,102.0,93.0,91.2
East Granby School District,2015,61.0,61.0,100.0
East Haddam School District,2015,113.0,106.0,93.8
East Hampton School District,2015,127.0,121.0,95.3
East Hartford School District,2015,552.0,501.0,90.8
East Haven School District,2015,242.0,185.0,76.4
East Lyme School District,2015,273.0,263.0,96.3
East Windsor School District,2015,91.0,79.0,86.8
Eastern Connecticut Regional Educational Service Center (EASTCONN),2015,71.0,58.0,81.7
Ellington School District,2015,206.0,201.0,97.6
Elm City College Preparatory School District,2015,13.0,12.0,
Enfield School District,2015,392.0,344.0,87.8
Explorations District,2015,23.0,20.0,87.0
Fairfield School District,2015,717.0,685.0,95.5
Farmington School District,2015,333.0,326.0,97.9
Glastonbury School District,2015,524.0,514.0,98.1
Granby School District,2015,164.0,161.0,98.2
Greenwich School District,2015,646.0,631.0,97.7
Griswold School District,2015,148.0,136.0,91.9
Groton School District,2015,272.0,241.0,88.6
Guilford School District,2015,275.0,261.0,94.9
Hamden School District,2015,462.0,424.0,91.8
Hartford School District,2015,1492.0,1104.0,74.0
Killingly School District,2015,202.0,164.0,81.2
Learn,2015,176.0,159.0,90.3
Lebanon School District,2015,94.0,91.0,96.8
Ledyard School District,2015,233.0,220.0,94.4
Litchfield School District,2015,70.0,70.0,100.0
Madison School District,2015,309.0,306.0,99.0
Manchester School District,2015,446.0,374.0,83.9
Meriden School District,2015,627.0,485.0,77.4
Middletown School District,2015,314.0,289.0,92.0
Milford School District,2015,460.0,433.0,94.1
Monroe School District,2015,320.0,313.0,97.8
Montville School District,2015,179.0,171.0,95.5
Naugatuck School District,2015,336.0,297.0,88.4
New Britain School District,2015,658.0,499.0,75.8
New Canaan School District,2015,305.0,304.0,99.7
New Fairfield School District,2015,264.0,261.0,98.9
New Haven School District,2015,1484.0,1181.0,79.6
New London School District,2015,199.0,160.0,80.4
New Milford School District,2015,372.0,337.0,90.6
Newington School District,2015,359.0,336.0,93.6
Newtown School District,2015,453.0,439.0,96.9
North Branford School District,2015,166.0,155.0,93.4
North Haven School District,2015,296.0,274.0,92.6
North Stonington School District,2015,51.0,47.0,92.2
Norwalk School District,2015,876.0,798.0,91.1
Norwich Free Academy District,2015,601.0,522.0,86.9
Old Saybrook School District,2015,127.0,120.0,94.5
Oxford School District,2015,124.0,117.0,94.4
Plainfield School District,2015,168.0,143.0,85.1
Plainville School District,2015,182.0,164.0,90.1
Plymouth School District,2015,121.0,108.0,89.3
Portland School District,2015,92.0,85.0,92.4
Putnam School District,2015,65.0,56.0,86.2
Regional School District 01,2015,87.0,85.0,97.7
Regional School District 04,2015,182.0,177.0,97.3
Regional School District 05,2015,417.0,406.0,97.4
Regional School District 06,2015,87.0,84.0,96.6
Regional School District 07,2015,145.0,140.0,96.6
Regional School District 08,2015,269.0,257.0,95.5
Regional School District 09,2015,256.0,249.0,97.3
Regional School District 10,2015,192.0,184.0,95.8
Regional School District 11,2015,51.0,50.0,98.0
Regional School District 12,2015,72.0,71.0,98.6
Regional School District 13,2015,153.0,142.0,92.8
Regional School District 14,2015,189.0,186.0,98.4
Regional School District 15,2015,293.0,281.0,95.9
Regional School District 16,2015,167.0,162.0,97.0
Regional School District 17,2015,168.0,162.0,96.4
Regional School District 18,2015,89.0,85.0,95.5
Regional School District 19,2015,293.0,275.0,93.9
Ridgefield School District,2015,444.0,432.0,97.3
Rocky Hill School District,2015,195.0,184.0,94.4
Seymour School District,2015,148.0,134.0,90.5
Shelton School District,2015,370.0,351.0,94.9
Simsbury School District,2015,390.0,369.0,94.6
Somers School District,2015,130.0,122.0,93.8
South Windsor School District,2015,356.0,331.0,93.0
Southington School District,2015,520.0,495.0,95.2
Stafford School District,2015,92.0,86.0,93.5
Stamford Academy District,2015,49.0,24.0,49.0
Stamford School District,2015,1215.0,1097.0,90.3
Stonington School District,2015,201.0,182.0,90.5
Stratford School District,2015,534.0,499.0,93.4
Suffield School District,2015,212.0,205.0,96.7
The Bridge Academy District,2015,32.0,30.0,93.8
The Gilbert School District,2015,90.0,83.0,92.2
The Woodstock Academy District,2015,286.0,284.0,99.3
Thomaston School District,2015,63.0,61.0,96.8
Thompson School District,2015,70.0,65.0,92.9
Tolland School District,2015,212.0,205.0,96.7
Torrington School District,2015,278.0,241.0,86.7
Trumbull School District,2015,534.0,525.0,98.3
Unified School District #1,2015,448.0,14.0,3.1
Unified School District #2,2015,37.0,12.0,32.4
Vernon School District,2015,243.0,209.0,86.0
Wallingford School District,2015,504.0,476.0,94.4
Waterbury School District,2015,1341.0,967.0,72.1
Waterford School District,2015,216.0,202.0,93.5
Watertown School District,2015,205.0,185.0,90.2
West Hartford School District,2015,734.0,698.0,95.1
West Haven School District,2015,425.0,337.0,79.3
Westbrook School District,2015,78.0,78.0,100.0
Weston School District,2015,167.0,161.0,96.4
Westport School District,2015,462.0,459.0,99.4
Wethersfield School District,2015,284.0,262.0,92.3
Wilton School District,2015,329.0,322.0,97.9
Windham School District,2015,129.0,110.0,85.3
Windsor Locks School District,2015,132.0,119.0,90.2
Windsor School District,2015,309.0,279.0,90.3
Wolcott School District,2015,180.0,175.0,97.2
