District,fiscal_year,needs_group,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2021,High Needs,60.0,60.0,100.0
Achievement First Hartford Academy District,2021,High Needs,44.0,44.0,100.0
Amistad Academy District,2021,High Needs,61.0,59.0,96.7
Ansonia School District,2021,High Needs,95.0,72.0,75.8
Ansonia School District,2021,Non-High Needs,24.0,23.0,95.8
Avon School District,2021,High Needs,55.0,48.0,87.3
Avon School District,2021,Non-High Needs,200.0,200.0,100.0
Berlin School District,2021,High Needs,80.0,66.0,82.5
Berlin School District,2021,Non-High Needs,167.0,167.0,100.0
Bethel School District,2021,High Needs,115.0,104.0,90.4
Bethel School District,2021,Non-High Needs,128.0,128.0,100.0
Bloomfield School District,2021,High Needs,119.0,110.0,92.4
Bloomfield School District,2021,Non-High Needs,44.0,44.0,100.0
Bolton School District,2021,High Needs,18.0,16.0,
Bolton School District,2021,Non-High Needs,40.0,40.0,100.0
Branford School District,2021,High Needs,80.0,71.0,88.8
Branford School District,2021,Non-High Needs,118.0,116.0,98.3
Bridgeport School District,2021,High Needs,1099.0,862.0,78.4
Bridgeport School District,2021,Non-High Needs,209.0,191.0,91.4
Bristol School District,2021,High Needs,365.0,322.0,88.2
Bristol School District,2021,Non-High Needs,234.0,229.0,97.9
Brookfield School District,2021,High Needs,65.0,59.0,90.8
Brookfield School District,2021,Non-High Needs,151.0,151.0,100.0
Canton School District,2021,High Needs,55.0,50.0,90.9
Canton School District,2021,Non-High Needs,70.0,70.0,100.0
Capital Preparatory Harbor School District,2021,High Needs,35.0,34.0,97.1
Capital Preparatory Harbor School District,2021,Non-High Needs,15.0,15.0,
Capitol Region Education Council,2021,High Needs,333.0,298.0,89.5
Capitol Region Education Council,2021,Non-High Needs,129.0,128.0,99.2
Cheshire School District,2021,High Needs,92.0,86.0,93.5
Cheshire School District,2021,Non-High Needs,270.0,269.0,99.6
Clinton School District,2021,High Needs,54.0,48.0,88.9
Clinton School District,2021,Non-High Needs,84.0,84.0,100.0
Colchester School District,2021,High Needs,75.0,64.0,85.3
Colchester School District,2021,Non-High Needs,127.0,125.0,98.4
Common Ground High School District,2021,High Needs,47.0,41.0,87.2
Common Ground High School District,2021,Non-High Needs,10.0,10.0,
Connecticut Technical Education and Career System,2021,High Needs,1769.0,1720.0,97.2
Connecticut Technical Education and Career System,2021,Non-High Needs,778.0,765.0,98.3
Coventry School District,2021,High Needs,44.0,41.0,93.2
Coventry School District,2021,Non-High Needs,68.0,67.0,98.5
Cromwell School District,2021,High Needs,44.0,43.0,97.7
Cromwell School District,2021,Non-High Needs,92.0,91.0,98.9
Danbury School District,2021,High Needs,616.0,511.0,83.0
Danbury School District,2021,Non-High Needs,238.0,236.0,99.2
Darien School District,2021,High Needs,81.0,80.0,98.8
Darien School District,2021,Non-High Needs,230.0,229.0,99.6
Department of Mental Health and Addiction Services,2021,High Needs,,,
Derby School District,2021,High Needs,63.0,46.0,73.0
Derby School District,2021,Non-High Needs,29.0,28.0,96.6
East Granby School District,2021,High Needs,22.0,20.0,90.9
East Granby School District,2021,Non-High Needs,45.0,45.0,100.0
East Haddam School District,2021,High Needs,34.0,29.0,85.3
East Haddam School District,2021,Non-High Needs,59.0,59.0,100.0
East Hampton School District,2021,High Needs,43.0,39.0,90.7
East Hampton School District,2021,Non-High Needs,88.0,88.0,100.0
East Hartford School District,2021,High Needs,410.0,381.0,92.9
East Hartford School District,2021,Non-High Needs,136.0,132.0,97.1
East Haven School District,2021,High Needs,155.0,124.0,80.0
East Haven School District,2021,Non-High Needs,80.0,78.0,97.5
East Lyme School District,2021,High Needs,82.0,76.0,92.7
East Lyme School District,2021,Non-High Needs,180.0,180.0,100.0
East Windsor School District,2021,High Needs,44.0,33.0,75.0
East Windsor School District,2021,Non-High Needs,21.0,21.0,100.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2021,High Needs,52.0,45.0,86.5
Eastern Connecticut Regional Educational Service Center (EASTCONN),2021,Non-High Needs,24.0,21.0,87.5
Ellington School District,2021,High Needs,59.0,55.0,93.2
Ellington School District,2021,Non-High Needs,136.0,135.0,99.3
Elm City College Preparatory School District,2021,High Needs,34.0,31.0,91.2
Enfield School District,2021,High Needs,205.0,175.0,85.4
Enfield School District,2021,Non-High Needs,211.0,209.0,99.1
Explorations District,2021,High Needs,,,
Explorations District,2021,Non-High Needs,,,
Fairfield School District,2021,High Needs,232.0,214.0,92.2
Fairfield School District,2021,Non-High Needs,514.0,512.0,99.6
Farmington School District,2021,High Needs,92.0,86.0,93.5
Farmington School District,2021,Non-High Needs,226.0,226.0,100.0
Glastonbury School District,2021,High Needs,125.0,111.0,88.8
Glastonbury School District,2021,Non-High Needs,364.0,364.0,100.0
Granby School District,2021,High Needs,31.0,27.0,87.1
Granby School District,2021,Non-High Needs,121.0,120.0,99.2
Great Oaks Charter School District,2021,High Needs,,,
Great Oaks Charter School District,2021,Non-High Needs,,,
Greenwich School District,2021,High Needs,248.0,233.0,94.0
Greenwich School District,2021,Non-High Needs,431.0,429.0,99.5
Griswold School District,2021,High Needs,75.0,63.0,84.0
Griswold School District,2021,Non-High Needs,58.0,58.0,100.0
Groton School District,2021,High Needs,146.0,118.0,80.8
Groton School District,2021,Non-High Needs,105.0,102.0,97.1
Guilford School District,2021,High Needs,72.0,67.0,93.1
Guilford School District,2021,Non-High Needs,200.0,199.0,99.5
Hamden School District,2021,High Needs,226.0,187.0,82.7
Hamden School District,2021,Non-High Needs,175.0,174.0,99.4
Hartford School District,2021,High Needs,1143.0,871.0,76.2
Hartford School District,2021,Non-High Needs,168.0,159.0,94.6
Highville Charter School District,2021,High Needs,,,
Highville Charter School District,2021,Non-High Needs,,,
Jumoke Academy District,2021,High Needs,9.0,9.0,
Killingly School District,2021,High Needs,99.0,82.0,82.8
Killingly School District,2021,Non-High Needs,99.0,97.0,98.0
Learn,2021,High Needs,129.0,124.0,96.1
Learn,2021,Non-High Needs,79.0,78.0,98.7
Lebanon School District,2021,High Needs,29.0,24.0,82.8
Lebanon School District,2021,Non-High Needs,45.0,45.0,100.0
Ledyard School District,2021,High Needs,77.0,74.0,96.1
Ledyard School District,2021,Non-High Needs,92.0,91.0,98.9
Litchfield School District,2021,High Needs,24.0,22.0,91.7
Litchfield School District,2021,Non-High Needs,41.0,41.0,100.0
Madison School District,2021,High Needs,47.0,44.0,93.6
Madison School District,2021,Non-High Needs,235.0,234.0,99.6
Manchester School District,2021,High Needs,298.0,245.0,82.2
Manchester School District,2021,Non-High Needs,144.0,137.0,95.1
Meriden School District,2021,High Needs,472.0,409.0,86.7
Meriden School District,2021,Non-High Needs,111.0,105.0,94.6
Middletown School District,2021,High Needs,195.0,177.0,90.8
Middletown School District,2021,Non-High Needs,161.0,159.0,98.8
Milford School District,2021,High Needs,181.0,160.0,88.4
Milford School District,2021,Non-High Needs,278.0,278.0,100.0
Monroe School District,2021,High Needs,58.0,56.0,96.6
Monroe School District,2021,Non-High Needs,201.0,200.0,99.5
Montville School District,2021,High Needs,81.0,72.0,88.9
Montville School District,2021,Non-High Needs,68.0,67.0,98.5
Naugatuck School District,2021,High Needs,221.0,199.0,90.0
Naugatuck School District,2021,Non-High Needs,108.0,105.0,97.2
New Britain School District,2021,High Needs,546.0,451.0,82.6
New Britain School District,2021,Non-High Needs,64.0,62.0,96.9
New Canaan School District,2021,High Needs,52.0,47.0,90.4
New Canaan School District,2021,Non-High Needs,323.0,323.0,100.0
New Fairfield School District,2021,High Needs,63.0,59.0,93.7
New Fairfield School District,2021,Non-High Needs,125.0,125.0,100.0
New Haven School District,2021,High Needs,1175.0,957.0,81.4
New Haven School District,2021,Non-High Needs,229.0,213.0,93.0
New London School District,2021,High Needs,228.0,193.0,84.6
New London School District,2021,Non-High Needs,35.0,35.0,100.0
New Milford School District,2021,High Needs,123.0,105.0,85.4
New Milford School District,2021,Non-High Needs,201.0,197.0,98.0
Newington School District,2021,High Needs,127.0,117.0,92.1
Newington School District,2021,Non-High Needs,195.0,194.0,99.5
Newtown School District,2021,High Needs,102.0,92.0,90.2
Newtown School District,2021,Non-High Needs,289.0,288.0,99.7
North Branford School District,2021,High Needs,52.0,46.0,88.5
North Branford School District,2021,Non-High Needs,90.0,90.0,100.0
North Haven School District,2021,High Needs,84.0,72.0,85.7
North Haven School District,2021,Non-High Needs,157.0,155.0,98.7
North Stonington School District,2021,High Needs,13.0,11.0,
North Stonington School District,2021,Non-High Needs,34.0,34.0,100.0
Norwalk School District,2021,High Needs,617.0,546.0,88.5
Norwalk School District,2021,Non-High Needs,296.0,292.0,98.6
Norwich Free Academy District,2021,High Needs,348.0,307.0,88.2
Norwich Free Academy District,2021,Non-High Needs,214.0,210.0,98.1
Old Saybrook School District,2021,High Needs,44.0,41.0,93.2
Old Saybrook School District,2021,Non-High Needs,59.0,59.0,100.0
Oxford School District,2021,High Needs,35.0,32.0,91.4
Oxford School District,2021,Non-High Needs,99.0,97.0,98.0
Plainfield School District,2021,High Needs,90.0,80.0,88.9
Plainfield School District,2021,Non-High Needs,63.0,61.0,96.8
Plainville School District,2021,High Needs,96.0,81.0,84.4
Plainville School District,2021,Non-High Needs,84.0,84.0,100.0
Plymouth School District,2021,High Needs,36.0,31.0,86.1
Plymouth School District,2021,Non-High Needs,61.0,60.0,98.4
Portland School District,2021,High Needs,28.0,23.0,82.1
Portland School District,2021,Non-High Needs,68.0,67.0,98.5
Putnam School District,2021,High Needs,39.0,31.0,79.5
Putnam School District,2021,Non-High Needs,24.0,23.0,95.8
Regional School District 01,2021,High Needs,38.0,33.0,86.8
Regional School District 01,2021,Non-High Needs,42.0,42.0,100.0
Regional School District 04,2021,High Needs,55.0,47.0,85.5
Regional School District 04,2021,Non-High Needs,85.0,85.0,100.0
Regional School District 05,2021,High Needs,97.0,89.0,91.8
Regional School District 05,2021,Non-High Needs,265.0,262.0,98.9
Regional School District 06,2021,High Needs,41.0,39.0,95.1
Regional School District 06,2021,Non-High Needs,50.0,50.0,100.0
Regional School District 07,2021,High Needs,70.0,60.0,85.7
Regional School District 07,2021,Non-High Needs,126.0,126.0,100.0
Regional School District 08,2021,High Needs,72.0,61.0,84.7
Regional School District 08,2021,Non-High Needs,191.0,186.0,97.4
Regional School District 09,2021,High Needs,44.0,38.0,86.4
Regional School District 09,2021,Non-High Needs,157.0,157.0,100.0
Regional School District 10,2021,High Needs,41.0,39.0,95.1
Regional School District 10,2021,Non-High Needs,164.0,164.0,100.0
Regional School District 11,2021,High Needs,15.0,12.0,
Regional School District 11,2021,Non-High Needs,20.0,20.0,100.0
Regional School District 12,2021,High Needs,20.0,20.0,100.0
Regional School District 12,2021,Non-High Needs,36.0,36.0,100.0
Regional School District 13,2021,High Needs,43.0,38.0,88.4
Regional School District 13,2021,Non-High Needs,87.0,87.0,100.0
Regional School District 14,2021,High Needs,51.0,49.0,96.1
Regional School District 14,2021,Non-High Needs,121.0,121.0,100.0
Regional School District 15,2021,High Needs,77.0,70.0,90.9
Regional School District 15,2021,Non-High Needs,211.0,210.0,99.5
Regional School District 16,2021,High Needs,60.0,56.0,93.3
Regional School District 16,2021,Non-High Needs,103.0,100.0,97.1
Regional School District 17,2021,High Needs,51.0,49.0,96.1
Regional School District 17,2021,Non-High Needs,122.0,122.0,100.0
Regional School District 18,2021,High Needs,39.0,38.0,97.4
Regional School District 18,2021,Non-High Needs,79.0,78.0,98.7
Regional School District 19,2021,High Needs,117.0,102.0,87.2
Regional School District 19,2021,Non-High Needs,160.0,159.0,99.4
Ridgefield School District,2021,High Needs,65.0,56.0,86.2
Ridgefield School District,2021,Non-High Needs,345.0,344.0,99.7
Rocky Hill School District,2021,High Needs,57.0,54.0,94.7
Rocky Hill School District,2021,Non-High Needs,132.0,132.0,100.0
