parameter,value,source
li_group_upper_pct,"5.99,11.99,17.99,23.99,29.99,35.99,41.99,47.99,53.99,69.99,79.99,100","DESE FY2025 formula workbook, Foundation Budget sheet"
sped_in_district_share,0.0393,3.93% of K-12 non-vocational enrollment (FY2025 workbook)
sped_tuitioned_out_share,0.01,1% of K-12 non-vocational enrollment
pk_and_half_k_weight,0.5,pre-K and half-day K count 0.5 in foundation enrollment
target_local_share,0.59,parameters sheet: statewide target for local contribution
max_local_share,0.825,parameters sheet: maximum local contribution pct of foundation
cey_threshold_for_max,1.75,combined effort yield > 175% of foundation -> contribution set at 82.5%
effort_thresholds_pct,"2.5,7.5",below-target shortfall thresholds for the 1% and 2% increments
effort_increments,"0.01,0.02",increments toward target as share of foundation budget
effort_reduction,1.0,FY2025: 100% of excess above target removed
min_aid_per_pupil,104,FY2025 general appropriations act ($30 statutory floor)
inflation_cap,1.045,MGL c.70 s.2 foundation inflation index cap
waf_rule,"1 + (area_wage/state_wage - 1)/3, not less than 1; county stands in for the labor market area",MGL c.70 s.2; DESE workbook
rates_fiscal_year,2025,DESE chapter-2025.xlsm Rates sheet
