column,label,Adminis-tration,Instructional Leadership,Classroom & Specialist Teachers,Other Teaching Services,Professional Development,"Instructional Materials, Equipment & Technology",Guidance & Psychological Services,Pupil Services,Operations & Maintenance,Employee Benefits/Fixed Charges,Special Education Tuition,total,waf_applicable
pk,Pre-school,224.33,405.14,1857.73,476.45,73.47,268.87,189.27,53.76,515.87,810.9,0.0,4875.789999999999,3796.02
k_half,Kindergarten half-day,224.33,405.14,1857.73,476.45,73.47,268.87,189.27,53.76,515.87,810.9,0.0,4875.789999999999,3796.02
k_full,Kindergarten full-day,448.65,810.3,3715.45,952.94,147.02,537.77,378.55,107.56,1031.73,1621.78,0.0,9751.750000000002,7592.200000000001
el,Elementary,448.65,810.3,3715.4,952.94,147.04,537.77,378.55,161.32,1031.73,1621.8,0.0,9805.5,7645.93
ms,Junior/Middle,448.65,810.3,3269.57,685.98,159.38,537.77,408.39,263.52,1118.52,1730.8,0.0,9432.88,7164.310000000001
hs,High School,448.65,810.3,4808.16,571.07,154.55,860.42,451.12,607.66,1084.53,1537.47,0.0,11333.93,8936.039999999999
voc,Vocational,448.65,810.3,8173.93,571.07,255.51,1505.73,451.12,607.66,2029.75,2006.61,0.0,16860.33,13347.990000000002
sped_in,Special Education in-district,3096.41,0.0,10217.38,9539.82,492.88,430.2,0.0,0.0,3458.83,4098.1,0.0,31333.620000000003,26805.32
sped_out,Special Education tuitioned-out,3702.76,0.0,0.0,56.56,0.0,0.0,0.0,0.0,0.0,0.0,35155.74,38915.06,3759.32
el_pk5,English learners PK-5,111.09,194.4,1360.76,194.4,55.54,138.84,83.31,27.78,333.25,322.91,0.0,2822.28,2360.53
el_68,English learners 6-8,118.24,206.89,1448.24,206.89,59.11,147.78,88.67,29.56,354.67,343.66,0.0,3003.71,2512.2699999999995
el_hs,English learners high school/voc,126.78,221.87,1553.06,221.87,63.38,158.47,95.08,31.7,380.34,368.53,0.0,3221.08,2694.08
li_1,Low-income group 1 (0-5.99%),55.91,264.89,2585.88,0.0,125.46,19.23,104.71,544.1,0.0,442.14,0.0,4142.320000000001,3680.95
li_2,Low-income group 2 (6-11.99%),58.4,276.71,2701.21,0.0,131.06,20.09,109.38,568.37,0.0,461.87,0.0,4327.09,3845.13
li_3,Low-income group 3 (12-17.99%),60.89,288.53,2816.54,0.0,136.65,20.95,114.05,592.64,0.0,481.59,0.0,4511.84,4009.3
li_4,Low-income group 4 (18-23.99%),63.39,300.34,2931.87,0.0,142.24,21.8,118.72,616.9,0.0,501.31,0.0,4696.570000000001,4173.46
li_5,Low-income group 5 (24-29.99%),65.88,312.15,3047.2,0.0,147.84,22.66,123.39,641.17,0.0,521.03,0.0,4881.319999999999,4337.629999999999
li_6,Low-income group 6 (30-35.99%),72.74,344.67,3364.62,0.0,163.23,25.03,136.24,707.96,0.0,575.3,0.0,5389.79,4789.46
li_7,Low-income group 7 (36-41.99%),78.73,373.02,3641.44,0.0,176.66,27.08,147.45,766.21,0.0,622.63,0.0,5833.22,5183.51
li_8,Low-income group 8 (42-47.99%),84.72,401.38,3918.27,0.0,190.09,29.15,158.66,824.45,0.0,669.96,0.0,6276.679999999999,5577.57
li_9,Low-income group 9 (48-53.99%),90.7,429.74,4195.1,0.0,203.52,31.19,169.87,882.71,0.0,717.3,0.0,6720.130000000001,5971.640000000001
li_10,Low-income group 10 (54-69.99%),96.68,458.1,4471.93,0.0,216.95,33.26,181.08,940.95,0.0,764.64,0.0,7163.59,6365.69
li_11,Low-income group 11 (70-79.99%),105.8,501.28,4893.48,0.0,237.4,36.39,198.15,1029.66,0.0,836.71,0.0,7838.869999999999,6965.769999999999
li_12,Low-income group 12 (80%+),114.92,544.47,5315.04,0.0,257.85,39.53,215.22,1118.35,0.0,908.79,0.0,8514.170000000002,7565.85
