fiscal_year,lea_id,district,required_nss,actual_nss,foundation_budget,actual_to_required,actual_to_foundation
2024,1,Abington,31287579.0,35096907.28344,31287579.07896,1.121752,1.121752
2024,3,Acushnet,15911255.0,16863449.449599,15911255.39,1.059844,1.059844
2024,5,Agawam,50397491.0,68614263.46972,50397491.3,1.361462,1.361462
2024,7,Amesbury,27706889.0,39196298.206424,24965747.03,1.414677,1.570003
2024,8,Amherst,17448921.0,29136158.5046,14207190.94,1.669797,2.050804
2024,9,Andover,72244408.0,118032099.166,72244408.4936,1.633789,1.633789
2024,10,Arlington,74896749.0,109074009.049712,74896748.6354,1.456325,1.456325
2024,14,Ashland,36758231.0,44531803.9707,36758230.61,1.211478,1.211478
2024,16,Attleboro,97105121.0,95313571.991933,97105120.72,0.98155,0.98155
2024,17,Auburn,32176028.0,38260562.25216,32176028.36,1.189101,1.189101
2024,18,Avon,9536789.0,13241047.3995,9536788.92,1.388418,1.388418
2024,20,Barnstable,84542110.0,100799203.832523,84542110.14,1.192296,1.192296
2024,23,Bedford,33464417.0,55156096.3428,33265363.04312,1.648201,1.658064
2024,24,Belchertown,27973238.0,32434984.220357,27713334.38,1.159501,1.170375
2024,25,Bellingham,29660512.0,41074905.824965,29660512.23,1.384835,1.384835
2024,26,Belmont,57423976.0,78295732.738,57423975.88384,1.363468,1.363468
2024,27,Berkley,8929788.0,10179735.034,8929788.14,1.139975,1.139975
2024,30,Beverly,61798815.0,77717783.110157,61798815.26,1.257593,1.257593
2024,31,Billerica,69705258.0,91106972.010901,63590856.68,1.307032,1.432706
2024,35,Boston,1111185851.0,1515403720.280101,1095713386.0692,1.363772,1.383029
2024,36,Bourne,23881940.0,34230427.709924,22858350.51,1.433319,1.497502
2024,38,Boxford,8573561.0,14924927.0,8528050.26788,1.740808,1.750098
2024,40,Braintree,72501249.0,92464256.947214,72501248.63965,1.275347,1.275347
2024,41,Brewster,5772216.0,10564247.913067,5743102.11,1.830189,1.839467
2024,43,Brimfield,3511282.0,4696553.17375,3511281.75,1.337561,1.337561
2024,44,Brockton,295646848.0,289073972.513473,295646847.72,0.977768,0.977768
2024,45,Brookfield,3240939.0,3862162.73162,3240938.55,1.19168,1.19168
2024,46,Brookline,89785825.0,173064309.402637,89394640.06326,1.927524,1.935958
2024,48,Burlington,46173964.0,85986969.86188,46103747.98904,1.862239,1.865075
2024,49,Cambridge,112732474.0,258714584.225901,112732473.50965,2.294943,2.294943
2024,50,Canton,43350135.0,66418541.87064,43350134.76928,1.532142,1.532142
2024,51,Carlisle,6865945.0,13506822.0,6639945.16308,1.96722,2.034177
2024,52,Carver,21283331.0,27845633.356,21283331.49932,1.308331,1.308331
2024,56,Chelmsford,63812308.0,82940441.53526,63812307.76,1.299756,1.299756
2024,57,Chelsea,138863180.0,139150947.486647,138863180.45908,1.002072,1.002072
2024,61,Chicopee,122693363.0,132100943.275334,122693363.2,1.076676,1.076676
2024,63,Clarksburg,2564219.0,2904389.70626,2395286.75,1.132661,1.212544
2024,64,Clinton,32534279.0,35733053.755768,32534279.41,1.09832,1.09832
2024,65,Cohasset,16722880.0,29229555.837,16687439.71718,1.747878,1.75159
2024,67,Concord,23075622.0,48358104.84,23075622.3332,2.095636,2.095636
2024,68,Conway,1414438.0,2400536.1612,941811.15,1.697166,2.548851
2024,71,Danvers,42331707.0,60918538.830796,42331707.48,1.439076,1.439076
2024,72,Dartmouth,45280694.0,55674669.58085,43916766.76,1.229545,1.267732
2024,73,Dedham,34648058.0,61748152.2195,34648058.12985,1.782153,1.782153
2024,74,Deerfield,4020735.0,6676615.125584,3505682.31,1.660546,1.904512
2024,77,Douglas,17382311.0,18408367.052621,14574247.94,1.059029,1.263075
2024,78,Dover,5901408.0,12466215.1,5901407.9242,2.112414,2.112414
2024,79,Dracut,54570266.603071,53811873.286065,54539267.46,0.986102,0.986663
2024,82,Duxbury,33659011.0,48327500.63,33659011.20146,1.435797,1.435797
2024,83,East Bridgewater,26867274.0,31205131.17463,26867274.06,1.161455,1.161455
2024,85,Eastham,2896212.0,5081026.9151,2896212.01,1.75437,1.75437
2024,86,Easthampton,22559015.0,24639984.308553,22559015.46,1.092246,1.092246
2024,87,East Longmeadow,33881346.0,45282558.017165,33881345.88,1.336504,1.336504
2024,88,Easton,44031696.0,53923512.379071,43192301.49,1.224652,1.248452
2024,89,Edgartown,6660865.0,13376293.40497,6660865.34,2.008192,2.008192
2024,91,Erving,2671389.0,5298966.52575,2671388.78,1.9836,1.9836
2024,93,Everett,152643280.0,152846900.02555,152643280.48403,1.001334,1.001334
2024,94,Fairhaven,23768493.0,24346237.933902,23768492.65,1.024307,1.024307
2024,95,Fall River,232461997.1467,231363163.948328,226544925.61,0.995273,1.021268
2024,96,Falmouth,42847019.0,68050364.823323,42847018.86,1.588217,1.588217
2024,97,Fitchburg,96678430.0,95897650.311944,96678430.43,0.991924,0.991924
2024,98,Florida,985108.0,1501253.09,917915.93,1.523948,1.635502
2024,99,Foxborough,36724570.0,50097832.160787,34005786.00116,1.36415,1.473215
2024,100,Framingham,159351947.0,200320825.681281,159351946.7809,1.257097,1.257097
2024,101,Franklin,76427456.0,86523452.814985,65275976.23438,1.132099,1.325502
2024,103,Gardner,38690364.0,38986620.523064,38690363.83,1.007657,1.007657
2024,105,Georgetown,17091135.0,21879661.41888,15011687.49,1.280176,1.457508
2024,107,Gloucester,47045110.0,63561093.93183,47045109.8885,1.351067,1.351067
2024,110,Grafton,37231176.0,44805578.520503,36858149.16,1.203442,1.215622
2024,111,Granby,10432749.0,11291107.709069,9588488.89,1.082275,1.177569
2024,114,Greenfield,27294291.0,32854991.513925,27294290.69,1.203731,1.203731
2024,117,Hadley,6528713.0,9641996.525785,6277106.59,1.47686,1.536057
2024,118,Halifax,7849455.0,9388904.75,7849455.02346,1.196122,1.196122
2024,121,Hancock,1216495.0,1907757.9612,1216494.75,1.568242,1.568242
2024,122,Hanover,30830615.0,39866501.036817,30800181.27354,1.293082,1.294359
2024,125,Harvard,10576375.0,16074234.0,10576374.95,1.519825,1.519825
2024,127,Hatfield,4367186.0,7265608.21155,4215602.35,1.663682,1.723504
2024,128,Haverhill,132551888.0,140568595.337491,132551888.25,1.06048,1.06048
2024,131,Hingham,47357771.0,71860512.448411,47057670.46704,1.517396,1.527073
2024,133,Holbrook,20493829.0,21229724.502986,20493828.67955,1.035908,1.035908
2024,135,Holland,2529521.0,3177758.964,2529520.89,1.256269,1.256269
2024,136,Holliston,32849810.0,42711118.0912,32828254.53732,1.300194,1.301047
2024,137,Holyoke,110072324.308414,107798299.262021,109412142.29,0.979341,0.98525
2024,138,Hopedale,12710811.0,17149189.578429,11489500.85,1.349181,1.492597
2024,139,Hopkinton,50873295.0,67755344.300503,50873294.82688,1.331845,1.331845
2024,141,Hudson,34207458.0,53024518.08375,34207457.53,1.550086,1.550086
2024,142,Hull,13048570.0,21112227.9225,10986735.57128,1.617973,1.921611
2024,144,Ipswich,20567036.0,35254204.162,20567036.15502,1.714112,1.714112
2024,145,Kingston,14371240.0,16811540.29,14371240.40758,1.169804,1.169804
2024,149,Lawrence,286581564.118854,285506519.284453,279873222.14,0.996249,1.020128
2024,150,Lee,8931113.0,13925739.08456,8739704.66,1.559239,1.593388
2024,151,Leicester,20759209.0,23530123.367939,20759208.56,1.133479,1.133479
2024,152,Lenox,6767534.0,15998371.69934,6717817.41,2.363988,2.381484
2024,153,Leominster,99599001.0,99844437.569819,99599000.58,1.002464,1.002464
2024,154,Leverett,1351708.0,2458408.6,1255147.3,1.818742,1.958661
2024,155,Lexington,90646899.0,167264081.77,90646899.4064,1.845227,1.845227
2024,157,Lincoln,7355302.0,14129455.769204,7355301.96728,1.920989,1.920989
2024,158,Littleton,20056952.0,29230400.4028,20056951.58,1.45737,1.45737
2024,159,Longmeadow,33192701.0,47506747.7525,33192700.99,1.431241,1.431241
2024,160,Lowell,289236848.0,294030323.824654,288791629.53,1.016573,1.01814
2024,161,Ludlow,32627792.0,43928407.14739,32627792.16,1.346349,1.346349
2024,162,Lunenburg,20730114.0,24043451.707734,20659694.91,1.159832,1.163785
2024,163,Lynn,329943497.0,331191959.89344,329943497.07,1.003784,1.003784
2024,164,Lynnfield,27452372.0,39170954.58,27452371.78052,1.42687,1.42687
2024,165,Malden,117616659.0,120056903.66736,117616659.13782,1.020747,1.020747
2024,167,Mansfield,52076187.0,67470579.937011,46129087.0059,1.295613,1.462647
2024,168,Marblehead,33316926.0,54283263.86975,32681938.29,1.6293,1.660956
2024,169,Marion,5068217.0,7794527.2,5068217.26,1.537923,1.537923
2024,170,Marlborough,87221685.0,90955161.951126,87221684.99645,1.042804,1.042804
2024,171,Marshfield,54303362.0,61931989.975,49950295.5573,1.140482,1.239872
2024,172,Mashpee,21382621.0,34078280.146228,20496134.48,1.593737,1.662669
2024,173,Mattapoisett,5126126.0,9175847.025,5079932.73,1.790016,1.806293
2024,174,Maynard,17768872.0,27957839.5563,17768872.033,1.573417,1.573417
2024,175,Medfield,30502096.0,45127283.9,29777088.9976,1.479481,1.515504
2024,176,Medford,71888258.0,89595504.26893,71888258.34116,1.246316,1.246316
2024,177,Medway,30117199.0,36297289.214083,26890897.84429,1.205201,1.349798
2024,178,Melrose,51330399.0,57225762.97,51330398.76502,1.114851,1.114851
2024,181,Methuen,109298850.0,110610482.707399,109298849.83,1.012,1.012
2024,182,Middleborough,44333813.0,53723781.900471,44333813.13,1.211802,1.211802
2024,184,Middleton,8683564.0,15064437.2,8542770.1968,1.734822,1.763414
2024,185,Milford,75437511.0,84877660.568548,75437511.28,1.125139,1.125139
2024,186,Millbury,22434599.0,30720268.756032,22434599.24,1.369326,1.369325
2024,187,Millis,16039203.0,23469496.5725,14054851.19248,1.463258,1.66985
2024,189,Milton,53957476.0,72455907.914,53957475.51556,1.342834,1.342834
2024,191,Monson,14062312.0,15235627.64716,11361547.17,1.083437,1.340982
2024,196,Nahant,2998777.0,4920992.8,2954392.42,1.641,1.665653
2024,197,Nantucket,25201462.0,45306650.6,25201462.49,1.797779,1.797779
2024,198,Natick,65231071.0,100972040.7878,65231071.03382,1.547913,1.547913
2024,199,Needham,70773643.0,124242385.0195,70773642.888,1.755489,1.755489
2024,201,New Bedford,259908138.0,260229794.619231,259908138.26,1.001238,1.001238
2024,204,Newburyport,27448208.0,43701517.221132,27448207.99,1.592145,1.592145
2024,207,Newton,156764604.0,277271740.5845,156764603.61603,1.768714,1.768714
2024,208,Norfolk,12913097.0,17627958.8,11993145.444,1.365122,1.469836
2024,209,North Adams,21755056.0,25965210.369915,21755055.92,1.193525,1.193525
2024,210,Northampton,36035690.0,48737527.464346,35618666.02,1.352479,1.368314
2024,211,North Andover,57569717.0,74829410.611985,57569717.3,1.299805,1.299805
