district,district_code,fiscal_year,object,expenditures,pupils,pupil_basis,ppe,cpi_u,deflator,expenditures_real,ppe_real
Achievement First Bridgeport Academy District,2850013,2018,Salaries,7589980,1062,2,7147,251.1,1.282206292313819,9731920.114536041,9163.928371166865
Achievement First Bridgeport Academy District,2850013,2018,Employee Benefits,1455073,1062,2,1370,251.1,1.282206292313819,1865703.7563759456,1756.6226204699321
Achievement First Bridgeport Academy District,2850013,2018,Purchased Services,3478211,1062,2,3275,251.1,1.282206292313819,4459784.030195141,4199.225607327758
Achievement First Bridgeport Academy District,2850013,2018,Tuition,0,0,4,0,251.1,1.282206292313819,0.0,0.0
Achievement First Bridgeport Academy District,2850013,2018,Supplies,186849,1062,2,176,251.1,1.282206292313819,239578.96351254478,225.66830744723217
Achievement First Bridgeport Academy District,2850013,2018,Property,178743,1062,2,168,251.1,1.282206292313819,229185.39930704897,215.4106571087216
Achievement First Bridgeport Academy District,2850013,2018,Other,19054,1062,2,18,251.1,1.282206292313819,24431.158693747508,23.079713261648745
Achievement First Bridgeport Academy District,2850013,2018,Total,12907910,1062,1,12154,251.1,1.282206292313819,16550603.42262047,15583.935276782158
Achievement First Hartford Academy District,2880013,2018,Salaries,10982806,1149,2,9559,251.1,1.282206292313819,14082222.960461967,12256.609948227797
Achievement First Hartford Academy District,2880013,2018,Employee Benefits,1981733,1149,2,1725,251.1,1.282206292313819,2540990.5222859415,2211.805854241338
Achievement First Hartford Academy District,2880013,2018,Purchased Services,3434825,1149,2,2989,251.1,1.282206292313819,4404154.227996814,3832.514607726005
Achievement First Hartford Academy District,2880013,2018,Tuition,0,0,4,0,251.1,1.282206292313819,0.0,0.0
Achievement First Hartford Academy District,2880013,2018,Supplies,254690,1149,2,222,251.1,1.282206292313819,326565.1205894066,284.6497968936678
Achievement First Hartford Academy District,2880013,2018,Property,283646,1149,2,247,251.1,1.282206292313819,363692.68598964554,316.7049542015133
Achievement First Hartford Academy District,2880013,2018,Other,22249,1149,2,19,251.1,1.282206292313819,28527.807797690162,24.36191955396256
Achievement First Hartford Academy District,2880013,2018,Total,16959949,1149,1,14761,251.1,1.282206292313819,21746153.325121462,18926.647080844283
Amistad Academy District,2790013,2018,Salaries,7806234,1081,2,7221,251.1,1.282206292313819,10009202.354074074,9258.811636798087
Amistad Academy District,2790013,2018,Employee Benefits,1546468,1081,2,1431,251.1,1.282206292313819,1982891.0004619672,1834.8372043010752
Amistad Academy District,2790013,2018,Purchased Services,3506871,1081,2,3244,251.1,1.282206292313819,4496532.062532855,4159.477212266029
Amistad Academy District,2790013,2018,Tuition,0,0,4,0,251.1,1.282206292313819,0.0,0.0
Amistad Academy District,2790013,2018,Supplies,199492,1081,2,185,251.1,1.282206292313819,255789.8976662684,237.20816407805654
Amistad Academy District,2790013,2018,Property,147584,1081,2,137,251.1,1.282206292313819,189233.13344484268,175.66226204699322
Amistad Academy District,2790013,2018,Other,27746,1081,2,26,251.1,1.282206292313819,35576.09578653923,33.3373636001593
Amistad Academy District,2790013,2018,Total,13234394,1081,1,12243,251.1,1.282206292313819,16969223.261760253,15698.051636798087
Andover School District,0010011,2018,Salaries,2555176,204,2,12525,251.1,1.282206292313819,3276262.745169255,16059.633811230584
Andover School District,0010011,2018,Employee Benefits,798921,204,2,3916,251.1,1.282206292313819,1024381.5332616487,5021.119840700916
Andover School District,0010011,2018,Purchased Services,695066,204,2,3407,251.1,1.282206292313819,891217.998773397,4368.476837913182
Andover School District,0010011,2018,Tuition,40422,7,4,5775,251.1,1.282206292313819,51829.3427479092,7404.741338112305
Andover School District,0010011,2018,Supplies,297180,204,2,1457,251.1,1.282206292313819,381046.06594982074,1868.1745679012345
Andover School District,0010011,2018,Property,75241,204,2,369,251.1,1.282206292313819,96474.48363998406,473.13412186379924
Andover School District,0010011,2018,Other,13621,204,2,67,251.1,1.282206292313819,17464.93190760653,85.90782158502589
Andover School District,0010011,2018,Total,4475625,211,1,21211,251.1,1.282206292313819,5738674.537037036,27196.877666268418
Ansonia School District,0020011,2018,Salaries,18279889,2283,2,8007,251.1,1.282206292313819,23438588.698598165,10266.62578255675
Ansonia School District,0020011,2018,Employee Benefits,4697595,2283,2,2058,251.1,1.282206292313819,6023285.867741935,2638.7805495818398
Ansonia School District,0020011,2018,Purchased Services,6815200,2283,2,2985,251.1,1.282206292313819,8738492.32337714,3827.38578255675
Ansonia School District,0020011,2018,Tuition,5622327,239,4,23524,251.1,1.282206292313819,7208983.056845877,30162.620820390282
Ansonia School District,0020011,2018,Supplies,1252816,2283,2,549,251.1,1.282206292313819,1606368.5583114296,703.9312544802867
Ansonia School District,0020011,2018,Property,920578,2283,2,403,251.1,1.282206292313819,1180370.904165671,516.729135802469
Ansonia School District,0020011,2018,Other,1330374,2283,2,583,251.1,1.282206292313819,1705813.9139307048,747.5262684189565
Ansonia School District,0020011,2018,Total,38918779,2522,1,15432,251.1,1.282206292313819,49901903.32297093,19787.007502986857
Area Cooperative Educational Services,2440014,2018,Salaries,46901334,2252,2,20827,251.1,1.282206292313819,60137185.572712064,26704.510450019912
Area Cooperative Educational Services,2440014,2018,Employee Benefits,10355711,2252,2,4598,251.1,1.282206292313819,13278157.805583432,5895.584532058941
Area Cooperative Educational Services,2440014,2018,Purchased Services,10467384,2252,2,4648,251.1,1.282206292313819,13421345.628864992,5959.694846674632
Area Cooperative Educational Services,2440014,2018,Tuition,570625,0,4,570625,251.1,1.282206292313819,731658.9655515731,731658.9655515731
Area Cooperative Educational Services,2440014,2018,Supplies,2629384,2252,2,1168,251.1,1.282206292313819,3371412.709709279,1497.6169494225408
Area Cooperative Educational Services,2440014,2018,Property,500475,2252,2,222,251.1,1.282206292313819,641712.1941457586,284.6497968936678
Area Cooperative Educational Services,2440014,2018,Other,45429,2252,2,20,251.1,1.282206292313819,58249.349653524485,25.64412584627638
Area Cooperative Educational Services,2440014,2018,Total,71470343,2252,1,31736,251.1,1.282206292313819,91639723.50842692,40692.09889287136
Ashford School District,0030011,2018,Salaries,4958318,394,2,12585,251.1,1.282206292313819,6357586.538892871,16136.566188769413
Ashford School District,0030011,2018,Employee Benefits,1585401,394,2,4024,251.1,1.282206292313819,2032811.138040621,5159.598120270808
Ashford School District,0030011,2018,Purchased Services,474125,394,2,1203,251.1,1.282206292313819,607926.0583432895,1542.4941696535243
Ashford School District,0030011,2018,Tuition,302874,7,4,43268,251.1,1.282206292313819,388346.94857825566,55478.50185583432
Ashford School District,0030011,2018,Supplies,368687,394,2,936,251.1,1.282206292313819,472732.791294305,1200.1450896057347
Ashford School District,0030011,2018,Property,106997,394,2,272,251.1,1.282206292313819,137192.2266587017,348.7601115093588
Ashford School District,0030011,2018,Other,28019,394,2,71,251.1,1.282206292313819,35926.1381043409,91.03664675428115
Ashford School District,0030011,2018,Total,7824422,401,1,19512,251.1,1.282206292313819,10032523.122118678,25018.40917562724
Avon School District,0040011,2018,Salaries,34771973,3208,2,10839,251.1,1.282206292313819,44584842.57676622,13897.834002389485
Avon School District,0040011,2018,Employee Benefits,10188089,3208,2,3176,251.1,1.282206292313819,13063231.822453205,4072.2871843886896
Avon School District,0040011,2018,Purchased Services,6354889,3208,2,1981,251.1,1.282206292313819,8148278.662755874,2540.0506650736756
Avon School District,0040011,2018,Tuition,3223704,133,4,24238,251.1,1.282206292313819,4133453.5533572277,31078.116113102347
Avon School District,0040011,2018,Supplies,2475242,3208,2,772,251.1,1.282206292313819,3173770.867399442,989.8632576662684
Avon School District,0040011,2018,Property,1078956,3208,2,336,251.1,1.282206292313819,1383444.172329749,430.8213142174432
Avon School District,0040011,2018,Other,95567,3208,2,30,251.1,1.282206292313819,122536.60873755475,38.46618876941457
Avon School District,0040011,2018,Total,58188420,3341,1,17416,251.1,1.282206292313819,74609558.26379928,22330.904786937474
Barkhamsted School District,0050011,2018,Salaries,2155881,248,2,8693,251.1,1.282206292313819,2764284.183679809,11146.21929908403
Barkhamsted School District,0050011,2018,Employee Benefits,555431,248,2,2240,251.1,1.282206292313819,712177.1231461569,2872.1420947829547
Barkhamsted School District,0050011,2018,Purchased Services,1260976,248,2,5085,251.1,1.282206292313819,1616831.3616567103,6520.01899641577
Barkhamsted School District,0050011,2018,Tuition,114401,8,4,14300,251.1,1.282206292313819,146685.68204699323,18335.549980087613
Barkhamsted School District,0050011,2018,Supplies,136724,248,2,551,251.1,1.282206292313819,175308.3731103146,706.4956670649143
Barkhamsted School District,0050011,2018,Property,59490,248,2,240,251.1,1.282206292313819,76278.4523297491,307.7295101553166
Barkhamsted School District,0050011,2018,Other,25279,248,2,102,251.1,1.282206292313819,32412.892863401034,130.78504181600954
Barkhamsted School District,0050011,2018,Total,4308182,256,1,16829,251.1,1.282206292313819,5523978.068833134,21578.249693349262
Berlin School District,0070011,2018,Salaries,30836154,2781,2,11088,251.1,1.282206292313819,39538310.68955794,14217.103369175626
Berlin School District,0070011,2018,Employee Benefits,6448676,2781,2,2319,251.1,1.282206292313819,8268532.94429311,2973.4363918757467
Berlin School District,0070011,2018,Purchased Services,6417844,2781,2,2308,251.1,1.282206292313819,8228999.95988849,2959.3321226602943
Berlin School District,0070011,2018,Tuition,2543252,137,4,18564,251.1,1.282206292313819,3260973.717339705,23802.877610513737
Berlin School District,0070011,2018,Supplies,2018853,2781,2,726,251.1,1.282206292313819,2588586.019856631,930.8817682198327
Berlin School District,0070011,2018,Property,457588,2781,2,165,251.1,1.282206292313819,586722.2128872959,211.56403823178016
Berlin School District,0070011,2018,Other,102265,2781,2,37,251.1,1.282206292313819,131124.82648347272,47.44163281561131
Berlin School District,0070011,2018,Total,48824632,2918,1,16732,251.1,1.282206292313819,62603250.37030665,21453.87568299482
Bethany School District,0080011,2018,Salaries,4143475,364,2,11383,251.1,1.282206292313819,5312789.717045002,14595.354225408202
Bethany School District,0080011,2018,Employee Benefits,804910,364,2,2211,251.1,1.282206292313819,1032060.6667463161,2834.9581123058542
Bethany School District,0080011,2018,Purchased Services,998662,364,2,2744,251.1,1.282206292313819,1280490.7002947032,3518.3740661091197
Bethany School District,0080011,2018,Tuition,146199,6,4,24367,251.1,1.282206292313819,187457.27772998804,31243.52072481083
Bethany School District,0080011,2018,Supplies,264310,364,2,726,251.1,1.282206292313819,338899.94512146554,930.8817682198327
Bethany School District,0080011,2018,Property,342658,364,2,941,251.1,1.282206292313819,439358.24371166865,1206.5561210673038
Bethany School District,0080011,2018,Other,232860,364,2,640,251.1,1.282206292313819,298574.5572281959,820.6120270808442
Bethany School District,0080011,2018,Total,6933075,370,1,18738,251.1,1.282206292313819,8889632.390083632,24025.98150537634
Bethel School District,0090011,2018,Salaries,30811183,3047,2,10112,251.1,1.282206292313819,39506292.716232575,12965.670027877339
Bethel School District,0090011,2018,Employee Benefits,8504369,3047,2,2791,251.1,1.282206292313819,10904355.443958582,3578.637761847869
Bethel School District,0090011,2018,Purchased Services,6173712,3047,2,2026,251.1,1.282206292313819,7915972.373333333,2597.7499482277976
Bethel School District,0090011,2018,Tuition,1439443,56,4,25704,251.1,1.282206292313819,1845662.8720270807,32957.83053763441
Bethel School District,0090011,2018,Supplies,981139,3047,2,322,251.1,1.282206292313819,1258022.5994344882,412.87042612504973
Bethel School District,0090011,2018,Property,610817,3047,2,200,251.1,1.282206292313819,783193.40085225,256.4412584627638
Bethel School District,0090011,2018,Other,61807,3047,2,20,251.1,1.282206292313819,79249.32430904022,25.64412584627638
Bethel School District,0090011,2018,Total,48582469,3103,1,15657,251.1,1.282206292313819,62292747.44794106,20075.503918757466
Bloomfield School District,0110011,2018,Salaries,28505299,2139,2,13326,251.1,1.282206292313819,36549673.74208681,17086.681051373955
Bloomfield School District,0110011,2018,Employee Benefits,11321969,2139,2,5293,251.1,1.282206292313819,14517099.893181998,6786.717905217045
Bloomfield School District,0110011,2018,Purchased Services,5923778,2139,2,2769,251.1,1.282206292313819,7595505.425870171,3550.429223416965
Bloomfield School District,0110011,2018,Tuition,3923657,501,4,7832,251.1,1.282206292313819,5030937.694281163,10042.239681401832
