"Per Pupil Expenditures by Object (District), 2020-21"
"All Districts"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 4 = Outplaced pupils"
"*Tuition expenditures are included with Other expenditures when fewer than six students are outplaced."

"District","District Code","Object","Expenditures","Pupils","Pupil Basis","PPE"
"Achievement First Bridgeport Academy District","=""2850013""","Salaries","$8,596,666",1127,2,"$7,628"
"Achievement First Bridgeport Academy District","=""2850013""","Employee Benefits","$1,405,433",1127,2,"$1,247"
"Achievement First Bridgeport Academy District","=""2850013""","Purchased Services","$3,781,593",1127,2,"$3,355"
"Achievement First Bridgeport Academy District","=""2850013""","Tuition","$0",0,4,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Supplies","$248,270",1127,2,"$220"
"Achievement First Bridgeport Academy District","=""2850013""","Property","$575,160",1127,2,"$510"
"Achievement First Bridgeport Academy District","=""2850013""","Other","$20,449",1127,2,"$18"
"Achievement First Bridgeport Academy District","=""2850013""","Total","$14,627,570",1127,1,"$12,979"
"Achievement First Hartford Academy District","=""2880013""","Salaries","$10,316,382",1164,2,"$8,863"
"Achievement First Hartford Academy District","=""2880013""","Employee Benefits","$1,705,382",1164,2,"$1,465"
"Achievement First Hartford Academy District","=""2880013""","Purchased Services","$2,987,767",1164,2,"$2,567"
"Achievement First Hartford Academy District","=""2880013""","Tuition","$0",0,4,"$0"
"Achievement First Hartford Academy District","=""2880013""","Supplies","$222,378",1164,2,"$191"
"Achievement First Hartford Academy District","=""2880013""","Property","$421,536",1164,2,"$362"
"Achievement First Hartford Academy District","=""2880013""","Other","$19,722",1164,2,"$17"
"Achievement First Hartford Academy District","=""2880013""","Total","$15,673,166",1164,1,"$13,465"
"Amistad Academy District","=""2790013""","Salaries","$8,812,675",1134,2,"$7,771"
"Amistad Academy District","=""2790013""","Employee Benefits","$1,450,426",1134,2,"$1,279"
"Amistad Academy District","=""2790013""","Purchased Services","$3,724,123",1134,2,"$3,284"
"Amistad Academy District","=""2790013""","Tuition","$0",0,4,"$0"
"Amistad Academy District","=""2790013""","Supplies","$202,178",1134,2,"$178"
"Amistad Academy District","=""2790013""","Property","$1,002,603",1134,2,"$884"
"Amistad Academy District","=""2790013""","Other","$19,811",1134,2,"$17"
"Amistad Academy District","=""2790013""","Total","$15,211,817",1134,1,"$13,414"
"Andover School District","=""0010011""","Salaries","$2,463,476",173,2,"$14,240"
"Andover School District","=""0010011""","Employee Benefits","$786,380",173,2,"$4,546"
"Andover School District","=""0010011""","Purchased Services","$523,995",173,2,"$3,029"
"Andover School District","=""0010011""","Tuition","$171,505",6,4,"$28,584"
"Andover School District","=""0010011""","Supplies","$373,785",173,2,"$2,161"
"Andover School District","=""0010011""","Property","$7,990",173,2,"$46"
"Andover School District","=""0010011""","Other","$8,174",173,2,"$47"
"Andover School District","=""0010011""","Total","$4,335,305",179,1,"$24,220"
