District,fiscal_year,subject,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2018,ELA,53.0,45.0,84.9,45.0,62.2,510.0
Achievement First Hartford Academy District,2018,ELA,36.0,36.0,100.0,36.0,,458.0
Amistad Academy District,2018,ELA,51.0,45.0,88.2,45.0,,522.0
Ansonia School District,2018,ELA,150.0,148.0,98.7,148.0,50.0,488.0
Area Cooperative Educational Services,2018,ELA,20.0,13.0,65.0,13.0,,
Avon School District,2018,ELA,226.0,218.0,96.5,218.0,89.9,602.0
Berlin School District,2018,ELA,232.0,231.0,99.6,231.0,77.5,547.0
Bethel School District,2018,ELA,233.0,230.0,98.7,229.0,70.3,533.0
Bloomfield School District,2018,ELA,156.0,152.0,97.4,151.0,53.0,491.0
Bolton School District,2018,ELA,67.0,67.0,100.0,67.0,64.2,531.0
Branford School District,2018,ELA,225.0,217.0,96.4,217.0,61.8,511.0
Bridgeport School District,2018,ELA,1218.0,1052.0,86.4,1050.0,31.7,441.0
Bristol School District,2018,ELA,594.0,566.0,95.3,566.0,53.7,492.0
Brookfield School District,2018,ELA,217.0,209.0,96.3,208.0,80.8,557.0
Brooklyn School District,2018,ELA,,,,,,
Canton School District,2018,ELA,120.0,117.0,97.5,117.0,89.7,587.0
Capital Preparatory Harbor School District,2018,ELA,31.0,29.0,93.5,29.0,37.9,463.0
Capitol Region Education Council,2018,ELA,523.0,488.0,93.3,485.0,51.1,492.0
Cheshire School District,2018,ELA,375.0,358.0,95.5,358.0,80.7,555.0
Clinton School District,2018,ELA,141.0,138.0,97.9,138.0,71.0,530.0
Colchester School District,2018,ELA,189.0,183.0,96.8,182.0,73.6,538.0
Columbia School District,2018,ELA,,,,,,
Common Ground High School District,2018,ELA,46.0,45.0,97.8,45.0,57.8,499.0
Connecticut Technical Education and Career System,2018,ELA,2435.0,2389.0,98.1,2384.0,36.0,456.0
Cooperative Educational Services,2018,ELA,20.0,18.0,90.0,18.0,,
Coventry School District,2018,ELA,104.0,104.0,100.0,101.0,75.2,530.0
Cromwell School District,2018,ELA,132.0,126.0,95.5,125.0,68.0,525.0
Danbury School District,2018,ELA,686.0,662.0,96.5,662.0,49.7,480.0
Darien School District,2018,ELA,339.0,306.0,90.3,305.0,90.8,601.0
Derby School District,2018,ELA,70.0,66.0,94.3,66.0,,471.0
East Granby School District,2018,ELA,73.0,73.0,100.0,73.0,86.3,550.0
East Haddam School District,2018,ELA,74.0,71.0,95.9,71.0,77.5,534.0
East Hampton School District,2018,ELA,130.0,127.0,97.7,127.0,76.4,540.0
East Hartford School District,2018,ELA,530.0,503.0,94.9,503.0,45.1,471.0
East Haven School District,2018,ELA,210.0,197.0,93.8,196.0,49.0,479.0
East Lyme School District,2018,ELA,254.0,246.0,96.9,246.0,73.6,546.0
East Windsor School District,2018,ELA,67.0,65.0,97.0,65.0,,471.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2018,ELA,80.0,70.0,87.5,68.0,,465.0
EdAdvance,2018,ELA,8.0,6.0,,6.0,,
