District,fiscal_year,subject,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2024,Math,60.0,49.0,81.7,48.0,,421.0
Achievement First Hartford Academy District,2024,Math,61.0,60.0,98.4,60.0,,414.0
Amistad Academy District,2024,Math,62.0,54.0,87.1,54.0,,418.0
Ansonia School District,2024,Math,151.0,149.0,98.7,149.0,8.7,405.0
Area Cooperative Educational Services,2024,Math,33.0,19.0,57.6,19.0,,
Avon School District,2024,Math,239.0,230.0,96.2,228.0,59.6,555.0
Berlin School District,2024,Math,240.0,237.0,98.8,237.0,36.3,499.0
Bethel School District,2024,Math,287.0,267.0,93.0,267.0,42.7,510.0
Bloomfield School District,2024,Math,167.0,161.0,96.4,161.0,6.8,412.0
Bolton School District,2024,Math,48.0,48.0,100.0,48.0,47.9,525.0
Branford School District,2024,Math,192.0,187.0,97.4,187.0,33.7,485.0
Bridgeport School District,2024,Math,1213.0,1097.0,90.4,1097.0,7.5,391.0
Bristol School District,2024,Math,619.0,579.0,93.5,579.0,17.1,443.0
Brookfield School District,2024,Math,222.0,219.0,98.6,219.0,38.4,507.0
Brooklyn School District,2024,Math,,,,,,
Canterbury School District,2024,Math,,,,,,
Canton School District,2024,Math,110.0,103.0,93.6,103.0,48.5,520.0
Capital Preparatory Harbor School District,2024,Math,39.0,37.0,94.9,37.0,18.9,437.0
Capitol Region Education Council,2024,Math,459.0,421.0,91.7,421.0,10.2,407.0
Cheshire School District,2024,Math,306.0,304.0,99.3,303.0,49.5,532.0
Clinton School District,2024,Math,130.0,127.0,97.7,127.0,36.2,490.0
Colchester School District,2024,Math,137.0,133.0,97.1,133.0,35.3,497.0
Common Ground High School District,2024,Math,50.0,46.0,92.0,46.0,15.2,434.0
Connecticut Technical Education and Career System,2024,Math,2664.0,2609.0,97.9,2607.0,8.6,414.0
Cooperative Educational Services,2024,Math,11.0,6.0,,6.0,,
Coventry School District,2024,Math,92.0,89.0,96.7,89.0,,502.0
Cromwell School District,2024,Math,133.0,129.0,97.0,128.0,38.3,506.0
Danbury School District,2024,Math,893.0,866.0,97.0,866.0,10.9,419.0
Darien School District,2024,Math,352.0,331.0,94.0,318.0,76.1,594.0
Derby School District,2024,Math,109.0,105.0,96.3,105.0,11.4,398.0
East Granby School District,2024,Math,67.0,67.0,100.0,67.0,,509.0
East Haddam School District,2024,Math,67.0,65.0,97.0,65.0,27.7,477.0
East Hampton School District,2024,Math,123.0,122.0,99.2,121.0,35.5,489.0
East Hartford School District,2024,Math,551.0,511.0,92.7,511.0,16.6,425.0
East Haven School District,2024,Math,193.0,180.0,93.3,179.0,12.8,436.0
East Lyme School District,2024,Math,219.0,205.0,93.6,205.0,41.5,517.0
East Windsor School District,2024,Math,59.0,57.0,96.6,57.0,21.1,430.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2024,Math,79.0,70.0,88.6,70.0,11.4,436.0
EdAdvance,2024,Math,19.0,13.0,,13.0,,
Ellington School District,2024,Math,171.0,160.0,93.6,160.0,42.5,512.0
Elm City College Preparatory School District,2024,Math,45.0,37.0,82.2,37.0,,422.0
Enfield School District,2024,Math,330.0,316.0,95.8,316.0,31.3,481.0
Explorations District,2024,Math,26.0,20.0,76.9,20.0,,381.0
Fairfield School District,2024,Math,678.0,660.0,97.3,656.0,53.4,540.0
Farmington School District,2024,Math,321.0,311.0,96.9,300.0,54.7,547.0
Glastonbury School District,2024,Math,469.0,459.0,97.9,457.0,55.4,555.0
Goodwin University Educational Services (GUES),2024,Math,111.0,92.0,82.9,91.0,,398.0
Granby School District,2024,Math,140.0,137.0,97.9,137.0,49.6,526.0
Great Oaks Charter School District,2024,Math,91.0,77.0,84.6,77.0,,375.0
Greenwich School District,2024,Math,671.0,658.0,98.1,647.0,60.6,566.0
Griswold School District,2024,Math,146.0,141.0,96.6,141.0,17.0,447.0
Groton School District,2024,Math,239.0,222.0,92.9,222.0,26.6,467.0
Guilford School District,2024,Math,269.0,266.0,98.9,262.0,55.0,545.0
Hamden School District,2024,Math,403.0,380.0,94.3,379.0,19.0,450.0
Hartford School District,2024,Math,1114.0,898.0,80.6,895.0,12.6,402.0
Highville Charter School District,2024,Math,12.0,12.0,,12.0,,
Jumoke Academy District,2024,Math,,,,,,
Killingly School District,2024,Math,170.0,162.0,95.3,162.0,11.7,441.0
Learn,2024,Math,100.0,100.0,100.0,100.0,36.0,498.0
Lebanon School District,2024,Math,80.0,79.0,98.8,77.0,22.1,462.0
Ledyard School District,2024,Math,177.0,173.0,97.7,173.0,26.6,474.0
Litchfield School District,2024,Math,52.0,51.0,98.1,51.0,,495.0
Madison School District,2024,Math,193.0,192.0,99.5,191.0,60.2,570.0
Manchester School District,2024,Math,469.0,385.0,82.1,384.0,16.7,439.0
Meriden School District,2024,Math,643.0,588.0,91.4,586.0,13.7,419.0
Middletown School District,2024,Math,320.0,299.0,93.4,299.0,16.4,427.0
Milford School District,2024,Math,393.0,376.0,95.7,376.0,35.9,486.0
Monroe School District,2024,Math,272.0,258.0,94.9,257.0,34.6,507.0
Montville School District,2024,Math,139.0,137.0,98.6,137.0,22.6,451.0
Naugatuck School District,2024,Math,328.0,312.0,95.1,311.0,15.4,417.0
New Britain School District,2024,Math,606.0,536.0,88.4,536.0,7.6,393.0
New Canaan School District,2024,Math,322.0,315.0,97.8,300.0,70.0,588.0
New Fairfield School District,2024,Math,177.0,171.0,96.6,171.0,40.9,507.0
New Haven School District,2024,Math,1284.0,1093.0,85.1,1093.0,10.7,411.0
New London School District,2024,Math,196.0,180.0,91.8,180.0,,379.0
New Milford School District,2024,Math,314.0,300.0,95.5,298.0,23.8,477.0
Newington School District,2024,Math,324.0,308.0,95.1,308.0,32.8,490.0
Newtown School District,2024,Math,341.0,324.0,95.0,324.0,50.6,535.0
North Branford School District,2024,Math,99.0,97.0,98.0,97.0,,480.0
North Haven School District,2024,Math,251.0,246.0,98.0,245.0,35.9,497.0
North Stonington School District,2024,Math,58.0,57.0,98.3,57.0,36.8,515.0
Norwalk School District,2024,Math,993.0,870.0,87.6,870.0,24.3,455.0
