District,fiscal_year,subject,needs_group,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2018,ELA,High Needs,53.0,45.0,84.9,45.0,62.2,510.0
Achievement First Hartford Academy District,2018,ELA,High Needs,36.0,36.0,100.0,36.0,,458.0
Amistad Academy District,2018,ELA,High Needs,51.0,45.0,88.2,45.0,,522.0
Ansonia School District,2018,ELA,High Needs,104.0,102.0,98.1,102.0,,465.0
Ansonia School District,2018,ELA,Non-High Needs,46.0,46.0,100.0,46.0,80.4,541.0
Area Cooperative Educational Services,2018,ELA,High Needs,20.0,13.0,65.0,13.0,,
Avon School District,2018,ELA,High Needs,38.0,34.0,89.5,34.0,,506.0
Avon School District,2018,ELA,Non-High Needs,188.0,184.0,97.9,184.0,,620.0
Berlin School District,2018,ELA,High Needs,43.0,43.0,100.0,43.0,,467.0
Berlin School District,2018,ELA,Non-High Needs,189.0,188.0,99.5,188.0,,566.0
Bethel School District,2018,ELA,High Needs,82.0,79.0,96.3,79.0,,472.0
Bethel School District,2018,ELA,Non-High Needs,151.0,151.0,100.0,150.0,85.3,566.0
Bloomfield School District,2018,ELA,High Needs,75.0,72.0,96.0,71.0,,465.0
Bloomfield School District,2018,ELA,Non-High Needs,81.0,80.0,98.8,80.0,,514.0
Bolton School District,2018,ELA,High Needs,12.0,12.0,,12.0,,
Bolton School District,2018,ELA,Non-High Needs,55.0,55.0,100.0,55.0,,561.0
Branford School District,2018,ELA,High Needs,98.0,92.0,93.9,92.0,42.4,466.0
Branford School District,2018,ELA,Non-High Needs,127.0,125.0,98.4,125.0,76.0,544.0
Bridgeport School District,2018,ELA,High Needs,912.0,763.0,83.7,761.0,23.1,421.0
Bridgeport School District,2018,ELA,Non-High Needs,306.0,289.0,94.4,289.0,54.3,492.0
Bristol School District,2018,ELA,High Needs,338.0,315.0,93.2,315.0,35.6,454.0
Bristol School District,2018,ELA,Non-High Needs,256.0,251.0,98.0,251.0,76.5,540.0
Brookfield School District,2018,ELA,High Needs,57.0,51.0,89.5,51.0,,487.0
Brookfield School District,2018,ELA,Non-High Needs,160.0,158.0,98.8,157.0,,579.0
Brooklyn School District,2018,ELA,High Needs,,,,,,
Canton School District,2018,ELA,High Needs,19.0,18.0,,18.0,,
Canton School District,2018,ELA,Non-High Needs,101.0,99.0,98.0,99.0,,602.0
Capital Preparatory Harbor School District,2018,ELA,High Needs,17.0,16.0,,16.0,,
