District,fiscal_year,subject,needs_group,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2023,Math,Non-High Needs,9.0,9.0,,9.0,,
Achievement First Bridgeport Academy District,2023,Math,High Needs,40.0,37.0,92.5,37.0,,398.0
Achievement First Hartford Academy District,2023,Math,Non-High Needs,47.0,43.0,91.5,43.0,,419.0
Achievement First Hartford Academy District,2023,Math,High Needs,19.0,18.0,,18.0,,
Amistad Academy District,2023,Math,Non-High Needs,22.0,22.0,100.0,22.0,,461.0
Amistad Academy District,2023,Math,High Needs,47.0,41.0,87.2,41.0,,414.0
Ansonia School District,2023,Math,Non-High Needs,50.0,50.0,100.0,50.0,24.0,460.0
Ansonia School District,2023,Math,High Needs,89.0,87.0,97.8,87.0,8.0,406.0
Area Cooperative Educational Services,2023,Math,High Needs,26.0,13.0,50.0,13.0,,
Avon School District,2023,Math,Non-High Needs,183.0,182.0,99.5,182.0,,604.0
Avon School District,2023,Math,High Needs,44.0,36.0,81.8,36.0,,492.0
Berlin School District,2023,Math,Non-High Needs,141.0,140.0,99.3,140.0,54.3,534.0
Berlin School District,2023,Math,High Needs,51.0,49.0,96.1,49.0,16.3,445.0
Bethel School District,2023,Math,Non-High Needs,159.0,155.0,97.5,155.0,,532.0
Bethel School District,2023,Math,High Needs,87.0,80.0,92.0,79.0,15.2,438.0
Bloomfield School District,2023,Math,Non-High Needs,44.0,43.0,97.7,43.0,,428.0
Bloomfield School District,2023,Math,High Needs,84.0,78.0,92.9,77.0,,410.0
Bolton School District,2023,Math,Non-High Needs,40.0,38.0,95.0,38.0,,505.0
Bolton School District,2023,Math,High Needs,8.0,6.0,,6.0,,
Branford School District,2023,Math,Non-High Needs,136.0,132.0,97.1,132.0,,520.0
Branford School District,2023,Math,High Needs,81.0,74.0,91.4,74.0,21.6,470.0
Bridgeport School District,2023,Math,Non-High Needs,202.0,193.0,95.5,192.0,22.9,446.0
Bridgeport School District,2023,Math,High Needs,992.0,887.0,89.4,878.0,5.1,387.0
