"Smarter Balanced Assessments, 2023-24"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","Total Number of Students","Total Number Tested","Smarter Balanced Participation Rate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Bridgeport Academy District","=""2850013""","ELA",558,558,100.0,558,192,34.4,150,26.9,144,25.8,72,12.9,216,38.7
,,"Math",558,547,98.0,547,273,49.9,156,28.5,76,13.9,42,7.7,118,21.6
"Achievement First Hartford Academy District","=""2880013""","ELA",460,457,99.3,457,159,34.8,119,26.0,108,23.6,71,15.5,179,39.2
,,"Math",458,451,98.5,450,231,51.3,136,30.2,56,12.4,27,6.0,83,18.4
"Amistad Academy District","=""2790013""","ELA",539,537,99.6,537,196,36.5,148,27.6,122,22.7,71,13.2,193,35.9
,,"Math",539,521,96.7,521,258,49.5,138,26.5,72,13.8,53,10.2,125,24.0
"Andover School District","=""0010011""","ELA",92,92,100.0,92,14,15.2,24,26.1,30,32.6,24,26.1,54,58.7
,,"Math",92,92,100.0,92,13,14.1,21,22.8,32,34.8,26,28.3,58,63.0
"Ansonia School District","=""0020011""","ELA",1131,1123,99.3,1123,573,51.0,263,23.4,205,18.3,82,7.3,287,25.6
,,"Math",1132,1119,98.9,1119,610,54.5,295,26.4,147,13.1,67,6.0,214,19.1
"Area Cooperative Educational Services","=""2440014""","ELA",1063,1041,97.9,1040,458,44.0,260,25.0,235,22.6,87,8.4,322,31.0
,,"Math",1065,1026,96.3,1025,524,51.1,251,24.5,141,13.8,109,10.6,250,24.4
"Ashford School District","=""0030011""","ELA",231,226,97.8,226,59,26.1,53,23.5,62,27.4,52,23.0,114,50.4
,,"Math",231,226,97.8,226,58,25.7,67,29.6,51,22.6,50,22.1,101,44.7
"Avon School District","=""0040011""","ELA",1429,1427,99.9,1427,176,12.3,213,14.9,468,32.8,570,39.9,1038,72.7
,,"Math",1429,1425,99.7,1425,183,12.8,305,21.4,368,25.8,569,39.9,937,65.8
"Barkhamsted School District","=""0050011""","ELA",115,114,99.1,114,27,23.7,34,29.8,31,27.2,22,19.3,53,46.5
,,"Math",115,114,99.1,114,13,11.4,30,26.3,34,29.8,37,32.5,71,62.3
"Berlin School District","=""0070011""","ELA",1167,1148,98.4,1148,171,14.9,257,22.4,407,35.5,313,27.3,720,62.7
,,"Math",1167,1147,98.3,1147,178,15.5,245,21.4,332,28.9,392,34.2,724,63.1
"Bethany School District","=""0080011""","ELA",255,251,98.4,251,22,8.8,36,14.3,70,27.9,123,49.0,193,76.9
,,"Math",255,251,98.4,251,21,8.4,44,17.5,73,29.1,113,45.0,186,74.1
"Bethel School District","=""0090011""","ELA",1441,1432,99.4,1432,263,18.4,335,23.4,441,30.8,393,27.4,834,58.2
,,"Math",1441,1431,99.3,1431,261,18.2,351,24.5,357,24.9,462,32.3,819,57.2
"Bloomfield School District","=""0110011""","ELA",716,708,98.9,708,274,38.7,205,29.0,168,23.7,61,8.6,229,32.3
,,"Math",716,706,98.6,705,336,47.7,204,28.9,104,14.8,61,8.7,165,23.4
"Bolton School District","=""0120011""","ELA",323,308,95.4,308,51,16.6,66,21.4,98,31.8,93,30.2,191,62.0
,,"Math",323,308,95.4,308,50,16.2,80,26.0,71,23.1,107,34.7,178,57.8
"Booker T. Washington Academy District","=""2950013""","ELA",248,248,100.0,248,79,31.9,77,31.0,59,23.8,33,13.3,92,37.1
,,"Math",248,248,100.0,248,102,41.1,63,25.4,58,23.4,25,10.1,83,33.5
"Bozrah School District","=""0130011""","ELA",98,98,100.0,98,24,24.5,21,21.4,31,31.6,22,22.4,53,54.1
,,"Math",98,98,100.0,98,15,15.3,28,28.6,31,31.6,24,24.5,55,56.1
"Branford School District","=""0140011""","ELA",1135,1128,99.4,1127,223,19.8,283,25.1,332,29.5,289,25.6,621,55.1
,,"Math",1136,1116,98.2,1115,216,19.4,295,26.5,319,28.6,285,25.6,604,54.2
"Brass City Charter School District","=""2900013""","ELA",210,210,100.0,210,61,29.0,55,26.2,59,28.1,35,16.7,94,44.8
,,"Math",210,210,100.0,210,85,40.5,56,26.7,37,17.6,32,15.2,69,32.9
"Bridgeport School District","=""0150011""","ELA",8659,8586,99.2,8585,5119,59.6,1759,20.5,1299,15.1,408,4.8,1707,19.9
,,"Math",8659,8563,98.9,8561,5607,65.5,1897,22.2,782,9.1,275,3.2,1057,12.3
"Bristol School District","=""0170011""","ELA",3377,3350,99.2,3310,894,27.0,787,23.8,1002,30.3,627,18.9,1629,49.2
,,"Math",3376,3333,98.7,3319,1069,32.2,863,26.0,732,22.1,655,19.7,1387,41.8
"Brookfield School District","=""0180011""","ELA",1139,1094,96.0,1093,181,16.6,228,20.9,360,32.9,324,29.6,684,62.6
,,"Math",1139,1090,95.7,1090,181,16.6,290,26.6,326,29.9,293,26.9,619,56.8
"Brooklyn School District","=""0190011""","ELA",559,557,99.6,557,110,19.7,135,24.2,188,33.8,124,22.3,312,56.0
,,"Math",559,556,99.5,556,139,25.0,165,29.7,161,29.0,91,16.4,252,45.3
"Canaan School District","=""0210011""","ELA",51,51,100.0,51,6,11.8,10,19.6,17,33.3,18,35.3,35,68.6
,,"Math",51,51,100.0,51,7,13.7,15,29.4,15,29.4,14,27.5,29,56.9
"Canterbury School District","=""0220011""","ELA",289,285,98.6,285,59,20.7,74,26.0,104,36.5,48,16.8,152,53.3
,,"Math",289,283,97.9,283,56,19.8,81,28.6,91,32.2,55,19.4,146,51.6
"Canton School District","=""0230011""","ELA",669,654,97.8,653,102,15.6,145,22.2,230,35.2,176,27.0,406,62.2
,,"Math",669,652,97.5,652,97,14.9,155,23.8,195,29.9,205,31.4,400,61.3
