"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades Combined, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","High Needs (F/R, EL or SWD)","Total Number of Students","Total Number Tested","Smarter Balanced Participation Rate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Bridgeport Academy District","=""2850013""","ELA","N",88,88,100.0,88,24,27.3,25,28.4,21,23.9,18,20.5,39,44.3
,,,"Y",476,476,100.0,476,172,36.1,139,29.2,110,23.1,55,11.6,165,34.7
,,"Math","N",88,88,100.0,88,35,39.8,17,19.3,23,26.1,13,14.8,36,40.9
,,,"Y",476,474,99.6,474,220,46.4,135,28.5,85,17.9,34,7.2,119,25.1
"Achievement First Hartford Academy District","=""2880013""","ELA","Y",551,548,99.5,547,179,32.7,140,25.6,166,30.3,62,11.3,228,41.7
,,"Math","Y",551,547,99.3,546,242,44.3,163,29.9,108,19.8,33,6.0,141,25.8
"Amistad Academy District","=""2790013""","ELA","N",125,125,100.0,125,24,19.2,36,28.8,38,30.4,27,21.6,65,52.0
,,,"Y",419,416,99.3,416,103,24.8,113,27.2,126,30.3,74,17.8,200,48.1
,,"Math","N",125,125,100.0,125,43,34.4,47,37.6,15,12.0,20,16.0,35,28.0
,,,"Y",419,415,99.0,415,126,30.4,138,33.3,102,24.6,49,11.8,151,36.4
"Andover School District","=""0010011""","ELA","N",135,133,98.5,133,"*","*","*","*",35,26.3,77,57.9,112,84.2
,,,"Y",32,30,93.8,30,"*","*","*","*",8,26.7,10,33.3,18,60.0
,,"Math","N",135,133,98.5,133,"*","*",30,22.6,38,28.6,"*","*","*","*"
,,,"Y",32,32,100.0,32,"*","*",11,34.4,10,31.3,"*","*","*","*"
"Ansonia School District","=""0020011""","ELA","N",362,354,97.8,354,73,20.6,80,22.6,124,35.0,77,21.8,201,56.8
,,,"Y",863,851,98.6,851,324,38.1,281,33.0,181,21.3,65,7.6,246,28.9
,,"Math","N",363,359,98.9,359,114,31.8,131,36.5,76,21.2,38,10.6,114,31.8
,,,"Y",863,848,98.3,848,419,49.4,308,36.3,90,10.6,31,3.7,121,14.3
"Area Cooperative Educational Services","=""2440014""","ELA","N",478,477,99.8,476,69,14.5,132,27.7,188,39.5,87,18.3,275,57.8
,,,"Y",819,800,97.7,792,348,43.9,247,31.2,167,21.1,30,3.8,197,24.9
