"Smarter Balanced Assessments, 2024-25"
"All Districts, ELA and Math, All Grades Combined, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","High Needs (F/R, EL or SWD)","Total Number of Students","Total Number Tested","Smarter Balanced Participation Rate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Bridgeport Academy District","=""2850013""","ELA","N",79,79,100.0,79,26,32.9,15,19.0,28,35.4,10,12.7,38,48.1
,,,"Y",450,448,99.6,448,171,38.2,116,25.9,119,26.6,42,9.4,161,35.9
,,"Math","N",79,78,98.7,78,31,39.7,22,28.2,18,23.1,7,9.0,25,32.1
,,,"Y",449,444,98.9,443,242,54.6,111,25.1,64,14.4,26,5.9,90,20.3
"Achievement First Hartford Academy District","=""2880013""","ELA","N",69,69,100.0,69,14,20.3,22,31.9,21,30.4,12,17.4,33,47.8
,,,"Y",371,367,98.9,367,130,35.4,94,25.6,87,23.7,56,15.3,143,39.0
,,"Math","N",69,69,100.0,68,24,35.3,22,32.4,"*","*","*","*",22,32.4
,,,"Y",371,365,98.4,364,174,47.8,94,25.8,"*","*","*","*",96,26.4
"Amistad Academy District","=""2790013""","ELA","N",82,82,100.0,82,19,23.2,13,15.9,29,35.4,21,25.6,50,61.0
,,,"Y",456,456,100.0,456,202,44.3,109,23.9,99,21.7,46,10.1,145,31.8
,,"Math","N",82,82,100.0,82,16,19.5,24,29.3,25,30.5,17,20.7,42,51.2
,,,"Y",456,453,99.3,453,214,47.2,130,28.7,74,16.3,35,7.7,109,24.1
"Andover School District","=""0010011""","ELA","N",68,68,100.0,68,"*","*",11,16.2,26,38.2,"*","*","*","*"
,,,"Y",41,40,97.6,40,"*","*",14,35.0,12,30.0,"*","*","*","*"
,,"Math","N",68,68,100.0,68,"*","*",18,26.5,25,36.8,"*","*","*","*"
,,,"Y",42,41,97.6,41,"*","*",19,46.3,6,14.6,"*","*","*","*"
"Ansonia School District","=""0020011""","ELA","N",297,296,99.7,296,100,33.8,83,28.0,77,26.0,36,12.2,113,38.2
,,,"Y",842,833,98.9,830,459,55.3,190,22.9,136,16.4,45,5.4,181,21.8
,,"Math","N",297,295,99.3,295,99,33.6,98,33.2,53,18.0,45,15.3,98,33.2
,,,"Y",843,833,98.8,832,506,60.8,174,20.9,103,12.4,49,5.9,152,18.3
"Area Cooperative Educational Services","=""2440014""","ELA","N",344,343,99.7,343,72,21.0,107,31.2,117,34.1,47,13.7,164,47.8
,,,"Y",570,554,97.2,552,327,59.2,112,20.3,90,16.3,23,4.2,113,20.5
,,"Math","N",344,342,99.4,342,110,32.2,100,29.2,72,21.1,60,17.5,132,38.6
,,,"Y",570,546,95.8,545,376,69.0,97,17.8,45,8.3,27,5.0,72,13.2
"Ashford School District","=""0030011""","ELA","N",121,120,99.2,120,13,10.8,30,25.0,43,35.8,34,28.3,77,64.2
,,,"Y",107,106,99.1,106,40,37.7,22,20.8,29,27.4,15,14.2,44,41.5
,,"Math","N",121,120,99.2,120,13,10.8,32,26.7,37,30.8,38,31.7,75,62.5
,,,"Y",107,106,99.1,106,38,35.8,29,27.4,22,20.8,17,16.0,39,36.8
"Avon School District","=""0040011""","ELA","N",1086,1085,99.9,1085,47,4.3,157,14.5,392,36.1,489,45.1,881,81.2
,,,"Y",318,315,99.1,315,111,35.2,83,26.3,83,26.3,38,12.1,121,38.4
,,"Math","N",1085,1080,99.5,1080,51,4.7,182,16.9,300,27.8,547,50.6,847,78.4
,,,"Y",315,311,98.7,311,128,41.2,85,27.3,54,17.4,44,14.1,98,31.5
"Barkhamsted School District","=""0050011""","ELA","N",67,67,100.0,67,"*","*",22,32.8,"*","*",23,34.3,"*","*"
,,,"Y",60,60,100.0,60,"*","*",12,20.0,14,23.3,"*","*","*","*"
,,"Math","N",67,67,100.0,67,6,9.0,19,28.4,19,28.4,23,34.3,42,62.7
,,,"Y",60,60,100.0,60,22,36.7,17,28.3,8,13.3,13,21.7,21,35.0
"Berlin School District","=""0070011""","ELA","N",745,735,98.7,735,51,6.9,118,16.1,314,42.7,252,34.3,566,77.0
,,,"Y",427,419,98.1,418,137,32.8,131,31.3,103,24.6,47,11.2,150,35.9
,,"Math","N",745,731,98.1,731,41,5.6,163,22.3,216,29.5,311,42.5,527,72.1
,,,"Y",427,417,97.7,416,144,34.6,118,28.4,85,20.4,69,16.6,154,37.0
"Bethany School District","=""0080011""","ELA","N",177,175,98.9,175,"*","*","*","*",53,30.3,97,55.4,150,85.7
,,,"Y",78,76,97.4,76,"*","*",24,31.6,19,25.0,"*","*","*","*"
,,"Math","N",177,175,98.9,175,10,5.7,28,16.0,56,32.0,81,46.3,137,78.3
,,,"Y",78,76,97.4,76,19,25.0,23,30.3,17,22.4,17,22.4,34,44.7
"Bethel School District","=""0090011""","ELA","N",762,758,99.5,758,43,5.7,124,16.4,286,37.7,305,40.2,591,78.0
,,,"Y",659,651,98.8,651,216,33.2,178,27.3,171,26.3,86,13.2,257,39.5
,,"Math","N",762,757,99.3,757,48,6.3,122,16.1,202,26.7,385,50.9,587,77.5
,,,"Y",659,647,98.2,647,206,31.8,179,27.7,142,21.9,120,18.5,262,40.5
"Bloomfield School District","=""0110011""","ELA","N",258,257,99.6,257,48,18.7,73,28.4,90,35.0,46,17.9,136,52.9
,,,"Y",420,416,99.0,416,201,48.3,112,26.9,73,17.5,30,7.2,103,24.8
,,"Math","N",258,257,99.6,257,68,26.5,76,29.6,70,27.2,43,16.7,113,44.0
,,,"Y",420,416,99.0,416,246,59.1,97,23.3,46,11.1,27,6.5,73,17.5
"Bolton School District","=""0120011""","ELA","N",216,208,96.3,208,12,5.8,38,18.3,74,35.6,84,40.4,158,76.0
,,,"Y",87,81,93.1,81,29,35.8,24,29.6,19,23.5,9,11.1,28,34.6
,,"Math","N",214,205,95.8,205,10,4.9,32,15.6,51,24.9,112,54.6,163,79.5
,,,"Y",87,80,92.0,80,33,41.3,23,28.8,13,16.3,11,13.8,24,30.0
"Booker T. Washington Academy District","=""2950013""","ELA","N",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",239,238,99.6,237,"*","*","*","*","*","*","*","*","*","*"
,,"Math","N",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",239,236,98.7,236,"*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","ELA","N",55,55,100.0,55,"*","*","*","*",23,41.8,17,30.9,40,72.7
,,,"Y",53,52,98.1,52,"*","*",19,36.5,11,21.2,"*","*","*","*"
,,"Math","N",55,55,100.0,55,"*","*","*","*",21,38.2,29,52.7,50,90.9
,,,"Y",53,52,98.1,52,"*","*","*","*",10,19.2,12,23.1,22,42.3
"Branford School District","=""0140011""","ELA","N",570,569,99.8,569,34,6.0,122,21.4,193,33.9,220,38.7,413,72.6
,,,"Y",561,553,98.6,552,167,30.3,166,30.1,144,26.1,75,13.6,219,39.7
,,"Math","N",570,568,99.6,568,41,7.2,144,25.4,165,29.0,218,38.4,383,67.4
,,,"Y",561,552,98.4,549,189,34.4,172,31.3,105,19.1,83,15.1,188,34.2
"Brass City Charter School District","=""2900013""","ELA","N",57,57,100.0,57,10,17.5,17,29.8,17,29.8,13,22.8,30,52.6
