"Smarter Balanced Assessments, Trend"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,"Year",,,,,,,,,
"",,,"2018-19",,"2021-22",,"2022-23",,"2023-24",,"2024-25",
"District","District Code","Subject","Total Number with Scored Tests","Percentage Level 3 or 4 (Met or Exceeded)%","Total Number with Scored Tests","Percentage Level 3 or 4 (Met or Exceeded)%","Total Number with Scored Tests","Percentage Level 3 or 4 (Met or Exceeded)%","Total Number with Scored Tests","Percentage Level 3 or 4 (Met or Exceeded)%","Total Number with Scored Tests","Percentage Level 3 or 4 (Met or Exceeded)%"
"Achievement First Bridgeport Academy District","=""2850013""","ELA",543,64.1,531,45.2,548,46.4,558,38.7,527,37.8
,,"Math",542,53.3,522,26.4,542,24.2,547,21.6,521,22.1
"Achievement First Hartford Academy District","=""2880013""","ELA",598,58.7,542,40.8,516,41.5,457,39.2,436,40.4
,,"Math",597,53.4,530,26.2,514,20.8,450,18.4,432,27.3
"Amistad Academy District","=""2790013""","ELA",521,55.3,547,41.1,543,38.3,537,35.9,538,36.2
,,"Math",519,49.5,540,20.4,538,21.2,521,24.0,535,28.2
"Andover School District","=""0010011""","ELA",99,73.7,77,53.2,82,62.2,92,58.7,108,64.8
,,"Math",99,70.7,76,53.9,82,62.2,92,63.0,109,53.2
"Ansonia School District","=""0020011""","ELA",1039,36.9,1041,23.2,1070,19.2,1123,25.6,1126,26.1
,,"Math",1036,29.9,1032,11.6,1063,15.1,1119,19.1,1127,22.2
"Area Cooperative Educational Services","=""2440014""","ELA",1203,42.1,1162,33.9,1127,30.2,1040,31.0,895,30.9
,,"Math",1190,31.5,1147,17.6,1110,18.3,1025,24.4,887,23.0
"Ashford School District","=""0030011""","ELA",243,53.9,230,53.9,222,55.0,226,50.4,226,53.5
,,"Math",240,43.3,229,39.3,221,43.4,226,44.7,226,50.4
"Avon School District","=""0040011""","ELA",1496,78.9,1407,72.6,1452,69.5,1427,72.7,1400,71.6
,,"Math",1494,74.7,1406,63.1,1451,62.5,1425,65.8,1391,67.9
"Barkhamsted School District","=""0050011""","ELA",135,65.2,111,59.5,105,61.0,114,46.5,127,51.2
,,"Math",135,57.8,111,50.5,105,62.9,114,62.3,127,49.6
"Berlin School District","=""0070011""","ELA",1249,65.2,1135,60.2,1158,63.6,1148,62.7,1153,62.1
,,"Math",1247,62.0,1128,52.2,1152,61.6,1147,63.1,1147,59.4
"Bethany School District","=""0080011""","ELA",202,72.3,211,73.0,244,72.1,251,76.9,251,73.7
,,"Math",202,66.3,211,66.4,243,68.3,251,74.1,251,68.1
"Bethel School District","=""0090011""","ELA",1441,66.9,1446,56.4,1436,57.8,1432,58.2,1409,60.2
,,"Math",1438,58.9,1427,48.1,1435,52.8,1431,57.2,1404,60.5
"Bloomfield School District","=""0110011""","ELA",839,40.9,768,35.7,764,33.5,708,32.3,673,35.5
,,"Math",837,31.2,765,20.8,762,22.2,705,23.4,673,27.6
"Bolton School District","=""0120011""","ELA",351,74.1,338,60.9,314,62.1,308,62.0,289,64.4
,,"Math",350,65.4,337,52.8,310,55.8,308,57.8,285,65.6
"Booker T. Washington Academy District","=""2950013""","ELA",133,50.4,309,24.6,270,27.4,248,37.1,254,35.0
,,"Math",133,46.6,309,19.4,269,21.9,248,33.5,253,29.6
"Bozrah School District","=""0130011""","ELA",125,51.2,109,34.9,95,52.6,98,54.1,107,54.2
,,"Math",125,41.6,109,39.4,95,53.7,98,56.1,107,67.3
"Branford School District","=""0140011""","ELA",1246,59.8,1157,52.7,1148,54.2,1127,55.1,1121,56.4
,,"Math",1242,56.2,1155,47.2,1147,50.2,1115,54.2,1117,51.1
"Brass City Charter School District","=""2900013""","ELA",143,57.3,206,46.1,213,44.6,210,44.8,242,44.2
,,"Math",143,50.3,206,33.5,212,25.5,210,32.9,243,32.5
"Bridgeport School District","=""0150011""","ELA",9330,27.4,8676,20.6,8511,19.6,8585,19.9,8581,21.0
,,"Math",9303,15.7,8652,10.8,8491,10.8,8561,12.3,8531,15.7
"Bristol School District","=""0170011""","ELA",3629,48.3,3269,48.5,3351,49.2,3310,49.2,3419,48.2
,,"Math",3611,38.3,3249,36.9,3331,41.2,3319,41.8,3408,41.0
"Brookfield School District","=""0180011""","ELA",1153,67.9,1080,56.9,1101,61.5,1093,62.6,1143,62.1
,,"Math",1149,63.1,1081,47.6,1094,54.9,1090,56.8,1142,54.3
"Brooklyn School District","=""0190011""","ELA",535,62.4,514,49.0,540,52.6,557,56.0,544,48.9
,,"Math",535,47.9,514,37.0,540,45.0,556,45.3,540,51.3
"Canaan School District","=""0210011""","ELA",43,69.8,47,72.3,46,71.7,51,68.6,47,68.1
,,"Math",43,44.2,47,48.9,46,58.7,51,56.9,47,55.3
"Canterbury School District","=""0220011""","ELA",274,57.7,286,50.7,285,54.0,285,53.3,307,52.1
,,"Math",273,45.1,279,28.0,285,47.0,283,51.6,307,55.0
"Canton School District","=""0230011""","ELA",710,72.7,651,64.2,681,61.2,653,62.2,634,65.6
,,"Math",708,68.9,649,56.4,679,57.6,652,61.3,633,61.8
"Capital Preparatory Harbor School District","=""2970013""","ELA",278,30.9,371,26.7,373,31.6,360,33.1,359,35.7
