district,district_code,fiscal_year,subject,needs_group,total_students,total_tested,participation_rate,n_scored,level1_count,level1_pct,level2_count,level2_pct,level3_count,level3_pct,level4_count,level4_pct,level3_4_count,pct_prof
Achievement First Bridgeport Academy District,2850013,2015,ELA,All Students,564.0,564.0,100.0,564.0,196.0,34.8,164.0,29.1,131.0,23.2,73.0,12.9,204.0,36.2
Achievement First Bridgeport Academy District,2850013,2015,Math,All Students,564.0,562.0,99.6,562.0,255.0,45.4,152.0,27.0,108.0,19.2,47.0,8.4,155.0,27.6
Achievement First Hartford Academy District,2880013,2015,ELA,All Students,551.0,548.0,99.5,547.0,179.0,32.7,140.0,25.6,166.0,30.3,62.0,11.3,228.0,41.7
Achievement First Hartford Academy District,2880013,2015,Math,All Students,551.0,547.0,99.3,546.0,242.0,44.3,163.0,29.9,108.0,19.8,33.0,6.0,141.0,25.8
Amistad Academy District,2790013,2015,ELA,All Students,544.0,541.0,99.4,541.0,127.0,23.5,149.0,27.5,164.0,30.3,101.0,18.7,265.0,49.0
Amistad Academy District,2790013,2015,Math,All Students,544.0,540.0,99.3,540.0,169.0,31.3,185.0,34.3,117.0,21.7,69.0,12.8,186.0,34.4
Andover School District,0010011,2015,ELA,All Students,167.0,163.0,97.6,163.0,6.0,3.7,27.0,16.6,43.0,26.4,87.0,53.4,130.0,79.8
Andover School District,0010011,2015,Math,All Students,167.0,165.0,98.8,165.0,9.0,5.5,41.0,24.8,48.0,29.1,67.0,40.6,115.0,69.7
Ansonia School District,0020011,2015,ELA,All Students,1225.0,1205.0,98.4,1205.0,397.0,32.9,361.0,30.0,305.0,25.3,142.0,11.8,447.0,37.1
Ansonia School District,0020011,2015,Math,All Students,1226.0,1207.0,98.5,1207.0,533.0,44.2,439.0,36.4,166.0,13.8,69.0,5.7,235.0,19.5
Area Cooperative Educational Services,2440014,2015,ELA,All Students,1297.0,1277.0,98.5,1268.0,417.0,32.9,379.0,29.9,355.0,28.0,117.0,9.2,472.0,37.2
Area Cooperative Educational Services,2440014,2015,Math,All Students,1298.0,1275.0,98.2,1272.0,657.0,51.7,372.0,29.2,171.0,13.4,72.0,5.7,243.0,19.1
Ashford School District,0030011,2015,ELA,All Students,253.0,252.0,99.6,252.0,34.0,13.5,64.0,25.4,84.0,33.3,70.0,27.8,154.0,61.1
Ashford School District,0030011,2015,Math,All Students,253.0,249.0,98.4,248.0,69.0,27.8,73.0,29.4,68.0,27.4,38.0,15.3,106.0,42.7
Avon School District,0040011,2015,ELA,All Students,1841.0,1812.0,98.4,1809.0,101.0,5.6,220.0,12.2,624.0,34.5,864.0,47.8,1488.0,82.3
Avon School District,0040011,2015,Math,All Students,1841.0,1823.0,99.0,1823.0,149.0,8.2,354.0,19.4,563.0,30.9,757.0,41.5,1320.0,72.4
Barkhamsted School District,0050011,2015,ELA,All Students,205.0,198.0,96.6,197.0,27.0,13.7,34.0,17.3,70.0,35.5,66.0,33.5,136.0,69.0
Barkhamsted School District,0050011,2015,Math,All Students,205.0,197.0,96.1,197.0,46.0,23.4,69.0,35.0,57.0,28.9,25.0,12.7,82.0,41.6
Berlin School District,0070011,2015,ELA,All Students,1607.0,1595.0,99.3,1559.0,227.0,14.6,370.0,23.7,606.0,38.9,356.0,22.8,962.0,61.7
Berlin School District,0070011,2015,Math,All Students,1606.0,1594.0,99.3,1575.0,311.0,19.7,516.0,32.8,452.0,28.7,296.0,18.8,748.0,47.5
Bethany School District,0080011,2015,ELA,All Students,240.0,234.0,97.5,233.0,29.0,12.4,46.0,19.7,73.0,31.3,85.0,36.5,158.0,67.8
Bethany School District,0080011,2015,Math,All Students,240.0,234.0,97.5,234.0,31.0,13.2,64.0,27.4,76.0,32.5,63.0,26.9,139.0,59.4
Bethel School District,0090011,2015,ELA,All Students,1526.0,1507.0,98.8,1506.0,163.0,10.8,319.0,21.2,566.0,37.6,458.0,30.4,1024.0,68.0
Bethel School District,0090011,2015,Math,All Students,1526.0,1512.0,99.1,1511.0,361.0,23.9,525.0,34.7,395.0,26.1,230.0,15.2,625.0,41.4
Bloomfield School District,0110011,2015,ELA,All Students,907.0,878.0,96.8,878.0,190.0,21.6,268.0,30.5,303.0,34.5,117.0,13.3,420.0,47.8
Bloomfield School District,0110011,2015,Math,All Students,906.0,881.0,97.2,881.0,387.0,43.9,311.0,35.3,151.0,17.1,32.0,3.6,183.0,20.8
