"Student Counts by School and Race"
"All Districts, All Schools"
"2021-22"

"",,,,"Race",,,,,,,
"District","District Code","School","School Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Achievement First Bridgeport Academy District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","*",10,586,481,"*",9,16,1105
"Achievement First Hartford Academy District","=""2880013""","Achievement First Hartford Academy","=""2880113""",10,"*",818,276,0,15,"*",1123
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","*","*",666,406,0,23,13,1115
"Ansonia School District","=""0020011""","Mead School","=""0020311""","*",6,125,276,"*",32,139,581
,,"Ansonia High School","=""0026111""",0,11,111,221,0,21,162,526
,,"Ansonia Middle School","=""0025111""",0,10,88,244,0,33,139,514
,,"Prendergast School","=""0020811""",0,14,101,280,0,31,157,583
,,"P.A.C.E. (Positive And Creative Education)","=""0020111""",0,0,11,10,0,"*","*",25
,,"P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""",0,0,"*","*",0,0,"*",8
,,"Ansonia 18-21 Transition Program","=""0021011""",0,0,0,"*",0,0,"*",10
"Area Cooperative Educational Services","=""2440014""","ACES Chase Academy","=""2445114""","*","*",152,316,0,45,186,712
,,"Whitney Academy","=""2449214""","*","*",22,24,"*","*",37,91
,,"Wintergreen Interdistrict Magnet School","=""2440314""","*",19,241,139,"*",28,86,516
,,"CREATE at Whitney Academy","=""2440114""",0,"*","*",24,0,0,31,76
,,"Center for Autism Spectrum and Development Disorders","=""2449614""",0,"*",7,6,0,"*",20,37
,,"Village School","=""2449514""",0,"*",47,32,0,"*",36,128
,,"ACES Mill Elementary School","=""2440214""",0,0,28,18,0,6,9,61
,,"ACES Mill Road School","=""2449414""",0,0,41,17,0,"*","*",77
,,"ACES at Ansonia Middle School","=""2440514""",0,0,"*","*",0,0,0,"*"
,,"ACES at Mead Elementary School","=""2440414""",0,0,"*","*",0,"*","*",11
,,"Whitney High School North","=""2449114""",0,0,45,27,"*","*",23,106
"Avon School District","=""0040011""","Avon High School","=""0046111""","*",184,55,65,0,"*",616,956
,,"Avon Middle School","=""0045111""","*",113,30,46,0,"*",303,514
,,"Pine Grove School","=""0040411""","*",114,41,37,0,"*",398,616
,,"Roaring Brook School","=""0040311""","*",82,20,37,"*",21,299,465
,,"Thompson Brook School","=""0040511""","*",104,28,32,0,"*",313,494
,,"Avon Early Learning Center at Roaring Brook School","=""0040111""",0,"*",14,9,"*","*",32,63
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","*",29,"*",93,0,30,693,866
,,"Catherine M. McGee Middle School","=""0075111""",0,25,15,79,0,17,464,600
,,"Emma Hart Willard School","=""0070411""",0,19,"*",45,"*",19,339,435
,,"Mary E. Griswold School","=""0070511""",0,10,10,64,0,16,408,508
,,"Richard D. Hubbard School","=""0070111""",0,18,"*",33,0,"*",147,213
