district,district_code,school,school_code,fiscal_year,enrollment_total,n_native_american,n_asian,n_black,n_hispanic,n_two_or_more,n_white,n_pacific_islander,n_black_hispanic,pct_white,pct_black,pct_hispanic,pct_asian,pct_native_american,pct_two_or_more,pct_pacific_islander,pct_black_hispanic,pct_nonwhite
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,2008,85.0,0.0,0.0,50.0,,,,,53.0,,58.82352941176471,,0.0,0.0,,,62.35294117647059,
Amistad Academy District,2790013,Amistad Academy,2795113,2008,547.0,,,362.0,172.0,,10.0,,534.0,1.828153564899452,66.17915904936015,31.444241316270567,,,,,97.62340036563072,98.17184643510056
Andover School District,10011,Andover Elementary School,10111,2008,347.0,0.0,11.0,,,,327.0,,,94.23631123919309,,,3.170028818443804,0.0,,,,5.7636887608069145
Ansonia School District,20011,Ansonia High School,26111,2008,760.0,,,175.0,140.0,,431.0,,315.0,56.71052631578948,23.026315789473685,18.421052631578945,,,,,41.44736842105263,43.28947368421052
Ansonia School District,20011,Ansonia Middle School,25111,2008,596.0,,,126.0,129.0,,331.0,,255.0,55.536912751677846,21.14093959731544,21.644295302013425,,,,,42.78523489932886,44.46308724832216
Ansonia School District,20011,Mead School,20311,2008,599.0,,,125.0,127.0,,334.0,,252.0,55.75959933222037,20.868113522537563,21.20200333889817,,,,,42.07011686143572,44.24040066777963
Ansonia School District,20011,Prendergast School,20811,2008,776.0,,,147.0,199.0,,412.0,,346.0,53.09278350515464,18.943298969072163,25.644329896907216,,,,,44.58762886597938,46.90721649484536
Area Cooperative Educational Services,2440014,A. C. E. S. Special Education Town Campus Learning Center,2449014,2008,19.0,0.0,,0.0,,,15.0,,3.0,78.94736842105263,0.0,,,0.0,,,15.789473684210526,21.05263157894737
Area Cooperative Educational Services,2440014,ACES Chase Academy,2445114,2008,752.0,,,115.0,257.0,,360.0,,372.0,47.87234042553192,15.29255319148936,34.17553191489361,,,,,49.46808510638298,52.12765957446808
Area Cooperative Educational Services,2440014,ACES Mill Road School,2449414,2008,176.0,0.0,,90.0,44.0,,,,134.0,,51.13636363636363,25.0,,0.0,,,76.13636363636364,
Area Cooperative Educational Services,2440014,Collaborative Alternative Magnet School,2446114,2008,99.0,0.0,0.0,27.0,13.0,,59.0,,40.0,59.59595959595959,27.27272727272727,13.131313131313131,0.0,0.0,,,40.4040404040404,40.40404040404041
Area Cooperative Educational Services,2440014,Village School,2449514,2008,174.0,0.0,,38.0,,,101.0,,41.0,58.04597701149425,21.83908045977012,,,0.0,,,23.5632183908046,41.95402298850575
Area Cooperative Educational Services,2440014,Whitney Academy,2449214,2008,125.0,0.0,,44.0,,,52.0,,47.0,41.6,35.2,,,0.0,,,37.6,58.4
Area Cooperative Educational Services,2440014,Whitney High School North,2449114,2008,92.0,0.0,0.0,37.0,30.0,,25.0,,67.0,27.173913043478255,40.21739130434783,32.608695652173914,0.0,0.0,,,72.82608695652173,72.82608695652175
Area Cooperative Educational Services,2440014,Whitney High School West,2449314,2008,56.0,0.0,,,14.0,,30.0,,17.0,53.57142857142857,,25.0,,0.0,,,30.35714285714285,46.42857142857143
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict Magnet School,2440314,2008,605.0,,,268.0,74.0,,217.0,,342.0,35.86776859504132,44.29752066115702,12.231404958677686,,,,,56.52892561983472,64.13223140495867
Ashford School District,30011,Ashford School,30111,2008,500.0,,,10.0,20.0,,460.0,,30.0,92.0,2.0,4.0,,,,,6.0,8.0
Avon School District,40011,Avon High School,46111,2008,1036.0,,61.0,33.0,,,912.0,,36.0,88.03088803088804,3.1853281853281854,,5.8880308880308885,,,,3.474903474903475,11.969111969111964
Avon School District,40011,Avon Middle School,45111,2008,582.0,0.0,38.0,9.0,14.0,,521.0,,23.0,89.51890034364261,1.5463917525773196,2.405498281786942,6.529209621993128,0.0,,,3.951890034364261,10.481099656357388
Avon School District,40011,Pine Grove School,40411,2008,618.0,0.0,57.0,26.0,26.0,,509.0,,52.0,82.36245954692556,4.207119741100324,4.207119741100324,9.223300970873789,0.0,,,8.414239482200648,17.637540453074436
Avon School District,40011,Roaring Brook School,40311,2008,776.0,,73.0,,47.0,,630.0,,50.0,81.18556701030928,,6.056701030927835,9.40721649484536,,,,6.443298969072164,18.814432989690715
Avon School District,40011,Thompson Brook School,40511,2008,590.0,0.0,51.0,11.0,22.0,,506.0,,33.0,85.76271186440678,1.864406779661017,3.728813559322034,8.64406779661017,0.0,,,5.593220338983051,14.237288135593218
Barkhamsted School District,50011,Barkhamsted Elementary School,50111,2008,328.0,0.0,,,,,320.0,,,97.5609756097561,,,,0.0,,,,2.439024390243901
Barkhamsted School District,50011,Shared Services Integrated Preschool,58011,2008,30.0,0.0,0.0,0.0,0.0,,30.0,,0.0,100.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Berlin School District,70011,Berlin High School,76111,2008,1063.0,,40.0,,19.0,,997.0,,22.0,93.79115710253998,,1.7873941674506115,3.762935089369708,,,,2.06961429915334,6.208842897460016
Berlin School District,70011,Catherine M. McGee Middle School,75111,2008,778.0,,23.0,,22.0,,723.0,,25.0,92.93059125964012,,2.827763496143959,2.956298200514139,,,,3.2133676092544987,7.06940874035989
Berlin School District,70011,Emma Hart Willard School,70411,2008,577.0,,39.0,,16.0,,511.0,,19.0,88.56152512998267,,2.772963604852686,6.759098786828423,,,,3.2928942807625647,11.43847487001733
Berlin School District,70011,Mary E. Griswold School,70511,2008,589.0,,16.0,,21.0,,544.0,,24.0,92.35993208828522,,3.5653650254668934,2.7164685908319184,,,,4.074702886247878,7.64006791171478
Berlin School District,70011,Richard D. Hubbard School,70111,2008,263.0,,,7.0,7.0,,241.0,,14.0,91.63498098859316,2.6615969581749046,2.6615969581749046,,,,,5.323193916349809,8.365019011406844
Bethany School District,80011,Bethany Community School,80111,2008,569.0,,37.0,16.0,,,508.0,,19.0,89.27943760984182,2.81195079086116,,6.502636203866433,,,,3.339191564147628,10.72056239015818
Bethel School District,90011,Anna H. Rockwell School,90411,2008,425.0,0.0,42.0,8.0,46.0,,329.0,,54.0,77.41176470588236,1.8823529411764703,10.823529411764705,9.88235294117647,0.0,,,12.705882352941176,22.58823529411764
Bethel School District,90011,Bethel High School,96111,2008,1034.0,,68.0,,91.0,,850.0,,94.0,82.20502901353966,,8.800773694390715,6.576402321083172,,,,9.090909090909092,17.794970986460342
Bethel School District,90011,Bethel Middle School,95111,2008,743.0,,42.0,,88.0,,598.0,,91.0,80.48452220726783,,11.843876177658142,5.652759084791386,,,,12.24764468371467,19.51547779273217
Bethel School District,90011,Frank A. Berry School,90111,2008,488.0,0.0,38.0,11.0,47.0,,392.0,,58.0,80.32786885245902,2.2540983606557377,9.631147540983608,7.786885245901639,0.0,,,11.885245901639344,19.67213114754098
Bethel School District,90011,Ralph M. T. Johnson School,90511,2008,454.0,0.0,28.0,9.0,49.0,,368.0,,58.0,81.05726872246696,1.9823788546255507,10.79295154185022,6.167400881057269,0.0,,,12.77533039647577,18.94273127753304
Bloomfield School District,110011,Bloomfield High School,116111,2008,625.0,0.0,,562.0,37.0,,,,599.0,,89.92,5.92,,0.0,,,95.84,
Bloomfield School District,110011,Carmen Arace Intermediate School,110711,2008,348.0,0.0,,301.0,23.0,,,,324.0,,86.49425287356321,6.609195402298851,,0.0,,,93.10344827586206,
Bloomfield School District,110011,Carmen Arace Middle School,115211,2008,342.0,0.0,,300.0,32.0,,,,332.0,,87.71929824561403,9.35672514619883,,0.0,,,97.07602339181284,
Bloomfield School District,110011,J. P. Vincent School,110311,2008,315.0,,,262.0,27.0,,22.0,,289.0,6.984126984126984,83.17460317460318,8.571428571428571,,,,,91.74603174603176,93.015873015873
Bloomfield School District,110011,Laurel Literacy Academy,110611,2008,268.0,,,236.0,16.0,,12.0,,252.0,4.477611940298507,88.05970149253731,5.970149253731343,,,,,94.02985074626866,95.5223880597015
Bloomfield School District,110011,Metacomet School,110511,2008,238.0,0.0,,208.0,16.0,,,,224.0,,87.39495798319328,6.722689075630252,,0.0,,,94.11764705882352,
Bloomfield School District,110011,The Big Picture High School,116211,2008,79.0,0.0,,63.0,,,10.0,,66.0,12.658227848101266,79.74683544303798,,,0.0,,,83.54430379746836,87.34177215189874
Bolton School District,120011,Bolton Center School,120111,2008,597.0,0.0,13.0,25.0,7.0,,552.0,,32.0,92.46231155778896,4.187604690117253,1.1725293132328307,2.1775544388609718,0.0,,,5.360134003350084,7.537688442211049
