district,district_code,school,school_code,low_grade,high_grade,enrollment,pct_high_needs,ppe_instruction,ppe_support_services_students,ppe_improvement_of_instruction,ppe_library_and_media_services,ppe_support_services_instruction,ppe_support_services_school_based_administration,ppe_operation_and_maintenance_of_plant,ppe_transportation_other_than_to_from_home,ppe_enterprise_operations,ppe_minor_school_construction,ppe_total,fiscal_year,cpi_u,deflator,ppe_instruction_real,ppe_support_services_students_real,ppe_improvement_of_instruction_real,ppe_library_and_media_services_real,ppe_support_services_instruction_real,ppe_support_services_school_based_administration_real,ppe_operation_and_maintenance_of_plant_real,ppe_transportation_other_than_to_from_home_real,ppe_enterprise_operations_real,ppe_minor_school_construction_real,ppe_total_real
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,K,12,1062,98.2,6936,1157,33,0,288,1811,567,5,0,85.0,10883,2018,251.1,1.282206292313819,8893.382843488649,1483.5126802070888,42.31280764635603,0.0,369.2754121863799,2322.0755953803264,727.0109677419355,6.411031461569095,0.0,108.98753484667462,13954.251079251293
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,K,12,1149,99.8,8360,1411,45,0,460,2729,17,5,0,0.0,13026,2018,251.1,1.282206292313819,10719.244603743527,1809.1930784547988,57.69928315412186,0.0,589.8148944643568,3499.1409717244123,21.797506969334925,6.411031461569095,0.0,0.0,16702.019163679808
Amistad Academy District,2790013,Amistad Academy,2795113,K,12,1081,98.0,6861,1036,44,0,265,2130,578,11,0,0.0,10925,2018,251.1,1.282206292313819,8797.217371565113,1328.3657188371167,56.41707686180804,0.0,339.78466746316207,2731.0994026284347,741.1152369573874,14.10426921545201,0.0,0.0,14008.103743528474
Andover School District,0010011,Andover Elementary School,0010111,PK,6,204,22.1,12664,814,101,580,872,1279,3134,0,121,0.0,19565,2018,251.1,1.282206292313819,16237.860485862206,1043.7159219434488,129.50283552369572,743.6796495420151,1118.0838868976502,1639.9418478693747,4018.4345201115093,0.0,155.1469613699721,0.0,25086.36610911987
Ansonia School District,0020011,Ansonia High School,0026111,9,12,567,73.7,9977,135,14,72,0,1389,179,0,205,0.0,11971,2018,251.1,1.282206292313819,12792.572178414974,173.0978494623656,17.950888092393466,92.31885304659498,0.0,1780.9845400238949,229.51492632417362,0.0,262.8522899243329,0.0,15349.291525288729
Ansonia School District,0020011,Ansonia Middle School,0025111,7,8,362,75.1,7796,81,0,0,0,903,201,14,0,0.0,8995,2018,251.1,1.282206292313819,9996.080254878534,103.85870967741934,0.0,0.0,0.0,1157.8322819593786,257.72346475507766,17.950888092393466,0.0,0.0,11533.445599362803
Ansonia School District,0020011,Mead School,0020311,PK,6,612,77.0,7133,2,0,0,0,776,194,1,0,0.0,8105,2018,251.1,1.282206292313819,9145.977483074472,2.564412584627638,0.0,0.0,0.0,994.9920828355237,248.74802070888092,1.282206292313819,0.0,0.0,10392.281999203504
Ansonia School District,0020011,Prendergast School,0020811,K,6,638,71.8,6569,115,1,0,0,674,189,0,0,0.0,7548,2018,251.1,1.282206292313819,8422.813134209478,147.4537236160892,1.282206292313819,0.0,0.0,864.2070410195141,242.3369892473118,0.0,0.0,0.0,9678.093094384707
Area Cooperative Educational Services,2440014,ACES Chase Academy,2445114,6,8,712,70.1,12134,386,217,0,0,534,1937,0,0,0.0,15208,2018,251.1,1.282206292313819,15558.291150935882,494.9316288331342,278.2387654320988,0.0,0.0,684.6981600955794,2483.6335882118674,0.0,0.0,0.0,19499.793293508563
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict Magnet School,2440314,K,8,625,49.8,12344,81,212,0,0,404,1062,0,0,0.0,14103,2018,251.1,1.282206292313819,15827.554472321783,103.85870967741934,271.82773397052966,0.0,0.0,518.0113420947829,1361.703082437276,0.0,0.0,0.0,18082.95534050179
Ashford School District,0030011,Ashford School,0030111,PK,8,394,36.5,11985,998,277,1,350,1390,1505,41,0,11.0,16557,2018,251.1,1.282206292313819,15367.242413381122,1279.6418797291915,355.1711429709279,1.282206292313819,448.7722023098367,1782.2667463162086,1929.7204699322976,52.570457984866586,0.0,14.10426921545201,21229.4895818399
