"Per Pupil Expenditures by Funding Source (Summary), 2018-19"
"All Districts, All Schools"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than minor school construction and equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"",,,,"Per Pupil Expenditures (PPE)",,
"District","District Code","School/Category","School Code","Federal Funds","State, Local, and Other Funds","Total"
"Achievement First Bridgeport Academy District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","$511","$11,738","$12,249"
"Achievement First Hartford Academy District","=""2880013""","Achievement First Hartford Academy","=""2880113""","$762","$13,106","$13,868"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","$567","$11,682","$12,250"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","$640","$22,726","$23,365"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","$900","$18,155","$19,054"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","$876","$14,273","$15,150"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","$876","$12,471","$13,347"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","$876","$12,692","$13,568"
"Area Cooperative Educational Services","=""2440014""","ACES Chase Academy","=""2445114""","$545","$20,072","$20,617"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict Magnet School","=""2440314""","$628","$22,066","$22,694"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","$631","$18,538","$19,169"
"Avon School District","=""0040011""","Avon High School","=""0046111""","$191","$19,459","$19,651"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","$234","$17,259","$17,493"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","$279","$14,939","$15,218"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","$237","$16,686","$16,923"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","$231","$16,712","$16,942"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","$679","$18,689","$19,368"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","$288","$18,010","$18,297"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","$441","$15,989","$16,430"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","$204","$17,428","$17,632"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","$78","$15,366","$15,445"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","$808","$19,581","$20,389"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","$409","$18,522","$18,932"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","$335","$14,898","$15,234"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","$335","$17,236","$17,572"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","$335","$14,628","$14,963"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","$335","$15,041","$15,376"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","$335","$13,854","$14,189"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","$704","$23,265","$23,969"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","$268","$21,649","$21,918"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","$268","$23,771","$24,039"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","$268","$22,251","$22,519"
"Bloomfield School District","=""0110011""","Laurel Literacy Academy","=""0110611""","$460","$20,419","$20,879"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","$268","$35,994","$36,262"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","$1,227","$21,157","$22,384"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","$319","$21,311","$21,630"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","$318","$16,022","$16,340"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","$270","$22,927","$23,197"
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""","$531","$11,722","$12,253"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","$579","$25,883","$26,462"
"Branford School District","=""0140011""","Branford High School","=""0146111""","$451","$21,323","$21,773"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","$414","$18,851","$19,265"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","$438","$19,238","$19,675"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","$438","$18,004","$18,441"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","$438","$17,936","$18,373"
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","$361","$13,842","$14,204"
"Bridgeport School District","=""0150011""","A.B. Skane Center","=""0154411""","$5,057","$19,461","$24,518"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences Magnet High School","=""0150811""","$259","$11,294","$11,553"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","$1,369","$12,730","$14,099"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","$774","$14,679","$15,453"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","$891","$13,776","$14,667"
"Bridgeport School District","=""0150011""","Biotechnology, Research & Zoological Studies Magnet High School","=""0150611""","$259","$10,947","$11,206"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","$926","$11,578","$12,504"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","$1,175","$10,882","$12,057"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","$407","$12,721","$13,127"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","$1,760","$12,334","$14,094"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","$411","$13,080","$13,491"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","$1,353","$12,131","$13,484"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","$661","$10,665","$11,326"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","$711","$12,826","$13,538"
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","$609","$16,046","$16,654"
"Bridgeport School District","=""0150011""","Geraldine Claytor Magnet Academy","=""0153111""","$649","$10,473","$11,122"
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","$1,222","$12,006","$13,229"
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","$342","$16,175","$16,516"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","$940","$14,023","$14,963"
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","$777","$10,582","$11,359"
"Bridgeport School District","=""0150011""","Information Technology & Software Engineering Magnet High School","=""0151511""","$346","$10,291","$10,637"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","$889","$12,602","$13,491"
"Bridgeport School District","=""0150011""","James J. Curiale School","=""0154211""","$667","$12,061","$12,727"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","$2,074","$14,193","$16,267"
"Bridgeport School District","=""0150011""","John Winthrop School","=""0153611""","$829","$11,871","$12,700"
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","$1,281","$11,405","$12,686"
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","$1,517","$13,700","$15,217"
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","$1,058","$10,866","$11,924"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","$794","$11,657","$12,451"
"Bridgeport School District","=""0150011""","Paul Laurence Dunbar School","=""0154111""","$1,434","$11,837","$13,271"
