"Per Pupil Expenditures by Funding Source (Summary), 2019-20"
"All Districts, All Schools"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"",,,,"Per Pupil Expenditures (PPE)",,
"District","District Code","School/Category","School Code","Federal Funds","State, Local, and Other Funds","Total"
"Achievement First Bridgeport Academy District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","$587","$11,868","$12,455"
"Achievement First Hartford Academy District","=""2880013""","Achievement First Hartford Academy","=""2880113""","$801","$13,020","$13,821"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","$661","$11,465","$12,126"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","$486","$22,017","$22,503"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","$475","$19,528","$20,003"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","$1,278","$13,552","$14,830"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","$944","$12,063","$13,006"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","$944","$12,463","$13,407"
"Area Cooperative Educational Services","=""2440014""","ACES Chase Academy","=""2445114""","$477","$20,910","$21,388"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict Magnet School","=""2440314""","$92","$22,250","$22,342"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","$576","$19,744","$20,320"
"Avon School District","=""0040011""","Avon High School","=""0046111""","$226","$19,535","$19,761"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","$271","$17,132","$17,403"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","$353","$15,317","$15,671"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","$274","$17,759","$18,033"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","$251","$17,465","$17,715"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","$638","$19,183","$19,821"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","$223","$18,191","$18,414"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","$551","$16,907","$17,458"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","$171","$18,988","$19,159"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","$89","$16,266","$16,355"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","$924","$18,623","$19,547"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","$434","$18,619","$19,053"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","$341","$15,256","$15,596"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","$341","$17,473","$17,813"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","$341","$14,221","$14,561"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","$341","$15,133","$15,474"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","$341","$14,439","$14,780"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","$686","$22,723","$23,409"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","$242","$21,558","$21,799"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","$242","$19,785","$20,026"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","$242","$25,756","$25,998"
"Bloomfield School District","=""0110011""","Laurel Literacy Academy","=""0110611""","$433","$19,412","$19,845"
