district,district_code,school,school_code,ppe_federal,ppe_state_local_other,ppe_total_source,fiscal_year,cpi_u,deflator,ppe_federal_real,ppe_state_local_other_real,ppe_total_source_real,enrollment
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,502,11652,12154,2018,251.1,1.282206292313819,643.6675587415372,14940.26771804062,15583.935276782158,1062.0
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,693,14068,14761,2018,251.1,1.282206292313819,888.5689605734766,18038.07812027081,18926.647080844283,1149.0
Amistad Academy District,2790013,Amistad Academy,2795113,639,11603,12243,2018,251.1,1.282206292313819,819.3298207885304,14877.439609717245,15698.051636798087,1081.0
Andover School District,10011,Andover Elementary School,10111,1001,20740,21741,2018,251.1,1.282206292313819,1283.488498606133,26592.958502588608,27876.44700119474,204.0
Ansonia School District,20011,Ansonia High School,26111,650,16706,17356,2018,251.1,1.282206292313819,833.4340900039824,21420.53831939466,22253.972409398644,567.0
Ansonia School District,20011,Ansonia Middle School,25111,918,13461,14379,2018,251.1,1.282206292313819,1177.065376344086,17259.778900836318,18436.844277180404,362.0
Ansonia School District,20011,Mead School,20311,914,12576,13490,2018,251.1,1.282206292313819,1171.9365511748306,16125.026332138588,17296.96288331342,612.0
Ansonia School District,20011,Prendergast School,20811,913,12019,12932,2018,251.1,1.282206292313819,1170.6543448825169,15410.837427319791,16581.49177220231,638.0
Area Cooperative Educational Services,2440014,ACES Chase Academy,2445114,458,20680,21138,2018,251.1,1.282206292313819,587.2504818797291,26516.02612504978,27103.276606929507,712.0
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict Magnet School,2440314,107,19927,20033,2018,251.1,1.282206292313819,137.19607327757865,25550.524786937476,25686.438653922734,625.0
Ashford School District,30011,Ashford School,30111,459,18632,19090,2018,251.1,1.282206292313819,588.532688172043,23890.06763839108,24477.318120270807,394.0
Avon School District,40011,Avon High School,46111,207,18189,18396,2018,251.1,1.282206292313819,265.4167025089605,23322.050250896056,23587.46695340501,1011.0
