"Per Pupil Expenditures by Function (School), 2017-18"
"All Districts, All Schools"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than minor school construction and equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"",,,,"School",,"Pupils",,"School-Level Per Pupil Expenditures (PPE)",,,,,,,,,,
"District","District Code","School/Category","School Code","Low Grade","High Grade","Enrollment","% High Needs","Instruction","Support services - students","Improvement of instruction","Library and media services","Support services - instruction","Support services - school based administration","Operation and maintenance of plant","Transportation other than to/from home","Enterprise Operations","Minor school construction","Total"
"Achievement First Bridgeport Academy District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","K",12,1062,"98.2%","$6,936","$1,157","$33","$0","$288","$1,811","$567","$5","$0","$85","$10,883"
"Achievement First Hartford Academy District","=""2880013""","Achievement First Hartford Academy","=""2880113""","K",12,1149,"99.8%","$8,360","$1,411","$45","$0","$460","$2,729","$17","$5","$0","$0","$13,026"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","K",12,1081,"98.0%","$6,861","$1,036","$44","$0","$265","$2,130","$578","$11","$0","$0","$10,925"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","PK",6,204,"22.1%","$12,664","$814","$101","$580","$872","$1,279","$3,134","$0","$121","$0","$19,565"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",9,12,567,"73.7%","$9,977","$135","$14","$72","$0","$1,389","$179","$0","$205","$0","$11,971"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",7,8,362,"75.1%","$7,796","$81","$0","$0","$0","$903","$201","$14","$0","$0","$8,995"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","PK",6,612,"77.0%","$7,133","$2","$0","$0","$0","$776","$194","$1","$0","$0","$8,105"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","K",6,638,"71.8%","$6,569","$115","$1","$0","$0","$674","$189","$0","$0","$0","$7,548"
"Area Cooperative Educational Services","=""2440014""","ACES Chase Academy","=""2445114""",6,8,712,"70.1%","$12,134","$386","$217","$0","$0","$534","$1,937","$0","$0","$0","$15,208"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict Magnet School","=""2440314""","K",8,625,"49.8%","$12,344","$81","$212","$0","$0","$404","$1,062","$0","$0","$0","$14,103"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","PK",8,394,"36.5%","$11,985","$998","$277","$1","$350","$1,390","$1,505","$41","$0","$11","$16,557"
"Avon School District","=""0040011""","Avon High School","=""0046111""",9,12,1011,"14.3%","$10,631","$1,306","$57","$192","$3","$911","$1,878","$114","$779","$0","$15,869"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",7,8,556,"12.8%","$10,980","$907","$48","$269","$0","$941","$1,571","$5","$80","$0","$14,801"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","K",4,616,"23.1%","$10,204","$726","$52","$81","$7","$830","$1,246","$1","$13","$0","$13,161"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","K",4,477,"13.6%","$10,944","$916","$47","$105","$6","$1,027","$1,474","$0","$14","$0","$14,535"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",5,6,487,"12.3%","$10,344","$943","$62","$332","$-1","$947","$1,563","$2","$24","$0","$14,216"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","PK",6,222,"26.6%","$8,552","$2","$0","$330","$367","$4","$294","$0","$0","$0","$9,549"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",9,12,904,"22.3%","$9,078","$1,329","$263","$200","$0","$891","$1,580","$100","$663","$0","$14,104"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",6,8,664,"23.0%","$7,765","$871","$264","$136","$0","$902","$1,135","$15","$122","$0","$11,211"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","PK",5,492,"36.2%","$8,056","$1,246","$263","$251","$0","$598","$1,135","$0","$0","$0","$11,550"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","K",5,505,"22.6%","$7,079","$823","$263","$250","$0","$580","$1,130","$0","$0","$0","$10,126"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","K",5,211,"29.4%","$21,440","$3,876","$263","$752","$0","$3,358","$3,068","$0","$192","$0","$32,950"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","PK",6,364,"21.7%","$11,882","$370","$197","$25","$301","$224","$8","$0","$0","$0","$13,007"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","K",3,435,"30.8%","$8,037","$532","$393","$310","$587","$664","$1,340","$0","$0","$0","$11,862"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",9,12,896,"29.2%","$9,943","$882","$393","$266","$587","$958","$1,441","$96","$0","$0","$14,566"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",6,8,659,"29.7%","$8,385","$666","$393","$244","$587","$1,006","$1,490","$11","$0","$0","$12,781"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","PK",3,522,"31.8%","$9,470","$428","$393","$288","$587","$556","$1,368","$0","$0","$0","$13,090"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",4,5,516,"29.1%","$7,369","$430","$393","$156","$587","$555","$1,260","$0","$0","$0","$10,750"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",9,12,520,"56.3%","$10,516","$1,820","$338","$5","$0","$2,421","$2,200","$126","$797","$0","$18,223"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",5,6,244,"61.1%","$9,815","$1,384","$14","$104","$0","$1,876","$2,290","$7","$8","$0","$15,498"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",7,8,217,"66.4%","$11,512","$1,596","$2","$120","$0","$2,340","$1,923","$22","$66","$0","$17,581"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",6,12,215,"58.6%","$11,446","$909","$0","$0","$0","$2,232","$1,043","$435","$85","$0","$16,151"
"Bloomfield School District","=""0110011""","Laurel Literacy Academy","=""0110611""","K",2,368,"58.7%","$9,948","$609","$13","$140","$0","$1,050","$831","$10","$0","$0","$12,600"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",9,12,14,"64.3%","$13,834","$2,328","$0","$0","$0","$0","$0","$0","$0","$0","$16,162"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",3,4,234,"63.2%","$11,797","$1,755","$8","$208","$0","$1,534","$1,349","$16","$0","$0","$16,665"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","PK","K",323,"33.1%","$11,368","$869","$6","$0","$0","$1,198","$1,113","$269","$0","$0","$14,822"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","PK",8,530,"24.3%","$8,801","$885","$131","$281","$0","$1,069","$1,218","$0","$53","$0","$12,438"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",9,12,275,"21.1%","$11,446","$1,995","$215","$570","$0","$1,989","$1,886","$0","$616","$0","$18,717"
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""","K",4,300,"84.0%","$6,811","$526","$995","$0","$0","$1,333","$2,067","$0","$0","$0","$11,733"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","PK",8,202,"35.6%","$12,298","$2,199","$0","$234","$20","$999","$2,153","$40","$62","$122","$18,126"
"Branford School District","=""0140011""","Branford High School","=""0146111""",9,12,852,"33.1%","$10,278","$1,907","$404","$204","$426","$1,146","$1,554","$105","$1,019","$225","$17,267"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",5,8,889,"35.8%","$9,838","$1,376","$402","$192","$426","$905","$1,188","$14","$134","$0","$14,476"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","PK",4,303,"42.6%","$11,478","$823","$410","$81","$426","$938","$1,000","$0","$0","$0","$15,156"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","PK",4,386,"29.0%","$10,043","$821","$405","$53","$426","$731","$881","$0","$2","$0","$13,362"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","PK",4,388,"47.4%","$10,797","$822","$400","$45","$426","$771","$1,131","$0","$0","$0","$14,391"
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","PK",5,254,"68.1%","$8,140","$0","$203","$0","$15","$892","$379","$0","$0","$0","$9,629"
"Bridgeport School District","=""0150011""","A.B. Skane Center","=""0154411""","PK","PK",211,"64.0%","$15,106","$7,423","$31","$0","$5","$1,337","$1,227","$0","$0","$12","$25,142"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences Magnet High School","=""0150811""",9,12,475,"39.6%","$6,658","$453","$36","$0","$0","$700","$1,756","$0","$24","$0","$9,626"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","PK",8,603,"86.2%","$9,158","$1,044","$315","$0","$1","$768","$1,082","$0","$0","$39","$12,407"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",9,12,970,"81.6%","$7,849","$829","$40","$95","$1","$977","$1,459","$47","$261","$1","$11,558"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","PK",6,336,"71.4%","$8,480","$550","$391","$0","$3","$819","$1,119","$0","$0","$7","$11,370"
"Bridgeport School District","=""0150011""","Biotechnology, Research & Zoological Studies Magnet High School","=""0150611""",9,12,471,"62.6%","$7,167","$462","$36","$0","$0","$880","$1,757","$0","$10","$0","$10,311"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","PK",8,458,"57.0%","$7,681","$523","$31","$0","$2","$765","$945","$0","$0","$0","$9,948"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","PK",8,1103,"62.3%","$6,721","$613","$31","$0","$1","$631","$803","$0","$0","$0","$8,800"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""",9,12,301,"70.4%","$7,720","$725","$36","$0","$4","$969","$1,557","$0","$57","$0","$11,068"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","PK",6,348,"79.9%","$7,940","$738","$31","$0","$3","$625","$1,176","$0","$0","$0","$10,513"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",9,12,1612,"60.0%","$7,326","$972","$40","$0","$1","$755","$976","$28","$167","$0","$10,265"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","PK",8,1127,"83.6%","$7,370","$570","$144","$0","$1","$580","$836","$0","$0","$32","$9,533"
