"Per Pupil Expenditures by Function (School), 2021-22"
"All Districts, All Schools"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"",,,,"School",,"Pupils",,"School-Level Per Pupil Expenditures (PPE)",,,,,,,,,,
"District","District Code","School/Category","School Code","Low Grade","High Grade","Enrollment","% High Needs","Instruction","Support services - students","Improvement of instruction","Library and media services","Support services - instruction","Support services - school based administration","Operation and maintenance of plant","Transportation other than to/from home","Enterprise Operations","Minor school construction","Total"
"Achievement First Bridgeport Academy District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","K",12,1105,"63.0%","$7,859","$1,658","$52","$0","$316","$2,147","$738","$0","$0","N/A","$12,771"
"Achievement First Hartford Academy District","=""2880013""","Achievement First Hartford Academy","=""2880113""","K",12,1123,"72.6%","$8,867","$1,663","$28","$0","$266","$2,611","$130","$0","$0","N/A","$13,565"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","K",12,1115,"72.1%","$7,896","$1,812","$34","$0","$574","$2,236","$694","$28","$0","N/A","$13,274"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","PK",6,191,"28.3%","$14,028","$1,043","$66","$331","$658","$1,255","$2,278","$0","$12","N/A","$19,671"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",9,12,526,"71.9%","$13,906","$972","$23","$61","$7","$1,371","$2,159","$78","$505","N/A","$19,083"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",6,8,514,"75.1%","$9,757","$853","$23","$0","$7","$864","$1,620","$7","$0","N/A","$13,131"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","PK",5,581,"76.6%","$12,449","$838","$23","$0","$7","$759","$1,541","$0","$0","N/A","$15,617"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","PK",5,583,"74.8%","$10,675","$970","$23","$1","$7","$772","$1,641","$0","$0","N/A","$14,089"
"Area Cooperative Educational Services","=""2440014""","ACES Chase Academy","=""2445114""",6,8,712,"58.7%","$11,009","$2,221","$59","$0","$182","$1,218","$3,742","$0","$0","N/A","$18,432"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict Magnet School","=""2440314""","K",8,516,"65.5%","$9,969","$2,384","$59","$0","$213","$800","$1,556","$0","$0","N/A","$14,982"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","PK",8,381,"42.8%","$12,347","$1,294","$284","$58","$422","$1,129","$1,824","$24","$0","N/A","$17,382"
"Avon School District","=""0040011""","Avon High School","=""0046111""",9,12,956,"18.1%","$13,111","$1,900","$99","$206","$32","$1,036","$1,701","$144","$1,223","N/A","$19,450"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",7,8,514,"17.9%","$11,423","$1,483","$89","$178","$17","$1,077","$1,563","$33","$156","N/A","$16,018"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","K",4,616,"21.4%","$11,190","$899","$81","$225","$11","$789","$1,262","$24","$13","N/A","$14,493"
