grade,subject,year,k,n_districts
3,mth,2009,2.6877137199829964,11630
3,mth,2010,2.692617087439431,11717
3,mth,2011,2.6873855244452765,11985
3,mth,2012,2.690902835758931,12152
3,mth,2013,2.689986948237252,12196
3,mth,2014,2.68949496657515,9012
3,mth,2015,2.690328867176759,10583
3,mth,2016,2.6941389700980785,11213
3,mth,2017,2.693043995301888,11499
3,mth,2018,2.6899046045901995,11211
3,mth,2019,2.689329130412025,11566
3,mth,2022,2.696289795786982,10210
3,mth,2023,2.696289795786986,10358
3,mth,2024,2.6962897957869862,10222
3,mth,2025,2.6962897957869822,8869
3,rla,2009,3.4545940323052893,10712
3,rla,2010,3.455409467001868,10928
3,rla,2011,3.4501055005301113,11030
3,rla,2012,3.455081515479802,11246
3,rla,2013,3.4559352321353614,11267
3,rla,2014,3.453992121027989,8194
3,rla,2015,3.456969522889902,9720
3,rla,2016,3.4552930203875682,10219
3,rla,2017,3.457997327357993,10365
3,rla,2018,3.458884372658228,10262
3,rla,2019,3.449735512736697,10528
3,rla,2022,3.4610648562703146,9009
3,rla,2023,3.4610648562703177,9085
3,rla,2024,3.461064856270314,8919
3,rla,2025,3.461064856270312,7603
4,mth,2009,2.8770215564647614,11611
4,mth,2010,2.8764426806047405,11685
4,mth,2011,2.876520281356102,11982
4,mth,2012,2.873427924154506,12102
4,mth,2013,2.8789786620779365,12125
4,mth,2014,2.87499826486793,8997
4,mth,2015,2.876638889792248,10346
4,mth,2016,2.8756902621431393,11061
4,mth,2017,2.8774525911354174,11450
4,mth,2018,2.8750612615464295,11286
4,mth,2019,2.8758017981680113,11562
4,mth,2022,2.879712886372238,10097
4,mth,2023,2.8797128863722317,10115
4,mth,2024,2.879712886372239,10040
4,mth,2025,2.8797128863722343,8796
4,rla,2009,3.399525067502607,10691
4,rla,2010,3.3939043723211775,10920
4,rla,2011,3.398677982724776,11058
4,rla,2012,3.399891655823479,11210
4,rla,2013,3.400416448204409,11212
4,rla,2014,3.4005461472157816,8268
4,rla,2015,3.3978147540690613,9373
4,rla,2016,3.4015861557747336,10080
4,rla,2017,3.3992405049702086,10354
4,rla,2018,3.396455201514512,10337
4,rla,2019,3.4015105048352696,10519
4,rla,2022,3.4061628416398273,8890
4,rla,2023,3.4061628416398313,9000
4,rla,2024,3.4061628416398255,8837
4,rla,2025,3.4061628416398277,7552
5,mth,2009,3.077658439215716,11530
5,mth,2010,3.076529504961966,11577
5,mth,2011,3.0778669065331496,11900
5,mth,2012,3.07824416792515,12114
5,mth,2013,3.077900503126502,12037
5,mth,2014,3.075964561008833,8891
5,mth,2015,3.0759929021239247,10243
5,mth,2016,3.077525769226157,10901
5,mth,2017,3.077936255692544,11242
5,mth,2018,3.078409476148665,11257
5,mth,2019,3.0743631145925896,11495
5,mth,2022,3.0816877399595417,9971
5,mth,2023,3.081687739959539,10015
5,mth,2024,3.081687739959539,9892
5,mth,2025,3.0816877399595413,8727
5,rla,2009,3.363079244213532,11665
5,rla,2010,3.3630950979879817,11865
5,rla,2011,3.3663241802754973,12037
5,rla,2012,3.36344767327897,12233
5,rla,2013,3.364881439776648,12200
5,rla,2014,3.3647013950538915,9165
5,rla,2015,3.36404826147581,10306
5,rla,2016,3.366212955029498,11035
5,rla,2017,3.3585884390910836,11249
5,rla,2018,3.3636311225732305,11305
5,rla,2019,3.361797638568864,11550
5,rla,2022,3.3694681221643576,9457
5,rla,2023,3.369468122164355,9924
5,rla,2024,3.369468122164361,9811
5,rla,2025,3.369468122164355,8449
6,mth,2009,3.277054862149538,11536
6,mth,2010,3.2769611043854026,11605
6,mth,2011,3.275227060087319,11952
6,mth,2012,3.2757093446363883,12101
6,mth,2013,3.2755793922519327,12088
6,mth,2014,3.2755695257072905,8303
6,mth,2015,3.2761694822760594,9886
6,mth,2016,3.2752324154745383,10821
6,mth,2017,3.276644769611845,10933
6,mth,2018,3.2796736694571735,11127
6,mth,2019,3.278307789016355,11430
6,mth,2022,3.2806703731554947,9553
6,mth,2023,3.280670373155485,9979
6,mth,2024,3.280670373155487,9808
6,mth,2025,3.280670373155487,8630
6,rla,2009,3.324704910695293,11663
6,rla,2010,3.3206209732217973,11889
6,rla,2011,3.3159192483339828,12084
6,rla,2012,3.321650224222363,12226
6,rla,2013,3.3217695958961095,12257
6,rla,2014,3.3165932875400688,9070
6,rla,2015,3.3256107028417,10003
6,rla,2016,3.327944489432953,10953
6,rla,2017,3.3228709090825372,11216
6,rla,2018,3.3233605052742967,11153
6,rla,2019,3.321708430340927,11509
6,rla,2022,3.3288518508228844,9481
6,rla,2023,3.3288518508228826,9880
6,rla,2024,3.3288518508228817,9768
6,rla,2025,3.328851850822883,8484
7,mth,2009,3.486683466761684,10487
7,mth,2010,3.4853278393972102,10505
7,mth,2011,3.4846207703563543,10806
7,mth,2012,3.4886077532062294,10054
7,mth,2013,3.488181921042626,9941
7,mth,2014,3.485084895892346,7406
7,mth,2015,3.4882065320463704,8622
7,mth,2016,3.4804190688412415,8569
7,mth,2017,3.4881266190346465,8909
7,mth,2018,3.4864505528224363,8906
7,mth,2019,3.486731936989608,9259
7,mth,2022,3.492220334277995,8152
7,mth,2023,3.492220334277989,7642
7,mth,2024,3.492220334277988,7426
7,mth,2025,3.492220334277996,6211
7,rla,2009,3.3070780028768745,11498
7,rla,2010,3.3015342821461426,11698
7,rla,2011,3.3003869152900034,11870
7,rla,2012,3.2996071437287293,12032
7,rla,2013,3.302705798370627,12030
7,rla,2014,3.3011129494575027,8955
7,rla,2015,3.297880285748591,9720
7,rla,2016,3.300704766229623,10500
7,rla,2017,3.300664197092137,10912
7,rla,2018,3.301958867153798,10767
7,rla,2019,3.2986638754601434,11131
7,rla,2022,3.3103644265024346,9227
7,rla,2023,3.3103644265024177,9191
7,rla,2024,3.3103644265024275,9031
7,rla,2025,3.3103644265024292,7767
8,mth,2009,3.70128364559384,10024
8,mth,2010,3.7000559319827957,10045
8,mth,2011,3.7002083719720793,10509
8,mth,2012,3.699122527618293,9384
8,mth,2013,3.701099629652163,8827
8,mth,2014,3.69675299759444,6658
8,mth,2015,3.6968578206657394,6977
8,mth,2016,3.700182418442662,7243
8,mth,2017,3.6962642312658365,7233
8,mth,2018,3.695481757090612,7461
8,mth,2019,3.7073716079924144,7721
8,mth,2022,3.705565623069538,6195
8,mth,2023,3.7055656230695435,6146
8,mth,2024,3.705565623069531,5938
8,mth,2025,3.7055656230695346,4720
8,rla,2009,3.291336498925271,11466
8,rla,2010,3.2905513065642737,11689
8,rla,2011,3.291514348622534,11776
8,rla,2012,3.287026866631479,11914
8,rla,2013,3.2910667337036594,11910
8,rla,2014,3.2923459726911473,8509
8,rla,2015,3.293830866344433,9599
8,rla,2016,3.294195054188651,9930
8,rla,2017,3.291408391002251,10523
8,rla,2018,3.291608650552348,10624
8,rla,2019,3.2962161186160555,10916
8,rla,2022,3.3008406012048916,8882
8,rla,2023,3.3008406012048908,9039
8,rla,2024,3.300840601204896,8851
8,rla,2025,3.3008406012048863,7543
