subject,stat,grade,year,value
mth,mean,3,2007,227.8
mth,mean,3,2008,227.7
mth,mean,3,2009,227.6
mth,mean,3,2010,228.1
mth,mean,3,2011,228.6
mth,mean,3,2012,229.2
mth,mean,3,2013,229.8
mth,mean,3,2014,229.3
mth,mean,3,2015,228.8
mth,mean,3,2016,228.2
mth,mean,3,2017,227.7
mth,mean,3,2018,228.1
mth,mean,3,2019,228.6
mth,mean,3,2022,224.7
mth,mean,3,2023,226.1
mth,mean,3,2024,227.6
mth,mean,3,2025,227.5
mth,mean,4,2007,237.8
mth,mean,4,2008,238.0
mth,mean,4,2009,238.1
mth,mean,4,2010,238.7
mth,mean,4,2011,239.2
mth,mean,4,2012,239.8
mth,mean,4,2013,240.4
mth,mean,4,2014,239.8
mth,mean,4,2015,239.1
mth,mean,4,2016,238.7
mth,mean,4,2017,238.3
mth,mean,4,2018,238.6
mth,mean,4,2019,238.9
mth,mean,4,2022,234.2
mth,mean,4,2023,235.2
mth,mean,4,2024,236.3
mth,mean,4,2025,236.4
mth,mean,5,2007,247.9
mth,mean,5,2008,248.2
mth,mean,5,2009,248.6
mth,mean,5,2010,249.2
mth,mean,5,2011,249.7
mth,mean,5,2012,250.4
mth,mean,5,2013,251.0
mth,mean,5,2014,250.2
mth,mean,5,2015,249.4
mth,mean,5,2016,249.2
mth,mean,5,2017,249.0
mth,mean,5,2018,249.0
mth,mean,5,2019,249.1
mth,mean,5,2022,243.7
mth,mean,5,2023,244.3
mth,mean,5,2024,245.0
mth,mean,5,2025,245.3
mth,mean,6,2007,257.9
mth,mean,6,2008,258.5
mth,mean,6,2009,259.1
mth,mean,6,2010,259.7
mth,mean,6,2011,260.3
mth,mean,6,2012,260.9
mth,mean,6,2013,261.6
mth,mean,6,2014,260.7
mth,mean,6,2015,259.8
mth,mean,6,2016,259.7
mth,mean,6,2017,259.6
mth,mean,6,2018,259.5
mth,mean,6,2019,259.4
mth,mean,6,2022,253.3
mth,mean,6,2023,253.5
mth,mean,6,2024,253.7
mth,mean,6,2025,254.2
mth,mean,7,2007,268.0
mth,mean,7,2008,268.8
mth,mean,7,2009,269.6
mth,mean,7,2010,270.2
mth,mean,7,2011,270.8
mth,mean,7,2012,271.5
mth,mean,7,2013,272.1
mth,mean,7,2014,271.1
mth,mean,7,2015,270.1
mth,mean,7,2016,270.2
