subject,grade,k,naep_mean_ref,naep_sd_ref,naep_growth_per_grade,k_regression,k_regression_min,k_regression_max,regression_years,flag
mth,3,2.6977857570317187,228.575,28.175,10.443749999999996,2.6920003888777284,2.6873855244452765,2.6962897957869862,15,False
mth,4,2.8797127468581696,239.2,30.075,10.443749999999996,2.877125714520011,2.873427924154506,2.879712886372239,15,False
mth,5,3.0807899461400368,249.75,32.175,10.443749999999996,3.078342837359557,3.0743631145925896,3.0816877399595417,15,False
mth,6,3.279473369239977,260.32500000000005,34.25,10.443749999999996,3.27765406051172,3.275227060087319,3.2806703731554947,15,False
mth,7,3.49251944943148,270.67499999999995,36.475,10.443749999999996,3.4878215129001813,3.480419068841241,3.492220334277996,15,False
mth,8,3.705565529622981,280.975,38.7,10.443749999999996,3.701129562143268,3.695481757090612,3.7073716079924144,15,False
rla,3,3.462184873949579,207.1,38.625,11.156250000000002,3.456550469972804,3.449735512736697,3.4610648562703177,15,False
rla,4,3.406162464985994,218.475,38.0,11.156250000000002,3.400948010767688,3.393904372321177,3.406162841639832,15,False
rla,5,3.3703081232492997,229.825,37.6,11.156250000000002,3.365178662398829,3.358588439091084,3.369468122164361,15,False
rla,6,3.332212885154061,241.25,37.175,11.156250000000002,3.3238773786782376,3.3159192483339828,3.3288518508228844,15,False
rla,7,3.3098039215686272,252.225,36.925,11.156250000000002,3.303583652637592,3.297880285748591,3.3103644265024346,15,False
rla,8,3.3008403361344536,263.1,36.825,11.156250000000002,3.294297547510778,3.287026866631479,3.300840601204896,15,False
