"Total Expenditures Used for Special Education, 2013-14"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_","_"
"Organization","Certified Personnel","Noncertified Personnel","Employee Benefits","Purchased Services","Tuition to Other Schools","Instructional Supplies","Property Services","Transportation","Equipment","Other Expenditures","Total Expenditures"
"Andover School District",283497,137431,80728,105325,196034,4705,500,76941,733,0,885994
="Ansonia School District",1895099,1196850,518382,180041,3656009,21521,350,1095715,6700,0,8581645
="Ashford School District",575488,311668,193559,152658,225216,2829,24523,90289,0,672,1576902
="Avon School District",3094295,1569702,1119626,255585,2095504,22912,891,869375,8759,460,9052664
="Barkhamsted School District",55166,33906,28020,584209,111968,1410,0,35871,338,0,850888
="Berlin School District",3807501,1493265,855633,410259,1474936,39926,0,699750,38032,1171,8820473
="Bethany School District",711943,320863,136302,118364,41058,4761,0,76999,10591,510,1423071
="Bethel School District",4088203,1816567,1711285,209424,1289075,56305,168,758709,62454,1470,10001841
="Bloomfield School District",2676107,927810,878932,71459,1135690,23174,0,362248,3457,554,6082003
="Bolton School District",833642,547862,565327,72986,803911,27912,0,248028,0,185,3110563
="Bozrah School District",420050,199176,60965,101410,449596,4983,0,93980,9795,0,1340627
="Branford School District",3741778,1407976,1596312,430171,2935177,43015,0,773426,7870,477,10943884
="Bridgeport School District",22195511,9662136,9787224,1511133,16687833,341328,0,9277329,25989,0,69500527
="Bristol School District",8632952,2652339,3414935,851695,7106948,29167,0,3691424,38789,3154,26431891
="Brookfield School District",3061093,1429506,1236334,365883,508883,24044,0,181558,11376,125,6818802
="Brooklyn School District",820838,510342,370163,117466,1534871,10050,0,302502,4555,160,3674494
="Canaan School District",123991,46553,61181,10660,0,2191,0,20942,448,0,265966
="Canterbury School District",604578,516355,230237,519454,1243971,7604,2192,82662,13841,0,3221333
="Canton School District",1872043,706243,858180,314502,823063,25723,0,536856,17270,5494,5159374
="Chaplin School District",321341,102645,91637,46288,30904,3421,0,1299,327,200,598062
="Cheshire School District",6339739,2990959,2070035,758714,2118936,108275,102174,676895,9121,1406,15349497
="Chester School District",454233,206463,186895,34940,9638,17451,1560,36895,0,34,948109
="Clinton School District",3185702,1044904,1121033,334270,1054947,27021,0,630738,0,941,7409889
="Colchester School District",3314225,1256946,1261589,179183,1770594,13050,0,983297,1224,0,8799697
="Colebrook School District",74124,18469,21388,119165,73676,1901,0,24052,0,26370,359375
="Columbia School District",869708,349793,274072,169719,1054341,17999,0,206012,294,698,2946117
="Cornwall School District",173152,48732,72308,10668,0,3327,0,30291,648,35,339161
="Coventry School District",2241656,833662,616792,382019,1486328,27192,0,561727,0,1882,6161716
="Cromwell School District",1693427,883612,570767,213493,1025171,5909,0,450530,3128,287,4850168
="Danbury School District",11873672,4427845,3659725,1075320,2620995,38334,42032,2371042,62707,0,26302698
="Darien School District",9479636,3453186,4047534,1739051,4422887,82691,0,1254482,49039,0,24622322
="Deep River School District",592939,267364,232918,94766,301163,11906,141,147594,0,170,1648961
="Derby School District",1456501,847763,660212,188775,1403245,6571,7725,343087,0,215,4914094
="East Granby School District",1203740,574852,488437,183016,518091,6742,0,267103,11732,846,3256771
="East Haddam School District",1551739,475238,640442,346075,1148085,23653,0,457616,0,2251,4645099
="East Hampton School District",2520896,1240816,889818,568234,999955,32337,0,636160,0,225,6898079
="East Hartford School District",8213028,3786547,2361407,401988,3656634,133415,0,2356664,0,0,20914377
="East Haven School District",3043620,823718,1470016,352562,4736581,4045,58870,1119340,0,62160,11673042
="East Lyme School District",3527239,2503116,951739,542657,1121078,36001,0,692055,15463,800,9390148
="East Windsor School District",1383808,741216,567679,385671,784676,8417,0,514917,2219,1712,4390315
="Eastford School District",171833,144229,73802,138300,67051,1747,0,8125,0,185,607658
="Easton School District",1279288,711467,591363,528382,275077,11435,0,224624,17672,360,3651594
="Ellington School District",2639169,1164957,1186837,489346,1113612,33946,0,441983,9177,1996,7081023
="Enfield School District",6872744,2387550,2324771,255801,2813244,45305,0,1891535,5685,0,16597808
="Essex School District",804423,534942,323409,172546,247350,8299,173,123110,4078,0,2218330
="Fairfield School District",16100773,3891620,6013625,3517294,6115764,89635,31771,2458474,50973,423,38285547
="Farmington School District",5672198,454398,1120694,543053,2012210,63715,0,772152,8150,645,10664170
="Franklin School District",260933,65770,45013,28872,393228,-2014,0,93717,0,0,887743
="Glastonbury School District",7413862,3221418,1526883,796411,3157904,86646,174130,0,14834,2099,16577547
="Granby School District",2094605,738670,626851,245949,977225,38245,0,307235,0,2168,5030948
="Greenwich School District",19447977,5803197,6953774,1743071,4732224,140787,249212,1987767,137860,137860,41362752
="Griswold School District",2734038,1186529,848684,183740,1369859,5201,4156,570357,3996,140,6923790
="Groton School District",6542277,2074976,1751280,1398693,3906928,42990,1005,1711572,8477,0,17446222
="Guilford School District",4633702,2091637,2495951,790233,3570099,72798,0,1206385,5180,0,14865985
="Hamden School District",9092879,2674610,6001419,655186,8633419,56942,67687,2396534,0,0,29578676
="Hampton School District",117449,124212,60431,81778,0,1048,0,0,0,0,384918
="Hartford School District",24027027,11464168,10360699,626020,44728079,75783,7669,15392679,51686,39703,106807952
="Hartland School District",16940,0,0,383444,235618,4608,0,18259,0,0,658869
="Hebron School District",837195,640708,786736,244117,85733,10132,0,94861,16411,326,2736771
="Kent School District",454800,212364,198876,20505,182288,17687,0,79714,1706,0,1167940
="Killingly School District",3286038,1318659,1756308,188240,5502012,15828,40227,273878,13774,620,12396228
="Lebanon School District",1499753,795639,625047,24466,1465397,5981,0,436499,3482,21,4863185
="Ledyard School District",4311572,956034,1057412,351480,2007560,54717,1272,1053553,3420,40,9802712
="Lisbon School District",791278,126281,147825,118965,1104145,3954,0,151544,0,450,2448703
="Litchfield School District",1153257,516767,506023,105928,697683,15343,0,165507,2936,150,3167506
="Madison School District",3474990,2247529,1680830,434635,1745909,2149,0,1220996,6901,939,10876953
="Manchester School District",8684760,3952264,6470361,391163,4481306,365086,0,1992988,168247,1647,26677540
="Mansfield School District",1565665,843139,576066,298306,479199,15523,0,191370,0,512,3984937
="Marlborough School District",601944,217470,189774,62296,22685,10910,14830,91868,3113,6581,1223483
="Meriden School District",10361452,3981229,3709313,472864,7478491,156617,177742,2918212,1412,1084,29279527
="Middletown School District",5453135,2697837,1880777,899602,5197238,14742,0,2215299,4184,260,18364971
="Milford School District",10382201,4658726,5138311,487994,4030577,70255,1980,1866921,43677,45374,26728476
="Monroe School District",4546574,1203264,1264171,889788,1595816,15128,10778,825862,7350,1047,10370256
="Montville School District",3813273,1367082,1157545,424519,792058,161837,1860,36440,7030,982,7762881
="Naugatuck School District",6610032,1740530,2178025,96029,1186509,33204,0,772864,6590,49980,12693011
="New Britain School District",12771333,5798053,6530541,1229237,10532764,29888,2835,4384467,15147,14367,41316515
="New Canaan School District",5996568,4419569,2132239,1442183,2998867,61961,0,64265,88594,1612,17210107
="New Fairfield School District",3205432,1018676,1122592,310303,526842,62229,1171,515330,12994,620,6798717
="New Hartford School District",800004,309784,473666,170255,176225,5764,0,139616,3085,561,2079460
="New Haven School District",23439077,3200938,7753993,2942467,16735467,3927,457800,6932325,40778,876460,62549749
="New London School District",4280702,1866322,1680679,1560071,3850224,37841,4865,1335271,21827,0,14680450
="New Milford School District",5418558,1946040,1827727,1895989,2085099,46472,0,1194518,4313,0,14434136
="Newington School District",4048610,522989,1150422,2942301,2871097,71399,84759,0,90000,1272,11805461
="Newtown School District",5233485,2591561,1783618,576651,3067358,89306,39298,1335624,6413,2172,14881517
="Norfolk School District",70839,25369,11250,194227,76192,98,0,43302,0,0,421277
="North Branford School District",2750015,843822,589719,238133,522823,55358,7016,581161,18455,1486,5610348
="North Canaan School District",495760,132936,197196,49504,61738,6849,0,76101,1747,0,1021831
="North Haven School District",2972404,835433,1029746,576417,2795797,17342,5200,1397774,4164,24594,9661411
="North Stonington School District",1038343,314444,621999,46987,267835,3157,0,18297,7233,7552,2335240
="Norwalk School District",14105966,3709862,6132480,4199763,8494264,21834,0,2595449,13733,370,39288394
="Norwich School District",4105754,1963468,1094647,3199732,9019101,19723,22178,2501104,14342,185,22000048
="Old Saybrook School District",1972377,1215403,522551,115391,1027925,29449,6385,424609,1477,1755,5329295
="Orange School District",1759776,958651,763036,387630,327123,8543,0,238616,3090,0,4478782
="Oxford School District",2438889,1201514,1061988,192945,1046573,22297,0,627574,5923,1225,6601939
="Plainfield School District",2480768,1700833,975059,403120,1501681,24410,1671,639982,9836,300,7746417
="Plainville School District",3023325,1253745,1043909,205769,1441696,14929,0,415453,3126,2013,7415654
="Plymouth School District",1998267,576033,871349,324073,1288621,22624,0,603265,0,4985,5699451
="Pomfret School District",576833,255850,264440,111015,1256964,28377,0,227942,8762,1640,2744931
="Portland School District",1451765,397125,618257,345415,583600,0,0,245797,4289,0,3657991
="Preston School District",641256,381264,275117,215719,1589314,4777,0,73246,72369,0,3260885
="Putnam School District",1805508,645850,556801,243986,1419840,31281,153,201108,553,2816,4912899
="Redding School District",2160351,1061499,845784,186203,197899,14392,0,127954,6817,1004,4608185
="Regional School District 01",738372,208205,308933,44703,427392,14214,0,129416,2771,0,1874006
="Regional School District 04",1607971,401175,374780,250609,624816,20004,237,266982,3487,844,3550905
="Regional School District 05",2516196,620359,751527,248443,2622223,16290,0,534757,35136,1252,7352791
="Regional School District 06",1339680,737580,455696,202903,302782,33333,0,217600,1417,310,3292219
="Regional School District 07",777224,369521,278613,1072075,893672,8272,0,323054,4620,0,3727051
="Regional School District 08",2252994,779786,619493,298639,812430,6801,0,368042,0,0,5157317
="Regional School District 09",1035205,374383,280324,310594,1422205,8299,0,426262,14904,951,3886848
="Regional School District 10",2930934,1164702,927790,511995,1813055,40546,36390,471786,3315,32357,7932870
="Regional School District 11",303862,128444,88596,176067,608717,1913,0,191592,0,390,1499581
="Regional School District 12",1686156,810061,563919,472763,613359,40551,0,361849,637,310,4550137
="Regional School District 13",2605527,1889137,1464956,304278,938354,48457,43123,443927,14683,0,7758592
="Regional School District 14",2781407,1312641,859020,166144,1688734,71632,0,694834,11805,792,7587009
="Regional School District 15",5745748,2180892,2045798,765032,2275370,5804,32954,1339753,7237,1444,14441036
