"Special Education Expenditures, 2022-23"
"All Districts"

"District","District Code","Description","Amount"
"Achievement First Bridgeport Academy District","=""2850013""","Teacher Salaries","$405,165"
"Achievement First Bridgeport Academy District","=""2850013""","Instructional Aide Salaries","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Other Salaries","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Employee Benefits","$60,853"
"Achievement First Bridgeport Academy District","=""2850013""","Purchased Services Other Than Transportation","$128,645"
"Achievement First Bridgeport Academy District","=""2850013""","Special Education Tuition","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Supplies","$3,818"
"Achievement First Bridgeport Academy District","=""2850013""","Property Services","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Purchased Services For Transportation","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Equipment","$14,369"
"Achievement First Bridgeport Academy District","=""2850013""","All Other Expenditures","$956"
"Achievement First Bridgeport Academy District","=""2850013""","Total","$613,806"
"Achievement First Hartford Academy District","=""2880013""","Teacher Salaries","$1,610,348"
"Achievement First Hartford Academy District","=""2880013""","Instructional Aide Salaries","$0"
"Achievement First Hartford Academy District","=""2880013""","Other Salaries","$0"
"Achievement First Hartford Academy District","=""2880013""","Employee Benefits","$299,908"
"Achievement First Hartford Academy District","=""2880013""","Purchased Services Other Than Transportation","$636,268"
"Achievement First Hartford Academy District","=""2880013""","Special Education Tuition","$0"
"Achievement First Hartford Academy District","=""2880013""","Supplies","$15,349"
"Achievement First Hartford Academy District","=""2880013""","Property Services","$0"
"Achievement First Hartford Academy District","=""2880013""","Purchased Services For Transportation","$0"
"Achievement First Hartford Academy District","=""2880013""","Equipment","$38,016"
"Achievement First Hartford Academy District","=""2880013""","All Other Expenditures","$3,041"
"Achievement First Hartford Academy District","=""2880013""","Total","$2,602,931"
"Amistad Academy District","=""2790013""","Teacher Salaries","$1,243,070"
"Amistad Academy District","=""2790013""","Instructional Aide Salaries","$0"
"Amistad Academy District","=""2790013""","Other Salaries","$0"
"Amistad Academy District","=""2790013""","Employee Benefits","$201,237"
"Amistad Academy District","=""2790013""","Purchased Services Other Than Transportation","$326,489"
"Amistad Academy District","=""2790013""","Special Education Tuition","$0"
"Amistad Academy District","=""2790013""","Supplies","$11,426"
"Amistad Academy District","=""2790013""","Property Services","$0"
"Amistad Academy District","=""2790013""","Purchased Services For Transportation","$0"
"Amistad Academy District","=""2790013""","Equipment","$36,717"
"Amistad Academy District","=""2790013""","All Other Expenditures","$1,960"
"Amistad Academy District","=""2790013""","Total","$1,820,900"
"Andover School District","=""0010011""","Teacher Salaries","$229,019"
"Andover School District","=""0010011""","Instructional Aide Salaries","$50,281"
"Andover School District","=""0010011""","Other Salaries","$36,627"
"Andover School District","=""0010011""","Employee Benefits","$101,435"
"Andover School District","=""0010011""","Purchased Services Other Than Transportation","$38,138"
"Andover School District","=""0010011""","Special Education Tuition","$139,369"
"Andover School District","=""0010011""","Supplies","$5,730"
"Andover School District","=""0010011""","Property Services","$0"
"Andover School District","=""0010011""","Purchased Services For Transportation","$59,041"
"Andover School District","=""0010011""","Equipment","$0"
"Andover School District","=""0010011""","All Other Expenditures","$0"
"Andover School District","=""0010011""","Total","$659,639"
"Ansonia School District","=""0020011""","Teacher Salaries","$2,269,435"
"Ansonia School District","=""0020011""","Instructional Aide Salaries","$746,116"
"Ansonia School District","=""0020011""","Other Salaries","$895,267"
"Ansonia School District","=""0020011""","Employee Benefits","$647,048"
"Ansonia School District","=""0020011""","Purchased Services Other Than Transportation","$874,727"
"Ansonia School District","=""0020011""","Special Education Tuition","$4,972,486"
"Ansonia School District","=""0020011""","Supplies","$71,129"
"Ansonia School District","=""0020011""","Property Services","$593,666"
"Ansonia School District","=""0020011""","Purchased Services For Transportation","$1,846,311"
"Ansonia School District","=""0020011""","Equipment","$3,529"
"Ansonia School District","=""0020011""","All Other Expenditures","$1,106"
"Ansonia School District","=""0020011""","Total","$12,920,821"
"Area Cooperative Educational Services","=""2440014""","Teacher Salaries","$8,763,886"
"Area Cooperative Educational Services","=""2440014""","Instructional Aide Salaries","$7,716,247"
"Area Cooperative Educational Services","=""2440014""","Other Salaries","$19,760,264"
"Area Cooperative Educational Services","=""2440014""","Employee Benefits","$11,397,657"
"Area Cooperative Educational Services","=""2440014""","Purchased Services Other Than Transportation","$552,995"
"Area Cooperative Educational Services","=""2440014""","Special Education Tuition","$0"
"Area Cooperative Educational Services","=""2440014""","Supplies","$1,990,381"
"Area Cooperative Educational Services","=""2440014""","Property Services","$2,353,198"
"Area Cooperative Educational Services","=""2440014""","Purchased Services For Transportation","$7,000"
"Area Cooperative Educational Services","=""2440014""","Equipment","$1,764,678"
"Area Cooperative Educational Services","=""2440014""","All Other Expenditures","$47,780"
"Area Cooperative Educational Services","=""2440014""","Total","$54,354,087"
"Ashford School District","=""0030011""","Teacher Salaries","$349,239"
"Ashford School District","=""0030011""","Instructional Aide Salaries","$411,163"
"Ashford School District","=""0030011""","Other Salaries","$238,643"
