"Total Expenditures Used for Special Education, 2009-10"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_","_"
"Organization","Certified Personnel","Noncertified Personnel","Employee Benefits","Purchased Services","Tuition to Other Schools","Instructional Supplies","Property Services","Transportation","Equipment","Other Expenditures","Total Expenditures"
"Andover School District",295237,148609,37352,102645,106075,4185,1446,18599,22479,0,736627
="Ansonia School District",1898470,767145,458620,312085,2174046,45006,5757,748680,104785,0,6533925
="Ashford School District",679703,338885,297114,289167,270555,10560,0,160772,51422,339,2100152
="Avon School District",3976227,1845106,1639594,336770,1609023,53328,4667,410470,87324,1642,9973590
="Barkhamsted School District",47810,31929,11705,563559,94167,2768,0,53970,1571,90,807569
="Berlin School District",3594760,1406251,793984,332028,1386839,42338,0,572103,175986,17551,8335383
="Bethany School District",699506,320887,146762,125533,215419,9127,2001,87453,23028,769,1632247
="Bethel School District",3586509,1895849,1226890,313955,1472672,39320,627,862061,39857,1740,9449867
="Bloomfield School District",3088310,957632,836897,42489,1616675,19771,0,377635,14491,1433,6957283
="Bolton School District",753288,584112,446632,446027,562410,14767,0,254944,26354,2976,3092754
="Bozrah School District",358725,133759,70383,72372,753081,836,0,114838,5414,0,1511342
="Branford School District",3638750,1261944,1199194,328675,2571754,133680,0,808921,7583,9823,9969334
="Bridgeport School District",20505096,7544802,5399417,1015485,17464221,184586,205576,5695466,26853,0,58041502
="Bristol School District",8904552,2703926,2353773,571588,4784838,263695,28182,2620455,90922,2837,22332977
="Brookfield School District",2376418,1160212,837456,521537,1098674,41002,0,251694,77305,357,6381022
="Brooklyn School District",717078,471922,419334,95534,855132,8991,0,154063,0,430,2726536
="Canaan School District",104033,38563,46830,15279,61177,1068,0,16828,1140,0,284918
="Canterbury School District",580888,286947,244487,228285,831148,8867,0,145165,3073,430,2330291
="Canton School District",1835842,649673,524599,211838,980319,37203,0,359080,24806,1102,4624462
="Chaplin School District",297603,58485,95687,44144,0,4191,463,0,38325,600,539498
="Cheshire School District",5996251,2731546,1719226,832091,1723725,89835,92777,783475,21590,2016,14114242
="Chester School District",462491,211989,198334,97731,18204,6166,188,26795,299,181,1022378
