"Special Education Expenditures, 2023-24"
"All Districts"

"District","District Code","Description","Amount"
"Achievement First Bridgeport Academy District","=""2850013""","Teacher Salaries","$874,588"
"Achievement First Bridgeport Academy District","=""2850013""","Instructional Aide Salaries","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Other Salaries","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Employee Benefits","$153,945"
"Achievement First Bridgeport Academy District","=""2850013""","Purchased Services Other Than Transportation","$379,462"
"Achievement First Bridgeport Academy District","=""2850013""","Special Education Tuition","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Supplies","$15,204"
"Achievement First Bridgeport Academy District","=""2850013""","Property Services","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Purchased Services For Transportation","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Equipment","$94,225"
"Achievement First Bridgeport Academy District","=""2850013""","All Other Expenditures","$2,496"
"Achievement First Bridgeport Academy District","=""2850013""","Total","$1,519,920"
"Achievement First Hartford Academy District","=""2880013""","Teacher Salaries","$1,845,393"
"Achievement First Hartford Academy District","=""2880013""","Instructional Aide Salaries","$0"
"Achievement First Hartford Academy District","=""2880013""","Other Salaries","$0"
"Achievement First Hartford Academy District","=""2880013""","Employee Benefits","$337,114"
"Achievement First Hartford Academy District","=""2880013""","Purchased Services Other Than Transportation","$680,782"
"Achievement First Hartford Academy District","=""2880013""","Special Education Tuition","$0"
"Achievement First Hartford Academy District","=""2880013""","Supplies","$35,055"
"Achievement First Hartford Academy District","=""2880013""","Property Services","$0"
"Achievement First Hartford Academy District","=""2880013""","Purchased Services For Transportation","$0"
"Achievement First Hartford Academy District","=""2880013""","Equipment","$129,411"
"Achievement First Hartford Academy District","=""2880013""","All Other Expenditures","$4,170"
"Achievement First Hartford Academy District","=""2880013""","Total","$3,031,924"
"Amistad Academy District","=""2790013""","Teacher Salaries","$1,273,833"
"Amistad Academy District","=""2790013""","Instructional Aide Salaries","$0"
"Amistad Academy District","=""2790013""","Other Salaries","$0"
"Amistad Academy District","=""2790013""","Employee Benefits","$236,776"
"Amistad Academy District","=""2790013""","Purchased Services Other Than Transportation","$285,438"
"Amistad Academy District","=""2790013""","Special Education Tuition","$0"
"Amistad Academy District","=""2790013""","Supplies","$17,843"
"Amistad Academy District","=""2790013""","Property Services","$0"
"Amistad Academy District","=""2790013""","Purchased Services For Transportation","$0"
"Amistad Academy District","=""2790013""","Equipment","$93,126"
"Amistad Academy District","=""2790013""","All Other Expenditures","$2,296"
"Amistad Academy District","=""2790013""","Total","$1,909,313"
"Andover School District","=""0010011""","Teacher Salaries","$186,174"
"Andover School District","=""0010011""","Instructional Aide Salaries","$74,016"
"Andover School District","=""0010011""","Other Salaries","$27,585"
"Andover School District","=""0010011""","Employee Benefits","$70,077"
"Andover School District","=""0010011""","Purchased Services Other Than Transportation","$37,665"
"Andover School District","=""0010011""","Special Education Tuition","$45,281"
"Andover School District","=""0010011""","Supplies","$12,268"
"Andover School District","=""0010011""","Property Services","$0"
"Andover School District","=""0010011""","Purchased Services For Transportation","$8,743"
"Andover School District","=""0010011""","Equipment","$0"
"Andover School District","=""0010011""","All Other Expenditures","$0"
"Andover School District","=""0010011""","Total","$461,810"
"Ansonia School District","=""0020011""","Teacher Salaries","$2,387,848"
"Ansonia School District","=""0020011""","Instructional Aide Salaries","$690,862"
"Ansonia School District","=""0020011""","Other Salaries","$932,471"
"Ansonia School District","=""0020011""","Employee Benefits","$659,873"
"Ansonia School District","=""0020011""","Purchased Services Other Than Transportation","$859,062"
"Ansonia School District","=""0020011""","Special Education Tuition","$5,559,226"
"Ansonia School District","=""0020011""","Supplies","$83,731"
"Ansonia School District","=""0020011""","Property Services","$1,419,524"
"Ansonia School District","=""0020011""","Purchased Services For Transportation","$2,023,865"
"Ansonia School District","=""0020011""","Equipment","$0"
"Ansonia School District","=""0020011""","All Other Expenditures","$0"
"Ansonia School District","=""0020011""","Total","$14,616,460"
"Area Cooperative Educational Services","=""2440014""","Teacher Salaries","$8,806,836"
"Area Cooperative Educational Services","=""2440014""","Instructional Aide Salaries","$8,138,294"
"Area Cooperative Educational Services","=""2440014""","Other Salaries","$22,814,670"
"Area Cooperative Educational Services","=""2440014""","Employee Benefits","$11,655,791"
"Area Cooperative Educational Services","=""2440014""","Purchased Services Other Than Transportation","$1,008,630"
"Area Cooperative Educational Services","=""2440014""","Special Education Tuition","$0"
"Area Cooperative Educational Services","=""2440014""","Supplies","$1,936,091"
"Area Cooperative Educational Services","=""2440014""","Property Services","$2,609,297"
"Area Cooperative Educational Services","=""2440014""","Purchased Services For Transportation","$37,023"
"Area Cooperative Educational Services","=""2440014""","Equipment","$1,270,543"
"Area Cooperative Educational Services","=""2440014""","All Other Expenditures","$34,801"
"Area Cooperative Educational Services","=""2440014""","Total","$58,311,975"
"Ashford School District","=""0030011""","Teacher Salaries","$395,330"
"Ashford School District","=""0030011""","Instructional Aide Salaries","$438,540"
"Ashford School District","=""0030011""","Other Salaries","$264,753"
"Ashford School District","=""0030011""","Employee Benefits","$545,848"
"Ashford School District","=""0030011""","Purchased Services Other Than Transportation","$149,452"
"Ashford School District","=""0030011""","Special Education Tuition","$329,201"
"Ashford School District","=""0030011""","Supplies","$17,224"
"Ashford School District","=""0030011""","Property Services","$272"
"Ashford School District","=""0030011""","Purchased Services For Transportation","$0"
"Ashford School District","=""0030011""","Equipment","$7,674"
"Ashford School District","=""0030011""","All Other Expenditures","$450"
"Ashford School District","=""0030011""","Total","$2,148,743"
"Avon School District","=""0040011""","Teacher Salaries","$5,798,452"
"Avon School District","=""0040011""","Instructional Aide Salaries","$2,519,528"
"Avon School District","=""0040011""","Other Salaries","$721,635"
"Avon School District","=""0040011""","Employee Benefits","$2,351,412"
"Avon School District","=""0040011""","Purchased Services Other Than Transportation","$605,822"
"Avon School District","=""0040011""","Special Education Tuition","$3,659,982"
"Avon School District","=""0040011""","Supplies","$10,567"
"Avon School District","=""0040011""","Property Services","$120"
"Avon School District","=""0040011""","Purchased Services For Transportation","$1,122,915"
"Avon School District","=""0040011""","Equipment","$46,291"
"Avon School District","=""0040011""","All Other Expenditures","$704"
"Avon School District","=""0040011""","Total","$16,837,429"
"Barkhamsted School District","=""0050011""","Teacher Salaries","$165,730"
"Barkhamsted School District","=""0050011""","Instructional Aide Salaries","$0"
"Barkhamsted School District","=""0050011""","Other Salaries","$5,167"
"Barkhamsted School District","=""0050011""","Employee Benefits","$51,768"
"Barkhamsted School District","=""0050011""","Purchased Services Other Than Transportation","$758,096"
"Barkhamsted School District","=""0050011""","Special Education Tuition","$171,266"
"Barkhamsted School District","=""0050011""","Supplies","$765"
"Barkhamsted School District","=""0050011""","Property Services","$0"
"Barkhamsted School District","=""0050011""","Purchased Services For Transportation","$19,105"
"Barkhamsted School District","=""0050011""","Equipment","$1,935"
"Barkhamsted School District","=""0050011""","All Other Expenditures","$695"
"Barkhamsted School District","=""0050011""","Total","$1,174,527"
"Berlin School District","=""0070011""","Teacher Salaries","$4,970,208"
"Berlin School District","=""0070011""","Instructional Aide Salaries","$2,073,438"
"Berlin School District","=""0070011""","Other Salaries","$1,170,118"
"Berlin School District","=""0070011""","Employee Benefits","$1,837,926"
"Berlin School District","=""0070011""","Purchased Services Other Than Transportation","$896,281"
"Berlin School District","=""0070011""","Special Education Tuition","$3,171,599"
"Berlin School District","=""0070011""","Supplies","$62,338"
"Berlin School District","=""0070011""","Property Services","$0"
"Berlin School District","=""0070011""","Purchased Services For Transportation","$1,244,241"
"Berlin School District","=""0070011""","Equipment","$70,695"
"Berlin School District","=""0070011""","All Other Expenditures","$6,109"
"Berlin School District","=""0070011""","Total","$15,502,952"
"Bethany School District","=""0080011""","Teacher Salaries","$747,117"
"Bethany School District","=""0080011""","Instructional Aide Salaries","$564,786"
"Bethany School District","=""0080011""","Other Salaries","$247,004"
"Bethany School District","=""0080011""","Employee Benefits","$251,555"
"Bethany School District","=""0080011""","Purchased Services Other Than Transportation","$248,265"
"Bethany School District","=""0080011""","Special Education Tuition","$0"
"Bethany School District","=""0080011""","Supplies","$41,720"
"Bethany School District","=""0080011""","Property Services","$0"
"Bethany School District","=""0080011""","Purchased Services For Transportation","$0"
"Bethany School District","=""0080011""","Equipment","$4,682"
"Bethany School District","=""0080011""","All Other Expenditures","$106,272"
"Bethany School District","=""0080011""","Total","$2,211,402"
"Bethel School District","=""0090011""","Teacher Salaries","$3,711,030"
"Bethel School District","=""0090011""","Instructional Aide Salaries","$1,818,164"
"Bethel School District","=""0090011""","Other Salaries","$2,752,908"
"Bethel School District","=""0090011""","Employee Benefits","$2,109,980"
"Bethel School District","=""0090011""","Purchased Services Other Than Transportation","$515,288"
"Bethel School District","=""0090011""","Special Education Tuition","$2,745,232"
"Bethel School District","=""0090011""","Supplies","$41,986"
