district,district_code,fiscal_year,expenditure_category,amount,source_format,cpi_u,deflator,amount_real
Andover School District,10011,2007,Certified Personnel,237436,archived_wide,207.344,1.5527914962574272,368688.6017053785
Ansonia School District,20011,2007,Certified Personnel,1972664,archived_wide,207.344,1.5527914962574272,3063135.8841731614
Ashford School District,30011,2007,Certified Personnel,728933,archived_wide,207.344,1.5527914962574272,1131880.9637414152
Avon School District,40011,2007,Certified Personnel,2740436,archived_wide,207.344,1.5527914962574272,4255325.716837719
Barkhamsted School District,50011,2007,Certified Personnel,51195,archived_wide,207.344,1.5527914962574272,79495.16065089898
Berlin School District,70011,2007,Certified Personnel,3254077,archived_wide,207.344,1.5527914962574272,5052903.09376688
Bethany School District,80011,2007,Certified Personnel,540343,archived_wide,207.344,1.5527914962574272,839040.0154622269
Bethel School District,90011,2007,Certified Personnel,3445047,archived_wide,207.344,1.5527914962574272,5349439.685807161
Bloomfield School District,110011,2007,Certified Personnel,2784396,archived_wide,207.344,1.5527914962574272,4323586.431013195
Bolton School District,120011,2007,Certified Personnel,664939,archived_wide,207.344,1.5527914962574272,1032511.6247299174
Bozrah School District,130011,2007,Certified Personnel,338043,archived_wide,207.344,1.5527914962574272,524910.2957693494
Branford School District,140011,2007,Certified Personnel,3184781,archived_wide,207.344,1.5527914962574272,4945300.854242225
Bridgeport School District,150011,2007,Certified Personnel,19830570,archived_wide,207.344,1.5527914962574272,30792740.461937647
Bristol School District,170011,2007,Certified Personnel,7780436,archived_wide,207.344,1.5527914962574272,12081394.857975151
Brookfield School District,180011,2007,Certified Personnel,2182397,archived_wide,207.344,1.5527914962574272,3388807.50305772
Brooklyn School District,190011,2007,Certified Personnel,701346,archived_wide,207.344,1.5527914962574272,1089044.1047341616
Canaan School District,210011,2007,Certified Personnel,109059,archived_wide,207.344,1.5527914962574272,169345.88779033875
Canterbury School District,220011,2007,Certified Personnel,712800,archived_wide,207.344,1.5527914962574272,1106829.778532294
Canton School District,230011,2007,Certified Personnel,1573399,archived_wide,207.344,1.5527914962574272,2443160.5874199397
Chaplin School District,240011,2007,Certified Personnel,266121,archived_wide,207.344,1.5527914962574272,413230.4257755228
Cheshire School District,250011,2007,Certified Personnel,5494250,archived_wide,207.344,1.5527914962574272,8531424.678312369
Chester School District,260011,2007,Certified Personnel,422213,archived_wide,207.344,1.5527914962574272,655608.7560093371
Clinton School District,270011,2007,Certified Personnel,2479460,archived_wide,207.344,1.5527914962574272,3850084.4033104405
Colchester School District,280011,2007,Certified Personnel,3042650,archived_wide,207.344,1.5527914962574272,4724601.046087661
Colebrook School District,290011,2007,Certified Personnel,49097,archived_wide,207.344,1.5527914962574272,76237.4040917509
Columbia School District,300011,2007,Certified Personnel,692751,archived_wide,207.344,1.5527914962574272,1075697.861823829
Cornwall School District,310011,2007,Certified Personnel,143282,archived_wide,207.344,1.5527914962574272,222487.07116675668
Coventry School District,320011,2007,Certified Personnel,1787644,archived_wide,207.344,1.5527914962574272,2775838.401535612
Cromwell School District,330011,2007,Certified Personnel,1467824,archived_wide,207.344,1.5527914962574272,2279224.6252025617
Danbury School District,340011,2007,Certified Personnel,10321860,archived_wide,207.344,1.5527914962574272,16027696.433559688
Darien School District,350011,2007,Certified Personnel,5679091,archived_wide,207.344,1.5527914962574272,8818444.211272089
Deep River School District,360011,2007,Certified Personnel,484412,archived_wide,207.344,1.5527914962574272,752190.8342850528
Derby School District,370011,2007,Certified Personnel,1321986,archived_wide,207.344,1.5527914962574272,2052768.618971371
East Granby School District,400011,2007,Certified Personnel,757466,archived_wide,207.344,1.5527914962574272,1176186.7635041284
East Haddam School District,410011,2007,Certified Personnel,1320368,archived_wide,207.344,1.5527914962574272,2050256.2023304265
