School Year,Type,DistrictName,Count*,Percent*
2024-25,Private Schools or Other Settings,Ansonia School District,16.0,3.7
2024-25,Private Schools or Other Settings,Ashford School District,0.0,0.0
2024-25,Private Schools or Other Settings,Avon School District,27.0,7.3
2024-25,Private Schools or Other Settings,Berlin School District,22.0,5.7
2024-25,Private Schools or Other Settings,Bethel School District,18.0,3.5
2024-25,Private Schools or Other Settings,Bloomfield School District,19.0,4.2
2024-25,Private Schools or Other Settings,Bolton School District,,
2024-25,Private Schools or Other Settings,Bozrah School District,0.0,0.0
2024-25,Private Schools or Other Settings,Branford School District,16.0,4.2
2024-25,Private Schools or Other Settings,Bridgeport School District,141.0,3.3
2024-25,Private Schools or Other Settings,Bristol School District,119.0,7.3
2024-25,Private Schools or Other Settings,Brookfield School District,11.0,3.1
2024-25,Private Schools or Other Settings,Brooklyn School District,10.0,4.5
2024-25,Private Schools or Other Settings,Canterbury School District,,
2024-25,Private Schools or Other Settings,Canton School District,22.0,8.1
2024-25,Private Schools or Other Settings,Cheshire School District,18.0,3.0
2024-25,Private Schools or Other Settings,Chester School District,0.0,0.0
2024-25,Private Schools or Other Settings,Clinton School District,6.0,2.4
2024-25,Private Schools or Other Settings,Colchester School District,12.0,3.2
2024-25,Private Schools or Other Settings,Columbia School District,,
2024-25,Private Schools or Other Settings,Connecticut Technical Education and Career System,0.0,0.0
2024-25,Private Schools or Other Settings,Coventry School District,,
2024-25,Private Schools or Other Settings,Cromwell School District,25.0,9.1
2024-25,Private Schools or Other Settings,Danbury School District,75.0,4.7
2024-25,Private Schools or Other Settings,Darien School District,24.0,2.6
2024-25,Private Schools or Other Settings,Deep River School District,0.0,0.0
2024-25,Private Schools or Other Settings,Department of Mental Health and Addiction Services,,
2024-25,Private Schools or Other Settings,Derby School District,12.0,3.8
2024-25,Private Schools or Other Settings,East Granby School District,7.0,5.6
2024-25,Private Schools or Other Settings,East Haddam School District,,
2024-25,Private Schools or Other Settings,East Hampton School District,10.0,3.2
2024-25,Private Schools or Other Settings,East Hartford School District,21.0,1.3
2024-25,Private Schools or Other Settings,East Haven School District,25.0,4.4
2024-25,Private Schools or Other Settings,East Lyme School District,9.0,1.9
2024-25,Private Schools or Other Settings,East Windsor School District,7.0,3.4
2024-25,Private Schools or Other Settings,Eastford School District,0.0,0.0
2024-25,Private Schools or Other Settings,Easton School District,,
2024-25,Private Schools or Other Settings,Ellington School District,,
2024-25,Private Schools or Other Settings,Enfield School District,30.0,3.1
2024-25,Private Schools or Other Settings,Essex School District,,
2024-25,Private Schools or Other Settings,Fairfield School District,67.0,4.0
2024-25,Private Schools or Other Settings,Farmington School District,15.0,2.7
2024-25,Private Schools or Other Settings,Franklin School District,,
2024-25,Private Schools or Other Settings,Glastonbury School District,18.0,2.4
2024-25,Private Schools or Other Settings,Granby School District,14.0,4.7
2024-25,Private Schools or Other Settings,Greenwich School District,26.0,2.1
2024-25,Private Schools or Other Settings,Griswold School District,14.0,4.8
2024-25,Private Schools or Other Settings,Groton School District,27.0,3.3
2024-25,Private Schools or Other Settings,Guilford School District,16.0,3.4
2024-25,Private Schools or Other Settings,Hamden School District,97.0,8.1
2024-25,Private Schools or Other Settings,Hampton School District,,
2024-25,Private Schools or Other Settings,Hartford School District,320.0,8.0
2024-25,Private Schools or Other Settings,Hartland School District,,
2024-25,Private Schools or Other Settings,Hebron School District,0.0,0.0
2024-25,Private Schools or Other Settings,Kent School District,0.0,0.0
2024-25,Private Schools or Other Settings,Killingly School District,44.0,9.4
2024-25,Private Schools or Other Settings,Lebanon School District,10.0,6.7
2024-25,Private Schools or Other Settings,Ledyard School District,19.0,4.3
