district,fiscal_year,school_year,placement_type,count,percent
Ansonia School District,2025,2024-25,Private Schools or Other Settings,16.0,3.7
Ashford School District,2025,2024-25,Private Schools or Other Settings,0.0,0.0
Avon School District,2025,2024-25,Private Schools or Other Settings,27.0,7.3
Berlin School District,2025,2024-25,Private Schools or Other Settings,22.0,5.7
Bethel School District,2025,2024-25,Private Schools or Other Settings,18.0,3.5
Bloomfield School District,2025,2024-25,Private Schools or Other Settings,19.0,4.2
Bolton School District,2025,2024-25,Private Schools or Other Settings,,
Bozrah School District,2025,2024-25,Private Schools or Other Settings,0.0,0.0
Branford School District,2025,2024-25,Private Schools or Other Settings,16.0,4.2
Bridgeport School District,2025,2024-25,Private Schools or Other Settings,141.0,3.3
Bristol School District,2025,2024-25,Private Schools or Other Settings,119.0,7.3
Brookfield School District,2025,2024-25,Private Schools or Other Settings,11.0,3.1
Brooklyn School District,2025,2024-25,Private Schools or Other Settings,10.0,4.5
Canterbury School District,2025,2024-25,Private Schools or Other Settings,,
Canton School District,2025,2024-25,Private Schools or Other Settings,22.0,8.1
Cheshire School District,2025,2024-25,Private Schools or Other Settings,18.0,3.0
Chester School District,2025,2024-25,Private Schools or Other Settings,0.0,0.0
Clinton School District,2025,2024-25,Private Schools or Other Settings,6.0,2.4
Colchester School District,2025,2024-25,Private Schools or Other Settings,12.0,3.2
Columbia School District,2025,2024-25,Private Schools or Other Settings,,
Connecticut Technical Education and Career System,2025,2024-25,Private Schools or Other Settings,0.0,0.0
Coventry School District,2025,2024-25,Private Schools or Other Settings,,
Cromwell School District,2025,2024-25,Private Schools or Other Settings,25.0,9.1
Danbury School District,2025,2024-25,Private Schools or Other Settings,75.0,4.7
Darien School District,2025,2024-25,Private Schools or Other Settings,24.0,2.6
Deep River School District,2025,2024-25,Private Schools or Other Settings,0.0,0.0
Department of Mental Health and Addiction Services,2025,2024-25,Private Schools or Other Settings,,
Derby School District,2025,2024-25,Private Schools or Other Settings,12.0,3.8
East Granby School District,2025,2024-25,Private Schools or Other Settings,7.0,5.6
East Haddam School District,2025,2024-25,Private Schools or Other Settings,,
East Hampton School District,2025,2024-25,Private Schools or Other Settings,10.0,3.2
East Hartford School District,2025,2024-25,Private Schools or Other Settings,21.0,1.3
East Haven School District,2025,2024-25,Private Schools or Other Settings,25.0,4.4
East Lyme School District,2025,2024-25,Private Schools or Other Settings,9.0,1.9
East Windsor School District,2025,2024-25,Private Schools or Other Settings,7.0,3.4
Eastford School District,2025,2024-25,Private Schools or Other Settings,0.0,0.0
Easton School District,2025,2024-25,Private Schools or Other Settings,,
Ellington School District,2025,2024-25,Private Schools or Other Settings,,
Enfield School District,2025,2024-25,Private Schools or Other Settings,30.0,3.1
Essex School District,2025,2024-25,Private Schools or Other Settings,,
Fairfield School District,2025,2024-25,Private Schools or Other Settings,67.0,4.0
Farmington School District,2025,2024-25,Private Schools or Other Settings,15.0,2.7
Franklin School District,2025,2024-25,Private Schools or Other Settings,,
Glastonbury School District,2025,2024-25,Private Schools or Other Settings,18.0,2.4
Granby School District,2025,2024-25,Private Schools or Other Settings,14.0,4.7
Greenwich School District,2025,2024-25,Private Schools or Other Settings,26.0,2.1
Griswold School District,2025,2024-25,Private Schools or Other Settings,14.0,4.8
Groton School District,2025,2024-25,Private Schools or Other Settings,27.0,3.3
Guilford School District,2025,2024-25,Private Schools or Other Settings,16.0,3.4
Hamden School District,2025,2024-25,Private Schools or Other Settings,97.0,8.1
Hampton School District,2025,2024-25,Private Schools or Other Settings,,
