District,fiscal_year,exp_instructional_staff,exp_instructional_supplies,exp_instruction_media,exp_student_support,exp_admin_support,exp_plant,exp_transportation,exp_tuitioned_out,exp_other,total_expenditures
Amistad Academy District,2007,1821031.0,566170.0,101716.0,894248.0,927259.0,313460.0,12032.0,0.0,277084.0,4913000.0
Andover School District,2007,2256707.0,166715.0,48945.0,156778.0,461369.0,392364.0,202892.0,1780.0,0.0,3687550.0
Ansonia School District,2007,14028595.0,383906.0,617620.0,2890405.0,2946296.0,2182270.0,1139451.0,2410424.0,556282.0,27155249.0
Ashford School District,2007,4108264.0,191390.0,48989.0,67420.0,568784.0,618277.0,420044.0,544095.0,18640.0,6585903.0
Avon School District,2007,21967488.0,859326.0,871094.0,3400014.0,3250740.0,4088998.0,1574229.0,1214738.0,542900.0,37769527.0
Barkhamsted School District,2007,2276933.0,81203.0,101679.0,44758.0,352844.0,331301.0,235944.0,0.0,4558.0,3429220.0
Berlin School District,2007,19627393.0,967488.0,1066067.0,3107827.0,3970729.0,4571686.0,1666343.0,884911.0,749521.0,36611965.0
Bethany School District,2007,3508478.0,160012.0,258184.0,255924.0,613186.0,649207.0,307590.0,58610.0,0.0,5811191.0
Bethel School District,2007,21484953.0,463915.0,2580092.0,2698002.0,3948720.0,3729014.0,1865628.0,1211603.0,425305.0,38407232.0
Bloomfield School District,2007,18524902.0,1348894.0,733197.0,2883860.0,5677096.0,4637673.0,1797062.0,2750719.0,454957.0,38808360.0
Bolton School District,2007,6664917.0,176463.0,549466.0,720420.0,1312747.0,1023959.0,591399.0,397721.0,168935.0,11606027.0
Bozrah School District,2007,2005726.0,98480.0,17086.0,205980.0,357524.0,285600.0,273882.0,248088.0,63096.0,3555462.0
Branford School District,2007,24890183.0,1474530.0,1938891.0,2596052.0,4049764.0,3763366.0,2387104.0,2415131.0,809084.0,44324105.0
Bridgeport School District,2007,154420897.0,5145635.0,4596839.0,13174615.0,22093010.0,27336421.0,12691615.0,16768109.0,2471170.0,258698311.0
Bristol School District,2007,59389568.0,2012332.0,4834299.0,3868708.0,9148534.0,9595235.0,4819155.0,3969278.0,1571457.0,99208566.0
Brookfield School District,2007,19040025.0,573264.0,1857777.0,2491129.0,3840813.0,3307208.0,1680212.0,575133.0,730989.0,34096550.0
Brooklyn School District,2007,5839525.0,96691.0,135750.0,805162.0,842852.0,903662.0,1039512.0,612565.0,20744.0,10296463.0
Canaan School District,2007,1147627.0,89643.0,44836.0,87629.0,251493.0,211057.0,136819.0,57170.0,15855.0,2042129.0
Canterbury School District,2007,4183502.0,193477.0,73950.0,389564.0,901658.0,920679.0,893257.0,600753.0,17389.0,8174229.0
Canton School District,2007,11290305.0,312039.0,235238.0,1472614.0,2689757.0,2557561.0,1045474.0,612501.0,65798.0,20281287.0
Chaplin School District,2007,1774344.0,61496.0,62452.0,290188.0,377344.0,420079.0,175901.0,0.0,3728.0,3165532.0
Cheshire School District,2007,32531610.0,1089792.0,2026323.0,3422655.0,5045609.0,5730865.0,3004740.0,1310826.0,918334.0,55080754.0
Chester School District,2007,2208956.0,93861.0,28794.0,463627.0,570048.0,363016.0,109300.0,39460.0,0.0,3877062.0
Clinton School District,2007,17280632.0,1032824.0,715004.0,1661658.0,2232279.0,2463760.0,1446955.0,825793.0,200977.0,27859882.0
Colchester School District,2007,18804680.0,859674.0,841479.0,2426677.0,3284801.0,2931371.0,2228047.0,1593752.0,380131.0,33350612.0
Colebrook School District,2007,1017321.0,18761.0,36238.0,34268.0,216430.0,162180.0,85408.0,51410.0,11867.0,1633883.0
Columbia School District,2007,4256852.0,222584.0,180516.0,1406189.0,728100.0,535873.0,693755.0,399751.0,67815.0,8491435.0
Common Ground High School District,2007,942107.0,25823.0,24121.0,81930.0,235935.0,107760.0,5758.0,0.0,122303.0,1545737.0
Cornwall School District,2007,1321731.0,91216.0,178903.0,118127.0,339688.0,283488.0,232775.0,275.0,488.0,2566691.0
Coventry School District,2007,12951562.0,472240.0,948354.0,1737354.0,1973346.0,1956240.0,1467891.0,754143.0,461353.0,22722483.0
Cromwell School District,2007,14641282.0,613996.0,287640.0,1003529.0,2924849.0,2495085.0,949688.0,483098.0,334111.0,23733278.0
Cross Cultural Academy District,2007,240395.0,25795.0,5653.0,266.0,120176.0,70458.0,59355.0,0.0,46819.0,568917.0
Danbury School District,2007,71549152.0,2859047.0,4909019.0,6455729.0,10099561.0,8527103.0,5747647.0,1696234.0,745846.0,112589338.0
Darien School District,2007,38480165.0,1763156.0,2197191.0,1878560.0,5933698.0,6709227.0,2821296.0,981038.0,1110514.0,61874845.0
Deep River School District,2007,2485238.0,116224.0,27517.0,632552.0,609130.0,404060.0,145469.0,6466.0,0.0,4426656.0
Derby School District,2007,8943045.0,411845.0,266585.0,1518666.0,2190264.0,1486632.0,658835.0,1274268.0,273009.0,17023149.0
East Granby School District,2007,6526508.0,253487.0,503686.0,680078.0,1538085.0,1138120.0,484881.0,395522.0,173018.0,11693385.0
East Haddam School District,2007,9067457.0,616967.0,325689.0,965007.0,1837723.0,2210760.0,1031522.0,884090.0,19794.0,16959009.0
East Hampton School District,2007,13109646.0,497459.0,535874.0,1376163.0,2353285.0,2106297.0,1639597.0,1565425.0,46099.0,23229845.0
East Hartford School District,2007,59789554.0,1389933.0,1350270.0,2758012.0,9732899.0,8321622.0,4152163.0,2624258.0,602506.0,90721217.0
East Haven School District,2007,21450896.0,523831.0,1711237.0,2730704.0,6005252.0,5361701.0,2120319.0,4250355.0,924121.0,45078416.0
East Lyme School District,2007,22603009.0,657071.0,1488480.0,1325641.0,3579542.0,4678515.0,1339963.0,1896709.0,754570.0,38323500.0
East Windsor School District,2007,9521267.0,421713.0,314186.0,827933.0,2085531.0,1420091.0,1252191.0,1618117.0,99700.0,17560729.0
Eastford School District,2007,1168875.0,30073.0,24194.0,336222.0,301110.0,183487.0,220368.0,176960.0,0.0,2441289.0
Easton School District,2007,9262685.0,187568.0,163278.0,164744.0,1454496.0,1316247.0,995008.0,250206.0,0.0,13794232.0
Ellington School District,2007,16610379.0,505022.0,673439.0,1148095.0,2130310.0,2860994.0,1476519.0,752976.0,317109.0,26474843.0
Elm City College Preparatory School,2007,1372303.0,407587.0,72596.0,378943.0,687445.0,207566.0,0.0,0.0,285393.0,3411833.0
Enfield School District,2007,43210483.0,1015684.0,1579552.0,5033674.0,7072491.0,8901473.0,3178632.0,2273264.0,1250870.0,73516123.0
Essex School District,2007,3713143.0,138532.0,56476.0,621342.0,859425.0,501665.0,250958.0,9466.0,0.0,6151007.0
Explorations District,2007,388273.0,14303.0,27084.0,32414.0,171990.0,124688.0,24790.0,0.0,0.0,783542.0
Fairfield School District,2007,72881331.0,2069044.0,8295517.0,9891306.0,14820706.0,14814814.0,6457136.0,2630894.0,1910438.0,133771186.0
Farmington School District,2007,27730202.0,1009821.0,1797089.0,3351473.0,4820361.0,6099873.0,2594917.0,1623997.0,768203.0,49795936.0
Franklin School District,2007,1654693.0,94880.0,23878.0,168641.0,372924.0,328311.0,259238.0,225663.0,3591.0,3131819.0
Glastonbury School District,2007,41890506.0,1419903.0,3636075.0,4024542.0,8324038.0,8466602.0,4133875.0,3792716.0,1117699.0,76805956.0
Granby School District,2007,14093318.0,1189918.0,784637.0,1340342.0,2547649.0,2794845.0,1055672.0,622224.0,529489.0,24958094.0
Greenwich School District,2007,95001981.0,3078141.0,3049117.0,9619278.0,13499353.0,21421733.0,4276557.0,3403123.0,112653.0,153461936.0
Griswold School District,2007,13083765.0,970841.0,362344.0,860815.0,2960229.0,2794461.0,1467342.0,626118.0,585419.0,23711334.0
Groton School District,2007,39758766.0,1970288.0,2954945.0,5827860.0,6507067.0,7212099.0,4127273.0,3007706.0,0.0,71366004.0
Guilford School District,2007,25457028.0,698195.0,1230072.0,2737974.0,5393237.0,4595882.0,2740803.0,1652334.0,654326.0,45159851.0
Hamden School District,2007,49169517.0,1590952.0,1634197.0,6899168.0,8089061.0,8481080.0,5296824.0,10826442.0,763485.0,92750726.0
Hampton School District,2007,1277889.0,43664.0,54975.0,183068.0,337738.0,180453.0,157934.0,0.0,0.0,2235721.0
