sedaadmin,sedaadminname,subject,grade,year,fips,stateabb,multi_comp_all,multi_comp_asn,multi_comp_blk,multi_comp_ecd,multi_comp_fem,multi_comp_hsp,multi_comp_mal,multi_comp_mfg,multi_comp_nam,multi_comp_nec,multi_comp_neg,multi_comp_wag,multi_comp_wbg,multi_comp_whg,multi_comp_wht,multi_comp_wng,tot_asmt_all,flag_estasmt_all,gcs_mn_all,gcs_mn_se_all,gcs_mn_se_adj_all,tot_asmt_asn,flag_estasmt_asn,gcs_mn_asn,gcs_mn_se_asn,gcs_mn_se_adj_asn,tot_asmt_blk,flag_estasmt_blk,gcs_mn_blk,gcs_mn_se_blk,gcs_mn_se_adj_blk,tot_asmt_ecd,flag_estasmt_ecd,gcs_mn_ecd,gcs_mn_se_ecd,gcs_mn_se_adj_ecd,tot_asmt_fem,flag_estasmt_fem,gcs_mn_fem,gcs_mn_se_fem,gcs_mn_se_adj_fem,tot_asmt_hsp,flag_estasmt_hsp,gcs_mn_hsp,gcs_mn_se_hsp,gcs_mn_se_adj_hsp,tot_asmt_mal,flag_estasmt_mal,gcs_mn_mal,gcs_mn_se_mal,gcs_mn_se_adj_mal,tot_asmt_mfg,flag_estasmt_mfg,gcs_mn_mfg,gcs_mn_se_mfg,gcs_mn_se_adj_mfg,tot_asmt_nam,flag_estasmt_nam,gcs_mn_nam,gcs_mn_se_nam,gcs_mn_se_adj_nam,tot_asmt_nec,flag_estasmt_nec,gcs_mn_nec,gcs_mn_se_nec,gcs_mn_se_adj_nec,tot_asmt_neg,flag_estasmt_neg,gcs_mn_neg,gcs_mn_se_neg,gcs_mn_se_adj_neg,tot_asmt_wag,flag_estasmt_wag,gcs_mn_wag,gcs_mn_se_wag,gcs_mn_se_adj_wag,tot_asmt_wbg,flag_estasmt_wbg,gcs_mn_wbg,gcs_mn_se_wbg,gcs_mn_se_adj_wbg,tot_asmt_whg,flag_estasmt_whg,gcs_mn_whg,gcs_mn_se_whg,gcs_mn_se_adj_whg,tot_asmt_wht,flag_estasmt_wht,gcs_mn_wht,gcs_mn_se_wht,gcs_mn_se_adj_wht,tot_asmt_wng,flag_estasmt_wng,gcs_mn_wng,gcs_mn_se_wng,gcs_mn_se_adj_wng
900004,Unified School District #2,mth,8,2009,9,CT,0,,0,0,0,0,0,0,,,,,0,0,0,,31,0,.5913799298368105,.8943759090559328,.9105702588973326,,,,,,,0,,,,31,0,.8587523840191389,.8933306649209896,.9095337515378545,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,
900004,Unified School District #2,rla,8,2009,9,CT,0,,0,0,0,0,0,0,,,,,0,0,0,,31,0,1.009270234463561,1.176291540431391,1.190362853038976,,,,,,,0,,,,31,0,1.549614097602268,1.179170348291638,1.193168212193872,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,
900007,Jumoke Academy District,mth,3,2009,9,CT,0,,0,0,0,,0,0,,0,0,,,,,,45,0,1.286021439495338,.3263428046580282,.351639427399233,,,,,,44,0,1.166228845716718,.3310263761143419,.3561704429454376,23,0,1.100785441236289,.4387008731584423,.458616531425212,23,0,1.285645798111117,.4577297916853559,.4761951963056647,,,,,,22,0,1.25443895113863,.4533520109920173,.4721168445966578,45,0,-.0344276664956369,.6445541548261121,.6445541548261121,,,,,,22,0,1.525538893861391,.4668744807214164,.4845141100827978,45,0,.6477779104333474,.6409389026564247,.6409389026564247,,,,,,,,,,,,,,,,,,,,,,,,,
900007,Jumoke Academy District,rla,3,2009,9,CT,0,,0,0,0,,0,0,,0,0,,,,,,45,0,1.907436975453118,.4670175472738113,.4866389036666969,,,,,,44,0,1.929718476246485,.4708103845346501,.490542083657286,23,0,1.840207606817551,.6213311721714383,.6370027019353592,23,0,2.330884463027147,.6263347890518711,.6401962855264565,,,,,,22,0,1.461871095130937,.6831605834776908,.6981087281693377,45,0,-.9149510522374142,.9272339560950021,.9272339560950021,,,,,,22,0,2.363910191138002,.6775632332667072,.6906775606587776,45,0,.4261251658192595,.9197235661646355,.9197235661646355,,,,,,,,,,,,,,,,,,,,,,,,,
900007,Jumoke Academy District,mth,3,2010,9,CT,0,,0,0,0,,0,0,,0,0,,,,,,45,0,2.310620184859111,.3340622298468842,.3486431104540007,,,,,,44,0,2.219604312460357,.3386350823866138,.3530093177065336,35,0,2.263272075059109,.3579241677466269,.3716724053728612,21,0,2.947223330231088,.4993830240361798,.5090313135780147,,,,,,24,0,1.899098895103988,.4384327101803357,.4502009543625312,45,0,-.7067530514385835,.665378925987856,.665378925987856,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900007,Jumoke Academy District,rla,3,2010,9,CT,0,,0,0,0,,0,0,,0,0,,,,,,45,0,2.329022581084151,.4728752250853384,.4832724925097774,,,,,,44,0,2.445801722352313,.4751066193393348,.4853537226268965,35,0,2.448135187785415,.5071782392477443,.5169514296174808,21,0,3.146630128123149,.671619879919231,.6785949473977689,,,,,,24,0,1.729749815755196,.6531633513428798,.6614783742357654,45,0,-1.218724532443829,.938182736372253,.938182736372253,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900007,Jumoke Academy District,mth,3,2011,9,CT,0,,0,0,0,,0,0,,0,0,,,,,,44,0,3.583543622555172,.3558194328560036,.3871586288396568,,,,,,44,0,3.51125157606239,.3564522369618853,.3877392753404367,30,0,3.478232546062574,.4092009970859125,.4368940580813218,25,0,3.232686868673293,.4697136388508577,.4939015931959504,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900007,Jumoke Academy District,rla,3,2011,9,CT,0,,0,0,0,,0,0,,0,0,,,,,,44,0,4.872873138557567,.477919285652076,.500780937557349,,,,,,44,0,4.744553421876939,.475849295564844,.4988047294244392,30,0,4.448631000423154,.5493020244322716,.5689003189358475,25,0,4.697189049335279,.6143504206937697,.6323125068756336,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900007,Jumoke Academy District,mth,3,2012,9,CT,0,,0,0,0,,0,0,,0,0,,,,,,47,0,3.361470101727196,.337172246549914,.3501283034426774,,,,,,45,0,3.279678222876025,.3440361516162947,.3567282257856864,32,0,3.190443531844946,.3851384374982408,.3965906405533853,23,0,2.651890440581662,.4783113559635448,.4878689741436363,,,,,,24,0,4.509415611677313,.4677199029651296,.4778052328832889,47,0,1.698606315589142,.6692772616776153,.6692772616776153,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900007,Jumoke Academy District,rla,3,2012,9,CT,0,,0,0,0,0,0,0,,0,0,,,,,,47,0,3.940360112314221,.433446022809318,.4424774714700777,,,,,,45,0,3.709066364530023,.4403645416621307,.4492496993484517,32,0,3.457429202862388,.4981399259679472,.5061090969667533,23,0,2.975714642530346,.5962297002925047,.603112126717556,,0,,,,24,0,4.994161312869132,.6202150299496579,.6270185012991285,47,0,1.961491787513059,.8607203262646276,.8607203262646276,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900007,Jumoke Academy District,mth,3,2013,9,CT,0,,0,0,0,0,0,0,,0,0,,,,,,48,0,4.14830589271793,.327101728391469,.3462016064979245,,,,,,45,0,4.077303781104803,.3385792243188285,.3570598626882712,,0,,,,30,0,3.978258243980981,.4130997143686433,.4282905896645531,,0,,,,,0,,,,,0,,,,,,,,,43,0,4.374839099609321,.3487322892161512,.3672752434834151,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900007,Jumoke Academy District,rla,3,2013,9,CT,0,,0,0,0,0,0,0,,0,0,,,,,,48,0,4.930962145389676,.415444888541342,.428923540843308,,,,,,45,0,4.981942074603915,.4285353617329013,.4417749287049806,,0,,,,30,0,4.900331986225719,.5089903815254547,.51997694658211,,0,,,,,0,,,,,0,,,,,,,,,43,0,5.008407745198943,.439785380661686,.4530062262173709,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900007,Jumoke Academy District,mth,3,2015,9,CT,0,,0,0,0,,0,0,,0,0,,,,,,50,0,1.329764702129459,.3384549179797099,.362075324160523,,,,,,47,0,1.173011359250531,.3531462543584379,.3762891893709635,30,0,1.063713328936223,.4223037142659462,.4427997622025153,28,0,1.452088253130726,.4497740299620162,.4673945962739398,,,,,,22,0,1.209753795581956,.5012980178131021,.5182780170932992,50,0,-.4094962077166325,.6749347118781612,.6749347118781612,,,,,,20,0,1.986229631371605,.5305939989612718,.544912645098386,50,0,.8605786404434523,.680298474493398,.680298474493398,,,,,,,,,,,,,,,,,,,,,,,,,
900007,Jumoke Academy District,rla,3,2015,9,CT,0,,0,0,0,,0,0,,0,0,,,,,,50,0,1.639710298963903,.4532384330742754,.4735761012291164,,,,,,47,0,1.720129158437763,.4667280870660211,.4867585618069661,30,0,1.04679273157607,.5743755572875742,.5921987986129298,28,0,2.450041293412689,.5751880787717129,.5899668741892314,,,,,,22,0,.5006071646298493,.7177427312204382,.733182452064947,50,0,-1.638230554979728,.9215039196425741,.9215039196425741,,,,,,20,0,2.80234900033627,.7041980046058144,.7161449760968095,50,0,1.404648621929262,.9117195795906197,.9117195795906197,,,,,,,,,,,,,,,,,,,,,,,,,
900007,Jumoke Academy District,mth,3,2016,9,CT,0,,0,0,0,0,0,0,,0,0,,,,,,68,0,1.64095082523696,.2867982237071774,.3018064134913981,,,,,,63,0,1.607375784343019,.3001423715609206,.314584654133349,47,0,1.263147719817258,.3316575919350576,.3453999765278532,26,0,1.177744829678789,.479310483520111,.488992209100822,,0,,,,42,0,1.943763600180406,.3467133253829172,.3589780683031957,68,0,.657310083780539,.5930392647955293,.5930392647955293,,,,,,21,0,2.564097051419114,.5121577876607328,.5203031752541554,68,0,1.766792268021287,.6125260189762383,.6125260189762383,,,,,,,,,,,,,,,,,,,,,,,,,
900007,Jumoke Academy District,rla,3,2016,9,CT,0,,0,0,0,0,0,0,,0,0,,,,,,68,0,3.041737396511432,.3700503642903459,.3830007649385039,,,,,,63,0,2.972600491723564,.3838107508319588,.3963523305116914,47,0,2.116080583550258,.4266613866552654,.4387653533355557,26,0,2.642000250210522,.5751160321944805,.583813913300364,,0,,,,42,0,3.225934995768656,.4739853609666758,.4840660207518064,68,0,.7648307528880907,.7474525903126981,.7474525903126981,,,,,,21,0,5.107622531685615,.6926776926277891,.7000130332861999,68,0,2.931588402502777,.8164668667747751,.8164668667747751,,,,,,,,,,,,,,,,,,,,,,,,,
900007,Jumoke Academy District,rla,3,2017,9,CT,0,,0,0,0,0,,,,0,0,,,,,,72,0,2.564377737635204,.3623231541260858,.3932444729575849,,,,,,68,0,2.501204969917941,.3727886507459773,.40296901255418,38,0,2.599206431131136,.4708474821801868,.4950358195873568,42,0,3.026982529377436,.4525145235600294,.477149176698369,,0,,,,,,,,,,,,,,,,,,,34,0,2.670258856009994,.5346344187889147,.5561802289889944,72,0,-.1203603668616616,.7128879900695652,.7128879900695652,,,,,,,,,,,,,,,,,,,,,,,,,
