town_code,town,grade,subject,gcs_baseline,vs_national_baseline,n_tests,years_used,town_match,sedaadmin
1,Andover,3,mth,3.497912615803232,0.4979126158032321,25.0,2,local district,900030
1,Andover,3,rla,4.137821115168416,1.137821115168416,34.0,1,local district,900030
1,Andover,4,rla,4.607834709244338,0.6078347092443379,24.0,2,local district,900030
1,Andover,5,rla,6.12569787699433,1.1256978769943298,24.5,2,local district,900030
1,Andover,6,mth,8.361706039893576,2.3617060398935763,20.0,1,local district,900030
2,Ansonia,3,mth,1.333130747650036,-1.666869252349964,181.0,3,local district,900060
2,Ansonia,3,rla,0.8643912307336484,-2.1356087692663515,181.0,3,local district,900060
2,Ansonia,4,mth,2.2990958688755607,-1.7009041311244395,181.66666666666663,3,local district,900060
2,Ansonia,4,rla,1.5008368040646898,-2.4991631959353104,181.66666666666663,3,local district,900060
2,Ansonia,5,mth,2.523409155704712,-2.476590844295288,187.33333333333331,3,local district,900060
2,Ansonia,5,rla,2.386893160039721,-2.613106839960279,187.66666666666663,3,local district,900060
2,Ansonia,6,mth,2.8653200534375203,-3.13467994656248,179.33333333333334,3,local district,900060
2,Ansonia,6,rla,3.3042090491779903,-2.6957909508220097,179.33333333333334,3,local district,900060
2,Ansonia,7,mth,3.808966518739536,-3.191033481260464,187.0,3,local district,900060
2,Ansonia,7,rla,4.1735439036110416,-2.826456096388958,188.66666666666663,3,local district,900060
2,Ansonia,8,mth,4.458675140057559,-3.5413248599424407,186.66666666666663,3,local district,900060
2,Ansonia,8,rla,5.452037733888308,-2.547962266111691,188.0,3,local district,900060
3,Ashford,3,mth,3.94200194379917,0.9420019437991698,30.0,1,local district,900090
3,Ashford,3,rla,2.7984779712433347,-0.2015220287566654,34.5,2,local district,900090
3,Ashford,4,mth,3.381375406170012,-0.6186245938299879,44.0,1,local district,900090
3,Ashford,4,rla,4.236168724917496,0.2361687249174957,40.5,2,local district,900090
3,Ashford,5,mth,4.773461861522491,-0.2265381384775087,40.66666666666666,3,local district,900090
3,Ashford,5,rla,4.992648629698696,-0.0073513703013044,40.66666666666666,3,local district,900090
3,Ashford,6,mth,5.990023398825626,-0.0099766011743742,44.0,1,local district,900090
3,Ashford,6,rla,6.587499384396119,0.5874993843961187,39.333333333333336,3,local district,900090
3,Ashford,7,mth,6.857152097950707,-0.142847902049293,38.333333333333336,3,local district,900090
3,Ashford,7,rla,7.236466598158242,0.2364665981582421,44.0,1,local district,900090
