town_code,district_code,town,fiscal_year,entitlement,alliance_portion,education_diversity_portion,non_alliance_portion
1,1,ANDOVER,2001,1387386,,,
2,2,ANSONIA,2001,10511260,,,
3,3,ASHFORD,2001,2871643,,,
4,4,AVON,2001,109878,,,
5,5,BARKHAMSTED,2001,1157016,,,
6,6,BEACON FALLS,2001,2887266,,,
7,7,BERLIN,2001,3301838,,,
8,8,BETHANY,2001,1448766,,,
9,9,BETHEL,2001,7020115,,,
10,10,BETHLEHEM,2001,1081506,,,
11,11,BLOOMFIELD,2001,2288149,,,
12,12,BOLTON,2001,2069781,,,
13,13,BOZRAH,2001,1010171,,,
14,14,BRANFORD,2001,1175917,,,
15,15,BRIDGEPORT,2001,128377230,,,
16,16,BRIDGEWATER,2001,59682,,,
17,17,BRISTOL,2001,29950269,,,
18,18,BROOKFIELD,2001,1145316,,,
19,19,BROOKLYN,2001,5690733,,,
20,20,BURLINGTON,2001,3056579,,,
21,21,CANAAN,2001,170916,,,
22,22,CANTERBURY,2001,4129988,,,
23,23,CANTON,2001,2064663,,,
24,24,CHAPLIN,2001,1593072,,,
25,25,CHESHIRE,2001,7227192,,,
26,26,CHESTER,2001,581186,,,
27,27,CLINTON,2001,5649032,,,
28,28,COLCHESTER,2001,8771715,,,
29,29,COLEBROOK,2001,210184,,,
30,30,COLUMBIA,2001,1917898,,,
31,31,CORNWALL,2001,11381,,,
32,32,COVENTRY,2001,7088752,,,
33,33,CROMWELL,2001,2905842,,,
34,34,DANBURY,2001,13645882,,,
35,35,DARIEN,2001,99386,,,
36,36,DEEP RIVER,2001,1439435,,,
37,37,DERBY,2001,4657203,,,
38,38,DURHAM,2001,2969977,,,
39,39,EASTFORD,2001,914053,,,
40,40,EAST GRANBY,2001,516399,,,
41,41,EAST HADDAM,2001,2703833,,,
42,42,EAST HAMPTON,2001,5827719,,,
43,43,EAST HARTFORD,2001,23994316,,,
44,44,EAST HAVEN,2001,13740209,,,
45,45,EAST LYME,2001,5465312,,,
46,46,EASTON,2001,109426,,,
47,47,EAST WINDSOR,2001,3791597,,,
48,48,ELLINGTON,2001,7162282,,,
49,49,ENFIELD,2001,22516404,,,
50,50,ESSEX,2001,128319,,,
51,51,FAIRFIELD,2001,938171,,,
52,52,FARMINGTON,2001,190826,,,
53,53,FRANKLIN,2001,686484,,,
54,54,GLASTONBURY,2001,2641874,,,
55,55,GOSHEN,2001,95927,,,
56,56,GRANBY,2001,3030426,,,
